entry_id	trans_english	Movima_Phonemic
13.10	ten	
13.101	eleven	
13.102	twelve	
13.103	fifteen	
13.104	twenty	
13.105	hundred	
13.106	thousand	
13.107	count	paʔ-na
13.14	every, all	ɓa-ra
13.15	much, many	kau-ra
13.16	more	ɗo-čiʔi
13.17	little (quantity), few	ɓei-ra
13.18	enough	mana-ra
13.181	some	kaka-ra
13.19	multitude, crowd	ka-we
13.21	full	ɗol-ra
13.22	empty	hem-me
13.23	part, piece	ɓei-ka-ra
13.24	half	tam-pin̉
13.33	alone, only	sokaʔ-te
13.34	first	nai-či
13.35	last	yaʔ-ko
13.36	second	oi-ra-ni-nira
13.37	pair	sotaʔ-to-βah
13.38	two times	oi-lomah
13.42	third	tas-ra-ni-nira
13.44	three times	tas-lomah
14.11	time	
14.12	age	han-ka-tinnonaʔ-kʷi
14.13	new	pola-ra
14.14	young	o-βe-ni
14.15	old	ɓi-hau
14.16	early	po-ra-ka
14.17	late	po-la
14.18	now	al-ka-βa
14.19	immediately	yaʔ-ɬe
14.21	swift, fast, quick	so-rin̉
14.22	slow	hi-ɓal
14.23	hasten, hurry	ɗin̉-ka-ye
14.24	retard, delay	aya-na
14.25	begin, beginning	ɓan̉-win̉
14.252	last, endure	ɗi-ra
14.26	end (temporal)	ya-lomah
14.27	finish	ɓa-lomah
14.28	cease, stop	ah-teʔe
14.29	ready	loi-ʔi
14.31	always	hem-piteɬ
14.32	often	čon̉
14.33	sometimes	kaka-lomah
14.331	soon	al-ka-βani
14.332	long-time (for a)	kau-yemes
14.34	never	eɬaʔ-lomah-ni
14.35	again	rei-ka
14.41	day	he-mes
14.42	night	i-mai-ni
14.43	dawn	čon-mayo
14.44	morning	i-mayo
14.45	noon, midday	čon-si
14.451	afternoon	wa-lai-lo
14.46	evening	wa-lai-lo
14.47	today	neye-mes
14.48	tomorrow	tawaʔ-ni
14.481	day-after-tomorrow	oi-yemes-na-wawa
14.49	yesterday	laʔ-hemes
14.491	day-before-yesterday	
14.51	hour	[ora]
14.53	clock, timepiece	[relo]
14.61	week	[semana]
14.62	Sunday	[lomiko]
14.63	Monday	[lunes]
14.64	Tuesday	[maretes]
14.65	Wednesday	[mierkoles]
14.66	Thursday	[weβes]
14.67	Friday	[mierenes]
14.68	Saturday	[sawaɗo]
14.71	month	yeh-čo
14.73	year	tinno-naʔa
14.74	winter	tomi-wawa
14.75	spring	ɓaʔkʷin-wawa
14.76	summer	osni-wawa
14.77	autumn	--
14.78	season	--
15.21	smell (vb intrans)	ho-es-ni
15.212	sniff	sen-na
15.22	smell (vb trans)	pa-yes-na
15.25	fragrant, good smelling	hira-nes-ni
15.26	stinking, bad smelling	pusa-ni
15.31	taste	o-wes-na
15.35	sweet	ta-ɗoi-ni
15.36	salty	ɬo-maʔ-ni
15.37	bitter	sese-ni
15.38	acid, sour	rapis-ni
15.39	brackish	ɬom-ɗi-ni
15.41	hear	pa-loto
15.42	listen	pa-wa-na
15.44	sound, noise	ɗin̉-sineɬ
15.45	loud	ɗitas-ɬe
15.46	quiet, silence	ɗai-lo
15.51	see	ɗe-wah-na
15.52	look, look at	βel-na
15.55	show	čusa-pa
15.56	shine	heʔ-les-ni
15.57	bright	heʔ-les
15.61	color	lowe-kʷi
15.62	light (in color)	ta-βoh-ni
15.63	dark (in color)	tu-βus-ni
15.64	white	ta-βoh
15.65	black	tun-ni
15.66	red	rapal
15.67	blue	suβu
15.68	green	noʔna
15.69	yellow	sere
15.71	touch	tol-na
15.712	pinch	ɓin̉-na
15.72	feel	pa-yes-na
15.74	hard	ɗin̉-ra
15.75	soft	hu-sau-ni
15.76	rough	ča-puh-ni
15.77	smooth	ti-ɬoi-ni
15.78	sharp	pe-res-ni
15.79	blunt, dull	pe-res-ɬeʔe
15.81	heavy	ɗinoʔ-ni
15.82	light (in weight)	sa-ɗoi-ni
15.83	wet, damp	luʔ-ɗai-ni
15.84	dry	we-rel-ni
15.85	hot	kʷah-les
15.851	warm	tayo-ka
15.86	cold	hilo-ka
15.87	clean	ha-yau
15.88	dirty, soiled	čo-es-ni
15.89	wrinkled	sulu-ni
16.11	soul, spirit	ɓau-ra-wawa
16.15	surprised, astonished	hol-ɓaičo
16.18	good fortune, luck	
16.19	misfortune, bad luck	
16.23	joyful, glad, happy	ɓele-ka
16.25	laugh	ho-si-čeɬ
16.251	smile	yo-me-čeɬ
16.26	play	kʷina-naʔa
16.27	love	kʷah-es-na
16.29	kiss	pu-run̉-na
16.3	embrace	huɬ-na
16.31	pain	tiβih
16.32	grief, sorrow, sadness	ruh-ka-ɓaičo
16.33	anxiety, worry	ruhal-ni-wa
16.34	regret, be sorry	ɬaβo-ye
16.35	pity	ɬaβo-ye-na
16.37	cry, weep	hiyi
16.38	tear (noun)	hiwan-lo
16.39	groan	
16.41	hate	ɗona-ye
16.42	anger	sutu-ka
16.44	envy, jealousy	kema-ye-ɬe
16.45	shame (noun)	čaha-ni-wa
16.48	proud	hon̉-ka-toɬ
16.51	dare	mirin̉-čeɬ
16.52	brave	o-βe-ni
16.53	fear, fright	tino-ka
16.54	danger	o-mau-ni
16.62	desire, want	yei-na
16.622	choose	hon̉-na
16.63	hope	ɗis-ɬan̉-wa
16.65	faithful	hina-ye-wa
16.66	true	čon-lomah
16.67	lie, tell lies	tiha-si
16.68	deceit	kil-mo
16.69	forgive	tata-ɓaɬ-kʷa
16.71	good	ɗo-koi
16.72	bad	um̉-ɓe
16.73	right, correct	čon-lo
16.74	wrong	hayau-ɬeʔe
16.76	fault	kau-ham-pa
16.77	mistake, error	san-ka-pa-ni
16.78	blame	ɗon-ka-ra-na
16.79	praise	ɓele-pa-na
16.81	beautiful	hiran-ni
16.82	ugly	čo-es-ni
16.83	greedy	u-yei-ni
16.84	clever	bis-pa
17.11	mind	pa-kuʔ-wanas
17.13	think (= reflect)	i-ɓaičo-βaɬ-na
17.14	think (= be of the opinion)	pa-ɓaičo
17.15	believe	wawa-sina-poh-na
17.16	understand	pa-wa-ne-ɬe
17.17	know	o-na-ra-na
17.171	guess	čona-ra
17.172	imitate	im-pa-na
17.18	seem	hai-son̉
17.19	idea, notion	pem-ɓaičo
17.21	wise	ɓis-on̉
17.22	foolish, stupid	[son-so]
17.23	insane, crazy	sa-ɓaičo
17.24	learn	βan̉-ka-pa
17.242	study	ɗim̉-ɓaičo-βaɬna
17.25	teach	βata-pa
17.26	pupil	βata-pa-n-čaye
17.27	teacher	βata-pa-n-čaye-pa
17.28	school	[eskʷela]
17.31	remember	to-ɓaičo
17.32	forget	kiʔ-lai-ni
17.34	clear, plain	ɗeɗe-ye
17.35	obscure	hana-ɓaičo
17.36	secret	
17.37	sure, certain	hoʔ-loes
17.38	explain	ona-loes-poh-na
17.41	intention, purpose	ham-ɓaičo
17.42	cause	kau-ham-pa
17.43	doubt	kʷai-ɓaičo
17.44	suspect	ɗah-ka-wanne
17.441	betray	pa-ka-ye
17.45	need, necessity	huma-ra
17.46	easy	ɓate-has-ra-ɗaʔa
17.47	difficult	ɓate-has-ra
17.48	try, attempt	ɗim̉-ɓaičo-na
17.49	way, manner	ham-pa
17.51	and	če
17.52	because	ɓo
17.53	if	ɗiʔ
17.54	or	ka-ɓo
17.55	yes, affirmative	čon-lomah
17.56	no, negative	ka-ʔi
17.61	how?	han-win̉
17.62	how many?	han-ka-ra
17.63	how much?	han-ka-rimeɬ
17.64	what?	eɬe-ɬaʔa
17.65	when?	eɬ-lomah
17.66	where?	nay-aʔa
17.67	which?	han-raʔa
17.68	who?	han-ne
17.69	why?	kema-ra
18.11	voice	
18.12	sing	leu-leu
18.13	shout, cry out	ka-mamai
18.15	whisper	tawaʔ-čeɬ
18.16	mumble	
18.17	whistle	sim̉-ɬa
18.18	shriek, screech	wa-ra-ɗai
18.19	howl	woʔ-le
18.21	speak, talk	i-wani
18.211	stutter, stammer	san-ka-wani
18.22	say	han-kʷa
18.221	tell story	ah-lomah
18.222	speech (make a)	kem-ka-pan-ye-čeɬ
18.23	silent (be)	way-as-ɬe
18.24	language	al-wani-wanas
18.26	word	i-wani-wansi
18.28	name	eɬe
18.31	ask (question, inquire)	ɗaha-wane-ɬe
18.32	answer	čai-wane-ɬe
18.33	admit, confess	kem-panas-čeɬ
18.34	deny	ka-ɓaičo
18.35	ask, request	ɗah-kʷa-na
18.36	promise	ayana-poh-na
18.37	refuse	kaʔ-poh-na
18.38	forbid	uta-ɓe
18.39	rebuke, scold	hu-na
18.41	call (=summon)	haya-moɬ
18.42	call (=name)	eɬ-na-pa
18.43	announce	ɓoko-čaye
18.44	threaten	čun̉-čopan-ɬeɬe
18.45	boast	mereʔ-poh-čeɬ
18.51	write	ɓen-a-ɓen̉
18.52	read	lew-a-ɓen̉
18.56	paper	al-wam-ɓen̉
18.57	pen	ɓen-a-ɓen̉-wanra
18.61	book	al-wam-ɓen̉
18.67	poet	--
18.71	flute	[polauta]
18.72	drum	pono-tiʔi
18.73	horn, trumpet	
18.74	rattle	
19.11	country	[pais]
19.12	one's native country	lolos
19.15	city, town	lolos
19.16	village	lolos
19.17	boundary	ya-pa-naʔa
19.21	people (populace)	hu-ye-ni
19.23	tribe, clan	al-leʔe
19.24	chief, chieftain	en-ona
19.25	staff, walking stick	čaʔ-pa
19.31	rule, govern	en-ona-na
19.32	king, ruler	--
19.33	queen	--
19.36	noble, nobleman	--
19.37	citizen, subject	
19.41	master	kau-čin-a-čo
19.42	slave	čin-čin-čo-ye
19.43	servant	čin-čin-čo-ye
19.44	freeman	--
19.45	command, order	čin-a-čo
19.46	obey	hai-wa-ne-ɬe
19.47	let, permit	ten-a-pan-ɬe
19.51	friend, companion	al-ra
19.52	enemy	al-či
19.54	neighbor	al-as-wanne
19.55	stranger	hei-ye
19.56	guest	yeɬ-wanne
19.57	host	
19.58	help, aid	al-pa-na
19.59	hinder, prevent	kaʔ-poh-na
19.61	custom	he-yaʔa
19.62	strife, quarrel	hara-kaka-ye
19.63	conspiracy, plot	
19.65	meet	kah-a-ɬe
19.72	prostitute	
20.11	fight (vb)	haraɬ
20.13	war, battle	hara-wanas
20.14	peace	hayau-lomah
20.15	army	
20.17	soldier	[solɗao]
20.21	weapons, arms	
20.22	club	koʔ-pin̉
20.222	battle-ax	
20.23	sling	
20.24	bow	ta-ni-lo
20.25	arrow	huɬ-pa
20.26	spear	
20.27	sword	[espara]
20.28	gun, cannon	[eskopeta]
20.31	armor (defensive)	--
20.33	helmet	--
20.34	shield	--
20.35	fortress	--
20.36	tower	[tore]
20.41	victory	hula-ra-weɬe
20.42	defeat	hula-ra-na
20.43	attack	hara-ɬe-na
20.44	defend	ɓore-na
20.45	retreat	čoi-si
20.46	surrender	ya-ɓaičo
20.47	captive, prisoner	
20.471	guard, sentinel	ah-pa-na
20.48	booty, spoils	
20.49	ambush	
20.51	fisherman	ɓilau-pa
20.52	fishhook	hah-ɬa
20.53	fishing line	ɗaβul-ɗi
20.54	fishnet	
20.55	fish trap	
20.56	bait	
20.61	hunt	ɓay-eɬ
20.62	shoot	man-na
20.63	miss (target)	hei-wah
20.64	trap (noun)	[tarampa]
20.65	trap (vb)	
21.11	law	kema-lomah-weɬ-wansi
21.15	court	--
21.16	judge (vb)	aʔaye-kʷan-čaye
21.17	judgment	
21.18	judge (noun)	čopa-loes-kʷan-čaye-pa
21.21	plaintiff	--
21.22	defendant	--
21.23	witness	ona-lomah-poh-na
21.24	swear	
21.25	oath	mam-ɓaičo-wanas
21.31	accuse	kema-ye-weɬ-na
21.32	condemn	koβih-niɬ-na-poh-na
21.33	convict (vb)	aʔaye-kʷan-čaye
21.34	acquit	tata-ɓaɬ-kʷan-ɬe-na
21.35	guilty	koβih-koβih
21.36	innocent	ko-kaʔ-βih
21.37	penalty, punishment	hara-ɗa-kʷan-wanas
21.38	fine	
21.39	prison, jail	
21.42	murder	tikoi-čaye
21.43	adultery	
21.44	rape	
21.46	arson	
21.47	perjury	
21.51	steal	tol-kara-na
21.52	thief	tol-kara-na-pa
22.11	religion	
22.12	God	[dios]
22.13	temple, church	[elesiya]
22.14	altar	[altare]
22.15	sacrifice, offering	el-eɬ-wan-rani
22.16	worship	lew-a-lo
22.17	pray	ɗah-kʷan-as-čeɬ
22.18	priest	paʔi
22.19	holy, sacred	way-es
22.22	preach	ɗin̉-te-ɬe-na
22.23	bless	hayau-lomah-poh-na
22.24	curse	um̉-ɓe
22.26	fast (vb)	[ayuna]-tiʔi
22.31	heaven	ɓen̉-ra
22.32	hell	čočo-ɬim
22.35	demon (evil spirit)	kaini-wawa
22.37	idol	
22.42	magic, witchcraft, sorcery	ukʷam-pa-tiʔi
22.43	sorcerer, witch	ukʷam-pa
22.44	fairy, elf	
22.45	ghost, phantom	en̉-en-ra
22.47	omen, portent	pakeɬ-wanra
