entry_id	trans_english	Selknam_Phonemic
4.73	pregnant	m-hane; ʔàyen
4.732	conceive	m-hane
4.74	live, living, life	wa
4.75	die, dead	w-ličè; čeṣke
4.751	drowned	čòhwn t-tˀe
4.76	kill	mateʔ
4.77	corpse	w-è-otn
4.78	bury (the dead)	ax-mètˀel
4.79	grave, tomb	
4.81	strong, mighty, powerful	sòrè
4.82	weak	čou ʔočè
4.83	well, health	pˀàʔ
4.84	sick, sickness	kwaki t-hà
4.841	fever	àṣ toxè
4.842	goiter	ṣèpn kˀatèwr tàhpr
4.843	cold (catarrh)	ṣètl
4.85	wound, sore	čè
4.852	bruise	
4.853	swelling	ṣen e
4.854	itch	ʔòčel
4.855	blister	
4.856	boil (noun)	tˀòʔ-n
4.857	pus	tˀòʔ-l
4.858	scar	loyti
4.86	cure, heal	sòhymxe
4.87	physician	xoʔ-nn
4.88	medicine, drug	mà-t-šinn
4.89	poison	
4.91	tired, weary	tawxe; ʔočke
4.912	rest	meh
4.92	lazy	ʔoten; čaʔčè
4.93	bald	ʔarke
4.94	lame	hè witè
4.95	deaf	hoʔṣ-ṣitèl
4.96	mute	àṣ-ṣitèl
4.97	blind	w-ʔàykò
4.98	intoxicated	ʔoyiḳe
4.99	naked, bare	kò-w
5.11	eat	tˀe
5.12	food	
5.121	cooked	
5.122	raw	čàhnèke
5.123	ripe	màčè
5.124	green, unripe	čàlxè
5.125	rotten	wàčè, wal
5.13	drink	čètˀe
5.14	hunger	ḳàr hayne
5.141	famine	
5.15	thirst	čòličè
5.16	suck	čètˀe-r
5.18	chew	čahmke
5.181	swallow	ʔočè
5.19	choke	
5.21	cook	m-toxè
5.22	boil (vb)	wereʔ
5.23	roast, fry	
5.24	bake	
5.25	oven	
5.26	pot, cooking vessel	
5.27	kettle	
5.28	pan	
5.31	dish	tˀeuḳˀ
5.32	plate	tˀeuḳˀ
5.33	bowl	ʔàhwen
5.34	pitcher, jug	tˀòhḳˀò
5.35	cup, drinking vessel	ʔàhwen
5.36	saucer	
5.37	spoon	
5.38	knife	pˀiyi
5.39	fork	
5.391	tongs	laʔkel
5.41	meal (a)	xatˀe
5.42	breakfast	
5.43	lunch	
5.44	dinner	
5.45	supper	
5.46	peel	ahče
5.47	sieve, strain	meʔ
5.48	scrape	kˀarye; xàʔm
5.49	stir, mix	
5.51	bread	
5.53	dough	
5.54	knead	
5.55	meal, flour	
5.56	crush, grind	xohketˀè
5.57	mill	
5.58	mortar	k-tˀewn
5.59	pestle	čèʔmiʔn
5.61	meat	yèpr
5.63	sausage	xam
5.64	soup, broth	
5.65	vegetables	
5.66	bean	
5.7	potato	
5.71	fruit	
5.712	bunch	
5.75	fig	
5.76	grape	
5.77	nut	
5.78	olive	
5.79	oil	k-òʔl
5.791	grease, fat	òʔl-n
5.81	salt	
5.82	pepper	
5.821	chili pepper	
5.84	honey	
5.85	sugar	
5.86	milk (noun)	
5.87	milk (vb)	
5.88	cheese	
5.89	butter	
5.9	beverage, drink	
5.91	mead	
5.92	wine	
5.93	beer	
5.94	fermented drink	kòšḳr
5.97	egg	èl
5.971	egg yolk	ʔèhn
6.11	put on (clothes)	àṣ-ketˀè
6.12	clothing, clothes	ʔòli
6.13	tailor	
6.21	cloth	
6.22	wool	pax
6.23	linen, flax	
6.24	cotton	
6.25	silk	
6.27	felt	
6.28	fur	hòl
6.29	leather	hòl; soʔ
6.31	spin	
6.32	spindle	
6.33	weave	
6.34	loom	
6.35	sew	ʔo
6.36	needle	moʔ
6.37	awl	
6.38	thread	yux
6.39	dye	
6.41	cloak	ʔòli
6.411	poncho	
6.42	woman's dress	
6.43	coat	
6.44	shirt	
6.45	collar	
6.46	skirt	kòy h-atˀn
6.461	grass-skirt	--
6.48	trousers	
6.49	stocking, sock	
6.51	shoe	xamniʔ
6.52	boot	
6.54	shoemaker, cobbler	
6.55	hat, cap	melàn
6.57	belt, girdle	pˀaʔten; wahtenn
6.58	glove	
6.59	veil	
6.61	pocket	
6.62	button	
6.63	pin	
6.71	ornament, adornment	
6.72	jewel	
6.73	ring (for finger)	
6.74	bracelet	čehmx; čeḳool
6.75	necklace	ḳˀòhtˀ
6.76	bead	
6.77	earring	
6.78	headband, headdress	ḳˀ-è-òčeln; poʔr
6.79	tattoo	
6.81	handkerchief, rag	
6.82	towel	
6.91	comb	ʔomčèn
6.92	brush	
6.921	braid	ʔo
6.93	razor	
6.94	ointment	at-mètˀè
6.95	soap	
6.96	mirror	
7.11	dwell, live	tˀaspe
7.12	house	kawi
7.13	hut	
7.131	garden-house	
7.14	tent	
7.15	yard, court	
7.16	men's house	
7.17	cookhouse	
7.18	meeting house	haʔynn
7.21	room	
7.22	door, gate	
7.221	doorpost, jamb	
7.23	lock (noun)	
7.231	latch, door-bolt	
7.24	key	
7.25	window	
7.26	floor	wòhwmen
7.27	wall	
7.31	fireplace	
7.32	stove	
7.33	chimney	
7.37	ladder	
7.42	bed	xèn
7.421	pillow	ḳˀoʔmen en
7.422	blanket	ʔòli
7.43	chair	
7.44	table	
7.45	lamp, torch	šèu-tˀ
7.46	candle	
7.47	shelf	
7.48	trough	
7.51	roof	tˀahy
7.52	thatch	
7.53	ridgepole	
7.54	rafter	
7.55	beam	
7.56	post, pole	elenn
7.57	board	x-è-èpˀn
7.58	arch	
7.61	mason	
7.62	brick	
7.63	mortar	
7.64	adobe	
8.11	farmer	
8.12	field (for cultivation)	
8.13	garden	
8.15	cultivate, till	
8.16	fence	
8.17	ditch	yeʔri; ṣeʔtl
8.21	plow	
8.212	furrow	
8.22	dig	
8.23	spade	
8.24	shovel	
8.25	hoe	
8.26	fork	
8.27	rake	
8.31	sow	
8.311	seed	
8.32	mow, reap	ṣ-ḳˀòhtè
8.33	sickle, scythe	
8.34	thresh	
8.35	threshing-floor	
8.41	crop, harvest	
8.42	grain (barley, oats etc)	tàhyuʔ
8.43	wheat	
8.44	barley	
8.45	rye	
8.46	oats	
8.47	maize, corn	
8.48	rice	
8.51	grass	xòšl
8.52	hay	
8.53	plant (noun)	
8.531	plant (vb)	
8.54	root	hari
8.55	branch	ḳˀèl
8.56	leaf	ḳˀèl
8.57	flower	
8.6	tree	winči
8.61	oak	
8.62	beech	kyènyuwn
8.63	birch	
8.64	pine	
8.65	fir	
8.66	acorn	
8.67	vine	
8.68	tobacco	
8.69	smoke (tobacco)	
8.691	pipe	
8.72	tree stump	ʔoṣtaʔy
8.73	tree trunk	winči ò
8.74	forked branch	ḳʔàṣ
8.75	bark	šèu-tˀ
8.76	sap	kòšḳr
8.81	palm tree	
8.82	coconut	
8.83	citrus fruit	
8.84	banana tree	
8.85	banyan	--
8.91	sweet potato	
8.912	yam	
8.92	tapioca, manioc, cassava	
8.93	gourd	
8.931	pumpkin, squash	
8.94	bamboo	
8.941	sugar cane	
8.96	fish poison (root)	
8.97	nettle	
8.98	mushroom	tehr; wòh; pòʔtàn; k-yohkenn
9.11	do, make	èhḳe; m-yèl
9.12	work	ḳàr èhḳe
9.14	bend	ʔečer
9.15	fold	m-ʔotè
9.16	tie, bind	atˀe
9.161	untie	
