entry_id	trans_english	Araona_Phonemic
4.205	forehead	maedada
4.207	jaw	zawi
4.208	cheek	
4.209	chin	
4.21	eye	e-toa
4.212	eyebrow	toa-bei
4.213	eyelid	toa-kʷekʷe biki
4.214	eyelash	toa-kʷekʷe iɲa
4.215	blink	labi
4.22	ear	e-iza-ha
4.221	earlobe	
4.222	earwax	
4.23	nose	ewi
4.231	nostril	
4.232	mucus (nasal)	wizi
4.24	mouth	kʷac̷a
4.241	beak	e-kʷe
4.25	lip	kʷekʷe
4.26	tongue	e-ana
4.27	tooth	e-c̷e
4.271	gums	kʷe-ono
4.272	molartooth	e-amaha
4.28	neck	nala
4.281	nape of neck	tiado
4.29	throat	
4.3	shoulder	bata; ebe-
4.301	shoulderblade	bata-sepe
4.302	collarbone	
4.31	arm	ebai
4.312	armpit	nokʷizi
4.32	elbow	bac̷o
4.321	wrist	me-bahatibo
4.33	hand	e-me
4.331	palm of hand	me-takʷa
4.34	finger	me-ac̷a
4.342	thumb	me-šokʷe
4.344	fingernail	me-tezi
4.345	claw	
4.35	leg	tiǰada; eta
4.351	thigh	wisoi-ono; hec̷i
4.352	calf of leg	
4.36	knee	eadai; madaha
4.37	foot	wac̷i
4.371	ankle	tomihaha
4.372	heel	
4.374	footprint	padi
4.38	toe	wac̷i-ac̷a
4.392	wing	naba-i
4.393	feather	e-iɲa
4.4	chest	emi; c̷edo
4.41	breast (of woman)	ac̷o
4.412	nipple, teat	ac̷o
4.42	udder	
4.43	navel	c̷omoto
4.44	heart	mosoho
4.441	lung	mosozata
4.45	liver	takʷa
4.451	kidney	pehaha
4.452	spleen	
4.46	stomach	ese; hememe-i
4.461	intestines, guts	c̷ama
4.462	waist	
4.463	hip	
4.464	buttocks	mani; moto
4.47	womb	hanana-me-i
4.49	testicle	eha
4.492	penis	eti
4.51	breathe, breath	hana-miki
4.52	yawn, gape	kʷac̷a-wati
4.521	hiccough	c̷odo
4.53	cough	oto
4.54	sneeze	tizo
4.55	perspire	welolo
4.56	spit	kʷedi
4.57	vomit	bataiyo
4.58	bite	lao; c̷oi
4.59	lick	c̷eo
4.591	dribble	
4.61	sleep	tawi
4.612	snore	
4.62	dream	tawi-ba
4.63	wake up	ize
4.64	break wind	
4.65	urinate	wi
4.66	defecate	domi
4.67	have sexual intercourse	loleti
4.68	shiver	liati
4.69	bathe	nawi
4.71	beget (of father)	
4.72	born (to be)	haiǰa-owe
4.73	pregnant	močačo bade
4.732	conceive	
4.74	live, living, life	ize; neti; c̷eiɲeba
4.75	die, dead	mano
4.751	drowned	wiǰi
4.76	kill	iše
4.77	corpse	
4.78	bury (the dead)	papa
4.79	grave, tomb	mec̷i
4.81	strong, mighty, powerful	abeise; ahohi
4.82	weak	anizomawe
4.83	well, health	hai; hai-we; hai-ǰa
4.84	sick, sickness	neda; mikata
4.841	fever	
4.842	goiter	
4.843	cold (catarrh)	
4.85	wound, sore	
4.852	bruise	
4.853	swelling	c̷ope; c̷opolo
4.854	itch	atai
4.855	blister	pololoa; toti
4.856	boil (noun)	lokʷakʷa
4.857	pus	boho
4.858	scar	piwiwihi; c̷ihi
4.86	cure, heal	apoakata
4.87	physician	
4.88	medicine, drug	
4.89	poison	masa-masa-iɲa
4.91	tired, weary	ali; asawa
4.912	rest	hanawa
4.92	lazy	a-oli; ašoho
4.93	bald	eodi
4.94	lame	wede wede
4.95	deaf	iza-tobo
4.96	mute	
4.97	blind	
4.98	intoxicated	
4.99	naked, bare	
5.11	eat	di; didia
5.12	food	hana
5.121	cooked	hiɲa
5.122	raw	sawawe
5.123	ripe	a-hawa-hawa
5.124	green, unripe	zowiwi
5.125	rotten	iwi; oli; c̷oto
5.13	drink	izi; laka
5.14	hunger	aiǰihae; amahoho
5.141	famine	a-dia-lili
5.15	thirst	haizikihae
5.16	suck	bibi
5.18	chew	mia
5.181	swallow	laka
5.19	choke	wiǰi
5.21	cook	hiɲa; sapa
5.22	boil (vb)	lokʷakʷa
5.23	roast, fry	kʷawi
5.24	bake	
5.25	oven	
5.26	pot, cooking vessel	ho-towaha; towaha
5.27	kettle	
5.28	pan	
5.31	dish	
5.32	plate	sepe
5.33	bowl	
5.34	pitcher, jug	mato
5.35	cup, drinking vessel	c̷ewai; e-mei
5.36	saucer	
5.37	spoon	medihi; pičiloe
5.38	knife	[kʷišilo]
5.39	fork	
5.391	tongs	
5.41	meal (a)	
5.42	breakfast	
5.43	lunch	
5.44	dinner	
5.45	supper	
5.46	peel	silo; oha
5.47	sieve, strain	dakʷa; ic̷a
5.48	scrape	dede; zeo
5.49	stir, mix	walo-walo
5.51	bread	
5.53	dough	
5.54	knead	poši; teli
5.55	meal, flour	awoc̷a
5.56	crush, grind	dodo; semi-semi-a
5.57	mill	dodo-i
5.58	mortar	
5.59	pestle	mawic̷aha (?)
5.61	meat	e-ami
5.63	sausage	--
5.64	soup, broth	kʷae-sapa; c̷owaha
5.65	vegetables	
5.66	bean	
5.7	potato	ešoa
5.71	fruit	haha
5.712	bunch	c̷ae
5.75	fig	--
5.76	grape	--
5.77	nut	
5.78	olive	--
5.79	oil	
5.791	grease, fat	e-c̷ei
5.81	salt	--
5.82	pepper	--
5.821	chili pepper	bizo
5.84	honey	waha
5.85	sugar	
5.86	milk (noun)	soso-na
5.87	milk (vb)	
5.88	cheese	--
5.89	butter	--
5.9	beverage, drink	ena; namia-izi
5.91	mead	
5.92	wine	--
5.93	beer	
5.94	fermented drink	hahotana
5.97	egg	eha; walipa-ha
5.971	egg yolk	
6.11	put on (clothes)	haiba
6.12	clothing, clothes	haiba-i; maša
6.13	tailor	--
6.21	cloth	maša; maha
6.22	wool	
6.23	linen, flax	--
6.24	cotton	wapehe
6.25	silk	--
6.27	felt	--
6.28	fur	biki
6.29	leather	biki
6.31	spin	
6.32	spindle	tahaha
6.33	weave	kʷai, lewa
6.34	loom	
6.35	sew	likʷi
6.36	needle	šopili
6.37	awl	
6.38	thread	mahi
6.39	dye	
6.41	cloak	--
6.411	poncho	
6.42	woman's dress	maaposa; noka
6.43	coat	--
6.44	shirt	ziki benepo maša
6.45	collar	nala
6.46	skirt	maaposa, noka
6.461	grass-skirt	--
6.48	trousers	eta benepo maša
6.49	stocking, sock	wac̷i-hozoi
6.51	shoe	wac̷i-hozoi
6.52	boot	
6.54	shoemaker, cobbler	--
6.55	hat, cap	sobelele
6.57	belt, girdle	telihi; timaihi
6.58	glove	--
6.59	veil	--
6.61	pocket	
6.62	button	
6.63	pin	noloi
6.71	ornament, adornment	tasasa
6.72	jewel	--
6.73	ring (for finger)	kʷaloloihi
6.74	bracelet	
6.75	necklace	iɲe
6.76	bead	
6.77	earring	
6.78	headband, headdress	
6.79	tattoo	
6.81	handkerchief, rag	
6.82	towel	
6.91	comb	sopa
6.92	brush	zakʷai (?)
6.921	braid	
6.93	razor	
6.94	ointment	
6.95	soap	
6.96	mirror	šama-bai
7.11	dwell, live	izi; neti; c̷eiɲeba
7.12	house	e-tae
7.13	hut	e-tawi-ke
7.131	garden-house	
7.14	tent	--
7.15	yard, court	c̷ekʷe
7.16	men's house	
7.17	cookhouse	
7.18	meeting house	
7.21	room	
7.22	door, gate	c̷ekʷe tomo-i
7.221	doorpost, jamb	
7.23	lock (noun)	
7.231	latch, door-bolt	
7.24	key	
7.25	window	lala
7.26	floor	
7.27	wall	pene
7.31	fireplace	
7.32	stove	
7.33	chimney	
7.37	ladder	
7.42	bed	e-hai
7.421	pillow	šoa-wana-i
7.422	blanket	donoi
7.43	chair	e-ani-hi
7.44	table	
7.45	lamp, torch	ode
7.46	candle	
7.47	shelf	
7.48	trough	aničada
7.51	roof	wana
7.52	thatch	
7.53	ridgepole	e-tae mawa
7.54	rafter	
7.55	beam	
7.56	post, pole	hec̷itone; tizazai
7.57	board	
7.58	arch	--
7.61	mason	--
7.62	brick	--
7.63	mortar	--
7.64	adobe	--
8.11	farmer	
8.12	field (for cultivation)	zei; tehe
8.13	garden	
8.15	cultivate, till	hana
8.16	fence	
8.17	ditch	sipia
8.21	plow	
8.212	furrow	
8.22	dig	loe
8.23	spade	
8.24	shovel	
8.25	hoe	
8.26	fork	tašoi, c̷ewe
8.27	rake	bele
8.31	sow	
8.311	seed	haha
8.32	mow, reap	
8.33	sickle, scythe	--
8.34	thresh	
8.35	threshing-floor	--
8.41	crop, harvest	lalo; hiho
8.42	grain (barley, oats etc)	ec̷e
8.43	wheat	
8.44	barley	--
8.45	rye	--
8.46	oats	--
8.47	maize, corn	zia
8.48	rice	[aloso]
8.51	grass	noc̷a
8.52	hay	
8.53	plant (noun)	
8.531	plant (vb)	bana; zaza
8.54	root	akʷi-c̷aha; c̷aha
8.55	branch	akʷi-ša; eša
8.56	leaf	akʷi-iɲa
8.57	flower	ec̷a
8.6	tree	akʷi
8.61	oak	--
8.62	beech	--
8.63	birch	--
8.64	pine	--
8.65	fir	--
8.66	acorn	--
8.67	vine	hono
8.68	tobacco	
8.69	smoke (tobacco)	
8.691	pipe	
8.72	tree stump	
8.73	tree trunk	akʷi-šokʷe
8.74	forked branch	tašoi
8.75	bark	akʷi-biki bewe; ehi
8.76	sap	madi; wiɲi
8.81	palm tree	
8.82	coconut	--
8.83	citrus fruit	
8.84	banana tree	naha
8.85	banyan	--
8.91	sweet potato	halili
8.912	yam	
8.92	tapioca, manioc, cassava	kʷawe-a
8.93	gourd	
8.931	pumpkin, squash	hemi
8.94	bamboo	
8.941	sugar cane	oši
8.96	fish poison (root)	ac̷a; masa-masa-iɲa
8.97	nettle	
8.98	mushroom	taze
9.11	do, make	a; imea; me; po-
9.12	work	modo
9.14	bend	badodoa, wac̷oc̷oa
9.15	fold	honenea; tahaha
9.16	tie, bind	ihi
9.161	untie	piso; a-laka-laka; c̷ona
9.18	chain	sičo (?)
9.19	rope, cord	bado; misa
9.192	knot (noun)	lopo, pec̷e
9.21	strike (hit, beat)	iše; lawia
9.211	pound with fist	kʷelihi
9.22	cut	hikʷi; sasa; hala/laha
9.221	cut down	kʷe; lae
9.222	chop, hew	
9.223	stab	šoto
9.23	knife	[kʷišilo]
9.24	scissors, shears	[tišila]
9.25	ax	baha
9.251	adze	
9.26	break	lae; noi
9.261	broken	
9.27	split	noi; tozo; sala
9.28	tear	zio, lema, lao
9.29	flay, skin	
9.31	rub, wipe	kʷihi
9.32	stretch	dela
9.33	pull	lekʷekʷe-a
9.34	spread out	
9.341	hang up	bade-a
9.342	press	
9.343	squeeze, wring	tedi; solo
9.35	pour	zoya
9.36	wash	lokʷa
9.37	sweep	bele; c̷ic̷i
9.38	broom	bobo-i
9.422	tool	
9.43	carpenter	--
9.44	build	a, imea, me, po
9.46	bore	mewe; mewe-ana
9.461	hollow out	mewe; mewe-ana
9.48	saw	keločo
9.49	hammer	tomo
9.5	nail	tata-i
9.56	glue	aliba
9.6	smith, blacksmith	--
9.61	forge	--
9.62	anvil	--
9.63	cast (metals)	--
9.64	gold	
9.65	silver	
9.66	copper, bronze	--
9.67	iron	--
9.68	lead (noun)	--
9.69	tin, tinplate	
9.71	potter	
9.72	mold (clay etc)	
9.73	clay	loto; mahi
9.74	glass	
9.75	weave, plait	kʷai
9.76	basket	kʷaba, c̷ota, ziki
9.77	mat	zipe-i
9.771	rug	--
9.78	netbag	lobiahi
9.79	fan (noun)	ewai
9.791	fan (vb)	lepe
9.81	carve	
9.82	sculptor	--
9.83	statue	--
9.84	chisel	--
9.88	paint (noun)	
9.89	paint (vb)	pepa
10.11	move	liya-liya
10.12	turn over	bale-bale eatani
10.13	turn around	balele-a
10.14	wind, wrap	dono
10.15	roll	haha; pana
10.16	drop (vb)	
10.17	twist	podo
10.21	rise	ani-c̷oa; doc̷oa-ti
10.22	raise, lift	doc̷oa
10.23	fall	bisa; pai
10.24	drip	wi; sololo
10.25	throw	wanabotea, iša, iša-botea, ha
10.252	catch (ball)	iɲa
10.26	shake	lia; toka
10.32	flow	
10.33	sink	biǰiloa; mawe-anai
10.34	float	beza; zata
10.35	swim	waoti
10.351	dive	
10.352	splash	
10.36	sail (vb)	
10.37	fly (vb)	kʷabec̷a
10.38	blow	wo; lepe
10.41	creep, crawl	lelo
10.412	kneel	toloanini; toloneti
10.413	crouch	šepeha
10.42	slide, slip	bisa; hewi-šana
10.43	jump, leap	bičena
10.431	kick	
10.44	dance	
10.45	walk	ahe
10.451	limp	wede wede
10.46	run	hododo
10.47	go	po; po-na
10.471	go up	po-c̷oa
10.472	climb	tenaikana
10.473	go down	po-bote
10.474	go out	po-haena
10.48	come	pobe-a
10.481	come back	baleweti
10.49	go away, depart	beo
10.491	disappear	wei
10.51	flee	ana
10.52	follow	ti-ana
10.53	pursue	kʷade
10.55	reach, arrive	kʷaiɲati
10.56	approach	
10.57	enter	nobi
10.61	carry (bear)	dohaena
10.612	carry-in-hand	doho
10.613	carry-on-shoulder	mapa
10.614	carry-on-head	
10.615	carry-underarm	šola
10.62	bring	heti; dobe-a
10.63	send	beičowiki; ilo
10.64	lead (vb)	doho-i
10.65	drive	
10.66	ride	
10.67	push, shove	he-anawiki
10.71	road	dizi
10.72	path	dizi
10.74	bridge	loene; wele
10.75	carriage, wagon, cart	lokʷikʷihi
10.76	wheel	
10.77	axle	
10.78	yoke	
10.81	ship	--
10.83	boat	
10.831	canoe	kanawa
10.832	outrigger	--
10.84	raft	pele-i
10.85	oar	walo-i
10.851	paddle (noun)	walo-i
10.852	row (vb)	walo; walo-walo
10.86	rudder	--
10.87	mast	--
10.88	sail (noun)	--
10.89	anchor	--
10.91	harbor, port	
10.92	land (vb)	
11.11	have	
11.12	own, possess	mec̷e
11.13	take	hemi
11.14	seize, grasp	iɲa
11.15	hold	isea, toaba (?)
11.16	get, obtain	
11.17	keep, retain	isea; toaba
11.18	thing	ai-kana
11.21	give	ti; sihi
11.22	give back	baleweti
11.24	preserve, look after	
11.25	save, rescue	
11.27	destroy	
11.28	harm, injure, damage	tibone
11.31	seek, look for	c̷a, c̷anati
11.32	find	c̷o
11.33	lose	woya; hoya
11.34	release, let go	
11.43	money	šowae-hi
11.44	coin	
11.51	rich	
11.52	poor	
11.53	beggar	
11.54	avaricious, stingy	a-iziɲa; anawe
11.61	lend	
11.62	borrow	
11.63	owe	
11.64	debt	
11.65	pay (vb)	
11.66	account, reckoning	
11.69	tax, tribute	
11.77	hire	
11.78	wages	
11.79	earn	
11.81	buy	kʷaebaha, šowaene
11.82	sell	
11.83	trade, barter	
11.84	merchant	
11.85	market (place)	
11.86	store, shop	
11.87	price	
11.88	dear (costly, expensive)	abalimi, aliso, a-abalipi
11.89	cheap	
11.91	share (distribute)	
11.92	weigh	abikʷe
12.1	after	-dada, -hao
12.11	behind	bebakʷa bene
12.2	beside	biša, dawewe, kʷata, batadao, peho, šipa
12.3	down, below	tipao; tipae
12.4	before	kʷene-
12.41	front	-dea
12.5	inside, in	emeo; meo
12.6	outside	-na; wiki
12.7	under	tipao; tipae
12.8	up, above	bakʷeo; mawa
12.11	place	zei; lele
12.12	put	iša; iša-bote-a
12.13	sit	ani
12.14	lie down	ha-sisa; ha-wana
12.15	stand	neti
12.16	remain, stay	ani
12.17	remains, left overs	hepe
12.21	collect, gather	šodo; bele, zaboboa, pele, bodoa
12.212	pick up	
12.213	pile up	lada; lolo-a
12.22	join, unite	tabo; pele; ada
12.23	separate	zilo; meiya
12.232	divide	
12.24	open	eotata; silo
12.25	shut, close	teli; dilo-ti
12.26	cover	dilo; tomo
12.27	hide, conceal	lobo-ti; sipa
12.31	high	a-ato, abao
12.32	low	babataso, tipao
12.33	top	bi(y)o; wizaboto
12.34	bottom	babataso, tipao
12.35	end	pa; pa-ezae
12.352	pointed	a-wiso-wiso
12.353	edge	ebeiye; laihihiye
12.36	side	bene; pehe
12.37	middle, center	mioso
12.41	right (side)	me-anai bene
12.42	left (side)	zania bene
12.43	near (adv)	hakʷepati, c̷awa
12.44	far (adv)	okʷeda; aokʷe
12.45	east	na-kʷaca beni
12.46	west	mata-bene
12.47	north	nai bene
12.48	south	mala bene
12.53	grow	hewa; esi
12.54	measure	topo
12.541	span, fathom	
12.55	large, big	haliǰa
12.56	small, little	lopo
12.57	long	abao; aokʷe
12.58	tall	a-ato; a-bao
12.59	short	a-poko-poko
12.61	wide, broad	wisoi-ono-kata
12.62	narrow	kʷiwio
12.63	thick (in dimension)	apamotihi
12.65	thin (in dimension)	lasa-lasa
12.67	deep	adoe
12.68	shallow	
12.71	flat	a-pac̷a-pac̷a; pešošoihi
12.73	straight	apia; ateli, piǰa
12.74	crooked	a-wac̷o-wac̷o, ano-ano-a, atoli
12.75	hook	tašoi; c̷ewe
12.76	corner	sokaha
12.77	cross	
12.78	square	
12.81	round	kʷalolo; haha-haha
12.82	circle	kʷalolo
12.83	sphere, ball	haha-haha; pelolo
12.84	line	
12.85	hole	talale
12.92	like, similar	batawe; batame
12.93	change	šowaene, peati
13.0	zero, nothing	maesa; mikata
13.1	one	peada; peada-we
13.2	two	beta; beta-kata
13.3	three	kimiša
13.4	four	wac̷eda wac̷eda
13.5	five	--
13.6	six	--
13.7	seven	--
13.8	eight	--
13.9	nine	--
13.10	ten	--
13.101	eleven	--
13.102	twelve	--
13.103	fifteen	--
13.104	twenty	--
13.105	hundred	--
13.106	thousand	--
13.107	count	topo
13.14	every, all	babaowe
13.15	much, many	apamo, kʷeme
13.16	more	a-pamo; bio
13.17	little (quantity), few	beta; zeiye
13.18	enough	daokʷawe
13.181	some	ai; zeiyo
13.19	multitude, crowd	zalaneti
13.21	full	hehe-a; mata
13.22	empty	mehewe
13.23	part, piece	lihi-we; pezo
13.24	half	
13.33	alone, only	bedaokʷa
13.34	first	-bec̷ota
13.35	last	mata-kata
13.36	second	
13.37	pair	dec̷e
13.38	two times	
13.42	third	
13.44	three times	
14.11	time	zei; bepoa
14.12	age	
14.13	new	šakʷa; -nana
14.14	young	asemimihi; -nana
14.15	old	esi, poisa
14.16	early	
14.17	late	apona bene; ec̷iawe
14.18	now	bedada
14.19	immediately	ec̷ia-ha; nahac̷o
14.21	swift, fast, quick	abec̷o; aleo
14.22	slow	a-boze-boze
14.23	hasten, hurry	-poda
14.24	retard, delay	
14.25	begin, beginning	-c̷ane
14.252	last, endure	hašatana
14.26	end (temporal)	haipiwe, šamakana
14.27	finish	mic̷ičana, poeti
14.28	cease, stop	mi; mic̷ičana
14.29	ready	
14.31	always	bediwe; dipapowe
14.32	often	
14.33	sometimes	pahac̷io
14.331	soon	bewewe, beo
14.332	long-time (for a)	ac̷ono; c̷ono-da, mate
14.34	never	
14.35	again	ǰa-iša; iša
14.41	day	c̷eiɲe
14.42	night	sisa
14.43	dawn	-wena; maheheti
14.44	morning	sisa-ewe; weno sisa-ewe
14.45	noon, midday	mawaokatac̷io
14.451	afternoon	apo-na bene; ec̷iawe
14.46	evening	apo-na
14.47	today	haeda
14.48	tomorrow	-wena, weno
14.481	day-after-tomorrow	
14.49	yesterday	we-c̷eiɲe-o
14.491	day-before-yesterday	
14.51	hour	[ola]; da babaowe
14.53	clock, timepiece	
14.61	week	
14.62	Sunday	--
14.63	Monday	--
14.64	Tuesday	--
14.65	Wednesday	--
14.66	Thursday	--
14.67	Friday	--
14.68	Saturday	--
14.71	month	
14.73	year	mala
14.74	winter	
14.75	spring	--
14.76	summer	
14.77	autumn	
14.78	season	malakata
15.21	smell (vb intrans)	hebe
15.212	sniff	-wanikata
15.22	smell (vb trans)	
15.25	fragrant, good smelling	aiwime
15.26	stinking, bad smelling	awani
15.31	taste	diba
15.35	sweet	abiča
15.36	salty	mehe
15.37	bitter	apac̷e
15.38	acid, sour	apoze
15.39	brackish	
15.41	hear	c̷abaha
15.42	listen	hiɲebaha; c̷abaha
15.44	sound, noise	apaza; poc̷otana
15.45	loud	
15.46	quiet, silence	
15.51	see	ba
15.52	look, look at	ba; kʷasi
15.55	show	kʷae
15.56	shine	
15.57	bright	ašolili; azeza
15.61	color	kʷele-kʷele
15.62	light (in color)	awiši, amae
15.63	dark (in color)	apopa, a-sewe
15.64	white	amae; apaha
15.65	black	sewa
15.66	red	asele
15.67	blue	azeza
15.68	green	sawa-lili; a-sawa-lili
15.69	yellow	a-hawa
15.71	touch	ic̷oba, poli; zabobo-a
15.712	pinch	noli
15.72	feel	habatime; nime; šodi
15.74	hard	tepe-tepe
15.75	soft	pena-pena; semihi
15.76	rough	zaka-zaka
15.77	smooth	pena-pena, semihi
15.78	sharp	akʷeo
15.79	blunt, dull	tobotana
15.81	heavy	a-bikʷe
15.82	light (in weight)	c̷ala
15.83	wet, damp	anaha
15.84	dry	azaha; kʷibi
15.85	hot	a-ašo, ašoda
15.851	warm	iyoti
15.86	cold	aboa
15.87	clean	awiši
15.88	dirty, soiled	azalo; boso
15.89	wrinkled	a-c̷ikʷi-c̷ikʷi
16.11	soul, spirit	nime
