entry_id	trans_english	Gününa_Küne_Phonemic
3.94	snail	
3.95	frog	kaxa yagɨgɨ
3.96	lizard	yamgawc̷ˀac̷
3.97	crocodile, alligator	yamgawčˀač (?)
3.98	turtle	pɨxa
4.11	body	y-ec̷ɨsɨ
4.12	skin, hide	alexlɨk
4.13	flesh	
4.14	hair (head)	axaɬ
4.142	beard	apɨlg-ɨṣ
4.144	body hair	axaɬ
4.145	pubic hair	gɨtɨk
4.146	dandruff	
4.15	blood	genaw
4.151	vein, artery	ačˀač (?)
4.16	bone	uxɨc̷
4.162	rib	anɬga
4.17	horn	axwalay
4.18	tail	
4.19	back	aʔc̷ˀɨx
4.191	spine	wɨc̷ɨx
4.2	head	y-aguxa
4.201	side of head, temple	agɨk
4.202	skull	
4.203	brain	awtugac̷ˀac̷
4.204	face	y-apɨk
4.205	forehead	y-a-kɨc̷-kɨc̷
4.207	jaw	agɨlgɨy
4.208	cheek	agɨlgɨy
4.209	chin	atɨkgawyɨx
4.21	eye	atetk
4.212	eyebrow	ya-ɬa-wɨč
4.213	eyelid	
4.214	eyelash	sɨm-sɨm
4.215	blink	
4.22	ear	y-ac̷ˀɨc̷ɨk
4.221	earlobe	
4.222	earwax	
4.23	nose	anɨč
4.231	nostril	
4.232	mucus (nasal)	y-a'ɬɨɬ; y-aɬɨɬɨ
4.24	mouth	y-a-pɨl-k
4.241	beak	anɨč
4.25	lip	y-a-pɨl-k
4.26	tongue	y-a-wɨn-k
4.27	tooth	y-axayɨ
4.271	gums	
4.272	molartooth	tagɨčɨ (?)
4.28	neck	y-axkwal
4.281	nape of neck	y-apkal (?)
4.29	throat	y-agɨxɨč
4.3	shoulder	abɨtɨ
4.301	shoulderblade	apɨl
4.302	collarbone	
4.31	arm	asgap (?)
4.312	armpit	takɨkɨ
4.32	elbow	ac̷ac̷ɨ
4.321	wrist	
4.33	hand	y-agaɬ
4.331	palm of hand	
4.34	finger	agaɬ
4.342	thumb	
4.344	fingernail	y-apaṣ
4.345	claw	ankɨy
4.35	leg	
4.351	thigh	y-apgɨt
4.352	calf of leg	apɨk
4.36	knee	atɨgɨm
4.37	foot	y-ac̷k; ac̷kɨ
4.371	ankle	
4.372	heel	aɬak
4.374	footprint	ac̷ˀaw
4.38	toe	axaʔnɨ
4.392	wing	axaʔnɨ
4.393	feather	axaɬ
4.4	chest	asgɨt
4.41	breast (of woman)	yawṣɨgɨ; awṣga
4.412	nipple, teat	y-awṣɨgɨ
4.42	udder	
4.43	navel	atuwu
4.44	heart	ac̷ˀaxuw
4.441	lung	akɬɨčɨ
4.45	liver	y-agɨn
4.451	kidney	
4.452	spleen	kɨkɨ
4.46	stomach	y-atˀač
4.461	intestines, guts	axačwu
4.462	waist	
4.463	hip	agɨtɨ
4.464	buttocks	anc̷ɨlka
4.47	womb	y-asgi
4.49	testicle	y-agɨc̷k
4.492	penis	y-awɨtk
4.51	breathe, breath	-sɨsɨ
4.52	yawn, gape	
4.521	hiccough	
4.53	cough	-c̷ˀaxwɨ
4.54	sneeze	-c̷ˀaxwɨ
4.55	perspire	-xɨm-xɨm-ɨ
4.56	spit	-kɨmtɨčɨ
4.57	vomit	
4.58	bite	-mc̷ɨc̷kɨ
4.59	lick	
4.591	dribble	
4.61	sleep	-pɬawɨ
4.612	snore	
4.62	dream	-magɨ-čɨ
4.63	wake up	-atɨnɨ
4.64	break wind	y-atɨx; -antɨxɨma
4.65	urinate	-c̷ɨɬc̷anɨ
4.66	defecate	yaɬwu
4.67	have sexual intercourse	-gɨl-nɨ
4.68	shiver	-myamɨ
4.69	bathe	
4.71	beget (of father)	-na-w-kawulɨ
4.72	born (to be)	-w-kawulɨ
4.73	pregnant	-gal-yɨ
4.732	conceive	-kawulɨ
4.74	live, living, life	-xaxčɨ
4.75	die, dead	-xkamɨ
4.751	drowned	
4.76	kill	-wbanɨ
4.77	corpse	
4.78	bury (the dead)	-m-c̷ɨmɨnɨ
4.79	grave, tomb	aṣtawulac̷
4.81	strong, mighty, powerful	akalc̷ɨ
4.82	weak	abac̷ɨ
4.83	well, health	xatkɨkɨ-mɨn
4.84	sick, sickness	kɨ-yɨc̷ˀa
4.841	fever	c̷ˀaxwu
4.842	goiter	
4.843	cold (catarrh)	c̷ˀaxwu
4.85	wound, sore	
4.852	bruise	
4.853	swelling	-ntawɨlnɨ
4.854	itch	yɨlxɨy
4.855	blister	
4.856	boil (noun)	kac̷al
4.857	pus	
4.858	scar	
4.86	cure, heal	-wʔanɨ
4.87	physician	kɨlɨmɨla-wɨč
4.88	medicine, drug	akɨc̷
4.89	poison	
4.91	tired, weary	-wsnɨ
4.912	rest	
4.92	lazy	
4.93	bald	sɨk-sɨk
4.94	lame	a-tɨgexe-k
4.95	deaf	ac̷ɨc̷k-aba
4.96	mute	apɨlk-aba
4.97	blind	atetk-aba
4.98	intoxicated	a-tkexe-k
4.99	naked, bare	sɨk-sɨk
5.11	eat	-kɨnɨ
5.12	food	ya-knɨ-k
5.121	cooked	xanɨ-k
5.122	raw	axaw
5.123	ripe	
5.124	green, unripe	
5.125	rotten	
5.13	drink	-guwɨ
5.14	hunger	-xgɨ
5.141	famine	
5.15	thirst	-mgɨ
5.16	suck	
5.18	chew	-ptac̷akɨ
5.181	swallow	-tɨtɨkanɨ
5.19	choke	
5.21	cook	-xmuwɨ
5.22	boil (vb)	-wɨčxɨc̷ɨ
5.23	roast, fry	-xmuwɨ
5.24	bake	
5.25	oven	
5.26	pot, cooking vessel	askɨm
5.27	kettle	ya-xnangɨlɨn-wič
5.28	pan	
5.31	dish	yamxɨl
5.32	plate	yamxɨl
5.33	bowl	
5.34	pitcher, jug	ya-gu-wɨč
5.35	cup, drinking vessel	
5.36	saucer	
5.37	spoon	tuwɨx
5.38	knife	payxen
5.39	fork	
5.391	tongs	
5.41	meal (a)	ya-knɨ-k
5.42	breakfast	yac̷ɨmgɨc̷ɨ
5.43	lunch	ya-knɨ-k
5.44	dinner	naka-knɨ-k
5.45	supper	
5.46	peel	-ṣc̷ayɨ
5.47	sieve, strain	
5.48	scrape	-wxɨc̷ɨ
5.49	stir, mix	
5.51	bread	tabɨn
5.53	dough	
5.54	knead	-w-tabɨnɨ
5.55	meal, flour	a-xwasčɨ-k
5.56	crush, grind	-amɨnčɨ; -anakatɨ
5.57	mill	
5.58	mortar	ya-xwasča-nɨč
5.59	pestle	tačkač
5.61	meat	pˀɨc̷wa
5.63	sausage	--
5.64	soup, broth	axɨč
5.65	vegetables	--
5.66	bean	
5.7	potato	yawkɨna
5.71	fruit	
5.712	bunch	
5.75	fig	--
5.76	grape	--
5.77	nut	
5.78	olive	--
5.79	oil	
5.791	grease, fat	iwank
5.81	salt	xɨčan
5.82	pepper	--
5.821	chili pepper	
5.84	honey	
5.85	sugar	a-paxɨ-k
5.86	milk (noun)	awṣga
5.87	milk (vb)	
5.88	cheese	--
5.89	butter	--
5.9	beverage, drink	
5.91	mead	--
5.92	wine	[lam]
5.93	beer	--
5.94	fermented drink	[lam]
5.97	egg	gɨgɨ
5.971	egg yolk	amc̷ˀɨnaxa
6.11	put on (clothes)	amkɨɬa
6.12	clothing, clothes	amkɨɬa
6.13	tailor	--
6.21	cloth	lelgɨ
6.22	wool	axaɬ
6.23	linen, flax	--
6.24	cotton	
6.25	silk	--
6.27	felt	--
6.28	fur	alexlɨk
6.29	leather	alexɨk
6.31	spin	-wxkɨ
6.32	spindle	yawxkuwuč
6.33	weave	-tkɨ
6.34	loom	kaɬwilča
6.35	sew	-tɨgɨ-c̷ɨ
6.36	needle	ya-tɨgɨc̷a-wɨč
6.37	awl	ya-tɨgɨc̷a-wɨč
6.38	thread	yawxk-ac̷
6.39	dye	
6.41	cloak	gɨčɨx
6.411	poncho	lɨc̷aw
6.42	woman's dress	ya-xkatka-wɨč
6.43	coat	--
6.44	shirt	aɬgapsɨta
6.45	collar	
6.46	skirt	
6.461	grass-skirt	--
6.48	trousers	
6.49	stocking, sock	
6.51	shoe	yagɨsa / yagɨsɨ (?)
6.52	boot	yagɨsɨ / yagɨsa (?)
6.54	shoemaker, cobbler	--
6.55	hat, cap	kɨxɨ
6.57	belt, girdle	akangɨs
6.58	glove	--
6.59	veil	--
6.61	pocket	--
6.62	button	
6.63	pin	yanamtagɨla
6.71	ornament, adornment	yaxkɨlta
6.72	jewel	--
6.73	ring (for finger)	
6.74	bracelet	
6.75	necklace	
6.76	bead	
6.77	earring	y-ac̷ˀɨc̷ɨk
6.78	headband, headdress	kac̷kɨk
6.79	tattoo	--
6.81	handkerchief, rag	
6.82	towel	
6.91	comb	yaxnɨlk
6.92	brush	
6.921	braid	-sɨtɨkanɨ (?)
6.93	razor	--
6.94	ointment	
6.95	soap	ampɨlkac̷ˀa-wɨč
6.96	mirror	ya-kɬu-wɨč
7.11	dwell, live	-mṣamɨlnɨ
7.12	house	axway
7.13	hut	
7.131	garden-house	
7.14	tent	axway
7.15	yard, court	
7.16	men's house	
7.17	cookhouse	
7.18	meeting house	
7.21	room	
7.22	door, gate	ya-spɨt-wɨč
7.221	doorpost, jamb	
7.23	lock (noun)	
7.231	latch, door-bolt	
7.24	key	
7.25	window	
7.26	floor	
7.27	wall	
7.31	fireplace	
7.32	stove	
7.33	chimney	
7.37	ladder	ya-gagtu-wɨč
7.42	bed	atɨgɨčac̷
7.421	pillow	
7.422	blanket	ayawkˀawxɨč
7.43	chair	ya-kɨmc̷ɨka-wɨč
7.44	table	
7.45	lamp, torch	kɨnakɬaxamal
7.46	candle	
7.47	shelf	
7.48	trough	
7.51	roof	
7.52	thatch	
7.53	ridgepole	yuxač
7.54	rafter	
7.55	beam	
7.56	post, pole	
7.57	board	
7.58	arch	
7.61	mason	
7.62	brick	
7.63	mortar	
7.64	adobe	
8.11	farmer	
8.12	field (for cultivation)	c̷amɨl
8.13	garden	
8.15	cultivate, till	
8.16	fence	[malal]
8.17	ditch	
8.21	plow	
8.212	furrow	
8.22	dig	
8.23	spade	
8.24	shovel	
8.25	hoe	yatkanuwuč (?)
8.26	fork	
8.27	rake	
8.31	sow	-wuc̷akc̷ɨ
8.311	seed	ya-wc̷akc̷a-wɨč
8.32	mow, reap	
8.33	sickle, scythe	
8.34	thresh	
8.35	threshing-floor	
8.41	crop, harvest	
8.42	grain (barley, oats etc)	
8.43	wheat	[kac̷ilawa]
8.44	barley	akṣɨṣ
8.45	rye	--
8.46	oats	--
8.47	maize, corn	gɨc̷el-a-pɨl-k
8.48	rice	
8.51	grass	yɨlɨ
8.52	hay	--
8.53	plant (noun)	
8.531	plant (vb)	
8.54	root	anam-c̷ɨc̷kɨ
8.55	branch	
8.56	leaf	ac̷ˀɨc̷kɨ
8.57	flower	sɨkɨt-kɨt
8.6	tree	ɨpuk
8.61	oak	
8.62	beech	--
8.63	birch	--
8.64	pine	čawxna
8.65	fir	--
8.66	acorn	
8.67	vine	
8.68	tobacco	yawc̷ɨ
8.69	smoke (tobacco)	-xnatɨ
8.691	pipe	ɨčwɨč
8.72	tree stump	
8.73	tree trunk	ɨstak
8.74	forked branch	
8.75	bark	pˀɨlc̷an
8.76	sap	makɨn
8.81	palm tree	
8.82	coconut	
8.83	citrus fruit	gaymɨn
8.84	banana tree	
8.85	banyan	--
8.91	sweet potato	yawkɨna
8.912	yam	
8.92	tapioca, manioc, cassava	
8.93	gourd	kˀɨlɨp
8.931	pumpkin, squash	
8.94	bamboo	selan
8.941	sugar cane	
8.96	fish poison (root)	
8.97	nettle	
8.98	mushroom	
9.11	do, make	-tɨkanɨ
9.12	work	-pkalɨxɨ
9.14	bend	
9.15	fold	
9.16	tie, bind	-xkac̷ɨ
9.161	untie	
9.18	chain	--
9.19	rope, cord	yalɨṣ
9.192	knot (noun)	awstulac̷ (?)
9.21	strike (hit, beat)	-gɨm-gɨm-kɨnɨ
9.211	pound with fist	
9.22	cut	-kɨmtɨsc̷ɨ
9.221	cut down	-kawkaktɨnɨ
9.222	chop, hew	-anxɨlnɨ
9.223	stab	-mxɨ
9.23	knife	payxen
9.24	scissors, shears	
9.25	ax	tawkɨ
9.251	adze	--
9.26	break	-pɨxɨ
9.261	broken	pɨxya; kčapɨx
9.27	split	
9.28	tear	-m-pɨx-c̷ɨ
9.29	flay, skin	-ṣc̷ayɨ
9.31	rub, wipe	-aṣɨnkac̷ɨ
9.32	stretch	
9.33	pull	
9.34	spread out	
9.341	hang up	-xtawɨ
9.342	press	
9.343	squeeze, wring	
9.35	pour	-wɨɬnɨ
9.36	wash	-paylaxanɨ
9.37	sweep	-psɨkaxɨ
9.38	broom	
9.422	tool	
9.43	carpenter	--
9.44	build	
9.46	bore	-xar̃-c̷ɨ
9.461	hollow out	
9.48	saw	yamtɨrscawɨč (?)
9.49	hammer	ya-gɨmgɨnkɨna-wɨč
9.5	nail	kxakɨn
9.56	glue	
9.6	smith, blacksmith	anɨtɨkanɨtɨn yaxwak
9.61	forge	--
9.62	anvil	--
9.63	cast (metals)	--
9.64	gold	yee (yeʔe ?)
9.65	silver	yaxwak a kɨlɨ
9.66	copper, bronze	--
9.67	iron	yaxwak
9.68	lead (noun)	te'ti
9.69	tin, tinplate	--
9.71	potter	
9.72	mold (clay etc)	
9.73	clay	čigaxa
9.74	glass	--
9.75	weave, plait	-atkɨ
9.76	basket	
9.77	mat	
9.771	rug	
9.78	netbag	
9.79	fan (noun)	
9.791	fan (vb)	
9.81	carve	
9.82	sculptor	--
9.83	statue	--
9.84	chisel	--
9.88	paint (noun)	ya-tˀaču-wɨč
9.89	paint (vb)	-w-tˀačɨ
10.11	move	
10.12	turn over	-anawkawɨxɨ
10.13	turn around	-akɬuwu
10.14	wind, wrap	-mkac̷kɨ (?)
10.15	roll	
10.16	drop (vb)	kɨc̷akakɬay
10.17	twist	
10.21	rise	-gaktɨ
10.22	raise, lift	
10.23	fall	-kawkayɨ
10.24	drip	
10.25	throw	-wkaknɨ
10.252	catch (ball)	-c̷kɨnɨ
10.26	shake	
10.32	flow	-xɨlnɨ
10.33	sink	
10.34	float	
10.35	swim	-wsaxɨ
10.351	dive	
10.352	splash	
10.36	sail (vb)	
10.37	fly (vb)	-pɨtɨ
10.38	blow	-pumc̷ɨkɨnɨ
10.41	creep, crawl	
10.412	kneel	
10.413	crouch	
10.42	slide, slip	
10.43	jump, leap	-pɨtɨ
10.431	kick	
10.44	dance	-leʔu
10.45	walk	-mpaxnɨ
10.451	limp	-tɨgɨxɨ
10.46	run	-nkɨnɨ
10.47	go	-kɬɨ
10.471	go up	-gaktɨ
10.472	climb	
10.473	go down	-katɨṣɨ
10.474	go out	-spɨtɨ
10.48	come	c̷awɨ
10.481	come back	-c̷aw-kɬuwu
10.49	go away, depart	-c̷ˀɨ
10.491	disappear	
10.51	flee	-c̷ˀɨ
10.52	follow	-ṣac̷ɨ
10.53	pursue	
10.55	reach, arrive	-ɬɨɬkɨnɨ
10.56	approach	-c̷kɨnɨ
10.57	enter	-xɨ
10.61	carry (bear)	-c̷ac̷ɨ
10.612	carry-in-hand	
10.613	carry-on-shoulder	-agexlɨ
10.614	carry-on-head	
10.615	carry-underarm	
10.62	bring	-tawɨ
10.63	send	-wtiṣki
10.64	lead (vb)	-asɨmc̷ac̷ɨ
10.65	drive	
10.66	ride	-akal-gɨč-gɨč
10.67	push, shove	-sgɨ
10.71	road	yɨpač
10.72	path	yɨpač
10.74	bridge	ya-katɨ-wuč
10.75	carriage, wagon, cart	[kar̃ita]
10.76	wheel	
10.77	axle	
10.78	yoke	
10.81	ship	--
10.83	boat	čɨs-čɨs
10.831	canoe	
10.832	outrigger	--
10.84	raft	
10.85	oar	
10.851	paddle (noun)	
10.852	row (vb)	
10.86	rudder	
10.87	mast	
10.88	sail (noun)	
10.89	anchor	--
10.91	harbor, port	
10.92	land (vb)	
11.11	have	
11.12	own, possess	
11.13	take	-c̷kɨnɨ
11.14	seize, grasp	-c̷kɨnɨ
11.15	hold	-c̷kɨnɨ
11.16	get, obtain	
11.17	keep, retain	
11.18	thing	yee
11.21	give	-tɨ
11.22	give back	
11.24	preserve, look after	
11.25	save, rescue	
11.27	destroy	-na-w-xar̃-kɨ-c̷ɨ
11.28	harm, injure, damage	-ampɨxčɨ
11.31	seek, look for	-nkasnɨ
11.32	find	-kalɨ
11.33	lose	-c̷wakɨ
11.34	release, let go	
11.43	money	
11.44	coin	yeʔe
11.51	rich	gamakya
11.52	poor	kayaxluwuk
11.53	beggar	-ačɨtɨkɨnɨ
11.54	avaricious, stingy	-gɨmɬaɬɨ
11.61	lend	-ntalɨ
11.62	borrow	
11.63	owe	
11.64	debt	
11.65	pay (vb)	-n-axmɨ
11.66	account, reckoning	
11.69	tax, tribute	
11.77	hire	
11.78	wages	
11.79	earn	-kamgexɨ
11.81	buy	-kɨmyanxɨ
11.82	sell	-xɨknac̷ɨ
11.83	trade, barter	
11.84	merchant	
11.85	market (place)	
11.86	store, shop	
11.87	price	
11.88	dear (costly, expensive)	
11.89	cheap	
11.91	share (distribute)	
11.92	weigh	
12.1	after	maɬ
12.11	behind	yec̷aw-xna
12.2	beside	
12.3	down, below	kakaṣ
12.4	before	c̷eyac̷
12.41	front	
12.5	inside, in	kakaṣ
12.6	outside	c̷amɨl-na
12.7	under	kakaṣ
12.8	up, above	awxɨ
12.11	place	
12.12	put	-tawɨlɨ
12.13	sit	-mṣɨ
12.14	lie down	-kawkalkɨ
12.15	stand	-ka-tɨnɨ
12.16	remain, stay	-mnɨ
12.17	remains, left overs	
12.21	collect, gather	-wxɨxɨnɨ
12.212	pick up	-wxɨxɨnɨ
12.213	pile up	-tac̷kɨnɨ
12.22	join, unite	-na-w-kˀawnɨ
12.23	separate	-lxɨlnɨ
12.232	divide	-apɨxɨ
12.24	open	-ptačɨ
12.25	shut, close	-wtaknɨ
12.26	cover	-wtaknɨ
12.27	hide, conceal	-wxgɨ
12.31	high	abaxay
12.32	low	atagɨ
12.33	top	axwu (?)
12.34	bottom	
12.35	end	axwu
12.352	pointed	axwu
12.353	edge	c̷ˀɨwac̷
12.36	side	
12.37	middle, center	ayay-xna
12.41	right (side)	watawk
12.42	left (side)	gɨc̷ɨc̷wal
12.43	near (adv)	kata
12.44	far (adv)	xɨkɨ
12.45	east	ga-xna
12.46	west	tɨs-na
12.47	north	kɨne-xna
12.48	south	i-xna
12.53	grow	-mkɨc̷ɨ
12.54	measure	
12.541	span, fathom	
12.55	large, big	dɨpɨt
12.56	small, little	gɨṣc̷ɨx
12.57	long	abaxay
12.58	tall	abaxay
12.59	short	atagɨ
12.61	wide, broad	bat
12.62	narrow	aṣečɨ
12.63	thick (in dimension)	pɨy-pɨy
12.65	thin (in dimension)	gɨs-gɨs
12.67	deep	kakaṣ
12.68	shallow	
12.71	flat	tulac̷
12.73	straight	
12.74	crooked	mɨxkamnɨk
12.75	hook	
12.76	corner	
12.77	cross	
12.78	square	
12.81	round	kal-kal
12.82	circle	
12.83	sphere, ball	kal-kal
12.84	line	
12.85	hole	xar̃-kya
12.92	like, similar	tɨsc̷akawc̷at
12.93	change	
13.0	zero, nothing	gɨn-kɨṣɨ
13.1	one	c̷uyɨ
13.2	two	pˀɨc
13.3	three	gɨč
13.4	four	[maʔlɨ]
13.5	five	tank
13.6	six	čɨman
13.7	seven	kac̷-pˀɨč
13.8	eight	[puṣa]
13.9	nine	c̷uu-ba
13.10	ten	c̷ˀamac̷k
13.101	eleven	c̷ˀamac̷k čuyɨ
13.102	twelve	c̷ˀamac̷k pˀɨč
13.103	fifteen	
13.104	twenty	pˀɨč c̷ˀamac̷k
13.105	hundred	[pataka]
13.106	thousand	[waranka]
13.107	count	-xnawgɨc̷ɨ
13.14	every, all	awawka
13.15	much, many	c̷ˀɨpɨ
13.16	more	katɨk
13.17	little (quantity), few	gɨṣc̷ɨx
13.18	enough	
13.181	some	
13.19	multitude, crowd	kanana
13.21	full	a-kubaɬɨ-k
13.22	empty	akxɨkxɨ
13.23	part, piece	
13.24	half	ayay-xna
13.33	alone, only	wuxka
13.34	first	c̷ˀeyac̷
13.35	last	
13.36	second	
13.37	pair	
13.38	two times	pˀɨč a ṣuwɨn
13.42	third	
13.44	three times	gɨč a ṣuwɨn
14.11	time	
14.12	age	
14.13	new	akamɨsna
14.14	young	kaʔya
14.15	old	pannɨ
14.16	early	
14.17	late	
14.18	now	wakam
14.19	immediately	gɨṣc̷ɨ-akɨk
14.21	swift, fast, quick	xal-xal
14.22	slow	gɨṣc̷ɨx-ka
14.23	hasten, hurry	-pyakɨlc̷ɨ (?)
14.24	retard, delay	
14.25	begin, beginning	
14.252	last, endure	axaxčɨ
14.26	end (temporal)	kɨc̷a-bayak
14.27	finish	-bayakɨ
14.28	cease, stop	
