entry_id	trans_english	Aymara_Phonemic
5.45	supper	manḳˀa
5.46	peel	silʸpˀira-ɲa
5.47	sieve, strain	susu-ɲa
5.48	scrape	kʰitʰu-ɲa
5.49	stir, mix	tʰikʰi-ɲa; čˀalʸḳʰu-ɲa
5.51	bread	tˀantˀa
5.53	dough	
5.54	knead	čapu-ɲa
5.55	meal, flour	xakˀu
5.56	crush, grind	silʸpˀxaɲa
5.57	mill	[mulinu]
5.58	mortar	
5.59	pestle	
5.61	meat	ayča
5.63	sausage	[salčiča]
5.64	soup, broth	luχru
5.65	vegetables	
5.66	bean	čˀiwa
5.7	potato	amḳa; čˀuḳi
5.71	fruit	muχsaaču
5.712	bunch	
5.75	fig	iwusa
5.76	grape	uwasa
5.77	nut	
5.78	olive	[asiytuna]
5.79	oil	[asiyti]
5.791	grease, fat	
5.81	salt	xayu
5.82	pepper	
5.821	chili pepper	waykˀa
5.84	honey	miskˀi
5.85	sugar	[asukara]
5.86	milk (noun)	milʸkˀi
5.87	milk (vb)	čˀawa-ɲa
5.88	cheese	[kisu]
5.89	butter	[mantika; mantikilʸa]
5.9	beverage, drink	uma-ɲa
5.91	mead	
5.92	wine	[winu]
5.93	beer	[sirwisa]
5.94	fermented drink	kˀusa
5.97	egg	kˀawna
5.971	egg yolk	kˀawna ḳˀilʸu
6.11	put on (clothes)	isisi-ɲa
6.12	clothing, clothes	isi
6.13	tailor	čˀukuri
6.21	cloth	[tila]
6.22	wool	tˀarwa
6.23	linen, flax	[linu]
6.24	cotton	ḳʰiya
6.25	silk	--
6.27	felt	--
6.28	fur	lipˀiči
6.29	leather	lipˀiči
6.31	spin	ḳapu-ɲa
6.32	spindle	ḳapu
6.33	weave	sawu-ɲa
6.34	loom	sawu-ɲa
6.35	sew	čˀuku-ɲa
6.36	needle	yawriḳalʸu
6.37	awl	xunu-ɲa
6.38	thread	čˀankʰa
6.39	dye	samača-ɲa
6.41	cloak	yaḳʰulʸa
6.411	poncho	punču
6.42	woman's dress	isi
6.43	coat	isi
6.44	shirt	isi
6.45	collar	kuylʸu
6.46	skirt	[pʰalta]
6.461	grass-skirt	--
6.48	trousers	[pantaluna]
6.49	stocking, sock	[kalsitina]
6.51	shoe	pˀulʸḳu
6.52	boot	[pʰutasa]
6.54	shoemaker, cobbler	
6.55	hat, cap	tanka
6.57	belt, girdle	lʸučˀu
6.58	glove	[wantisa]
6.59	veil	--
6.61	pocket	[wulsiku]
6.62	button	[wutuna]
6.63	pin	
6.71	ornament, adornment	kˀačača
6.72	jewel	
6.73	ring (for finger)	[surtixa]
6.74	bracelet	čipana
6.75	necklace	axuɲa
6.76	bead	walʸḳa
6.77	earring	[ariti]
6.78	headband, headdress	
6.79	tattoo	
6.81	handkerchief, rag	
6.82	towel	
6.91	comb	sanu
6.92	brush	
6.921	braid	kˀana-ɲa
6.93	razor	
6.94	ointment	ḳaḳunta-ɲa
6.95	soap	
6.96	mirror	lirpʰu
7.11	dwell, live	utxa-ɲa
7.12	house	uta
7.13	hut	čʰuxilʸa; tampu
7.131	garden-house	
7.14	tent	
7.15	yard, court	utaanḳa
7.16	men's house	
7.17	cookhouse	
7.18	meeting house	
7.21	room	
7.22	door, gate	punku
7.221	doorpost, jamb	
7.23	lock (noun)	
7.231	latch, door-bolt	
7.24	key	
7.25	window	tˀuχu
7.26	floor	uraḳi
7.27	wall	pirḳa
7.31	fireplace	ḳʰiri
7.32	stove	
7.33	chimney	
7.37	ladder	patilʸ-patilʸa
7.42	bed	ikiɲa; pataatˀi
7.421	pillow	čˀixmaɲa
7.422	blanket	ikiɲa
7.43	chair	ḳunuɲa
7.44	table	
7.45	lamp, torch	
7.46	candle	
7.47	shelf	
7.48	trough	lamana; pirki
7.51	roof	
7.52	thatch	wičʰu xičʰu
7.53	ridgepole	
7.54	rafter	lawa
7.55	beam	
7.56	post, pole	
7.57	board	
7.58	arch	
7.61	mason	
7.62	brick	
7.63	mortar	
7.64	adobe	[aruwi]
8.11	farmer	yapučiri
8.12	field (for cultivation)	yapu
8.13	garden	
8.15	cultivate, till	yapuča-ɲa
8.16	fence	uyu
8.17	ditch	larḳa
8.21	plow	ḳʰulʸi-ɲa
8.212	furrow	[suka]
8.22	dig	pʰatˀsu-ɲa
8.23	spade	[lampa]
8.24	shovel	
8.25	hoe	
8.26	fork	
8.27	rake	
8.31	sow	sata-ɲa
8.311	seed	xatʰa
8.32	mow, reap	yawi-ɲa
8.33	sickle, scythe	[xusi]
8.34	thresh	mučʰa-ɲa
8.35	threshing-floor	pˀiraɲa
8.41	crop, harvest	aptʰapi
8.42	grain (barley, oats etc)	
8.43	wheat	
8.44	barley	
8.45	rye	
8.46	oats	
8.47	maize, corn	tunḳu
8.48	rice	
8.51	grass	ḳura
8.52	hay	
8.53	plant (noun)	ali
8.531	plant (vb)	sata-ɲa
8.54	root	sapʰi
8.55	branch	laymi
8.56	leaf	lapʰi
8.57	flower	panḳara
8.6	tree	ḳuḳa
8.61	oak	
8.62	beech	
8.63	birch	
8.64	pine	
8.65	fir	
8.66	acorn	
8.67	vine	
8.68	tobacco	tʰuxsa-tʰuxsa
8.69	smoke (tobacco)	
8.691	pipe	
8.72	tree stump	
8.73	tree trunk	kˀulʸu
8.74	forked branch	pˀalʸḳa
8.75	bark	
8.76	sap	
8.81	palm tree	
8.82	coconut	
8.83	citrus fruit	
8.84	banana tree	puḳuta; [latanu]
8.85	banyan	--
8.91	sweet potato	
8.912	yam	
8.92	tapioca, manioc, cassava	yuka
8.93	gourd	
8.931	pumpkin, squash	
8.94	bamboo	suḳˀusa
8.941	sugar cane	
8.96	fish poison (root)	
8.97	nettle	itapalʸu
8.98	mushroom	sirkˀi
9.11	do, make	lura-ɲa
9.12	work	
9.14	bend	ḳˀiwi-ɲa
9.15	fold	ḳˀiwtˀa-ɲa
9.16	tie, bind	ɲačˀa-ɲa
9.161	untie	xarara-ɲa
9.18	chain	
9.19	rope, cord	wiska
9.192	knot (noun)	muḳu
9.21	strike (hit, beat)	liḳˀi-ɲa
9.211	pound with fist	čˀaku-ɲa
9.22	cut	kʰarxa-ɲa; kʰučxa-ɲa
9.221	cut down	liwnuḳa-ɲa
9.222	chop, hew	ḳˀalʸu-ɲa
9.223	stab	
9.23	knife	tumi
9.24	scissors, shears	
9.25	ax	[ača]
9.251	adze	
9.26	break	pˀaki-ɲa
9.261	broken	pˀakita
9.27	split	xalxa-ɲa
9.28	tear	čˀiyxa-ɲa
9.29	flay, skin	kʰarsu-ɲa; čˀiysu-ɲa
9.31	rub, wipe	ḳaḳu-ɲa
9.32	stretch	iḳatata-ɲa
9.33	pull	xiya-ɲa
9.34	spread out	wilʸitata-ɲa
9.341	hang up	warku-ɲa
9.342	press	ḳˀapʰi-ɲa
9.343	squeeze, wring	ḳˀaptʰapi-ɲa
9.35	pour	ḳˀuptʰapi-ɲa
9.36	wash	xari-ɲa
9.37	sweep	piča-ɲa
9.38	broom	pičaɲa
9.422	tool	
9.43	carpenter	
9.44	build	pirḳa-ɲa
9.46	bore	pˀiyanta-ɲa
9.461	hollow out	ḳaḳanta-ɲa
9.48	saw	
9.49	hammer	
9.5	nail	
9.56	glue	
9.6	smith, blacksmith	
9.61	forge	
9.62	anvil	
9.63	cast (metals)	ḳʰirḳtʰapiya-ɲa; ḳʰirḳʰiɲa
9.64	gold	ḳuri; čuḳi
9.65	silver	ḳulʸḳi
9.66	copper, bronze	kˀawsi
9.67	iron	
9.68	lead (noun)	malʸa
9.69	tin, tinplate	čayanta
9.71	potter	
9.72	mold (clay etc)	
9.73	clay	ɲiwkˀi; lʸinkˀi
9.74	glass	ḳʰispi
9.75	weave, plait	sawa-ɲa; pˀita-ɲa
9.76	basket	sapʰi
9.77	mat	siχi
9.771	rug	xantˀaku
9.78	netbag	lʸika; saḳaɲa
9.79	fan (noun)	
9.791	fan (vb)	
9.81	carve	
9.82	sculptor	
9.83	statue	tansa
9.84	chisel	
9.88	paint (noun)	samači
9.89	paint (vb)	samača-ɲa
10.11	move	unχta-ɲa
10.12	turn over	xaḳukipa-ɲa
10.13	turn around	xaḳukipa-ɲa
10.14	wind, wrap	lʸawu-ɲa
10.15	roll	ḳurumi-ɲa
10.16	drop (vb)	
10.17	twist	milʸkˀu-ɲa; kˀantʰi-ɲa
10.21	rise	makata-ɲa
10.22	raise, lift	apta-ɲa
10.23	fall	tinku-ɲa
10.24	drip	čˀaḳa-ɲa; čˀačˀa-ɲa
10.25	throw	warta-ɲa
10.252	catch (ball)	katu-ɲa
10.26	shake	tʰala-ɲa
10.32	flow	xala-ɲa
10.33	sink	xununta-ɲa; čʰuḳu-ɲa
10.34	float	tuyu-ɲa
10.35	swim	tuyu-ɲa
10.351	dive	
10.352	splash	čˀitiḳkata-ɲa
10.36	sail (vb)	
10.37	fly (vb)	wiru-ɲa
10.38	blow	pʰusa-ɲa
10.41	creep, crawl	kumptaḳa-ɲa
10.412	kneel	kilʸtˀasi-ɲa
10.413	crouch	altˀa-ɲa
10.42	slide, slip	lʸustˀta-ɲa
10.43	jump, leap	tʰuḳta-ɲa
10.431	kick	taki-ɲa
10.44	dance	tʰuḳu-ɲa
10.45	walk	sara-ɲa; čilʸḳi-ɲa
10.451	limp	wiχči-ɲa
10.46	run	tˀixu-ɲa
10.47	go	sara-ɲa
10.471	go up	makata-ɲa
10.472	climb	warkkatta-ɲa
10.473	go down	maḳa-ɲa; saraḳa-ɲa
10.474	go out	mistu-ɲa
10.48	come	xuta-ɲa
10.481	come back	kuti-ɲa
10.49	go away, depart	sarχa-ɲa
10.491	disappear	
10.51	flee	tˀixumuču-ɲa
10.52	follow	arka-ɲa
10.53	pursue	arknaḳa-ɲa
10.55	reach, arrive	xikxata-ɲa (?); puri-ɲa
10.56	approach	xakˀača-ɲa
10.57	enter	manta-ɲa
10.61	carry (bear)	apa-ɲa
10.612	carry-in-hand	apa-ɲa
10.613	carry-on-shoulder	ḳˀipi-ɲa
10.614	carry-on-head	
10.615	carry-underarm	
10.62	bring	apa-ni-ɲa
10.63	send	apaya-ɲa
10.64	lead (vb)	irpa-ɲa
10.65	drive	saraya-ɲa
10.66	ride	latˀa-ɲa
10.67	push, shove	nukʰu-ɲa
10.71	road	tʰakʰi
10.72	path	tʰakʰi
10.74	bridge	čaka
10.75	carriage, wagon, cart	
10.76	wheel	muyu
10.77	axle	
10.78	yoke	[yuku]
10.81	ship	--
10.83	boat	wampu; yampu
10.831	canoe	yampu
10.832	outrigger	--
10.84	raft	wampu
10.85	oar	ɲuḳiɲa
10.851	paddle (noun)	
10.852	row (vb)	ɲuḳiɲa
10.86	rudder	
10.87	mast	
10.88	sail (noun)	ačiwa
10.89	anchor	
10.91	harbor, port	
10.92	land (vb)	
11.11	have	
11.12	own, possess	
11.13	take	katu-ɲa
11.14	seize, grasp	katu-ɲa
11.15	hold	
11.16	get, obtain	xiki-ɲa
11.17	keep, retain	imaɲa
11.18	thing	yaa
11.21	give	čura-ɲa
11.22	give back	kutiya-ɲa
11.24	preserve, look after	xarkˀa-ɲa
11.25	save, rescue	ḳʰispiya-ɲa
11.27	destroy	tukxa-ɲa; tˀunxa-ɲa
11.28	harm, injure, damage	usuča-ɲa
11.31	seek, look for	tʰaḳa-ɲa
11.32	find	xikχata-ɲa
11.33	lose	čʰaḳa-ɲa
11.34	release, let go	antuta-ɲa
11.43	money	ḳulʸḳi
11.44	coin	
11.51	rich	ḳamiri
11.52	poor	tˀaḳʰi
11.53	beggar	
11.54	avaricious, stingy	mičˀa
11.61	lend	maytˀa-ɲa
11.62	borrow	maytˀasi-ɲa
11.63	owe	manuu-ɲa
11.64	debt	manu
11.65	pay (vb)	
11.66	account, reckoning	
11.69	tax, tribute	
11.77	hire	
11.78	wages	
11.79	earn	
11.81	buy	ala-ɲa
11.82	sell	alxa-ɲa
11.83	trade, barter	[turka]-ɲa
11.84	merchant	alakipa
11.85	market (place)	ḳʰatu
11.86	store, shop	
11.87	price	čani
11.88	dear (costly, expensive)	
11.89	cheap	iraḳata
11.91	share (distribute)	lakiɲa
11.92	weigh	tupu-ɲa
12.1	after	ukata
12.11	behind	ḳʰipaaχa
12.2	beside	
12.3	down, below	aynača
12.4	before	nayraḳata
12.41	front	
12.5	inside, in	manḳʰa
12.6	outside	anḳa
12.7	under	manḳʰata
12.8	up, above	amta; araχa; alaya
12.11	place	čaḳa
12.12	put	uskuɲa
12.13	sit	ḳuntˀa-ɲa; ḳunu-ɲa
12.14	lie down	ikintχa-ɲa
12.15	stand	saytˀa-ɲa
12.16	remain, stay	ḳʰipaḳta-ɲa
12.17	remains, left overs	xiltˀa
12.21	collect, gather	aptʰapi-ɲa
12.212	pick up	
12.213	pile up	ḳulʸučtˀa-; ḳulʸtˀa-; ḳutučtˀa-
12.22	join, unite	
12.23	separate	apxa-ɲa
12.232	divide	xalxa-ɲa; lakxa-ɲa
12.24	open	xistˀxa-ɲa
12.25	shut, close	xistˀanta-ɲa
12.26	cover	xanχata-ɲa
12.27	hide, conceal	imanta-ɲa
12.31	high	alaya
12.32	low	
12.33	top	čˀutu
12.34	bottom	manḳʰa
12.35	end	tukuya
12.352	pointed	yaarata
12.353	edge	laka
12.36	side	tʰiya
12.37	middle, center	taypi
12.41	right (side)	kupi
12.42	left (side)	čˀiḳa
12.43	near (adv)	xakˀa
12.44	far (adv)	xaya
12.45	east	xalsu
12.46	west	xalanta
12.47	north	amsta; araχa
12.48	south	aynača
12.53	grow	xila-ɲa
12.54	measure	tupu-ɲa
12.541	span, fathom	luḳa
12.55	large, big	xačˀa
12.56	small, little	xiskˀa
12.57	long	waru
12.58	tall	araχa
12.59	short	
12.61	wide, broad	
12.62	narrow	pˀisi
12.63	thick (in dimension)	tʰuru
12.65	thin (in dimension)	xučˀusa
12.67	deep	manḳʰa
12.68	shallow	pataki
12.71	flat	pampa
12.73	straight	čiḳa; čiḳpa
12.74	crooked	milʸkˀuta
12.75	hook	
12.76	corner	kˀuču
12.77	cross	čakana
12.78	square	--
12.81	round	muruḳˀu
12.82	circle	muyu
12.83	sphere, ball	muruḳˀu
12.84	line	siḳi; sičˀi
12.85	hole	pˀiya; ḳaḳa
12.92	like, similar	kikpa
12.93	change	xaḳukipa-ɲa
13.0	zero, nothing	čˀusa
13.1	one	maya
13.2	two	paya
13.3	three	kimsa
13.4	four	pusi
13.5	five	pʰisḳa
13.6	six	suχta
13.7	seven	paḳalʸḳu
13.8	eight	kimsa ḳalʸḳu
13.9	nine	lʸaatunka
13.10	ten	tunka
13.101	eleven	tunka mayani
13.102	twelve	tunka payani
13.103	fifteen	tunka pʰisḳani
13.104	twenty	paatunka
13.105	hundred	pataka
13.106	thousand	waranḳa
13.107	count	xakʰu-ɲa; wakʰu-ɲa
13.14	every, all	sapa; taḳi
13.15	much, many	anča
13.16	more	xukˀampi
13.17	little (quantity), few	xukˀa
13.18	enough	walxa
13.181	some	walkʰa
13.19	multitude, crowd	
13.21	full	pʰuḳa
13.22	empty	čˀusa
13.23	part, piece	
13.24	half	čikata
