entry_id	trans_english	Nivaclé_Phonemic
3.594	dove	ofo; ofo-tax; oftaʔ
3.596	owl	koʔmi-tax; tokox; sxec̷ič; yuʔwayič
3.61	dog	nuʔu
3.614	rabbit	nanxate; puta
3.62	cat	tanuk
3.622	opossum	
3.63	mouse, rat	amʔa; amʔa-tax
3.65	fish	saxeč
3.652	fin (dorsal)	ɬ-af
3.653	fishscale	ɬ-nɔc̷ɔklɔy; tˀ-ɔxeče
3.654	gill	ɬ-nɔc̷ɔklɔy
3.655	shell	ɬeɬ
3.661	shark	--
3.662	porpoise, dolphin	
3.663	whale	--
3.664	stingray	kˀiyeyki
3.665	freshwater eel	uc̷i
3.71	wolf	wawo
3.72	lion	xumpˀawaɬex
3.73	bear	--
3.74	fox	yoʔnis; kaxowonax
3.75	deer	tašinša; ɔxtinaax; tuxinax
3.76	monkey	klayxɔnɔxa
3.77	elephant	--
3.78	camel	--
3.81	insect	
3.811	louse	ɬa-woke
3.812	nit (louse egg)	ɬa-c̷ˀiče
3.813	flea	ɬa-ɬa
3.814	centipede	aɬu ɬpɔsenxaway
3.815	scorpion	aɬu ɬpɔsenxa'way
3.816	cockroach	šinwoʔɬawoke
3.817	ant	tukus; tansi; činči
3.818	spider	siwɔklɔk
3.819	spider web	siwɔklɔk ɬa-yeeʔc̷
3.82	bee	šinwoʔ ɬa-woʔ; šinwoʔ ɬawoke
3.821	beeswax	yuus; ɬ-supˀax
3.822	beehive	šinwoʔ; šnakuwatax
3.823	wasp	c̷imaxa
3.83	fly	ɬaf-katax
3.831	sandfly (midge), gnat	ɬaf-kata-tax; ɬaʔc̷ˀiče
3.832	mosquito	yiyaʔ
3.84	worm	tin-woʔ
3.85	snake	tos
3.91	firefly	
3.92	butterfly	wosok
3.93	grasshopper	xpanax
3.94	snail	ɬeɬ; wintɔx; klapˀi
3.95	frog	fiyɔ; maʔ; kaxoxo; pˀec̷xat
3.96	lizard	kasposɔx; šinwuʔn; šniɬˀa
3.97	crocodile, alligator	aɬu-tax
3.98	turtle	čˀatˀa; woʔtˀi
4.11	body	-sxaʔn; -wuʔwat
4.12	skin, hide	-ɔx
4.13	flesh	-sxaʔn
4.14	hair (head)	-yeʔ-s; -saʔš
4.142	beard	-pɔse
4.144	body hair	-wosey
4.145	pubic hair	-c̷ˀɔsey
4.146	dandruff	-kˀufaʔx
4.15	blood	-woyey
4.151	vein, artery	-sɔʔt
4.16	bone	-nuʔ
4.162	rib	-wɬiʔ
4.17	horn	-kˀuʔ
4.18	tail	-kˀɔʔs
4.19	back	-ɔyiʔš
4.191	spine	-ɔyiʔš ɬaw-nus
4.2	head	-šatič
4.201	side of head, temple	-yom-yom
4.202	skull	-ɔtɔx
4.203	brain	-ašiɬɔx
4.204	face	-tako
4.205	forehead	-tako
4.207	jaw	-kuʔ
4.208	cheek	-kuʔ
4.209	chin	-kaʔt
4.21	eye	-tɔsex
4.212	eyebrow	-tˀipaklɔ
4.213	eyelid	-tɔsex ɬa-pˀoʔt
4.214	eyelash	-tɔc̷i
4.215	blink	-c̷ipˀuf
4.22	ear	-kfeʔ
4.221	earlobe	-niʔtxɔ
4.222	earwax	ɬ-ic̷ˀi
4.23	nose	-naʔš
4.231	nostril	-nšay
4.232	mucus (nasal)	-nxatɔʔ
4.24	mouth	-aši
4.241	beak	-pɔset
4.25	lip	-pɔset
4.26	tongue	-čˀakleč
4.27	tooth	-c̷ewte
4.271	gums	-axusxan
4.272	molartooth	-kunšinče
4.28	neck	-woʔ
4.281	nape of neck	-woʔ
4.29	throat	-kɔyiš
4.3	shoulder	-fatas
4.301	shoulderblade	-fɔpɔke
4.302	collarbone	-kawklɔ
4.31	arm	-tuʔk
4.312	armpit	-kxɔši
4.32	elbow	-fkatoʔ
4.321	wrist	-fakčeʔ
4.33	hand	-pɔʔkɔt
4.331	palm of hand	-pɔʔkɔt
4.34	finger	-pasče
4.342	thumb	-pasče ux
4.344	fingernail	-pasče ɬa-pˀoʔt
4.345	claw	-pɔʔkɔt
4.35	leg	-kaklɔʔ
4.351	thigh	-kɔxɔkc̷ini
4.352	calf of leg	-kɔxɔc̷xan
4.36	knee	-kxuʔs
4.37	foot	-foʔ
4.371	ankle	-finkayɔ
4.372	heel	-pˀikˀo
4.374	footprint	-foʔ-waš
4.38	toe	-fxux
4.392	wing	-af
4.393	feather	-af
4.4	chest	-oʔt
4.41	breast (of woman)	-axte
4.412	nipple, teat	-axte; ka-pɔset
4.42	udder	-axte
4.43	navel	-c̷ewxat
4.44	heart	-ɬiʔwte
4.441	lung	-kafof
4.45	liver	-akɔxɬɔk
4.451	kidney	-šanantiyɔ
4.452	spleen	
4.46	stomach	-kkˀapoʔ
4.461	intestines, guts	-waʔk
4.462	waist	-kaklɔʔkˀišam
4.463	hip	-ako
4.464	buttocks	-čˀitoʔ
4.47	womb	-feɬčeyiš
4.49	testicle	-kɔnši
4.492	penis	-soʔ
4.51	breathe, breath	-yaɬ; -ta-yaɬ-i
4.52	yawn, gape	-tˀatˀo-ʔin
4.521	hiccough	-takˀi-tim
4.53	cough	-sašin
4.54	sneeze	-tˀaʔkˀ sin
4.55	perspire	-wkuxun
4.56	spit	-tˀačˀiy
4.57	vomit	-tˀakue-šaʔne
4.58	bite	-xuʔx
4.59	lick	-napˀu; -fin
4.591	dribble	-kˀɔsxat
4.61	sleep	-mɔʔ
4.612	snore	-nxɔkat
4.62	dream	-nxuxɔm
4.63	wake up	-nxatˀoʔ
4.64	break wind	-fuut; -ftuɬ
4.65	urinate	-uɬ
4.66	defecate	-ɬɔʔm; samuk
4.67	have sexual intercourse	-kaktin
4.68	shiver	-c̷ˀaʔnaʔnan-ʔin
4.69	bathe	-nay
4.71	beget (of father)	-waklan; tumxat
4.72	born (to be)	-ka-watˀax; nwatˀax
4.73	pregnant	-tuma
4.732	conceive	waklan-em-ši
4.74	live, living, life	-manɬa; -manɬa-ʔin
4.75	die, dead	-waf; -nɔx
4.751	drowned	-yaɬpˀo
4.76	kill	-klɔn
4.77	corpse	pa waf
4.78	bury (the dead)	-fos; -tiʔš-kˀoya
4.79	grave, tomb	-niwaɬeč
4.81	strong, mighty, powerful	-tˀun-ʔin; -kontˀax
4.82	weak	-nin-tˀun-ʔin
4.83	well, health	-is; ɬa-wac̷xanxayaš; ni aɔtexa
4.84	sick, sickness	aɔtex; -yaša; -ta-yaša-y; wat-aʔyaša
4.841	fever	-klɔxut
4.842	goiter	
4.843	cold (catarrh)	-ta-nxatɔy; watfaʔmaʔt
4.85	wound, sore	woʔmat
4.852	bruise	woʔmat
4.853	swelling	-ukaʔx
4.854	itch	-sɔʔ; ɔfc̷exʔin
4.855	blister	-xoc̷eč
4.856	boil (noun)	naway-ši; wooyši
4.857	pus	-ekkɔʔ
4.858	scar	-pačewxoke; -woʔmat
4.86	cure, heal	-feitac̷iyan; -wac̷xankat; -wac̷xan
4.87	physician	-tɔyeʔx
4.88	medicine, drug	-wat-ka-fetas
4.89	poison	yikawɔm
4.91	tired, weary	-uɬɔx
4.912	rest	-tˀičay
4.92	lazy	-nin-fitxɔy; oxeitaʔ
4.93	bald	-klapˀaʔf
4.94	lame	-ankoʔk
4.95	deaf	-peeyčaɬɔx
4.96	mute	-klišaklayeč
4.97	blind	-takluʔk
4.98	intoxicated	-ec̷xeyaš; yitɔkit; yec̷ex
4.99	naked, bare	-c̷iʔšaʔan; kayayayiʔn
5.11	eat	-tux; -tc̷akkun; -yɔʔ-xi
5.12	food	-ɔk; wuun
5.121	cooked	yuʔ-xi
5.122	raw	pakˀɔʔf-xi; ni nuʔxi
5.123	ripe	yiʔy
5.124	green, unripe	ni-yiʔy-a
5.125	rotten	ɬok-xi
5.13	drink	-yɔʔ
5.14	hunger	-yipkuʔ
5.141	famine	-yipkuʔ
5.15	thirst	-winxayu
5.16	suck	-fin-čˀe; -fin-šam
5.18	chew	-xuʔx-xane; -tɔn
5.181	swallow	-tim
5.19	choke	ɔc̷ˀɔklu
5.21	cook	-tatay; kxon
5.22	boil (vb)	-naway-yan-ši
5.23	roast, fry	-axɔt; -kaklɔɬ
5.24	bake	-ta-yukuwe-y
5.25	oven	-wat-yukuwe-ši
5.26	pot, cooking vessel	-tɔʔɬɔs; -t-kaklɔʔy
5.27	kettle	
5.28	pan	-kaklɔɬaʔwat
5.31	dish	-tc̷akkun-xatši
5.32	plate	-yakut-ši; -titeč
5.33	bowl	titeč
5.34	pitcher, jug	-nɔxke
5.35	cup, drinking vessel	-yɔʔ-xatši; -tˀiʔ-yɔʔ-xatši
5.36	saucer	
5.37	spoon	-kaʔt-ši; kɔyčˀ aklan-xat
5.38	knife	-klesa
5.39	fork	ttsewteyče
5.391	tongs	
5.41	meal (a)	-ataš; wat-c̷akkunxayaš
5.42	breakfast	
5.43	lunch	
5.44	dinner	
5.45	supper	
5.46	peel	-nxeče-ɬa
5.47	sieve, strain	-tɔsčat
5.48	scrape	-eklɔs; -nɔxɔs; tˀeʔš
5.49	stir, mix	-kšen-xat
5.51	bread	yukuwe
5.53	dough	klimši kapˀoʔf-xi
5.54	knead	-ipxɔ
5.55	meal, flour	ɬa-mɔʔk
5.56	crush, grind	-amko-yan; -kfˀaš
5.57	mill	
5.58	mortar	-feɬeč
5.59	pestle	-xumkˀet; -ɬka-kaklɔʔ
5.61	meat	-kˀasxan
5.63	sausage	woxotax ɬa-waʔk
5.64	soup, broth	naway-ex
5.65	vegetables	wat-kɔs
5.66	bean	kekleyče
5.7	potato	pexaya
5.71	fruit	-aʔ
5.712	bunch	
5.75	fig	awayekla; oseykla
5.76	grape	ɔtxaye-tax
5.77	nut	
5.78	olive	
5.79	oil	ɬa-peʔ
5.791	grease, fat	ɬa-peʔ-nɔk; ɬ-ɔtxei
5.81	salt	naʔpku-tax
5.82	pepper	oyinče
5.821	chili pepper	oyinče-tax
5.84	honey	akɔyeč; šinwoʔ; tˀuxaʔ
5.85	sugar	čˀiši
5.86	milk (noun)	-c̷ˀoʔs
5.87	milk (vb)	-n-c̷ˀoc̷-iɬa
5.88	cheese	wɔkɔ-ɬc̷ˀoʔs
5.89	butter	[wɔkɔ]-ɬc̷ˀoʔs
5.9	beverage, drink	-ɔʔt
5.91	mead	-asxaʔn; šinwonɔk
5.92	wine	ɔtxaye-tax tˀiʔ
5.93	beer	
5.94	fermented drink	kumxɔ
5.97	egg	ɬ-šaykˀu
5.971	egg yolk	
6.11	put on (clothes)	-kˀui-xat
6.12	clothing, clothes	-siwɔklɔk ɬa-yeʔč; watˀuixatšiyis
6.13	tailor	wanka-aštiɬ ɬawoʔ
6.21	cloth	-siwɔklɔk ɬayeʔč
6.22	wool	-saʔš
6.23	linen, flax	--
6.24	cotton	wɔkxɔkli
6.25	silk	--
6.27	felt	--
6.28	fur	-ɔxeče
6.29	leather	-ɔxeče
6.31	spin	-ɔftiɬ
6.32	spindle	-k-ɔftiɬ-in-xate
6.33	weave	-tiʔy
6.34	loom	-wanka-tiʔy-xat
6.35	sew	-aštiɬ; c̷epxaɬ
6.36	needle	-wanka-aštiɬ-xat; kˀutxaʔn
6.37	awl	kˀiʔtxɔxanxat; wankačetxɔyxat
6.38	thread	-ɬiʔč
6.39	dye	-uʔ-xam
6.41	cloak	-kˀui-yu-wo
6.411	poncho	-wopowo
6.42	woman's dress	-ui-xatši
6.43	coat	-kˀui-yu-woke
6.44	shirt	watˀ-uyxatši
6.45	collar	-woʔ-nuk
6.46	skirt	-kaklɔy-če
6.461	grass-skirt	--
6.48	trousers	-ɔs-xatši
6.49	stocking, sock	
6.51	shoe	-kfiʔy; -xof
6.52	boot	-kfiʔy
6.54	shoemaker, cobbler	na-kfiyis ɬawoʔ
6.55	hat, cap	-ɔtxɔxi; -čˀu
6.57	belt, girdle	-nukfat; -tinɔx
6.58	glove	--
6.59	veil	--
6.61	pocket	-kapo-xoke
6.62	button	nuišam
6.63	pin	
6.71	ornament, adornment	-klɔy-xawo
6.72	jewel	
6.73	ring (for finger)	-pasče-ši
6.74	bracelet	-pɔʔklɔ
6.75	necklace	-kɔyši-nuk; -kliʔm-iniɬ
6.76	bead	-faklu-tax tiniš
6.77	earring	-c̷ačiklɔ; -štɔke
6.78	headband, headdress	-šatče-wo; -niwakle-wo
6.79	tattoo	-ka-nis-kɔte
6.81	handkerchief, rag	-nxatɔ-wo
6.82	towel	-wɔmkɔxat
6.91	comb	-tanklaɬ-xate
6.92	brush	
6.921	braid	
6.93	razor	pɔsevo; sikˀis tˀaxuiya
6.94	ointment	-pˀaklan-xawo
6.95	soap	[fawon]
6.96	mirror	-n-owaɬ-xatši
7.11	dwell, live	-c̷itenax-neʔ
7.12	house	-xpɔyič
7.13	hut	xpɔyič; -xoʔ-xawat; wataxpekleʔwat
7.131	garden-house	-xpekleʔwat; -kɔxiyan-xawat
7.14	tent	tšˀnuwo
7.15	yard, court	klɔyɔy-eʔ
7.16	men's house	
7.17	cookhouse	tataʔwat
7.18	meeting house	xpɔyič či taiʔe ʔakfi
7.21	room	-kˀɔʔwat
7.22	door, gate	-k-aši
7.221	doorpost, jamb	-aši-woke
7.23	lock (noun)	-kˀuyxate
7.231	latch, door-bolt	waničawaš
7.24	key	[yawe]
7.25	window	wat-owaɬ-xaʔwat
7.26	floor	uteniɬ
7.27	wall	xpɔyic̷ ɬawɔʔx
7.31	fireplace	-itɔ-wat
7.32	stove	yukuwesi
7.33	chimney	-feɬeč
7.37	ladder	-wata-wɔʔt
7.42	bed	-wat-mɔʔ-xawat
7.421	pillow	-ɔʔsi-wat
7.422	blanket	-feitɔya-niɬ; usčˀe
7.43	chair	-ɔw-xawat; -kˀo-wat
7.44	table	-tc̷akkun-xate; -tc̷akkun-xawat
7.45	lamp, torch	-itɔ-tax
7.46	candle	itɔ-tax
7.47	shelf	lawɔxˀe na watowaɬxatši
7.48	trough	-wanka-kleš-xatši
7.51	roof	-ɔtɔx
7.52	thatch	-xpekl-ewat
7.53	ridgepole	-xiyas-eč
7.54	rafter	tˀ-oy
7.55	beam	waničawaš
7.56	post, pole	-xpɔyči-te
7.57	board	
7.58	arch	
7.61	mason	xpɔyič ɬawoʔ
7.62	brick	kooc̷xat-is
7.63	mortar	utex ɬamɔʔk
7.64	adobe	ayisxan; koc̷xaʔt
8.11	farmer	ɔyak ɬawoʔ; tawašay ɬawoʔ
8.12	field (for cultivation)	-kɔxiyanxaʔwat; wat-kɔkˀɔʔwat
8.13	garden	kɔxiyanxaʔwat
8.15	cultivate, till	tkɔxiyanxan; tklɔc̷xan
8.16	fence	ašklɔfeč
8.17	ditch	wat-ɔyinač
8.21	plow	kuwɔyu ɬawxoʔk
8.212	furrow	
8.22	dig	-tiʔš
8.23	spade	-xokitax
8.24	shovel	-xokitax
8.25	hoe	xokitax tanxuyšičam
8.26	fork	-tayčiši; tc̷ewtečˀe
8.27	rake	-c̷ˀamtax
8.31	sow	-kɔxiyan; -uʔ
8.311	seed	-tɔsex; katɔsxey
8.32	mow, reap	-neʔkfat
8.33	sickle, scythe	klesatax
8.34	thresh	-n-tɔsx-iɬa; -pɔta
8.35	threshing-floor	-n-tɔsx-iɬa-xaʔwat; -npɔta-xaʔwat
8.41	crop, harvest	-kawkaɬ-eč; -čexe
8.42	grain (barley, oats etc)	ɬ-tɔsex
8.43	wheat	klimši-ɬkaklɔy; klimši ɬtɔsxey
8.44	barley	
8.45	rye	
8.46	oats	
8.47	maize, corn	niklɔʔc̷ič
8.48	rice	
8.51	grass	tˀaklɔʔk; itxatax
8.52	hay	
8.53	plant (noun)	kɔxiyan-ač; watkɔs
8.531	plant (vb)	-kɔxiyan
8.54	root	ɬ-fetas
8.55	branch	ɬ-ɔse; -tˀoyča; tɔɬeʔx
8.56	leaf	ɬ-saʔš
8.57	flower	ɬ-ɔwo
8.6	tree	aʔkxuta-yuk; aʔkxi-yuk
8.61	oak	
8.62	beech	
8.63	birch	
8.64	pine	
8.65	fir	
8.66	acorn	
8.67	vine	ɔtxayeta-yuk
8.68	tobacco	finɔk
8.69	smoke (tobacco)	-ɬɔn-ši; wankaɬɔn
8.691	pipe	-finkɔ-xi
8.72	tree stump	tac̷unxa; tɔc̷inxa
8.73	tree trunk	-tac̷uk
8.74	forked branch	-xpɔyči-te; taičiši
8.75	bark	-ɔxeče
8.76	sap	-iiy
8.81	palm tree	fc̷uʔk
8.82	coconut	
8.83	citrus fruit	asakc̷etas
8.84	banana tree	
8.85	banyan	--
8.91	sweet potato	pexaya
8.912	yam	
8.92	tapioca, manioc, cassava	ɬawimxa-yuk; nowok; nuksič
8.93	gourd	noyan
8.931	pumpkin, squash	kˀasus
8.94	bamboo	sise-yuk
8.941	sugar cane	fin-če
8.96	fish poison (root)	
8.97	nettle	
8.98	mushroom	šta-tax
9.11	do, make	-snat; -faniš
9.12	work	-kum; -kumxat; kumxayaš
9.14	bend	patakl-iyan; -xoʔfxof-iyan
9.15	fold	-nekes; -ačax-waʔne
9.16	tie, bind	-ɔkfaʔ
9.161	untie	-nuku
9.18	chain	
9.19	rope, cord	-niyɔk; -wankˀ-ɔkfa-xat
9.192	knot (noun)	ɬ-xuʔ; lawxuʔ
9.21	strike (hit, beat)	-pɔkɔx
9.211	pound with fist	-tɔxɔx
9.22	cut	-tˀowos
9.221	cut down	-kˀumax; tfašxan
9.222	chop, hew	-faʔš; -seʔx
9.223	stab	-c̷efex
9.23	knife	-klesa
9.24	scissors, shears	-klesa ɬ-kaklɔy
9.25	ax	-namač
9.251	adze	namčatax
9.26	break	-pɔkx-et
9.261	broken	-kˀas-čˀe; -paxo; pɔktex
9.27	split	-kˀas-at
9.28	tear	-nc̷oʔx; -namat
9.29	flay, skin	-ɔxeʔč
9.31	rub, wipe	-eklɔs
9.32	stretch	-pite-yan
9.33	pull	-nc̷oʔx
9.34	spread out	-čˀan
9.341	hang up	-c̷ak
9.342	press	-nukˀaklax
9.343	squeeze, wring	-kɔʔtˀat; -ikxut
9.35	pour	-ɔc̷i
9.36	wash	-kleʔš
9.37	sweep	-fkˀɔklaʔs
9.38	broom	-fkˀɔklaʔs-xate
9.422	tool	-kum-xawo
9.43	carpenter	yiklɔy ɬawoʔ
9.44	build	-snateš; -faniš ~ -faneš
9.46	bore	-paxo-nat; -txuʔ
9.461	hollow out	-kamam-iyan
9.48	saw	-c̷ewtey-čˀe
9.49	hammer	
9.5	nail	
9.56	glue	-c̷ˀan-ač
9.6	smith, blacksmith	klesnɬiy ɬawoke
9.61	forge	
9.62	anvil	
9.63	cast (metals)	
9.64	gold	klesaniɬc̷ˀayɔʔxi
9.65	silver	klesaniɬ klim
9.66	copper, bronze	
9.67	iron	klesaniɬ
9.68	lead (noun)	
9.69	tin, tinplate	
9.71	potter	koʔc̷xatis ɬawos
9.72	mold (clay etc)	
9.73	clay	koc̷xaat c̷ˀanači
9.74	glass	
9.75	weave, plait	-tˀiy
9.76	basket	siseniɬ
9.77	mat	
9.771	rug	wopowo
9.78	netbag	-sčaʔt; klisaʔ
9.79	fan (noun)	-k-af
9.791	fan (vb)	-k-af-iyan
9.81	carve	
9.82	sculptor	
9.83	statue	
9.84	chisel	
9.88	paint (noun)	-n-in-xat
9.89	paint (vb)	-in
10.11	move	-kˀui-xat
10.12	turn over	-nkɔčˀaklax; -tatwaič ɔklax
10.13	turn around	-čˀiyapop
10.14	wind, wrap	-klɔpxaɬ; -načax
10.15	roll	
10.16	drop (vb)	-nɔt; -nat; -nɔtif; -ɔ̉txat
10.17	twist	-tiʔɬ; -nuʔkaklax; -ničˀaklax
10.21	rise	-wɔʔɬ-čišam
10.22	raise, lift	xanxat-čišam; pɔyxat-čišam
10.23	fall	-at; nkɔʔt-šaʔne
10.24	drip	-c̷opc̷op-ši
10.25	throw	-uʔ
10.252	catch (ball)	tkum-kˀe
10.26	shake	-nảkxut
10.32	flow	-tˀic̷xey
10.33	sink	yit-šičam
10.34	float	yič-ʔapee
10.35	swim	-ɔʔk-apeʔ; yič-ʔapee
10.351	dive	-uy; -nuʔ-xam
10.352	splash	-ɔc̷i-apee
10.36	sail (vb)	
10.37	fly (vb)	-fɔʔyɔ
10.38	blow	fuyu
10.41	creep, crawl	tˀafkɔs
10.412	kneel	-akxac̷uy-šičam
10.413	crouch	-nuʔ-xane
10.42	slide, slip	-klac̷ˀus-xan
10.43	jump, leap	-eklet; -čˀaʔyaš
10.431	kick	-tˀɔs
10.44	dance	-tklɔʔy
10.45	walk	-wakleč; -tˀɔs
10.451	limp	-fanaʔn-ši-yan; -sayak-ši-yan
10.46	run	-kumaʔx
10.47	go	-ɔk
10.471	go up	-wɔʔɬ; -ɔk-kitšam
10.472	climb	-wɔʔɬ; -wɔʔɬ-kˀoya
10.473	go down	-ɔk-šane; -ɔk-šičam
10.474	go out	-ɔk-fačeʔ
10.48	come	-nač; -nam
