entry_id	trans_english	Breton_Phonemic
6.39	dye	livaɲ
6.41	cloak	tapis; mantell
6.411	poncho	
6.42	woman's dress	broz; robenn
6.43	coat	mantell; porpant
6.44	shirt	roched; hiɲviz
6.45	collar	kolier
6.46	skirt	broz; kotillon
6.461	grass-skirt	--
6.48	trousers	bragou; lavreg; otou
6.49	stocking, sock	loer; choosetenn
6.51	shoe	botez; botez ler
6.52	boot	botinezenn
6.54	shoemaker, cobbler	kere, kereer
6.55	hat, cap	tok; kasketenn
6.57	belt, girdle	gouriz; senturenn
6.58	glove	maneg
6.59	veil	gwel
6.61	pocket	godell; chakod
6.62	button	nozelenn; boutonenn
6.63	pin	spillenn
6.71	ornament, adornment	kinklou
6.72	jewel	braoig
6.73	ring (for finger)	gwalenn; gwalenn-biz
6.74	bracelet	trovrec’h
6.75	necklace	kolier
6.76	bead	
6.77	earring	boudoreillenn
6.78	headband, headdress	
6.79	tattoo	tatouaj
6.81	handkerchief, rag	mouchouer; lien-fri
6.82	towel	serviedenn
6.91	comb	krib
6.92	brush	broɲs, bros
6.921	braid	plaɲsonenniɲ
6.93	razor	aotenn; razouer
6.94	ointment	traet
6.95	soap	soavon
6.96	mirror	melezour; sklasenn
7.11	dwell, live	bezaɲ o chom
7.12	house	ti
7.13	hut	loch; kabanell
7.131	garden-house	loch; kabanell
7.14	tent	tinell
7.15	yard, court	porz; kourt
7.16	men's house	--
7.17	cookhouse	kegin
7.18	meeting house	
7.21	room	pez
7.22	door, gate	dor
7.221	doorpost, jamb	piedroet
7.23	lock (noun)	
7.231	latch, door-bolt	krogenn
7.24	key	alhwez
7.25	window	prenest(r), fenestr
7.26	floor	leur; plaɲchod
7.27	wall	moger; mur
7.31	fireplace	oaled
7.32	stove	fornigell
7.33	chimney	siminal, chiminal
7.37	ladder	skeul
7.42	bed	gwele
7.421	pillow	goubenner; oroiller
7.422	blanket	tapis
7.43	chair	kador
7.44	table	taol
7.45	lamp, torch	lamp
7.46	candle	goulou-koar; kantell; boujienn
7.47	shelf	estajerenn
7.48	trough	laouer
7.51	roof	toenn
7.52	thatch	soul; plouz
7.53	ridgepole	treust
7.54	rafter	treust
7.55	beam	treust
7.56	post, pole	peul; piked
7.57	board	plankenn
7.58	arch	bolz
7.61	mason	masoner
7.62	brick	brikenn
7.63	mortar	mortie
7.64	adobe	
8.11	farmer	feurmier; menajer; kouer
8.12	field (for cultivation)	park
8.13	garden	liorz; jardin
8.15	cultivate, till	labourad-douar
8.16	fence	kloued
8.17	ditch	foz; douvez; andouv
8.21	plow	arad; arar; alar
8.212	furrow	ero; erv
8.22	dig	kleuziɲ; pigellad
8.23	spade	raɲ
8.24	shovel	pal
8.25	hoe	hou; binetenn
8.26	fork	forh
8.27	rake	rastell
8.31	sow	hadaɲ
8.311	seed	had
8.32	mow, reap	medi; falc’hat
8.33	sickle, scythe	falz, falh
8.34	thresh	dornaɲ ed
8.35	threshing-floor	leur; leur-dornaɲ
8.41	crop, harvest	eost
8.42	grain (barley, oats etc)	ed
8.43	wheat	gwiniz
8.44	barley	heiz
8.45	rye	segal
8.46	oats	kerh
8.47	maize, corn	ed Turki; maiz
8.48	rice	riz
8.51	grass	geot, yeot
8.52	hay	foenn
8.53	plant (noun)	plantenn
8.531	plant (vb)	plantaɲ
8.54	root	gwrizienn
8.55	branch	brank; barr
8.56	leaf	delienn
8.57	flower	boked; fleur; bleunienn
8.6	tree	gwezenn
8.61	oak	dervenn; gwezenn dero
8.62	beech	gwezenn fao
8.63	birch	gwezenn bezo
8.64	pine	pin
8.65	fir	saprenn, sapin
8.66	acorn	mezenn
8.67	vine	gwinienn
8.68	tobacco	butun
8.69	smoke (tobacco)	butunad; fumiɲ
8.691	pipe	korn-butun; pibenn
8.72	tree stump	revr ar wezenn
8.73	tree trunk	korv ar wezenn
8.74	forked branch	fourchell
8.75	bark	pluskenn; ruskenn
8.76	sap	sabr
8.81	palm tree	--
8.82	coconut	--
8.83	citrus fruit	
8.84	banana tree	--
8.85	banyan	--
8.91	sweet potato	
8.912	yam	
8.92	tapioca, manioc, cassava	
8.93	gourd	
8.931	pumpkin, squash	
8.94	bamboo	
8.941	sugar cane	
8.96	fish poison (root)	
8.97	nettle	linad
8.98	mushroom	tog-touseg; boned-touseg; kabell-touseg
9.11	do, make	ober
9.12	work	labourad
9.14	bend	plegaɲ
9.15	fold	plegaɲ
9.16	tie, bind	stagaɲ; eren
9.161	untie	distagaɲ
