entry_id	trans_english	Wichí_Phonemic
4.222	earwax	-čˀu'teʔ ɬi'c̷ˀi
4.23	nose	-hnes
4.231	nostril	-hnes-'peʔ
4.232	mucus (nasal)	-ka-čeɬ-'tah
4.24	mouth	-kˀah
4.241	beak	-poset
4.25	lip	-poset
4.26	tongue	-kˀah-ɬe'čˀe
4.27	tooth	-c̷u'teʔ
4.271	gums	
4.272	molartooth	yače'tah
4.28	neck	-poh'ni
4.281	nape of neck	-ɬe'tek ku'c̷uʔ
4.29	throat	-poh'ni ku'c̷uʔ
4.3	shoulder	-hʷa'puʔ
4.301	shoulderblade	-hʷu
4.302	collarbone	-hʷa'puʔ ɬi'le
4.31	arm	-'kʷe-y
4.312	armpit	-wilis-'čˀu
4.32	elbow	-ka'tu
4.321	wrist	-kʷe-'wu
4.33	hand	-kʷe-'čˀu
4.331	palm of hand	-kʷe'-čˀu
4.34	finger	-hʷehʷ
4.342	thumb	-hʷehʷ ɬu'kʷe
4.344	fingernail	-hʷehʷ tˀoh
4.345	claw	-hʷehʷ tˀoh
4.35	leg	-ɬe'če
4.351	thigh	-ɬeče-'ʔsan
4.352	calf of leg	-ko'loʔ
4.36	knee	-pwoɬak
4.37	foot	-pˀa'čˀu
4.371	ankle	-ka-supˀa
4.372	heel	-po'khe
4.374	footprint	-noyih
4.38	toe	-hʷehʷ
4.392	wing	-ɬe-hʷ; -ɬe-hʷis
4.393	feather	-wu'le; -wu'le-y
4.4	chest	-tˀu'kʷe
4.41	breast (of woman)	-tˀa'te
4.412	nipple, teat	-tˀa'te-wu
4.42	udder	-tˀa'te
4.43	navel	-c̷ak
4.44	heart	-tˀu'tle
4.441	lung	-yaɬ'his; -pe'hʷes
4.45	liver	-to'nek
4.451	kidney	-ka-ten'teʔ
4.452	spleen	
4.46	stomach	-'c̷ˀe
4.461	intestines, guts	-tkos'ley
4.462	waist	-se'lak
4.463	hip	-ɬeče-ku'c̷u
4.464	buttocks	-weh-čˀa'lu
4.47	womb	-ka'hi
4.49	testicle	-čo'nis
4.492	penis	-'ɬuʔ
4.51	breathe, breath	tˀiyaɬ
4.52	yawn, gape	yeʔl
4.521	hiccough	yoʔo'leʔ
4.53	cough	takho'si
4.54	sneeze	tanaʔ'c̷an
4.55	perspire	čehʷi'lon-(n)u
4.56	spit	hʷac̷enkac̷i
4.57	vomit	ta-čˀey'ɬin
4.58	bite	yu'kʷah
4.59	lick	na'pˀe
4.591	dribble	ni'tun
4.61	sleep	i'moʔ
4.612	snore	la-hnes-yip-'ɬi
4.62	dream	tahʷi'ɬan
4.63	wake up	nohmat-'ɬi; nom
4.64	break wind	tˀehʷ'tey
4.65	urinate	tˀeɬ
4.66	defecate	tˀaɬam
4.67	have sexual intercourse	waʔɬ
4.68	shiver	tače'tˀiče
4.69	bathe	i'nay
4.71	beget (of father)	i-wu-'ɬos-a
4.72	born (to be)	ničot'čo
4.73	pregnant	wap'leʔ
4.732	conceive	
4.74	live, living, life	iloy
4.75	die, dead	yiɬ; i'lek
4.751	drowned	hi'c̷ˀa
4.76	kill	i'lon
4.77	corpse	pˀi'c̷ek
4.78	bury (the dead)	tˀiput'peʔ
4.79	grave, tomb	tˀu
4.81	strong, mighty, powerful	takha'hay
4.82	weak	la-kˀe'hʷayah 'ihi
4.83	well, health	wac̷an-'ɬi
4.84	sick, sickness	le-witoy 'ihi
4.841	fever	tˀoh nča'yu
4.842	goiter	la-kay'si
4.843	cold (catarrh)	čeɬ'tah
4.85	wound, sore	isah
4.852	bruise	tˀi-'kʷa
4.853	swelling	tˀi-'kʷa
4.854	itch	hʷiloh
4.855	blister	takhehʷiho
4.856	boil (noun)	a'muʔ
4.857	pus	tˀi
4.858	scar	la'hɲi
4.86	cure, heal	wu-'ča-ya
4.87	physician	haya'weʔ
4.88	medicine, drug	to-ka-'ča
4.89	poison	to-tˀi-'lek
4.91	tired, weary	yeʔl
4.912	rest	iwu-'tamseča
4.92	lazy	netoh'ɬi
4.93	bald	po'leʔ
4.94	lame	c̷ehʷlah
4.95	deaf	čˀutey-čˀu
4.96	mute	wo'wo
4.97	blind	as'nam
4.98	intoxicated	wuk'nah
4.99	naked, bare	c̷ilak'če
5.11	eat	tehʷ
5.12	food	-ɬok
5.121	cooked	yuʔ
5.122	raw	a'kas
5.123	ripe	yuʔ
5.124	green, unripe	laku'nek
5.125	rotten	na'het
5.13	drink	i'yoʔ
5.14	hunger	niče'yeʔ
5.141	famine	nayh'lo lo'n-ek
5.15	thirst	ičim
5.16	suck	hi'c̷ehi
5.18	chew	yukʷa'hi
5.181	swallow	tim
5.19	choke	lon-'eh la-'yaɬ
5.21	cook	tape'nek
5.22	boil (vb)	na'way
5.23	roast, fry	pˀu'kʷe; ise'tan
5.24	bake	tih'nun
5.25	oven	[woyo]'hi
5.26	pot, cooking vessel	tu'weh
5.27	kettle	[pa'wa]
5.28	pan	[kaslu'la]
5.31	dish	to-c̷ˀen'ti
5.32	plate	to-ɬok-'hi
5.33	bowl	to-ɬot-'hi
5.34	pitcher, jug	čˀute-'tah
5.35	cup, drinking vessel	[wa'su]
5.36	saucer	-ka-l'nek
5.37	spoon	la'nek
5.38	knife	lačinah
5.39	fork	[tene'lul]
5.391	tongs	-kal'nah
5.41	meal (a)	to-tˀek
5.42	breakfast	to'tˀek toh ka'mah'hʷala
5.43	lunch	to'tˀek toh 'hʷala ik'ni
5.44	dinner	to-tˀe-'čen
5.45	supper	to'tˀek toh hona'c̷i
5.46	peel	lahni-tˀoh
5.47	sieve, strain	isap'hi
5.48	scrape	isit'ɬi
5.49	stir, mix	čuʔ'hi
5.51	bread	[wo'yo]
5.53	dough	-ɬe'tek
5.54	knead	iɬet'hi
5.55	meal, flour	[ali'na]
5.56	crush, grind	iču'hʷahi
5.57	mill	
5.58	mortar	hʷe'ɬek
5.59	pestle	-ka-lah'nat
5.61	meat	tˀi'san toh yuʔ
5.63	sausage	--
5.64	soup, broth	tˀi'sat-hi
5.65	vegetables	
5.66	bean	[pulu'tu]
5.7	potato	[pa'pa]
5.71	fruit	to-kos-'ɬaʔ
5.712	bunch	to-c̷a'nek
5.75	fig	--
5.76	grape	[u'wa]
5.77	nut	
5.78	olive	--
5.79	oil	[ac̷ey'tah]
5.791	grease, fat	[tu'lu]-peʔ
5.81	salt	ni'suy
5.82	pepper	[pimyen'ta]
5.821	chili pepper	poh'non
5.84	honey	pi'niʔ
5.85	sugar	[asu'kʷi]
5.86	milk (noun)	[le'c̷i]
5.87	milk (vb)	tic̷ˀi-'hʷin
5.88	cheese	[če'suʔ]
5.89	butter	
5.9	beverage, drink	to-'ɬot
5.91	mead	ha'tˀes toh ako'yek
5.92	wine	[wi'na]
5.93	beer	
5.94	fermented drink	ha'tˀes
5.97	egg	ɬe'čˀe
5.971	egg yolk	
6.11	put on (clothes)	ta'wehɲi
6.12	clothing, clothes	to-we'yis
6.13	tailor	to-c̷eka-'wu
6.21	cloth	sa'kal
6.22	wool	c̷una-'tah wu'le
6.23	linen, flax	--
6.24	cotton	wese'tah
6.25	silk	--
6.27	felt	--
6.28	fur	-tˀoh
6.29	leather	-tˀoh
6.31	spin	tah'ɲin
6.32	spindle	to-ka-le-wet
6.33	weave	i-poc̷in
6.34	loom	to-yik-'čaʔ
6.35	sew	i-c̷ek
6.36	needle	ka'nu
6.37	awl	to-hu'kuk
6.38	thread	ni-'yokʷ
6.39	dye	i'pak
6.41	cloak	
6.411	poncho	[pon'c̷u]
6.42	woman's dress	c̷ina-ka-yie'če
6.43	coat	[sa'ku]
6.44	shirt	-ka-yie'če
6.45	collar	-wuʔ-tˀoh
6.46	skirt	-o'tik
6.461	grass-skirt	--
6.48	trousers	-ku'set
6.49	stocking, sock	-kolo-'hi-s
6.51	shoe	ni'soh
6.52	boot	[wo'tas]
6.54	shoemaker, cobbler	ni'soh-'wu
6.55	hat, cap	-ka-wu'na
6.57	belt, girdle	-ka-'wak
6.58	glove	-hʷes-'his
6.59	veil	--
6.61	pocket	-kho'ɲi
6.62	button	[wo'tum]
6.63	pin	-tˀukʷe-ɬe'le
6.71	ornament, adornment	-'kho
6.72	jewel	--
6.73	ring (for finger)	-hʷehʷ-hi
6.74	bracelet	-kʷe-'hʷat
6.75	necklace	to-ɬa'mis
6.76	bead	-hʷc̷ak
6.77	earring	-čˀute-ɬe'le
6.78	headband, headdress	-ɬetek-tˀak
6.79	tattoo	-let
6.81	handkerchief, rag	-'hʷi
6.82	towel	[toa'yu]
6.91	comb	-ka-c̷u'nis
6.92	brush	-wey'ča
6.921	braid	i-poc̷in-'če
6.93	razor	-pose-'čaʔ
6.94	ointment	-ka-'čaʔ
6.95	soap	[hʷa'wun]
6.96	mirror	-peyak-'hi
7.11	dwell, live	'ihi
7.12	house	-wet
7.13	hut	-we'kʷe
7.131	garden-house	
7.14	tent	
7.15	yard, court	wet-ɬi'p-ey
7.16	men's house	
7.17	cookhouse	-ɬet-wet
7.18	meeting house	
7.21	room	
7.22	door, gate	-'peʔ
7.221	doorpost, jamb	-'peʔ-ɬi'le
7.23	lock (noun)	
7.231	latch, door-bolt	
7.24	key	[ya'we]
7.25	window	[wenta'na]
7.26	floor	to-wet-'čˀu
7.27	wall	hep-ɬi'p-ey
7.31	fireplace	i'toh
7.32	stove	i'toh wet
7.33	chimney	te'c̷ah no'yih
7.37	ladder	to-say-'tes
7.42	bed	-mo-wet
7.421	pillow	-tˀa'lah
7.422	blanket	-wey
7.43	chair	to-'weh-wet
7.44	table	to-ɬok-'wet
7.45	lamp, torch	[-ka-welaʔ]
7.46	candle	[welaʔ]
7.47	shelf	to-ka-wet
7.48	trough	to-lešek-'hi
7.51	roof	hep ɬe'tek-čˀe
7.52	thatch	hep
7.53	ridgepole	la-paɬkay'nek
7.54	rafter	
7.55	beam	
7.56	post, pole	la-c̷ine'nek
7.57	board	haʔ'loʔ-ɬip
7.58	arch	--
7.61	mason	hep-'wu
7.62	brick	[alu'li]s
7.63	mortar	
7.64	adobe	[alu'li]s
8.11	farmer	
8.12	field (for cultivation)	to-'kos-wet
8.13	garden	
8.15	cultivate, till	tet'čey
8.16	fence	to-la'hʷek
8.17	ditch	
8.21	plow	isa'hi hoh'nat
8.212	furrow	[ala'wu]sa'hek
8.22	dig	tiši-hoh'nat
8.23	spade	
8.24	shovel	[pa'la]
8.25	hoe	[asa'la]
8.26	fork	
8.27	rake	to-seček-'čaʔ
8.31	sow	i-that-'čoʔ
8.311	seed	to-kos-ɬu-y
8.32	mow, reap	i-lan'če
8.33	sickle, scythe	
8.34	thresh	t-i-lanče-'ɬu-y
8.35	threshing-floor	
8.41	crop, harvest	
8.42	grain (barley, oats etc)	ɬuʔ; ɬu-y
8.43	wheat	[tili'wa]
8.44	barley	
8.45	rye	--
8.46	oats	--
8.47	maize, corn	siput'ka
8.48	rice	[a'lus]
8.51	grass	hep
8.52	hay	--
8.53	plant (noun)	haʔloʔ-wu'le-y
8.531	plant (vb)	i-that-'čo
8.54	root	-la-hʷec̷iʔ
8.55	branch	ɬa-'čaʔ ~ ɬay-'čaʔ
8.56	leaf	-la-wu'le
8.57	flower	ɬa-'wu
8.6	tree	haʔ'loʔ
8.61	oak	--
8.62	beech	--
8.63	birch	--
8.64	pine	
8.65	fir	
8.66	acorn	--
8.67	vine	tet'kal
8.68	tobacco	yo'kʷas
8.69	smoke (tobacco)	i-wu-'c̷ˀekʷa
8.691	pipe	čˀet'hi
8.72	tree stump	haʔ'loʔ-'čˀu
8.73	tree trunk	haʔ'loʔ-'čˀu
8.74	forked branch	ahʷc̷i'nah
8.75	bark	-tˀoh
8.76	sap	haʔ'loʔ ɬi'c̷ʔi
8.81	palm tree	hʷic̷ekʷ
8.82	coconut	
8.83	citrus fruit	[li'mon]
8.84	banana tree	[banana] ɬi'le
8.85	banyan	--
8.91	sweet potato	[wa'tata]
8.912	yam	
8.92	tapioca, manioc, cassava	[manyu'ku]
8.93	gourd	wuc̷o'tah
8.931	pumpkin, squash	is'čin
8.94	bamboo	
8.941	sugar cane	kano'hi
8.96	fish poison (root)	
8.97	nettle	če'soy
8.98	mushroom	ahot-'ɬuʔ
9.11	do, make	yen-'ɬi
9.12	work	tačem-'ɬi
9.14	bend	i-čuhnat'ho
9.15	fold	i-kohʷeh'no
9.16	tie, bind	i-nah'yit
9.161	untie	i-lahni'tˀak
9.18	chain	[kale'nis]
9.19	rope, cord	-ɬekʷ-tˀak
9.192	knot (noun)	-ku'c̷uʔ
9.21	strike (hit, beat)	i'lon
9.211	pound with fist	i-hnopoh-'ɬi
9.22	cut	y-i'set
9.221	cut down	i-thatkah'ni
9.222	chop, hew	i-'hʷahi
9.223	stab	i-hno'poh
9.23	knife	to-kath'nat
9.24	scissors, shears	[tiše'lis]
9.25	ax	hu'san
9.251	adze	
9.26	break	i-no'kos
9.261	broken	i'čo
9.27	split	hi-če'sah
9.28	tear	i-soyeh-ɬip
9.29	flay, skin	i-lan-hi-tˀoh
9.31	rub, wipe	i-len'peʔ
9.32	stretch	ɬipi'yen
9.33	pull	i-ton-'ɬi
9.34	spread out	i-huyen-'pho
9.341	hang up	i-c̷uk-'ɬi
9.342	press	hi-pˀah-'teh
9.343	squeeze, wring	hi-pˀah-'tit
9.35	pour	i-c̷oy'ka
9.36	wash	i-'leh
9.37	sweep	i-'sek
9.38	broom	to-seček-'čaʔ
9.422	tool	to-čemet-'čaʔ
9.43	carpenter	yen-'ɬi haʔ'loʔ
9.44	build	yen-'ɬi
9.46	bore	itoyen
9.461	hollow out	i-wu-'wey-ša
9.48	saw	
9.49	hammer	to-koh'nat
9.5	nail	haʔ'loʔ-ɬe'le
9.56	glue	set
9.6	smith, blacksmith	lačihnas-wu
9.61	forge	
9.62	anvil	
9.63	cast (metals)	yekon'či
9.64	gold	'la-ha 'ihi
9.65	silver	činah-'tˀoh
9.66	copper, bronze	la-činah-'tˀoh kaʔteʔ
9.67	iron	lačinah
9.68	lead (noun)	la-či'nah muk
9.69	tin, tinplate	
9.71	potter	to-ɬokʷe-'wu
9.72	mold (clay etc)	tˀen yeneh'ča
9.73	clay	ih'ɲot
9.74	glass	[wil'yu]
9.75	weave, plait	tipoc̷in'če
9.76	basket	to-ko'hi
9.77	mat	hʷi'naʔ
9.771	rug	to-hu-'wet
9.78	netbag	he'leʔ
9.79	fan (noun)	čehʷ-'čaʔ
9.791	fan (vb)	la-he-čehʷ-'čaʔ
9.81	carve	
9.82	sculptor	
9.83	statue	to-ɬa-'peyak
9.84	chisel	
9.88	paint (noun)	to-'let
9.89	paint (vb)	i-le'neh
10.11	move	wahat-'ɬi
10.12	turn over	i-'tiɬak-hi
10.13	turn around	i-len-'ɬi
10.14	wind, wrap	hi-'pˀon-če
10.15	roll	ta-čˀay-pe
10.16	drop (vb)	
10.17	twist	hi-c̷eɬkat-'hi
10.21	rise	i-wu-'loy-a
10.22	raise, lift	i-nehyat-'pho
10.23	fall	ni-čot-'čoʔ
10.24	drip	ni'ton
10.25	throw	ta'humeh
10.252	catch (ball)	ic̷uk-'ɬi
10.26	shake	i-'čuhi
10.32	flow	i-lo'hʷel
10.33	sink	i-c̷ehʷan-čoʔ
10.34	float	iʔ'peʔ i'not
10.35	swim	tˀi'lin
10.351	dive	ti-c̷ehʷ'nu
10.352	splash	ɬisi'čot
10.36	sail (vb)	
10.37	fly (vb)	wiʔyoʔ
10.38	blow	yahʷit
10.41	creep, crawl	takhus-'ɬi
10.412	kneel	ic̷i'nen la-kanče'te
10.413	crouch	tˀep'hyen
10.42	slide, slip	hi-pˀetah-'čoʔ
10.43	jump, leap	tiyoh-'pho
10.431	kick	y-a'hih ta-ko'loʔ
10.44	dance	takatin'-ɬi
10.45	walk	welek-'ɬi
10.451	limp	ta-koloʔ-oy'tah
10.46	run	ine'ʔaɬoho
10.47	go	yik
10.471	go up	we'ɬu
10.472	climb	ta-weɬ-'čeʔ
10.473	go down	i-neyn-'čoʔ
10.474	go out	yik-'čˀu-ya
10.48	come	nom
10.481	come back	ta'piɬ
10.49	go away, depart	yik
10.491	disappear	ta'toy
10.51	flee	tˀetan'c̷i
10.52	follow	yi-hon-'ɬi
10.53	pursue	yi-hon-'ɬi
10.55	reach, arrive	nom
10.56	approach	katutˀa
10.57	enter	tiyo'hu
10.61	carry (bear)	tiɬoh
10.612	carry-in-hand	očoh
10.613	carry-on-shoulder	tiɬoh
10.614	carry-on-head	i-tiʔ-peʔ-ɬe'tek
10.615	carry-underarm	ta'c̷ehʷeleh
10.62	bring	čo'h-aɬu-hu
10.63	send	čen
10.64	lead (vb)	poyen-'čeʔ
10.65	drive	yik-če-'hʷi
10.66	ride	i-wu-'loy-a
10.67	push, shove	yi-het-'c̷i
10.71	road	no'yih
10.72	path	to-tuy'nek
10.74	bridge	[pwen'tu]
10.75	carriage, wagon, cart	[kale'tah]
10.76	wheel	-ko'loʔ
10.77	axle	[e'he]
10.78	yoke	[we'yis] wu-'hi
10.81	ship	--
10.83	boat	[c̷ala'na]
10.831	canoe	[c̷ala'na]
10.832	outrigger	--
10.84	raft	
10.85	oar	[c̷ala'na]-čaʔ
10.851	paddle (noun)	[c̷ala'na]-čaʔ
10.852	row (vb)	i-sek'loʔ
10.86	rudder	
10.87	mast	
10.88	sail (noun)	
10.89	anchor	--
10.91	harbor, port	
10.92	land (vb)	i-neyn-'čoʔ
11.11	have	hi-'wen
11.12	own, possess	hi-'wen
11.13	take	ta-'čem-a
11.14	seize, grasp	ta-'čem-a
11.15	hold	hi-'wen
11.16	get, obtain	ni-'ɬok-a
11.17	keep, retain	tˀamaheh
11.18	thing	mak
11.21	give	hi-wen-'ho
11.22	give back	y-a'čah
11.24	preserve, look after	tˀamaheh-'ɬi
11.25	save, rescue	i-hʷahɲat
11.27	destroy	yi-kon'či
11.28	harm, injure, damage	i-lokʷ-'ɬi
11.31	seek, look for	tˀekʷe
11.32	find	i-'ɬoka
11.33	lose	ta-'toy
11.34	release, let go	čaw'ɬaya toh yik
11.43	money	činah-'tˀoh
11.44	coin	činah-'tˀoh
11.51	rich	hi-'wen 'mayek
11.52	poor	pˀalic̷ah
11.53	beggar	aɬc̷ah
11.54	avaricious, stingy	ac̷huhnah
11.61	lend	ta-čeyho'neh
11.62	borrow	ɬay-pˀalc̷en-e
11.63	owe	tehʷ'laya
11.64	debt	-tes
11.65	pay (vb)	wu-ha-ya
11.66	account, reckoning	tec̷a'neh
11.69	tax, tribute	
11.77	hire	čeyho'neh
11.78	wages	to-ka-'ha
11.79	earn	-kˀowoh 'ihi
11.81	buy	i-čoh
11.82	sell	i-wuʔm
11.83	trade, barter	tehmat'loʔ
11.84	merchant	
