entry_id	trans_english	Khamuang_of_Chiang_Mai_Phonemic
3.25	sheep	khɔ:k.4
3.26	ram	ŋua.2 khwa:i.2
3.28	ewe	ŋua.2 tua.2 pu:.6
3.29	lamb	ŋua.2
3.32	boar	ŋua.2 tua.2 mɛ:.4
3.34	sow	lu:k.4 ŋua.2
3.35	pig	khwa:i.2
3.36	goat	kɛ.7
3.37	he-goat	kɛ.7 tua.2 pu:.6
3.38	kid	kɛ.7 tua.2 mɛ:.4
3.41	horse (equine)	lu:k.4 kɛ.7
3.42	stallion	mu:.1 tua.2 pu:.6
3.44	mare	mu:.1 tua.2 mɛ:.4
3.45	foal, colt	mu:.1
3.46	ass, donkey	pɛ.6
3.47	mule	pɛ.6 tua.2 pu:.6
3.5	fowl	lu:k.4 pɛ.6
3.52	cock, rooster	ma:.6
3.54	hen	ma:.6 tua.2 pu:.6
3.55	chicken	ma:.6 tua.2 mɛ:.4
3.56	goose	lu:k.4 ma:.6 tua.2 pu:.6; lu:k.4 la:.2
3.57	duck	la:.2
3.58	nest	lɔ:.4
3.581	bird	kai.3 tua.2 pu:.6
3.582	seagull	kai.3 mɛ:.4
3.583	heron	kai.3
3.584	eagle	ha:n.3
3.585	hawk	pet.7
3.586	vulture	haŋ.2
3.591	bat	nok.6
3.592	parrot	nok.6 na:ŋ.2 nuan.2
3.593	crow	nok.6 ka.7 sa:.1
3.594	dove	nok.6 ʔin.2 si:.2
3.596	owl	je:u.3
3.61	dog	hɛ:ŋ.6
3.614	rabbit	wa:u.4
3.62	cat	kha:ŋ.6 kha:u.2
3.622	opossum	nok.6 kɛ:u.5
3.63	mouse, rat	ka:.1
3.65	fish	nok.6 khau.1
3.652	fin (dorsal)	nok.6 phi.6 la:p.4
3.653	fishscale	nok.6 kau.6
3.654	gill	nok.6 ka.7 tha:.2
3.655	shell	nok.6 na:ŋ.2 ʔɛ:n.3
3.661	shark	nok.6 ńu:ŋ.2
3.662	porpoise, dolphin	kai.3 fa:.6
3.663	whale	ma:.1
3.664	stingray	ka.7 ta:i.3
3.665	freshwater eel	sɨ:a.1 dam.2
3.71	wolf	sɨ:a.1
3.72	lion	mɛ:u.2
3.73	bear	nu:.1
3.74	fox	pa:.1
3.75	deer	khi:p.4 laŋ.1
3.76	monkey	ket.7 pa:.1
3.77	elephant	ŋɨ:ak.3 pa:.1
3.78	camel	hɔ:i.1
3.81	insect	pu:.1
3.811	louse	kuŋ.5
3.812	nit (louse egg)	pa:.1 cha.7 la:m.1
3.813	flea	pa:.1 lo:.2 ma:.2
3.814	centipede	pa:.1 wa:n.2
3.815	scorpion	pa:.1 ka.7 be:n.2
3.816	cockroach	pa:.1 ńi:an.4
3.817	ant	ma:.1 pa:.3
3.818	spider	siŋ.1 to:.2
3.819	spider web	mi:.1
3.82	bee	ma:.1 ciŋ.5 cɔ:k.3
3.821	beeswax	ka.7 lɔ:k.4
3.822	beehive	ba:ŋ.3
3.823	wasp	men.4
3.83	fly	na:k.4
3.831	sandfly (midge), gnat	kwa:ŋ.1
3.832	mosquito	ke:ŋ.5
3.84	worm	ŋua.2 pa:.3
3.85	snake	liŋ.2
3.91	firefly	ca:ŋ.6
3.92	butterfly	ŋuaŋ.2 ca:ŋ.6
3.93	grasshopper	ʔu:t.3
3.94	snail	mɛ:ŋ.2
3.95	frog	hau.1; lo:n.2
3.96	lizard	khai.3 hau.1
3.97	crocodile, alligator	mat.7
3.98	turtle	mɛ:ŋ.2 sɛ:n.1 ti:n.1
4.11	body	cak.7 khep.7
4.12	skin, hide	mɛ:ŋ.2 sa:p.3
4.13	flesh	mot.6
4.14	hair (head)	ka.7 puŋ.6
4.142	beard	ńai.2 ka.7 puŋ.6
4.144	body hair	pɣ:ŋ.5
4.145	pubic hair	khi:.5 pɣ:ŋ.5
4.146	dandruff	haŋ.2 pɣ:ŋ.5
4.15	blood	tɔ:.3
4.151	vein, artery	puak.3
4.16	bone	mɛ:ŋ.2 ŋo:n.2
4.162	rib	hin.6
4.17	horn	ńuŋ.2
4.18	tail	mɔ:t.4
4.19	back	nɔ:n.1 ka.7 bɣ:.5
4.191	spine	nɔ:n.1
4.2	head	nɔ:n.1
4.201	side of head, temple	cak.7 can.3
4.202	skull	ci.7 kuŋ.3
4.203	brain	piŋ.1
4.204	face	ta:k.4
4.205	forehead	ŋu:.2
4.207	jaw	ŋu:.2 lɨ:am.1
4.208	cheek	hiŋ.3 hɔ:i.5
4.209	chin	ka.7 bɣ:.5
4.21	eye	cak.7 tɛ:n.1
4.212	eyebrow	hɔ:i.1 ta:k.4
4.213	eyelid	kop.7
4.214	eyelash	cak.7 kin.5
4.215	blink	hi:a.5
4.22	ear	tok.7 to:.2
4.221	earlobe	ca.7 khe:.5
4.222	earwax	tau.3
4.23	nose	tua.1
4.231	nostril	naŋ.1
4.232	mucus (nasal)	ci:n.6
4.24	mouth	phom.1
4.241	beak	khau.2
4.25	lip	khon.1
4.26	tongue	mɔ:i.1
4.27	tooth	khi:.5 haŋ.2 kɛ:.2
4.271	gums	hɨ:a.3
4.272	molartooth	lɨ:at.4
4.28	neck	sen.5 lɨ:at.4 ńai.3
4.281	nape of neck	ʔen.2
4.29	throat	ka.7 du:k.3
4.3	shoulder	khai.1 ka.7 du:k.3
4.301	shoulderblade	si:.4 kho:ŋ.2
4.302	collarbone	khau.1
4.31	arm	ha:ŋ.1
4.312	armpit	laŋ.1
4.32	elbow	ka.7 du:k.3 san.1 laŋ.1
4.321	wrist	hua.1
4.33	hand	ŋi:p.3
4.331	palm of hand	ka.7 lo:k.3
4.34	finger	ʔɔŋ.3 ʔɔ:.2
4.342	thumb	na:.5
4.344	fingernail	na:.5 pha:k.3
4.345	claw	ka:m.2
4.35	leg	kɛ:m.5
4.351	thigh	ka:ŋ.2
4.352	calf of leg	ta:.1
4.36	knee	kiu.6
4.37	foot	naŋ.1 ta:.1
4.371	ankle	khon.1 ta:.1
4.372	heel	phap.6 ta:.1; li:.3 ta:.1
4.374	footprint	hu:.1
4.38	toe	tiŋ.3 hu:.1
4.392	wing	khi:.5 hu:.1
4.393	feather	hu:.2 daŋ.2
4.4	chest	hu:.2 hu:.2 daŋ.2
4.41	breast (of woman)	khi:.5 mu:k.4
4.412	nipple, teat	pa:k.3
4.42	udder	him.2 pa:k.3
4.43	navel	lin.6
4.44	heart	khiau.5
4.441	lung	ŋa:.2; ŋɨ:ak.3
4.45	liver	khiau.5 kau.6
4.451	kidney	khɔ:.2
4.452	spleen	ŋɔ:n.4
4.46	stomach	khɔ:.2
4.461	intestines, guts	lai.3
4.462	waist	sa.7 bak.7
4.463	hip	ka.7 du:k.3 hai.1 pa:.2 la:.6
4.464	buttocks	khɛ:n.1
4.47	womb	kau.6 hɛ:.6
4.49	testicle	khɔ:.5 sɔ:k.3
4.492	penis	khɔ:.5 mɨ:.2
4.51	breathe, breath	mɨ:.2
4.52	yawn, gape	fa:.3 mɨ:.4
4.521	hiccough	niu.6
4.53	cough	niu.6 hua.1 mɛ:.4 mɨ:.2
4.54	sneeze	lep.6
4.55	perspire	lep.6 sat.7
4.56	spit	kha:.1
4.57	vomit	kau.6 kha:.1
4.58	bite	nɔ:ŋ.4
4.59	lick	khau.3
4.591	dribble	ti:n.1
4.61	sleep	khɔ:.5 ti:n.1
4.612	snore	son.5 ti:n.1
4.62	dream	hɔ:i.2 ti:n.1
4.63	wake up	niu.6 ti:n.1
4.64	break wind	pi:k.3
4.65	urinate	khon.1
4.66	defecate	ʔok.7
4.67	have sexual intercourse	na:.3 ʔok.7
4.68	shiver	hua.1 nom.2
4.69	bathe	tau.5 nom.2
4.71	beget (of father)	sa.7 dɨ:.2
4.72	born (to be)	hua.1 cai.1
4.73	pregnant	pɔ:t.3
4.732	conceive	tap.7
4.74	live, living, life	tai.1
4.75	die, dead	ma:m.6
4.751	drowned	tuŋ.1 na:m.6 di:.2
4.76	kill	khi:.5 pum.1
4.77	corpse	ka.7 phɔ.6
4.78	bury (the dead)	sai.5
4.79	grave, tomb	ʔɛ:u.2
4.81	strong, mighty, powerful	sa.7 pho:k.4
4.82	weak	kon.5
4.83	well, health	hu:.2 khi:.5
4.84	sick, sickness	mot.6
4.841	fever	kha.7 lam.1
4.842	goiter	kho:i.2
4.843	cold (catarrh)	chɔŋ.4 khɔ:t.4
4.85	wound, sore	lom.2 ha:i.1 cai.1
4.852	bruise	ha:u.1
4.853	swelling	kɛ:n.6
4.854	itch	ʔai.2
4.855	blister	ca:m.1
4.856	boil (noun)	hɨ:a.3 ʔɔ:k.3
4.857	pus	na:m.6 la:i.2
4.858	scar	thom.3 na:m.6 la:i.2
4.86	cure, heal	ha:k.4
4.87	physician	khop.7
4.88	medicine, drug	lɔk.4
4.89	poison	li:a.2
4.91	tired, weary	lai.1
4.912	rest	lap.7
4.92	lazy	khon.1
4.93	bald	fan.1
4.94	lame	luk.6
4.95	deaf	tɨ:n.3
4.96	mute	lot.7
4.97	blind	ńi:au.4
4.98	intoxicated	khi:.5
4.99	naked, bare	na.6 hi:.1
5.11	eat	san.3
5.12	food	ʔa:p.3 na:m.6
5.121	cooked	kɣ:t.3
5.122	raw	kɣ:t.3
5.123	ripe	kɣ:t.3
5.124	green, unripe	ma:n.2
5.125	rotten	kɨt.7
5.13	drink	ju:.3
5.14	hunger	ta:i.1
5.141	famine	com.2 na:m.6 ta:i.1
5.15	thirst	kha:.4
5.16	suck	sop.7
5.18	chew	faŋ.1
5.181	swallow	pa:.3 hɛu.5
5.19	choke	khɛ:ŋ.1 lɛ:ŋ.2
5.21	cook	khi:.5 pi:a.5
5.22	boil (vb)	tui.5 ti:.1 di:.2 ŋa:m.1
5.23	roast, fry	mɣi.4
5.24	bake	mɣi.4
5.25	oven	khɔ:.2 ʔɣ:m.2
5.26	pot, cooking vessel	pen.2 wat.7
5.27	kettle	lu.6 tɔ:ŋ.6
5.28	pan	cep.7
5.31	dish	cam.6
5.32	plate	pɔ:ŋ.2
5.33	bowl	pɔ:ŋ.2; khan.2
5.34	pitcher, jug	tum.3
5.35	cup, drinking vessel	fi:.1
5.36	saucer	nɔ:ŋ.1
5.37	spoon	pen.2 phɛ:.1
5.38	knife	hak.6 sa:.1
5.39	fork	mɔ:.1
5.391	tongs	ja:.1
5.41	meal (a)	ja:.1 bɨ:a.3
5.42	breakfast	wa:ŋ.2 ja:.1 bɨ:a.3
5.43	lunch	ʔit.7
5.44	dinner	phak.6
5.45	supper	khi:.5 kha:n.6
5.46	peel	hua.1 la:n.6
5.47	sieve, strain	kha:.1 do.7
5.48	scrape	hu:.1 nuak.3
5.49	stir, mix	pen.2 bai.5
5.51	bread	ta:.2 bɔ:t.3
5.53	dough	mau.2
5.54	knead	pɣ:i.1
5.55	meal, flour	kin.1
5.56	crush, grind	kho:ŋ.1 kin.1
5.57	mill	suk.7
5.58	mortar	dip.7
5.59	pestle	suk.7
5.61	meat	dip.7
5.63	sausage	nau.4
5.64	soup, broth	kin.1
5.65	vegetables	kai.4 ja:k.3
5.66	bean	kai.4 ja:k.3 kha.7 na:t.3
5.7	potato	khɔ:.2 hɛ:ŋ.5
5.71	fruit	du:t.3
5.712	bunch	kiau.6
5.75	fig	lɨ:n.2
5.76	grape	kɛ:n.6
5.77	nut	ńa.6 kin.1
5.78	olive	tom.5
5.79	oil	ja:ŋ.4
5.791	grease, fat	ʔop.7
5.81	salt	haŋ.2 lo:.2
5.82	pepper	mɔ:.5
5.821	chili pepper	ka:.1
5.84	honey	mɔ:.5 kha:ŋ.1
5.85	sugar	thuai.5 bɛ:n.2
5.86	milk (noun)	thuai.5 bɛ:n.2
5.87	milk (vb)	thuai.5
5.88	cheese	jɨ:ak.3
5.89	butter	kɛ:u.5
5.9	beverage, drink	tho:i.5
5.91	mead	cɔ:n.6
5.92	wine	mi:t.4
5.93	beer	sɔ:m.5
5.94	fermented drink	ki:m.2
5.97	egg	kha:p.4
5.971	egg yolk	khau.5 ŋa:i.2
6.11	put on (clothes)	khau.5 tɔ:n.2
6.12	clothing, clothes	khau.5 lɛ:ŋ.2
6.13	tailor	khau.5 lɛ:ŋ.2
6.21	cloth	pɔ:k.3
6.22	wool	ka.7 sɔ:n.2
6.23	linen, flax	khu:t.3
6.24	cotton	kon.2
6.25	silk	kha.7 nom.1 paŋ.2
6.27	felt	khau.5 pɛ:ŋ.5
6.28	fur	pan.5
6.29	leather	pɛ:ŋ.5
6.31	spin	tam.1
6.32	spindle	bot.7
6.33	weave	hɣ:ŋ.1
6.34	loom	mo:.4
6.35	sew	khok.6
6.36	needle	kɛ:n.3 khok.6
6.37	awl	ci:n.6
6.38	thread	sai.3 kɔ:k.3
6.39	dye	na:m.6 kɛ:ŋ.1
6.41	cloak	phak.7
6.411	poncho	thua.3
6.42	woman's dress	khau.5 min.5
6.43	coat	hɔ:m.1 tiam.2
6.44	shirt	hɔ:m.1 bua.3
6.45	collar	pik.6
6.46	skirt	ŋa:.2
6.461	grass-skirt	khiŋ.1
6.48	trousers	ba.7 tɛ:ŋ.1
6.49	stocking, sock	ba.7 khɨ:a.2
6.51	shoe	man.2 ʔa.7 lu:.2
6.52	boot	som.5
6.54	shoemaker, cobbler	cɔ:.4
6.55	hat, cap	pa.7 dɨ:a.3
6.57	belt, girdle	ʔa.7 ŋun.3
6.58	glove	ba.7 thua.3
6.59	veil	ba.7 kɔ:k.3
6.61	pocket	na:m.6 man.2
6.62	button	khai.1
6.63	pin	ʔuan.5
6.71	ornament, adornment	phɔ:m.1
6.72	jewel	kɨ:a.1
6.73	ring (for finger)	pik.6 nɔ:i.6
6.74	bracelet	pik.6
6.75	necklace	na:m.6 phɨŋ.5
6.76	bead	na:m.6 ta:n.1
6.77	earring	nom.2
6.78	headband, headdress	bi:t.3 nom.2
6.79	tattoo	nɣ:i.2
6.81	handkerchief, rag	nɣ:i.2
6.82	towel	na:m.6
6.91	comb	la:u.5 na:m.6 phɨŋ.5
6.92	brush	la:u.5 ʔa.7 ŋun.3
6.921	braid	bi:a.2
6.93	razor	lau.5
6.94	ointment	khai.3
6.95	soap	khai.3 mɔ:n.2 dɛ:ŋ.2
6.96	mirror	tɛ:ŋ.3 tua.1
7.11	dwell, live	sɨ:a.5 pha:.5
7.12	house	khon.2 tat.7 sɨ:a.5
7.13	hut	pha:.5
7.131	garden-house	pha:.5 khon.1 sat.7
7.14	tent	pha:.5 pa:n.3
7.15	yard, court	pha:.5 fa:i.5
7.16	men's house	pha:.5 mai.1
7.17	cookhouse	pha:.5 sak.7 ka.7 la:t.3
7.18	meeting house	pha:.5 khon.1 sat.7
7.21	room	naŋ.1
7.22	door, gate	pan.3
7.221	doorpost, jamb	dɣ:i.2
7.23	lock (noun)	sa:n.1
7.231	latch, door-bolt	khɨ:aŋ.4 thɔ:.2 pha:.5
7.24	key	ńip.6 pha:.5
7.25	window	khem.1
7.26	floor	sa.7 wa:n.3
7.27	wall	da:i.5
7.31	fireplace	ńɔ:m.6 si:.1
7.32	stove	pok.7
7.33	chimney	pha:.5 pok.7 hua.1
7.37	ladder	sɨ:a.5 pha:.5 mɛ:.4 ńiŋ.1
7.42	bed	sɨ:a.5 khum.2
7.421	pillow	sɨ:a.5 chɣ:t.6
7.422	blanket	pok.7 sɨ:a.5
7.43	chair	ka.7 po:ŋ.2
7.44	table	ka.7 po:ŋ.2 ńa:.5
7.45	lamp, torch	teu.3
7.46	candle	pha:.5 tɔŋ.3
7.47	shelf	thuŋ.1 nɔ:ŋ.4
7.48	trough	kɨ:ak.3
7.51	roof	kɨ:ak.3 hum.5 khɔ:.5
7.52	thatch	khon.2 tɛ:ŋ.3 kɨ:ak.3
7.53	ridgepole	mu:ak.3
7.54	rafter	sai.1 ha:ŋ.6
7.55	beam	thuŋ.1 mɨ:.2
7.56	post, pole	pha:.5 pok.7 na:.5
7.57	board	ka.7 pau.1 sɨ:a.5
7.58	arch	ba.7 tom.3
7.61	mason	khem.1 klat.7
7.62	brick	khɨ:ŋ.4 pa.7 dap.7
7.63	mortar	phet.6
7.64	adobe	wɛ:n.1
8.11	farmer	kam.2 lai.2
8.12	field (for cultivation)	sa:i.1 khɔ:.2
8.13	garden	lu:k.4 pat.7
8.15	cultivate, till	wɔ:ŋ.6 hu:.1
8.16	fence	pha:.5 pok.7 hua.1
8.17	ditch	sak.7
8.21	plow	pha:.5 cet.6 na:.5
8.212	furrow	pha:.5 cet.6 tua.1
8.22	dig	wi:.1
8.23	spade	wi:.1 phom.1
8.24	shovel	pɛ:ŋ.2
8.25	hoe	pi:a.2 phom.1
8.26	fork	mi:t.4 ko:n.2
8.27	rake	khi:.5 pɣ:ŋ.5
8.31	sow	sa.7 bu:.3
8.311	seed	wɛ:n.4
8.32	mow, reap	ju:.3
8.33	sickle, scythe	ba:n.5
8.34	thresh	tu:p.3
8.35	threshing-floor	tu:p.3 nɔ:i.6
8.41	crop, harvest	ten.6
8.42	grain (barley, oats etc)	khuaŋ.3
8.43	wheat	ba:n.5
8.44	barley	ho:ŋ.2 khua.2
8.45	rye	sa:.1 la:.2
8.46	oats	hɔ:ŋ.5
8.47	maize, corn	pa.7 tu:.1
8.48	rice	sau.1 pa.7 tu:.1
8.51	grass	bɔ:.3 mi:.1
8.52	hay	kɔ:n.1
8.53	plant (noun)	kha.7 cɛ:.1
8.531	plant (vb)	na:.5 ta:ŋ.3
8.54	root	pɨ:n.6
8.55	branch	kam.2 pɛ:ŋ.2
8.56	leaf	tau.1
8.57	flower	haŋ.2 lo:.2
8.6	tree	pɔ:ŋ.3 fai.2
8.61	oak	kha.7 dai.2
8.62	beech	ti:aŋ.2
8.63	birch	mɔ:n.1
8.64	pine	pha:.5 hom.3
8.65	fir	ka:u.5 ʔi:.5
8.66	acorn	to.7
8.67	vine	ta.7 ki:aŋ.2
8.68	tobacco	ti:an.2
8.69	smoke (tobacco)	hiŋ.5
8.691	pipe	tɔ:.4 na:m.6
8.72	tree stump	laŋ.1 kha:.2
8.73	tree trunk	laŋ.1 kha:.2 bai.2 ca:k.3
8.74	forked branch	laŋ.1 kha:.2 ńa:.5
8.75	bark	pɛ:.2 cɔ:ŋ.1
8.76	sap	can.2 than.2
8.81	palm tree	khɨ:.3
8.82	coconut	sau.1
8.83	citrus fruit	mai.6 pɛ:n.5
8.84	banana tree	sum.6 pa.7 tu:.1
8.85	banyan	sa.7 la:.3
8.91	sweet potato	ba.7 din.2 ki:.3
8.912	yam	pu:n.2 si:.2 me:n.2
8.92	tapioca, manioc, cassava	ba.7 din.2 ki:.3 khi:.5 din.2
8.93	gourd	ca:u.2 na:.2
8.931	pumpkin, squash	toŋ.4
8.94	bamboo	toŋ.4
8.941	sugar cane	su:an.1
8.96	fish poison (root)	pu:k.3
8.97	nettle	hua.6
8.98	mushroom	hɔ:ŋ.4
9.11	do, make	thai.1
9.12	work	hɔ:ŋ.4 khi:.5 din.1
9.14	bend	khut.7
9.15	fold	si:am.1
9.16	tie, bind	lua.4
9.161	untie	ka.7 bok.7
9.18	chain	sɔ:m.5
9.19	rope, cord	khɔ:.1 kɔ.7 khi:.5 jɨa.4
9.192	knot (noun)	wa:n.3
9.21	strike (hit, beat)	met.6 phak.7
9.211	pound with fist	kiau.3 ńa.5
9.22	cut	khiau.2
9.221	cut down	nuat.4 khau.5
9.222	chop, hew	khuaŋ.3 khau.5
9.223	stab	khau.5
9.23	knife	met.6 khau.5
9.24	scissors, shears	khau.5 sa:.1 li:.2
9.25	ax	khau.5 ba:.2 le:.4
9.251	adze	khau.5 lai.6
9.26	break	khau.5 ʔo:t.6
9.261	broken	khau.5 sa:.1 lo:.2
9.27	split	khau.5 ca:u.5
9.28	tear	khau.5 pɨ:ak.3
9.29	flay, skin	khau.5 sa:n.1; met.6 khau.5
9.31	rub, wipe	kɛ:p.3
9.32	stretch	fɨ:aŋ.2
9.33	pull	khau.5 fa:ŋ.4
9.34	spread out	ńa:.5
9.341	hang up	fɨ:aŋ.2
9.342	press	ton.5 mai.6
9.343	squeeze, wring	pu:k.3
9.35	pour	ha:k.4
9.36	wash	tɔ:.2 mai.6
9.37	sweep	kiŋ.3 mai.6
9.38	broom	bai.2 mai.6
9.422	tool	na:m.1
9.43	carpenter	dɔ:k.3 mai.6
9.44	build	ton.5 mai.6
9.46	bore	ton.5 ʔo:k.6
9.461	hollow out	ton.5 mai.6
9.48	saw	ton.5 bɣ:t.6
9.49	hammer	mai.6 son.1
9.5	nail	ton.5 son.1 bai.2 khem.1
9.56	glue	nuai.3 ton.5 ʔo:k.6
9.6	smith, blacksmith	khɨ:a.2 ʔa.7 ŋun.2
9.61	forge	bai.2 ja:.2 su:p.3
9.62	anvil	su:p.3 bu>7 li:.3; ja:.2 su:p.3
9.63	cast (metals)	kɔŋ.5 mu:.3 ja:.2
9.64	gold	ma:k.3
9.65	silver	tɔ:.2 mai.6
9.66	copper, bronze	kiŋ.3 mai.6
9.67	iron	ka:n.5
9.68	lead (noun)	pɨ:ak.3
9.69	tin, tinplate	ja:ŋ.2
9.71	potter	pa:m.2
