entry_id	trans_english	Shan_Phonemic
2.25	boy	ma-nuk.5-saʔ.4
2.251	young man (adolescent)	phu:.4 ca:j.1
2.26	girl	mɛ:.4 jiŋ.1
2.261	young woman (adolescent)	cə:.5 kon.1 ca:j.1
2.27	child	cə:.5 kon.1 jiŋ.1
2.28	infant, baby	luk.4 ʔɔ:n.2 ca:j.1
2.31	husband	ca:j.1 num.2
2.32	wife	luk.4 ʔɔ:n.2 jin.1
2.33	marry	mɛ:.4 jiŋ.1 sa:w.3
2.34	marriage, wedding	luk.4 ʔɔ:n.2
2.341	divorce	luk.4 ʔɔ:n.2 lɛ:ŋ.3
2.35	father	pho:.3; sa:.3-miʔ.4
2.36	mother	me:.1; phe:.2-li.2-ja:.2
2.37	parents	kin.3 khɛ:k.2
2.38	married man	pɔ:j.1 kin.3 khɛ:k.2
2.39	married woman	pɛ:t.4 kan.3
2.41	son	ʔu:.4
2.42	daughter	mɛ:.4
2.43	offspring (son or daughter)	ʔu:.4 mɛ:.4
2.44	brother	pɔ:.4 hə:n.1
2.444	older brother	mɛ:.4 hə:n.1
2.445	younger brother	luk.4 ca:j.1
2.45	sister	luk.4 sa:w.3
2.454	older sister	cə:.5 khə:.1
2.455	younger sister	pi:.4; nɔ:ŋ.5
2.456	sibling	pi:.4 ʔa:j.4
2.458	twins	nɔ:ŋ.5 ca:j.1
2.46	grandfather	pi:.4; nɔ:ŋ.5
2.461	old man	pi:.4 sa:w.3
2.47	grandmother	nɔ:ŋ.5 sa:w.3
2.471	old woman	pi:.4 nɔ:ŋ.5
2.48	grandson	pha:.3-phɛ:.3
2.49	granddaughter	pu:.2; khiŋ.1 mɔn.2
2.51	uncle	kon.1 ca:j.1 kɛ:.2; kon.1 ca:j.1 thaw.4
2.511	mother's brother	ʔɔ:k.2; ja:.4
2.512	father's brother	jiŋ.1 kɛ:.2; jiŋ.1 thaw.4
2.52	aunt	la:n.3 ca:j.1
2.521	mother's sister	la:n.3 sa:w.3
2.522	father's sister	luŋ.1
2.53	nephew	na:.5; luŋ.1
2.54	niece	ʔa:.3; luŋ.1
2.55	cousin	pa:.4
2.56	ancestors	na:.5; pa:.4
2.57	descendants	ʔa:.3; pa:.4
2.61	father-in-law (of a man)	la:n.3 ca:j.1
2.611	father-in-law (of a woman)	la:n.3 sa:w.3
2.62	mother-in-law (of a man)	pi:.4 nɔ:ŋ.5
2.621	mother-in-law (of a woman)	cə:.5 khə:.1 cen.4 pɔ:.4 cen.4 mɛ:.4
2.63	son-in-law (of a man)	kɔ:.5 put.4 ʔaw.3 na:.4 hə:n.1
2.631	son-in-law (of a woman)	pɔ:.4 pho:.3
2.64	daughter-in-law (of a man)	pɔ:.4 me:.1
2.641	daughter-in-law (of a woman)	mɛ:.4 pho:.3
2.71	stepfather	mɛ:.4 me:.1
2.72	stepmother	luk.4 khwoj.3
2.73	stepson	luk.4 khwoj.3
2.74	stepdaughter	luk.4 paj.4
2.75	orphan	luk.4 paj.4
2.76	widow	pɔ:.4 sɨ:p.2
2.77	widower	mɛ:.4 sɨ:p.2
2.81	relatives, kinsmen	luk.4 cap.1 pɔ:.4 cap.1 mɛ:.4
2.82	family	luk.4 cap.1 pɔ:.4 cap.1 mɛ:.4
2.91	I	luk.4 ʔam.2 mi:.1 pɔ:.4 mi:.1 mɛ:.4
2.92	you (singular)	mɛ:.4 ma:j.4; mɛ:.4 ha:ŋ.5
2.93	he/she/it	pɔ:.4 ma:j.4; pɔ:.4 ha:ŋ.5
2.94	we	cə:.5 khə:.1 liaw.3 kan.3
2.941	we (inclusive)	na:.4 hə:n.1
2.942	we (exclusive)	kha:.4
2.95	you (plural)	su:.3 caw.4
2.96	they	man.1
3.11	animal	haw.1
3.12	male (adj)	haw.1
3.13	female (adj)	cujj.1 haw.1
3.15	livestock	haw.1 sɔ:ŋ.3 kɔ:.5; haw.1 sɔ:ŋ.3 kɔ:.5
3.16	pasture	cum.1 su:.3
3.18	herdsman	su:.3 taŋ.1 sɔ:ŋ.3 kɔ:.5
3.19	stable, stall	cum.1 khaw.3
3.2	cattle (bovine)	sat.1
3.21	bull	phu:.4 ca:j.1
3.22	ox	mɛ:.4 jiŋ.1
3.23	cow	phuŋ.3 sat.1
3.24	calf	ti:.4 pɔj.2 wo:.1 kwa:j.1
3.25	sheep	kon.1 le:ŋ.5 wo:.1 kwa:j.1
3.26	ram	khɔ:k.4 wo:.1 khɔ:k.4 kwa:j.1
3.28	ewe	wo:.1 kwa:j.1
3.29	lamb	wo:.1 to:.3 pɔ:.4
3.32	boar	wo:.1 to:.3 pɔ:.4
3.34	sow	wo:.1 to:.3 mɛ:.4
3.35	pig	luk.4 wo:.1 kwa:j.1
3.36	goat	kwa:j.1
3.37	he-goat	kɛ.5
3.38	kid	kɛ.5 to:.3 pɔ:.4
3.41	horse (equine)	kɛ.5 to:.3 mɛ:.4
3.42	stallion	luk.4 kɛ.5; nə:.5 kɛ.5
3.44	mare	mu:.3 thə:n.2 to:.3 pɔ:.4
3.45	foal, colt	mu:.3 to:.3 mɛ:.4
3.46	ass, donkey	mu:.3
3.47	mule	pɛ.5
3.5	fowl	pɛ.5 to:.3 pɔ:.4
3.52	cock, rooster	luk.4 pɛ.5 to:.3 lek.5
3.54	hen	ma:.5
3.55	chicken	ma:.5 to:.3 pɔ:.4
3.56	goose	ma:.5 to:.3 mɛ:.4
3.57	duck	luk.4 ma:.5 to:.3 pɔ:.4; luk.4 ma:.5; luk.4 la:.1; luk.4 ma:.5 to:.3 pɔ:.4; luk.4 ma:.5; luk.4 la:.1
3.58	nest	la:.1
3.581	bird	ma:.5 lɔ:.4
3.582	seagull	sat.1 mi:.1 pi:k.2
3.583	heron	kaj.2 to:.3 pɔ:.4
3.584	eagle	kaj.2 mɛ:.4
3.585	hawk	kaj.2
3.586	vulture	ha:n.2
3.591	bat	pet.1
3.592	parrot	ha:ŋ.1
3.593	crow	nok.5
3.594	dove	nok.5 na:ŋ.1 no:n.1
3.596	owl	nok.5 ka:.3 kha:p.2
3.61	dog	huŋ.5
3.614	rabbit	huŋ.5 jew.4
3.62	cat	la:ŋ.1-ta.5
3.622	opossum	huŋ.5 jew.4 ʔɔ:n.2; ka:.3 wa:w.2
3.63	mouse, rat	paŋ.2-pla:.5; miŋ.2
3.65	fish	nok.5 khew.3
3.652	fin (dorsal)	ka:.3 lam.3
3.653	fishscale	nok.5 tu:.4
3.654	gill	ka:.3 ʔɨ:.4
3.655	shell	nok.5 kaw.5 ta:.3 mɛ:w.1
3.661	shark	nok.5 khum.4
3.662	porpoise, dolphin	nok.5 ʔɛn.2 pha:.5
3.663	whale	nok.5 juŋ.1
3.664	stingray	kaj.2 pha:.5
3.665	freshwater eel	ma:.3
3.71	wolf	pa:ŋ.3-ta:j.1
3.72	lion	lin.4
3.73	bear	sə:.3 lam.3
3.74	fox	sə:.3
3.75	deer	mɛ:w.1
3.76	monkey	he:n.3
3.77	elephant	naj.2
3.78	camel	nu:.3
3.81	insect	pa:.3
3.811	louse	kɨŋ.1 pa:.3
3.812	nit (louse egg)	ket.1 pa:.3
3.813	flea	hə:k.2 pa:.3
3.814	centipede	hɔ:j.3
3.815	scorpion	pu:.3
3.816	cockroach	kuŋ.4
3.817	ant	pa:.3 sa.1-la:m.3
3.818	spider	pa:.3 lo:.1-ma:.1
3.819	spider web	pa:.3 wa:n.3
3.82	bee	pa:.3 tɛp.1
3.821	beeswax	pa:.3 je:n.2
3.822	beehive	ma:.3 hɛw.3
3.823	wasp	sa:ŋ.2-si:.4
3.83	fly	mi:.3
3.831	sandfly (midge), gnat	ma:.3 lin.3
3.832	mosquito	cɔn.4
3.84	worm	cɔn.4 min.3
3.85	snake	me:n.4
3.91	firefly	mo:n.4
3.92	butterfly	kwa:ŋ.3
3.93	grasshopper	pha:n.1
3.94	snail	wo:.1 thə:n.2
3.95	frog	liŋ.1
3.96	lizard	ca:ŋ.5
3.97	crocodile, alligator	ŋo:ŋ.1 ca:ŋ.5
3.98	turtle	ka:.2-la:.1-ʔuk.5
4.11	body	mjɛ:ŋ.5
4.12	skin, hide	haw.3; men.1
4.13	flesh	khaj.2 haw.3
4.14	hair (head)	mat.1
4.142	beard	mɛ:ŋ.1 sa.2-la:ŋ.1
4.144	body hair	mɛ:ŋ.1 kon.4 ŋɔ:.1
4.145	pubic hair	mɛ:ŋ.1 sa:p.2
4.146	dandruff	mot.5
4.15	blood	koŋ.2-ka:w.3
4.151	vein, artery	jaj.1 koŋ.2-ka:w.3
4.16	bone	phɨŋ.4
4.162	rib	khi:.4 phɨŋ.4
4.17	horn	ho:ŋ.1 phɨŋ.4
4.18	tail	to:.3 tɔ:.2
4.19	back	po:k.2
4.191	spine	mjɛ:ŋ.1 mon.1
4.2	head	hin.5; cak.1-hep.1
4.201	side of head, temple	juŋ.1
4.202	skull	mɔt.4
4.203	brain	nɔ:n.3 ka:p.2-mə:.4
4.204	face	nɔ:n.3
4.205	forehead	mɛ:ŋ.1 to:.3 lek.5
4.207	jaw	cak.1-ca:.4
4.208	cheek	cak.1-khaj.2-na:.1
4.209	chin	piŋ.3
4.21	eye	tjɛk.5
4.212	eyebrow	ŋu:.1
4.213	eyelid	ŋu:.1 lə:m.3
4.214	eyelash	hiŋ.2-hɔ:j.4
4.215	blink	ka:p.2-mə:.4
4.22	ear	cak.1-tə:n.3
4.221	earlobe	hɔ:j.3
4.222	earwax	kop.1
4.23	nose	cəŋ.5-hə:n.1
4.231	nostril	lɛ:n.1
4.232	mucus (nasal)	tɔk.5-kɛ:.5
4.24	mouth	ŋə:k.4
4.241	beak	taw.2
4.25	lip	to:.3
4.26	tongue	naŋ.3
4.27	tooth	nə:.5
4.271	gums	khon.3 ho:.3
4.272	molartooth	mɔ:j.3 ka:ŋ.1
4.28	neck	khon.3
4.281	nape of neck	mɔ:j.3 kwaj.1; mɔ:j.3 hi:.3
4.29	throat	khi:.4 ho:.3
4.3	shoulder	hə:.2
4.301	shoulderblade	lə:t.4
4.302	collarbone	sa:j.3 lə:t.4 lɛ:ŋ.3; sa:j.3 lə:t.4 lam.3
4.31	arm	ʔe:n.3; sa:j.3 ʔe:n.3
4.312	armpit	lup.2
4.32	elbow	nam.5 man.1 lup.2; ʔɔk.1 lup.2
4.321	wrist	lup.2 si:.4 khaŋ.4
4.33	hand	khaw.3; khaw.3 sat.1
4.331	palm of hand	ha:ŋ.3; ha:ŋ.3 wo:.1 kwa:j.1
4.34	finger	laŋ.3; kɔ:ŋ.1 laŋ.3
4.342	thumb	lup.2 san.3 laŋ.3
4.344	fingernail	ho:.3; kɔk.1 ho:.3
4.345	claw	khi:.4-mɛp.5
4.35	leg	lup.2 ho:.3
4.351	thigh	ʔɔk.1-ʔɔ:.3
4.352	calf of leg	na:.4
4.36	knee	na:.4-pha:k.2
4.37	foot	lup.2 ka:ŋ.1
4.371	ankle	kɛ:m.4
4.372	heel	ka:ŋ.1
4.374	footprint	ta:.3
4.38	toe	khon.3 ta:.3
4.392	wing	naŋ.3 ta:.3
4.393	feather	khon.3 ta:.3
4.4	chest	phɛp.5 ta:.3; lap.1 ta:.3 kha:ŋ.4 lew.3
4.41	breast (of woman)	hu:.3
4.412	nipple, teat	tɔŋ.2 hu:.3
4.42	udder	khi:.4 hu:.3
4.43	navel	khu:.1-laŋ.3
4.44	heart	hu:.1 khu:.1-laŋ.3
4.441	lung	nam.5 khi:.4 mu:k.4
4.45	liver	sop.1
4.451	kidney	hɔ:n.3 taj.4 sop.1
4.452	spleen	him.1 sop.1
4.46	stomach	lin.5
4.461	intestines, guts	khew.4
4.462	waist	ŋa:.1; hə:k.2
4.463	hip	khew.4 lo:ŋ.3
4.464	buttocks	khɔ:.1
4.47	womb	ŋaw.4 khɔ:.1
4.49	testicle	lam.1 khɔ:.1
4.492	penis	ho:.3 wa:.3
4.51	breathe, breath	lup.2 pi:k.2 kaj.2
4.52	yawn, gape	lup.2 kha:ŋ.4 khɔ:.1
4.521	hiccough	khɛ:n.3
4.53	cough	keŋ.2-hɛ:.5
4.54	sneeze	ŋɔk.1 sɔ:k.2
4.55	perspire	khɔp.4 mɨ:.1
4.56	spit	mɨ:.1
4.57	vomit	pha:.2 mɨ:.1
4.58	bite	niw.5
4.59	lick	niw.5 puk.1
4.591	dribble	nep.5
4.61	sleep	ʔoŋ.4 nep.5
4.612	snore	kha:.3
4.62	dream	ŋaw.4 kha:.3; kha:.3 ʔɔ:n.2
4.63	wake up	tɔ:ŋ.2 nɔŋ.4
4.64	break wind	ho:.3 khaw.2
4.65	urinate	tin.3
4.66	defecate	khɔ:.4 tin.3
4.67	have sexual intercourse	son.4 tin.3
4.68	shiver	hɔ:j.1 tin.3
4.69	bathe	niw.5 tin.3; ho:.3 mɛ:.4 tin.3
4.71	beget (of father)	pik.2
4.72	born (to be)	khon.3
4.73	pregnant	ʔok.1
4.732	conceive	na:.4 ʔok.1; nom.1
4.74	live, living, life	ho:.3 nom.1
4.75	die, dead	taw.4 nom.1
4.751	drowned	sa:j.3-li:.3
4.76	kill	ho:.3 caj.3
4.77	corpse	pɔ:t.2
4.78	bury (the dead)	tap.1
4.79	grave, tomb	taj.3
4.81	strong, mighty, powerful	mam.5
4.82	weak	nam.5 li:.3
4.83	well, health	khi:.4-pum.3
4.84	sick, sickness	tɔŋ.5
4.841	fever	lam.1 saj.4
4.842	goiter	ʔɛ:w.3
4.843	cold (catarrh)	kum.2 kon.4
4.85	wound, sore	kon.4
4.852	bruise	hu:.1 kon.4
4.853	swelling	ho:ŋ.1 luk.4
4.854	itch	khaj.2 ham.3
4.855	blister	kwaj.1
4.856	boil (noun)	hi:.3
4.857	pus	lom.1 thoj.4-caɨ.3
4.858	scar	ha:w.3
4.86	cure, heal	khi:.4-ʔə:.5
4.87	physician	ʔaj.3
4.88	medicine, drug	khi:.4 ca:m.3
4.89	poison	hə:.2 ʔɔ:k.2
4.91	tired, weary	nam.5-la:j.1
4.912	rest	thom.2 nam.5-la:j.1
4.92	lazy	ʔɔ:.5; ha:k.4
4.93	bald	khop.1
4.94	lame	mɛ:p.4 lin.5
4.95	deaf	le:.1
4.96	mute	jɔ:j.5; laj.3
4.97	blind	nɔ:n.1 lap.1
4.98	intoxicated	nɔ:n.1 khon.3
4.99	naked, bare	phan.3
5.11	eat	luk.5
5.12	food	nɔ:n.1 tɨ:n.2
5.121	cooked	tɔ:ŋ.5 kaɨ.4; tɔ:ŋ.5 pɔ:ŋ.1; tot.1
5.122	raw	jew.4
5.123	ripe	khi:.4
5.124	green, unripe	ho:m.4 ka:.3-ma.1 kan.3 (Polite)
5.125	rotten	san.2
5.13	drink	ʔa:p.2 nam.5
5.14	hunger	het.1 haɨ.4 kə:t.2
5.141	famine	kə:t.2
5.15	thirst	haj.4 ma:.1 tɛ:.2
5.16	suck	pa:.1 tɔ:ŋ.5
5.18	chew	won.5 wa:.4; haj.4 ma:.1 tɛ:.2
5.181	swallow	caɨ.3
5.19	choke	ta:j.3
5.21	cook	com.3 nam.5 ta:j.3
5.22	boil (vb)	ʔaw.3 ta:j.3
5.23	roast, fry	to:.3 ta:j.3
5.24	bake	phaŋ.3
5.25	oven	pa:.2-hew.4; khum.3 pa:.2-hew.4
5.26	pot, cooking vessel	kɛn.2 khɛŋ.3
5.27	kettle	ʔo:n.4 ʔɔ:n.2
5.28	pan	to:.3 caɨ.3 jaŋ.1 li:.3
5.31	dish	ʔam.2 ju:.2 li:.3
5.32	plate	ʔam.2 ju:.2 li:.3
5.33	bowl	khɔ:.1 ʔɔ:m.1
5.34	pitcher, jug	pen.3 wat.1
5.35	cup, drinking vessel	tɔ:ŋ.5 kwa:.2
5.36	saucer	cep.1 moj.4
5.37	spoon	cep.1 cam.5 lam.3 khew.3
5.38	knife	kaɨ.4 kwa:.2 se:ŋ.4
5.39	fork	kaɨ.4; khom.1
5.391	tongs	pen.3 tɨŋ.2 pen.3 pom.3
5.41	meal (a)	siw.3
5.42	breakfast	nɔ:ŋ.3
5.43	lunch	hɔ:j.1 cep.1
5.44	dinner	ja:.3
5.45	supper	sa.2-la:.2 mɔ:.3 ja:.3
5.46	peel	ja:.3
5.47	sieve, strain	ʔi:.4-ja:.3 phit.1
5.48	scrape	hə:.5; cep.1 to:.3 kwa:.2 se:ŋ.4
5.49	stir, mix	lɨ:.4 hə:.5 lɨ:.4 caj.3
5.51	bread	kha:n.5
5.53	dough	ho:.3 ke:ŋ.4
5.54	knead	kha:.3 lu:.5; kha:.3 khɛ.5
5.55	meal, flour	hu:.3 no:k.2
5.56	crush, grind	ʔa.5
5.57	mill	ta:.3 mɔ:t.2
5.58	mortar	maw.1
5.59	pestle	ʔam.2 saj.2 sə:.4 kho:.1
5.61	meat	ki:n.3
5.63	sausage	khɔŋ.3 ki:n.3
5.64	soup, broth	khɔŋ.3 kin.3 ti:.4 huŋ.3 suk.1 jaw.4
5.65	vegetables	lip.1
5.66	bean	suk.1
5.7	potato	khew.3; ʔam.2 suk.1
5.71	fruit	naw.4; ʔam.2 li:.3 jaw.4
5.712	bunch	ki:n.3
5.75	fig	tɔ:ŋ.5 maj.4
5.76	grape	tɔ:ŋ.5 maj.4 na:.2; ʔam.2 laj.4 kin.3
5.77	nut	tɔ:ŋ.5 maj.4 saj.4 lə:t.2 na:.2
5.78	olive	lu:t.2; cim.1 to:j.1
5.79	oil	kew.5
5.791	grease, fat	ʔɨn.3
5.81	salt	kɛn.5
5.82	pepper	het.1 khaw.4 het.1 phak.1
5.821	chili pepper	tom.4
5.84	honey	ja:ŋ.4; kho:.4
5.85	sugar	phaw.3
5.86	milk (noun)	tha:ŋ.2 phaw.3
5.87	milk (vb)	mɔ:.4
5.88	cheese	ŋɔ:j.1 tom.4 nam.5
5.89	butter	mɔ:.4 kha:ŋ.3
5.9	beverage, drink	wa:n.2
5.91	mead	wa:n.2 phe:.3-le:.1
5.92	wine	wa:n.2 ca.2-luŋ.2; ʔa:ŋ.2
5.93	beer	taw.4 nam.5
5.94	fermented drink	kɔk.1 nam.5
5.97	egg	wa:n.2
5.971	egg yolk	cɔ.5
6.11	put on (clothes)	mit.4
6.12	clothing, clothes	cɔ.5 se:p.2
6.13	tailor	kim.1 ŋip.4
6.21	cloth	ta:.2 kin.3 khaw.4
6.22	wool	khaw.4 caw.5
6.23	linen, flax	khaw.4 wan.1
6.24	cotton	khaw.4 kham.4
6.25	silk	khaw.4 kham.4
6.27	felt	pɔ:k.2 pə:k.2
6.28	fur	ti:.4 thɔ:ŋ.3
6.29	leather	khu:t.2
6.31	spin	taw.3 khaw.4 kan.3
6.32	spindle	khaw.4-mun.1
6.33	weave	phɔ:ŋ.3 khaw.4 lɔ:.1 nam.5
6.34	loom	no:t.4; pan.4
6.35	sew	phɔ:ŋ.3 khaw.4
6.36	needle	khɨ:t.4
6.37	awl	lo:j.3
6.38	thread	hɔ:n.4
6.39	dye	loj.3 haj.4 pen.3 phɔ:ŋ.3
6.41	cloak	khok.5
6.411	poncho	sa:k.2
6.42	woman's dress	nə:.5 sat.1
6.43	coat	nə:.5 je:t.4 saj.4
6.44	shirt	nam.5 phak.1
6.45	collar	phak.1
6.46	skirt	tho:.2
6.461	grass-skirt	min.5
6.48	trousers	phak.1 mi:.2 kha:w.3
6.49	stocking, sock	phak.1 mi:.2 ho:.3 lɛ:ŋ.3; phak.1 mi:.2 ho:.3 lɛ:ŋ.3 lo:.3
6.51	shoe	phɔ:ŋ.3 ma:k.2 phit.5
6.52	boot	ŋa:.1
6.54	shoemaker, cobbler	khiŋ.3
6.55	hat, cap	tɛ:ŋ.3 ciŋ.3
6.57	belt, girdle	ma:k.2 khə:.3
6.58	glove	ʔa:.2-lu:.1
6.59	veil	ma:k.2 maj.5
6.61	pocket	ʔot.2 mɔ:k.2
6.62	button	ton.4 maj.5 huŋ.1
6.63	pin	ʔa.1-ŋun.2
6.71	ornament, adornment	tho:.2 pə:k.2 khɛŋ.3
6.72	jewel	ton.4 ma:k.2 kɔ:k.2
6.73	ring (for finger)	nam.5 man.1
6.74	bracelet	khaj.3 man.1
6.75	necklace	pi:.1
6.76	bead	jɔ:m.3
6.77	earring	kə:.3
6.78	headband, headdress	phit.5 pɔm.4
6.79	tattoo	ma:k.2 phit.5 phɔ:ŋ.3
6.81	handkerchief, rag	nam.5 phɨŋ.4
6.82	towel	kə:.3 wa:n.3
6.91	comb	nam.5 nom.1
6.92	brush	mi:p.2 nom.1
6.921	braid	thɔ:.1-pa:t.2 khɛŋ.3
6.93	razor	thɔ:.1-pa:t.2 tɛ:.5
6.94	ointment	khɔŋ.3 kin.3
6.95	soap	law.4 nam.5 phɨŋ.4
6.96	mirror	law.4 ma:k.2 ʔa.1-ŋun.2
7.11	dwell, live	pi:.2-ja:.2
7.12	house	law.4
7.13	hut	khaj.2
7.131	garden-house	khaj.2 lɛ:ŋ.3
7.14	tent	ha:ŋ.4 khə:ŋ.4
7.15	yard, court	nuŋ.4 sə:.4 pha:.4
7.16	men's house	mɔ:.3 tat.1 sə:.4
7.17	cookhouse	sə:.4 pha:.4
7.18	meeting house	khon.3 kɛ.5
7.21	room	pa:n.2; pɔ:.3
7.22	door, gate	maj.3
7.221	doorpost, jamb	maj.3
7.23	lock (noun)	maj.3 sak.1-ka.2-la:t.2
7.231	latch, door-bolt	khon.3 sat.1
7.24	key	naŋ.3
7.25	window	pan.2
7.26	floor	sa:.5 lek.5 sa:.5 ʔɔn.2
7.27	wall	tɔ:.1; sa:n.3; phaj.1 jɔ:j.1 khɛ:.2
7.31	fireplace	khə:ŋ.4 tɔ:.1 hu:k.2
7.32	stove	jep.5 pha:.4
7.33	chimney	khem.3
7.37	ladder	khə:ŋ.4 ci:.1 hu:.1
7.42	bed	maj.3 la:j.4
7.421	pillow	jɔ:m.5 si:.3
7.422	blanket	sə:.4 khum.1
7.43	chair	pha:.4 he:.4 ho:.3
7.44	table	sə:.4 pha:.4 phu:.4 jiŋ.1
7.45	lamp, torch	sə:.4 he:.4 ta:ŋ.1 nɔ:k.4
7.46	candle	sə:.4 mi:.1 ta:j.4 khɔ:.1
7.47	shelf	taj.4 khɔ:.1 sə:.4
7.48	trough	sin.4 pan.2 tuŋ.1
7.51	roof	sin.4 pha:.4 tɔ:ŋ.3
7.52	thatch	ko:n.3
7.53	ridgepole	sa:j.3 ca:.2-pa:.2; ko:n.3 pɔt.1
7.54	rafter	mo:ŋ.3 tin.3
7.55	beam	sɔk.1-tin.3
7.56	post, pole	sɔk.1-tin.3-ʔo:t.2
7.57	board	kon.1 het.1 sɔk.1-tin.3
7.58	arch	ma:k.2 ho:.3
7.61	mason	sa:j.3 ʔɛ:w.3
7.62	brick	mo:ŋ.3 mɨ:.1
7.63	mortar	pha:.4 kaŋ.4 na:.4
7.64	adobe	thoŋ.3 sə:.4; thoŋ.3 kon.3
8.11	farmer	ma:k.2 tum.2
8.12	field (for cultivation)	khem.3 khɔ:.3
8.13	garden	khə:ŋ.4 hɔj.4 khə:ŋ.4 phɛ:n.3
8.15	cultivate, till	sjɛ:ŋ.3
8.16	fence	mɔ:ŋ.1-koj.1
8.17	ditch	wɛ:n.3
8.21	plow	sa:j.3 khɔ:.1
8.212	furrow	ma:k.2 nap.5
8.22	dig	tɔŋ.2 hu:.3
8.23	spade	ti:.4 hom.2 nə:.3 ho:.4; pha:.4 khe:n.1 ho:.3
8.24	shovel	hɔ:j.1 sam.1 lam.3
8.25	hoe	pha:.4 cet.5 na:.4
8.26	fork	pha:.4 cet.5 to:.3
8.27	rake	wi:.3
8.31	sow	wi:.3 ho:.3
8.311	seed	pjɛ:ŋ.5
8.32	mow, reap	phaj.1 jɔ:j.1 khɛ:.2
8.33	sickle, scythe	mit.4 tha:.3 ho:.3
8.34	thresh	khi:.4 phɨŋ.4
8.35	threshing-floor	sap.1-pja:.2
