entry_id	trans_english	Proto_Polynesian_Phonemic
9.343	squeeze, wring	PPN *fota; *kopi(t); *koko; *kum-aki; *kum-i; *ku kumi; *taqomi; *taʔomi; *lomi
9.35	pour	PPN *(li)liŋi; *pua
9.36	wash	PPN *soloi; *fano; *fulu; *tafi; *tapi
9.37	sweep	PPN *tafi
9.38	broom	PPN *safu
9.422	tool	PPN
9.43	carpenter	
9.44	build	
9.46	bore	PPN *wili; *fao
9.461	hollow out	PPN *leke; *poko
9.48	saw	PPN *kili
9.49	hammer	
9.5	nail	PPN *faqo; *titi
9.56	glue	PPN *pili; *pulu(t); *piki; *pia pia
9.6	smith, blacksmith	
9.61	forge	
9.62	anvil	
9.63	cast (metals)	
9.64	gold	
9.65	silver	
9.66	copper, bronze	
9.67	iron	
9.68	lead (noun)	
9.69	tin, tinplate	
9.71	potter	
9.72	mold (clay etc)	PPN *puŋa
9.73	clay	
9.74	glass	
9.75	weave, plait	PPN *firi; *nino; *tali, taLi
9.76	basket	PPN *kato; *kete; *lafi
9.77	mat	PPN *fala; *kie; *kiekie; *fatuŋa; ʔepa; *faaliki; *pola
9.771	rug	
9.78	netbag	PPN *taŋa; *tan-a; *kaka; *kete; *puutee; *pute
9.79	fan (noun)	PPN *fue; *pekahi; *taʔili; *taqili; *ili
9.791	fan (vb)	
9.81	carve	PPN *ta(a)lai; *taLai
9.82	sculptor	
9.83	statue	PPN *a(a)fua; *tiki; *ata
9.84	chisel	PPN *toŋi
9.88	paint (noun)	PPN *pani
9.89	paint (vb)	PPN *peta; *tosi; *tusi
10.11	move	PPN *firi; *keu; *oni oni
10.12	turn over	PPN *tafuli; *tul(a, e)ki; *sua; *fuli; *fili; *taafiti; *ketu
10.13	turn around	PPN *liu; *winli; *kaapui; *kapu; *liko; *puni; *taŋa; *fa(a)liu; *liu; *fuli; *haŋa; *teka; *fati; *fuli
10.14	wind, wrap	PPN *kapu; *kaapui; *kofu; *a-fo; *afi; *li(i)lii; *Lii; *LiLi; *takai; *pookai; *kope; *punu(t); *puni(t)
10.15	roll	PPN *teka; *fili; *lulu
10.16	drop (vb)	
10.17	twist	PPN *piko; *wili; *miŋi; *lino; *nino; *fenu(u); *filo(s); *milo(s); *ka(a)wiri
10.21	rise	PPN *eʔa; *eqa; *malaŋa
10.22	raise, lift	PPN *ketu; *liaki; *sa(a)pai; *siki; *laŋa; *mašiki; *masiki; *sua; *sili
10.23	fall	PPN *makulu; *siŋa; *opa; *lutu
10.24	drip	PPN *tulu; *zu(u); *sali
10.25	throw	PPN *maka; *nou; *pi(ʔ)u; *fiu; *tili; *tolo; *liaki; *welo
10.252	catch (ball)	PPN *sapo
10.26	shake	PPN *nini; *oʔi; *oqi; *ŋaue; *natali; *ŋatali; *ŋaaluelue; *lulu; *lu(u)luu; *lue; *tete; *mania; *poze; *poLe
10.32	flow	PPN *tafe; *pihi; *sali; *pua
10.33	sink	PPN *asu; *lom-aki; *lom-i; *luku; *ŋoto
10.34	float	PPN *manu; *maaŋi; *ma-ʔanu; *'anu; *maqanu; *ope; *tere; *uto; *zewa; *Lewa
10.35	swim	PPN *kaukau; *kau
10.351	dive	PPN *sopu; *ruku; *luku; *lom-aki; *lom-i
10.352	splash	
10.36	sail (vb)	
10.37	fly (vb)	PPN *lele; *kopa
10.38	blow	PPN *ani; *aŋi; *pusi; *pus-i; *pu-pu(t); *falala; *ifi; *muze; *sawili; *paa
10.41	creep, crawl	PPN *neke neke
10.412	kneel	
10.413	crouch	
10.42	slide, slip	PPN *solo; *(pa)seke
10.43	jump, leap	PPN *fiti; *lele; *rei; *Lei; *sopo; *panau; *ʔoso
10.431	kick	PPN *ʔaka; *qaka; *sake
10.44	dance	PPN *mako; *saka; *sak-a; *se(q)a; *kapa; *huLa
10.45	walk	PPN *laka; *fano; *maliu; *qalu; *lao; *roo; *sa(a)qele; *sAʔele; *takafi
10.451	limp	PPN *tipa; *luli; *LuLi
10.46	run	PPN *lele; *kifu
10.47	go	PPN *fano; *laka; *maliu; *ʔalu; *roo; *saʔele
10.471	go up	PPN *hake; *ato; *fa-nake; *fa-nai
10.472	climb	PPN *ato; *heke; *hake; *sake; *ake; *kake; *piki; *fanai
10.473	go down	PPN *solo
10.474	go out	
10.48	come	PPN *maliu; *saqu
10.481	come back	PPN *foki; *maliu; *fuli
10.49	go away, depart	PPN *masuq(e, i); *tuku; *walho
10.491	disappear	PPN *ŋalo; *nimo; *numi
10.51	flee	PPN *roo; *halu; *kalo; *sao; *sola
10.52	follow	PPN *ʔalu; *qalu; *fai
10.53	pursue	
10.55	reach, arrive	PPN *hoko; *soko; *tae; *lau
10.56	approach	PPN *fotu; *ofi ofi
10.57	enter	PPN *huru; *ofi-ofi; *tomo; *tama
10.61	carry (bear)	PPN *kawe; *ʔavatu; *fafa; *tali(k); *sapai
10.612	carry-in-hand	
10.613	carry-on-shoulder	PPN *fafa; *fua; *ʔamo; *qamo
10.614	carry-on-head	
10.615	carry-underarm	
10.62	bring	
10.63	send	PPN *fekau
10.64	lead (vb)	PPN *taki; *ala(f)
10.65	drive	PPN *folau
10.66	ride	
10.67	push, shove	PPN *keu; *tule; *take; *pa(s, f)u; *pahu
10.71	road	
10.72	path	PPN *hala; *hala(n); *sala; *te-a
10.74	bridge	PPN *te-a
10.75	carriage, wagon, cart	
10.76	wheel	
10.77	axle	
10.78	yoke	
10.81	ship	PPN *pola
10.83	boat	PPN *waka; *vaka; *folau
10.831	canoe	PPN *waka
10.832	outrigger	PPN *ama; *hama; *sama(n)
10.84	raft	PPN *kiato
10.85	oar	PPN ʔalo
10.851	paddle (noun)	PPN *fohe; *qalo
10.852	row (vb)	PPN *qalo
10.86	rudder	PPN *uli(ṅ)
10.87	mast	PPN *tila; *fanaa
10.88	sail (noun)	PPN *laa; *tere
10.89	anchor	
10.91	harbor, port	PPN *taulaŋa
10.92	land (vb)	
11.11	have	PPN *fai
11.12	own, possess	PPN *no(o)
11.13	take	PPN *toʔo; *toqo; *saru; *lilo; *la(q)uka
11.14	seize, grasp	PPN *kapo; *hapo; *sapo; *puke; *lasu; *saru; *sopu; *kuku; *siko; *piki; *kape
11.15	hold	PPN *sapo; *sopu; *piki; *lafi(t); *lapi(t)
11.16	get, obtain	
11.17	keep, retain	
11.18	thing	PPN *meqa; *meʔa; *me-a; *afa
11.21	give	PPN *foo; *foaki; *hoo; *fo-aki; *soli; *qatu
11.22	give back	
11.24	preserve, look after	
11.25	save, rescue	
11.27	destroy	PPN *solo; *ofa
11.28	harm, injure, damage	PPN *mafoa; *kaŋa
11.31	seek, look for	PPN *kumi; *k(i, u)mi; *uŋa; *sala
11.32	find	
11.33	lose	
11.34	release, let go	
11.43	money	
11.44	coin	
11.51	rich	
11.52	poor	PPN *mativa; *matiwa; *wewe
11.53	beggar	PPN *hu(u)
11.54	avaricious, stingy	
11.61	lend	
11.62	borrow	
11.63	owe	
11.64	debt	
11.65	pay (vb)	PPN *totoŋi; *utu
11.66	account, reckoning	
11.69	tax, tribute	
11.77	hire	
11.78	wages	PPN *utu
11.79	earn	
11.81	buy	PPN *hoko
11.82	sell	PPN *hoko
11.83	trade, barter	PPN *tau
11.84	merchant	
11.85	market (place)	
11.86	store, shop	
11.87	price	PPN *tau
11.88	dear (costly, expensive)	
11.89	cheap	PPN *noa
11.91	share (distribute)	PPN *taki-; *wase; *wahe; *maawae; *tufa; *tusa
11.92	weigh	PPN *fua
12.1	after	
12.11	behind	PPN *muri
12.2	beside	
12.3	down, below	PPN *hifo; *ifo; *lalo
12.4	before	PPN *ʔaro; *tuai; *muqa; *muʔa
12.41	front	PPN *muʔa; *muqa; *tuai; *haŋa; *qaro; *ʔaro; *'alo(f)
12.5	inside, in	PPN *lalo; *(la)lo; *loto; *poko; *(ʔ)i
12.6	outside	PPN *fafo
12.7	under	PPN *lalo
12.8	up, above	PPN *fafo; *hake; *luŋa; *ʔaluŋa
12.11	place	PPN *waa; *faʔasi; *faqasi; *i; *mea
12.12	put	PPN *tuku; *tau
12.13	sit	PPN *nofo; *noho; *toka; *lolo
12.14	lie down	PPN *takoto; *ta/koto
12.15	stand	PPN *tuʔu; *tuqu; *sako
12.16	remain, stay	PPN *nofo
12.17	remains, left overs	PPN *toe; *toeŋa
12.21	collect, gather	PPN *fono; *haʔo; *sao; *luku; *mui; *tanaki; *toli; *kofi; *kato; *faki; *futi, *fut-i
12.212	pick up	PPN *kato; *faki; *toli
12.213	pile up	PPN afu; *puke. *pil
12.22	join, unite	PPN *soko; *sokosoko; *ao; *toli; *a(a)naki; *saʔi; *fono; *pili; *fuhi; *kaapiti; *kapiti; *lafo(t)
12.23	separate	PPN *maawae; *wahe; *wase; *masuʔie; *masuq(e, i)
12.232	divide	PPN maawae; *faʔasi; *wahe; *wase
12.24	open	PPN *puu; *are-are; *fuke; *fela; *feLa; *mafela; *Laha
12.25	shut, close	PPN *kopiti; *pono
12.26	cover	PPN *kofu; *kafu; *hafu(t); *ʔufi <*qufi>; *puni; *puipui: *kapu; *kapi; *poki; *uta; *həb; *kəpi
12.27	hide, conceal	PPN *fuu; *fun-a; *lilo; *mumuni;*muni; *puni; *punaŋa
12.31	high	PPN *tike; *afu
12.32	low	
12.33	top	PPN *tumu; *sili; *ata; *foṅ-a; *nihi; *ni(f, s)i; *fafo
12.34	bottom	
12.35	end	PPN *siku; *iku; *potu; *mutu; *lato(n)
12.352	pointed	PPN *popo; *tusi; *mata; *ti(s, f)i; *tihi; *tala
12.353	edge	PPN *tapa; *tafa; *ni(ʔ)(i)a(ʔ)o; *ni(i)ao; *nIao; *nihi; *ni(f, s)i; *pae; *kau; *lipi; *fatuŋa
12.36	side	PPN *tafa; *tapa; *paʔasi; *kau; *pae
12.37	middle, center	
12.41	right (side)	PPN *mataʔu; *mataqu; *ma-ta'u; *kataʔu; *katau; *kAtau
12.42	left (side)	PPN *mauii; *sema; *kaui(i)
12.43	near (adv)	PPN *tata; *ofi-ofi; *pili; *nei
12.44	far (adv)	PPN *mamaʔo; <*mamaqo>; *tafiti; *laa; *hau
12.45	east	PPN *hake; *sasake
12.46	west	PPN *sisifo; *laki
12.47	north	PPN *tokelau
12.48	south	PPN *toŋa
12.53	grow	PPN *tupu; *somo; *tili
12.54	measure	PPN *rofa; *lofa; *'ofa
12.541	span, fathom	PPN *haŋa; *rofa; *saṅa; *haṅa
12.55	large, big	PPN *nui; *lasi; *poka; *ʔuke; *kafa
12.56	small, little	PPN *riki; *iti; *liki; *riki; *kisi; *mata-liki; *qiti
12.57	long	PPN *loa
12.58	tall	
12.59	short	PPN *poto
12.61	wide, broad	PPN *laulasi; *lapa; *laupapa; *faalasi
12.62	narrow	PPN *(ʔ)oho; *kopiti
12.63	thick (in dimension)	PPN *matolu; *ma(a)tolu; *newenewe
12.65	thin (in dimension)	PPN *ale-ale; *manifi; *ʔaŋo-ʔaŋo; *li(i)la(a); *pakau
12.67	deep	PPN *ŋoto; *fofonu
12.68	shallow	PPN *m-asa(t)
12.71	flat	PPN *papa; *lafa;*lafa-lafa; *lapa; *laupapa; *kaupapa; *ma(a)lena; *lata; *fafo
12.73	straight	PPN *sako
12.74	crooked	PPN *sisi(f); *nasa; *loku; *piko; *mapelu; *ŋaofe; *teke
12.75	hook	PPN *laʔu; *laqu; *lohu
12.76	corner	PPN *tuliki; *kona; *siku
12.77	cross	
12.78	square	
12.81	round	PPN *taka; *pae; *po(e, i)
12.82	circle	PPN *taka; *teka; *liko
12.83	sphere, ball	PPN *patu
12.84	line	PPN *qatu; *ʔatu; *kaalawa
12.85	hole	PPN *puta; *poko; *puu; *leke; *lua; *lu(a, o); *fao; *ŋutu
12.92	like, similar	PPN *pe(e); *pE; *fela; *pela; *tusa; *lite; *Lite
12.93	change	
13.0	zero, nothing	
13.1	one	PPN *taha; *ha; *sa; *se; *tasi
13.2	two	PPN *rua; *lua; *rie; *Lie; *'ua
13.3	three	PPN *tolu; *tolo; *tou
13.4	four	PPN *faa; *fa
13.5	five	PPN *lima
13.6	six	PPN *ono
13.7	seven	PPN *fitu
13.8	eight	PPN *walu; *valu
13.9	nine	PPN *hiwa; *siwa; *siva; *hiva
13.10	ten	PPN *haŋafulu; *fulu; *hafe
13.101	eleven	
13.102	twelve	
13.103	fifteen	
13.104	twenty	PPN *tekau
13.105	hundred	PPN *rau; *au; *lau; *hafe
13.106	thousand	PPN *afe; *lefu
13.107	count	PPN *pau
13.14	every, all	PPN *ka(a)toa; *lako(f)
13.15	much, many	PPN *mano; *ma-no; *mahu; *lawa; *lau; *nanea; *lasi
13.16	more	
13.17	little (quantity), few	
13.18	enough	PPN *lawa; *nanea
13.181	some	
13.19	multitude, crowd	PPN *tini; *kapi; *kapikapi; *ʔapiʔapi; *nuku
13.21	full	PPN *fonu; *fofonu; *kanoni; *kapi; *fiu; *(maa)kona; *musu
13.22	empty	PPN *ʔaŋoʔaŋo; *fua
13.23	part, piece	PPN *tape; *koŋa; *mala; *maawae
13.24	half	
13.33	alone, only	PPN *anake; *l-ava; *soko-; *hoko; *hua
13.34	first	PPN *matua(aki)
13.35	last	
13.36	second	
13.37	pair	
13.38	two times	
13.42	third	
13.44	three times	
14.11	time	
14.12	age	
14.13	new	PPN *foʔou; <*foqou> <*fo'ou>; *fou
14.14	young	PPN *pi; *pii
14.15	old	PPN *tafito; <*tupuqa>; *tupuʔa; *tuai
14.16	early	
14.17	late	
14.18	now	PPN *ni
14.19	immediately	
14.21	swift, fast, quick	PPN *wawe; *solo; *soLo
14.22	slow	
14.23	hasten, hurry	
14.24	retard, delay	
14.25	begin, beginning	PPN *kamata
14.252	last, endure	PPN *maqu; *maʔu
14.26	end (temporal)	
14.27	finish	PPN *qoti; *ʔoti; <*qotiV>; *lawa; *iku; *potu; *mutu; *lato(n)
14.28	cease, stop	PPN *'oti
14.29	ready	
14.31	always	PPN *tauV
14.32	often	PPN *sokosoko; *soko
14.33	sometimes	
14.331	soon	PPN *ta(a)iV
14.332	long-time (for a)	PPN *tuai; *leva
14.34	never	
14.35	again	PPN *Vfoki; *foki; PPN *toe; PNP *toe
14.41	day	PPN *ʔaho; <*qaho>; *aho; *ʔaso; *aso; *qaso
14.42	night	PPN *poo; *poṅi; *po(ṅ)
14.43	dawn	PPN *maliko; *maLiko; *ata; *seŋ(a, i)
14.44	morning	PPN *poŋi-poŋi
14.45	noon, midday	
14.451	afternoon	
14.46	evening	PPN *afi-afi; *afi; *poŋipoŋi; *maliko; *liko; *(ma)Liko
14.47	today	PPN *kua
14.48	tomorrow	PPN *poŋi-poŋi; *(ʔ)aapoŋi-poŋi
14.481	day-after-tomorrow	PPN *-ina
14.49	yesterday	PPN *ana(n)afi; *ana/nafi; *n(e)afi; *qana-poo
14.491	day-before-yesterday	PPN *-ina
14.51	hour	
14.53	clock, timepiece	
14.61	week	
14.62	Sunday	
14.63	Monday	
14.64	Tuesday	
14.65	Wednesday	
14.66	Thursday	
14.67	Friday	
14.68	Saturday	
14.71	month	PPN *malama
14.73	year	PPN *ta'u
14.74	winter	
14.75	spring	
14.76	summer	
14.77	autumn	
14.78	season	PPN *taʔu; *taqu
15.21	smell (vb intrans)	PPN *namu; *soŋi; *sauŋa
15.212	sniff	
15.22	smell (vb trans)	
15.25	fragrant, good smelling	PPN *ka-kala; *m-aṅon-i; *manoni; *manoṅi
15.26	stinking, bad smelling	PPN *ʔelo; *qelo; *pulau; *pilau; *pizo; *piLo
15.31	taste	PPN *namu; *kamata
15.35	sweet	PPN *maaŋazo; *suqam(a, e)lie; *ma-mi
15.36	salty	PPN *maʔai
15.37	bitter	PPN *masa; *kawa; *kona; *fehu
15.38	acid, sour	PPN *kawa; *kona; *mara; *m-asi; *m-ahi; *masa
15.39	brackish	
15.41	hear	PPN *roŋo; *fanoŋo; *faloŋo; *lono; *loṅo; *'ono; *nono
15.42	listen	PPN *fanoŋolife
15.44	sound, noise	PPN *olo; *koo; *kulu; *ṅulu; *lili; *kekekeke; *pa(a)tatoo; *palalaa; *pAtatoo
15.45	loud	
15.46	quiet, silence	PPN *loŋo; *liŋo; *liṅo; *ruru; *LuLu; *maluu; *ma(a)lie; *manino; *nia; *maa; *m(a, e)lino; *ma-lino; *naqa; *naʔa
15.51	see	PPN *mata; *kite
15.52	look, look at	PPN *tiro; *pula(t)
15.55	show	PPN *tusi
15.56	shine	PPN *kikila; *ŋiŋila; *pula; *kama; *tapa; *sina; *hina; *soata; *qali; *aLi; *qaatea; *tafaŋafaŋa; *ma(a)lena; *maqa; *maʔa; *fola
15.57	bright	PPN *marama
15.61	color	PPN *kano
15.62	light (in color)	PPN *moka moka
15.63	dark (in color)	PPN *ʔuli; *quli; *kiwa; *tako
15.64	white	PPN *teko; *moka-moka; *tea; *pute-a; *mote-a
15.65	black	PPN *kele; *paʔo; *ʔuli; *quli
15.66	red	PPN *kula; *me(ʔ)a; *mea; *m-ila; *kefu; *kefukefu; *feLo
15.67	blue	PPN *usi; ʔusi
15.68	green	PPN *mata
15.69	yellow	PPN *reŋareŋa; *reŋa(reŋa); *seṅa; *felo
15.71	touch	PPN *paa; *faa-faa; *paki; *amo; *kawei
15.712	pinch	PPN *kini; *laqu; *laʔu
15.72	feel	PPN *fia
15.74	hard	
15.75	soft	PPN *faro; *ma(a)lena; *mole-mole; *mozi; *ŋaele; *ŋolu; *peʔe
15.76	rough	PPN *feke-feke
15.77	smooth	
15.78	sharp	PPN *popo; *kohi; *koi; *tala
15.79	blunt, dull	PPN *pusuki; *paku
15.81	heavy	PPN *mamafa; *ma-fa(t)
15.82	light (in weight)	PPN *maʔamaʔa; *maqamaqa; *m-aʔa
15.83	wet, damp	PPN *lali; *LaLi; *palapala; *suu; *su; *su-a; *siu; *puzu; *puLu
15.84	dry	PPN paku; *paka; *pakaka; *masa; *(ma)masa; *maha; *'ano
15.85	hot	PPN *rara; *wela; *ʔa(a)fu; *qa(a)fu; *fana; *mafana; *kasa; *kaha
15.851	warm	PPN *maafana; *mafana; *ma-fana(s)
15.86	cold	PPN *ʔanu; *qanu; *makalili; *makaLiLi; *lili
15.87	clean	PPN *maʔa; *saʔalo
15.88	dirty, soiled	PPN *keza; *liko; *pela; *fela; *pala-pala; *sawa
15.89	wrinkled	PPN *kolu; *kalu; *poli
16.11	soul, spirit	PPN *ʔana-ʔana; *feqao; *qaitu; *aitu; *maquri; *maʔuri; *qaŋaqaŋa; *ma-nava; *vai-lua
16.15	surprised, astonished	PPN *ofo
16.18	good fortune, luck	PPN *manuuqia; *ma-tua
16.19	misfortune, bad luck	
16.23	joyful, glad, happy	PPN *fali; *mali; *koLi; *fiu; *kona
16.25	laugh	PPN *kata; *sisi
16.251	smile	PPN *ni
16.26	play	PPN *takalo
16.27	love	PPN *fia; *finaŋalo; *hofi; *kolo; *manako; *ʔaloʔofa; *qaloqofa; *ʔalo(f); *pele
16.29	kiss	PPN *soŋi
16.3	embrace	PPN *nani; *amo; *afi(i)
16.31	pain	PPN *suki; *mamae
16.32	grief, sorrow, sadness	
16.33	anxiety, worry	PPN *mamae; *peu
16.34	regret, be sorry	
16.35	pity	PPN *qaloqofa; *ʔaloʔofa
16.37	cry, weep	PPN *taŋi; *taŋi-sia; *taṅi(s); *kuha
16.38	tear (noun)	PPN *loqi-mata; *lo
16.39	groan	PPN *ŋuu
16.41	hate	PPN *fesia
16.42	anger	PPN *kilia(a); *lili; *lilia; *ʔita; *sauaa; *nene; *poni(s)
16.44	envy, jealousy	PPN *fuaʔa; *fuaqa; *fuu-a
16.45	shame (noun)	PPN *maa; *luma
16.48	proud	
16.51	dare	
16.52	brave	PPN *mata-toqa; *toqa; *toʔa; *manawa-nui
16.53	fear, fright	PPN *mataku; *ma-taku(t); *lika; *ilifia
16.54	danger	
16.62	desire, want	PPN *ʔaloʔofa; *kolo; *fia; *fiafia; *piapia; *hofi; *finaŋolo; *manako; *poze; *mina; *m-ina; *poLe; *ifo; *kuha
16.622	choose	PPN *fili
16.63	hope	
16.65	faithful	
16.66	true	PPN *ma(a)qo(z, n)i; *m(a, o)ʔo(L, n)i; *pono
16.67	lie, tell lies	PPN *losi; *loi
16.68	deceit	PPN *lasu; *losi; *teke
16.69	forgive	
16.71	good	
16.72	bad	PPN *lialia; *keza; *sa'a(t); *ha'a(t); *kino
16.73	right, correct	PPN *tonu; *pono; *tika
16.74	wrong	PPN *sala
16.76	fault	
16.77	mistake, error	PPN *sala; *see-see
16.78	blame	PPN *nanu
16.79	praise	PPN *teni; *sula
16.81	beautiful	
16.82	ugly	
16.83	greedy	
16.84	clever	
17.11	mind	PPN *ma-nava
17.13	think (= reflect)	PPN *masalo; *masal(a, o); *nanu
17.14	think (= be of the opinion)	
17.15	believe	
17.16	understand	PPN *roŋo
17.17	know	PPN *kite; *ʔilo; *qilo; *tahuŋa; *tafuŋa; *t(a, o)huŋa
17.171	guess	
17.172	imitate	
17.18	seem	
17.19	idea, notion	
17.21	wise	
17.22	foolish, stupid	
17.23	insane, crazy	PPN *wale
17.24	learn	PPN *ako
17.242	study	
17.25	teach	PPN *ako; *ako(n)
17.26	pupil	
17.27	teacher	
17.28	school	
17.31	remember	PPN *manatu
17.32	forget	PPN *ŋalo
17.34	clear, plain	PPN *fola
17.35	obscure	
17.36	secret	PPN *nimo
17.37	sure, certain	
17.38	explain	
17.41	intention, purpose	PPN *ke; *kolo; *foa
17.42	cause	PPN *faka; *faa; *fa; PPN *taa-V
17.43	doubt	
17.44	suspect	
17.441	betray	
17.45	need, necessity	
17.46	easy	PPN *ŋose; *ma-a'a
17.47	difficult	PPN ŋataʔa; *ŋataqa; *na-ta'a; *faiŋataʔa; *sao
17.48	try, attempt	PPN *mili
17.49	way, manner	
17.51	and	PPN *ma; *maa; *pe ~ po; *kaS; *ka; *kae; *kai
17.52	because	PPN *faa-; *faka-
17.53	if	PPN *ke; *me; *pe; *kana; *kanaS
17.54	or	PPN *loa
17.55	yes, affirmative	
17.56	no, negative	PPN *ʔikai; *tikai; *ʔaaoʔe; *qaaaoqe; *ʔaua; *teʔe; *(t, s)eʔe; *tee; *tE; *le; *kore, koLe
17.61	how?	PPN *pehe-fea; *pefea; *pesee; *feefee; *kuha
17.62	how many?	PPN *fiha
17.63	how much?	PPN *fiha
17.64	what?	PPN *hafa; *haa; *afa; *(h)afa
17.65	when?	PPN *fea
17.66	where?	PPN *fea; *fee; *fEa
17.67	which?	
17.68	who?	PPN *hai
17.69	why?	PPN *haa
18.11	voice	PPN *leʔo; *leqo
18.12	sing	PPN *laŋi; *sua
18.13	shout, cry out	PPN *taŋi; *kaa; *kalaŋa; *soo; *tapa
18.15	whisper	PPN *fafana
18.16	mumble	PPN *lea; *walo; *koohumu
18.17	whistle	PPN *mapu; *ma-pu; *oki oki; *fio
18.18	shriek, screech	PPN *kaa
18.19	howl	PPN *(q)au; *kaa
18.21	speak, talk	PPN *nani; *lea; *walo; *lau; *pa(a)lau; *koolelo; *kooLeLo
18.211	stutter, stammer	PPN *ku(u)kuu; *kukuu
18.22	say	PPN *muna; *fu(q)a
18.221	tell story	PPN *tala
18.222	speech (make a)	
18.23	silent (be)	PPN *loŋo; *liṅo
18.24	language	PPN *leʔo; *ʔalelo
18.26	word	PPN *kupu
18.28	name	PPN *hiŋoa; *kaapiki
18.31	ask (question, inquire)	PPN *fesu; *hu(u)huu
18.32	answer	
18.33	admit, confess	PPN *fa(q)aki; *fAki
18.34	deny	PPN *hele
18.35	ask, request	PPN *fesu; *kole; *pati
18.36	promise	
18.37	refuse	
18.38	forbid	PPN *tapu; *lafu(i); *Laahui
18.39	rebuke, scold	PPN *ŋutu
18.41	call (=summon)	PPN *kasi; *tapa; *kalaŋa
18.42	call (=name)	PPN *tapa
18.43	announce	PPN *tapa
18.44	threaten	
18.45	boast	PPN *pa(a)lau
18.51	write	
18.52	read	
18.56	paper	
18.57	pen	
18.61	book	
18.67	poet	
18.71	flute	PPN *fano
18.72	drum	PPN *pasu; *lali
18.73	horn, trumpet	PPN *puu
18.74	rattle	
19.11	country	PPN *fanua; *kaaiŋa
19.12	one's native country	
19.15	city, town	
19.16	village	
19.17	boundary	PPN *lipa; *tusi; *l(a, e)va
19.21	people (populace)	
19.23	tribe, clan	
19.24	chief, chieftain	PPN *sau; *ʔariki; *qariki; *t-upu
19.25	staff, walking stick	PPN *toki; *toko; *toko(n)
19.31	rule, govern	PPN *sau
19.32	king, ruler	
19.33	queen	
19.36	noble, nobleman	
19.37	citizen, subject	
19.41	master	PPN *latu; ʔatu
19.42	slave	PPN *lopa
19.43	servant	PPN *fekau
19.44	freeman	
19.45	command, order	PPN *tono; *fekau; *sau
19.46	obey	
19.47	let, permit	
19.51	friend, companion	PPN *feʔao; *feqao; *soa; *soa-na; *hoa-na
19.52	enemy	
19.54	neighbor	
19.55	stranger	
19.56	guest	PPN *kau; *soko-; *sokosoko
19.57	host	
19.58	help, aid	
19.59	hinder, prevent	PPN *pae; *a(a)raqi
19.61	custom	PPN *mas(a, e)ni; *aŋa; *faqa; *tau-; *kano
19.62	strife, quarrel	PPN *fekiki; *ta(a)maki; *tAmaki
19.63	conspiracy, plot	
19.65	meet	
19.72	prostitute	
20.11	fight (vb)	PPN *ta(a)maki; *faʔi
20.13	war, battle	
20.14	peace	PPN *ma(a)lie
20.15	army	
20.17	soldier	
20.21	weapons, arms	
20.22	club	
20.222	battle-ax	
20.23	sling	PPN *maka; *sele
20.24	bow	PPN *ŋasau; *kaufana
20.25	arrow	PPN *ŋasau
20.26	spear	PPN *tao; *fuata
20.27	sword	
20.28	gun, cannon	
20.31	armor (defensive)	
20.33	helmet	
20.34	shield	
20.35	fortress	PPN *kolo; *na'a
20.36	tower	
20.41	victory	
20.42	defeat	PPN *ŋaki
20.43	attack	
20.44	defend	PPN *feqao; *pale
20.45	retreat	
20.46	surrender	
20.47	captive, prisoner	
20.471	guard, sentinel	PPN *leʔo; *leqo; *tiaki
20.48	booty, spoils	
20.49	ambush	
20.51	fisherman	
20.52	fishhook	PPN *paa; *ma(a)taku; *mAtaʔu
20.53	fishing line	PPN *afo
20.54	fishnet	
20.55	fish trap	PPN *heqe; *fiinaki
20.56	bait	PPN *ma(a)unu; *m(a, o)unu
20.61	hunt	
20.62	shoot	PPN *fana
20.63	miss (target)	
20.64	trap (noun)	PPN *sele
20.65	trap (vb)	
21.11	law	
21.15	court	
21.16	judge (vb)	PPN *fifili
21.17	judgment	
21.18	judge (noun)	
21.21	plaintiff	
21.22	defendant	
21.23	witness	
21.24	swear	
21.25	oath	
21.31	accuse	
21.32	condemn	
21.33	convict (vb)	
21.34	acquit	
21.35	guilty	
21.36	innocent	
21.37	penalty, punishment	
21.38	fine	
21.39	prison, jail	
21.42	murder	
21.43	adultery	
21.44	rape	
21.46	arson	
21.47	perjury	
21.51	steal	PPN *fa(a)nako; *fa-nako; *kaihaqa; *kaihaʔa
21.52	thief	
22.11	religion	
22.12	God	PPN *qatua; *ʔatua
22.13	temple, church	
22.14	altar	
22.15	sacrifice, offering	PPN *mori, *mOri
22.16	worship	PPN *mori; *mOri
22.17	pray	PPN *supa; *lotu
22.18	priest	PPN *tahuŋa; *tufuŋa; *t(a, o)huŋa
22.19	holy, sacred	PPN *tapu; *laka, *Laka
22.22	preach	
22.23	bless	
22.24	curse	
22.26	fast (vb)	
22.31	heaven	
22.32	hell	
22.35	demon (evil spirit)	
22.37	idol	
22.42	magic, witchcraft, sorcery	
22.43	sorcerer, witch	
22.44	fairy, elf	
22.45	ghost, phantom	PPN *ʔaitu; *qaitu; *aitu; *vai-lua; *maliko, *maLiko
22.47	omen, portent	
