entry_id	trans_english	Chácobo_Phonemic
7.11	dwell, live	raka-
7.12	house	ṣ̌oβo
7.13	hut	tapasa
7.131	garden-house	
7.14	tent	
7.15	yard, court	rɨtoṣ̌a-
7.16	men's house	βɨpana
7.17	cookhouse	βɨtɨti
7.18	meeting house	kayokɨ
7.21	room	nasɨkɨ
7.22	door, gate	kaiti
7.221	doorpost, jamb	
7.23	lock (noun)	kɨβɨ-
7.231	latch, door-bolt	
7.24	key	
7.25	window	kaiti
7.26	floor	napata
7.27	wall	paniwati
7.31	fireplace	
7.32	stove	
7.33	chimney	
7.37	ladder	
7.42	bed	rakati; oṣ̌ati
7.421	pillow	tɨpasamɨti
7.422	blanket	počo
7.43	chair	kɨnanɨ
7.44	table	
7.45	lamp, torch	hotati; pɨṣ̌ɨ
7.46	candle	
7.47	shelf	
7.48	trough	ṣ̌aṣ̌o
7.51	roof	ṣ̌ɨpamɨ
7.52	thatch	
7.53	ridgepole	marakati
7.54	rafter	kano
7.55	beam	βɨsokamɨti
7.56	post, pole	činičiti; hiβa
7.57	board	
7.58	arch	
7.61	mason	--
7.62	brick	
7.63	mortar	
7.64	adobe	
8.11	farmer	
8.12	field (for cultivation)	nawɨ; wai
8.13	garden	wai
8.15	cultivate, till	sai-
8.16	fence	panɨwa-
8.17	ditch	naporo
8.21	plow	
8.212	furrow	
8.22	dig	wɨyo-
8.23	spade	
8.24	shovel	tako
8.25	hoe	wɨti
8.26	fork	
8.27	rake	
8.31	sow	
8.311	seed	βɨro
8.32	mow, reap	
8.33	sickle, scythe	
8.34	thresh	
8.35	threshing-floor	--
8.41	crop, harvest	tɨsa-
8.42	grain (barley, oats etc)	moto
8.43	wheat	--
8.44	barley	--
8.45	rye	--
8.46	oats	--
8.47	maize, corn	ṣ̌ɨki
8.48	rice	
8.51	grass	wasi
8.52	hay	
8.53	plant (noun)	niʔi pistia
8.531	plant (vb)	βana-
8.54	root	tapono; kano
8.55	branch	hiwi poyamɨ
8.56	leaf	pɨ-ʔi; mani
8.57	flower	hoa; niʔi hoa
8.6	tree	hiwi
8.61	oak	--
8.62	beech	--
8.63	birch	--
8.64	pine	--
8.65	fir	--
8.66	acorn	--
8.67	vine	niši
8.68	tobacco	romɨ
8.69	smoke (tobacco)	
8.691	pipe	
8.72	tree stump	maβa; maβaka
8.73	tree trunk	pora
8.74	forked branch	
8.75	bark	ṣ̌a'kata; βiči
8.76	sap	poc̷i
8.81	palm tree	βinona
8.82	coconut	--
8.83	citrus fruit	
8.84	banana tree	
8.85	banyan	--
8.91	sweet potato	kari
8.912	yam	poa
8.92	tapioca, manioc, cassava	ac̷a; kanaki
8.93	gourd	kama mapo
8.931	pumpkin, squash	
8.94	bamboo	paka
8.941	sugar cane	šita
8.96	fish poison (root)	aṣ̌a-; sɨmɨ
8.97	nettle	
8.98	mushroom	kono
9.11	do, make	a-; βaʔa-; -wa
9.12	work	yonoko-
9.14	bend	nana-
9.15	fold	kato-; ma-kato-
9.16	tie, bind	nɨa-; nɨʔa-
9.161	untie	mɨris-; pɨka-; pɨkɨ
9.18	chain	
9.19	rope, cord	niši
9.192	knot (noun)	
9.21	strike (hit, beat)	čaka-; pɨc̷a-
9.211	pound with fist	čoša-; sɨtia-
9.22	cut	pɨrɨṣ̌a-; c̷ɨiʔawɨ
9.221	cut down	rɨra-
9.222	chop, hew	
9.223	stab	c̷aka-
9.23	knife	saipi
9.24	scissors, shears	
9.25	ax	poro-ma
9.251	adze	
9.26	break	kačis-; čaša-; -čiši
9.261	broken	tɨkɨ
9.27	split	matoṣ̌-
9.28	tear	haraṣ̌a-
9.29	flay, skin	
9.31	rub, wipe	sino-; masa-
9.32	stretch	wišta
9.33	pull	nini-
9.34	spread out	natɨra-; tɨrɨ
9.341	hang up	rota-
9.342	press	miʔa-
9.343	squeeze, wring	nɨc̷i-; c̷iakana
9.35	pour	hapa-
9.36	wash	čoko-; čoko-ʔa
9.37	sweep	βawɨ-; mac̷o-
9.38	broom	mac̷o-ti
9.422	tool	
9.43	carpenter	
9.44	build	
9.46	bore	čakaṣ̌a
9.461	hollow out	
9.48	saw	rɨskɨti
9.49	hammer	tooṣ̌a-ti
9.5	nail	tooṣ̌a-
9.56	glue	c̷apa-
9.6	smith, blacksmith	--
9.61	forge	--
9.62	anvil	--
9.63	cast (metals)	--
9.64	gold	
9.65	silver	
9.66	copper, bronze	
9.67	iron	
9.68	lead (noun)	
9.69	tin, tinplate	
9.71	potter	
9.72	mold (clay etc)	mapo; mapoka
9.73	clay	
9.74	glass	
9.75	weave, plait	
9.76	basket	kaka; kakano
9.77	mat	wana
9.771	rug	
9.78	netbag	sota
9.79	fan (noun)	wɨkɨ-ti
9.791	fan (vb)	
9.81	carve	--
9.82	sculptor	--
9.83	statue	--
9.84	chisel	--
9.88	paint (noun)	maṣ̌ɨ
9.89	paint (vb)	
10.11	move	βoho-; moʔi-
10.12	turn over	narabɨ-
10.13	turn around	βopi-; βopina-
10.14	wind, wrap	raβanaka; wamɨ-
10.15	roll	tara-; tara-mɨ-
10.16	drop (vb)	
10.17	twist	kato-; homi
10.21	rise	tɨro-
10.22	raise, lift	šihoina; tɨra-
10.23	fall	pakɨ-; poṣ̌o-
10.24	drip	soro-
10.25	throw	nia-
10.252	catch (ball)	βikia; ača-
10.26	shake	mɨmɨ; yaho-
10.32	flow	wawa-
10.33	sink	hɨtɨkɨ
10.34	float	nono-
10.35	swim	aši-; nono-
10.351	dive	hiko-
10.352	splash	waiša-
10.36	sail (vb)	
10.37	fly (vb)	noya-
10.38	blow	ṣ̌ooʔa; ṣ̌oʔakana
10.41	creep, crawl	mɨni-
10.412	kneel	
10.413	crouch	nana-
10.42	slide, slip	sio; sioṣ̌ɨni
10.43	jump, leap	βiisi-
10.431	kick	
10.44	dance	paβɨ-
10.45	walk	βoʔona-; ko-; koko-
10.451	limp	taškɨ
10.46	run	haβa-
10.47	go	ka-
10.471	go up	tɨrono-
10.472	climb	ina-
10.473	go down	βotɨ-
10.474	go out	
10.48	come	ho-; βɨka-
10.481	come back	
10.49	go away, depart	hisβaya
10.491	disappear	
10.51	flee	haβa-
10.52	follow	βanawa-
10.53	pursue	čiβa-
10.55	reach, arrive	kaʔɨ-
10.56	approach	
10.57	enter	hiko-
10.61	carry (bear)	βo-
10.612	carry-in-hand	iko-
10.613	carry-on-shoulder	ia-; papi-
10.614	carry-on-head	
10.615	carry-underarm	
10.62	bring	ho-ma-; βɨ-
10.63	send	raa-
10.64	lead (vb)	rɨkɨwa-
10.65	drive	
10.66	ride	
10.67	push, shove	či-mati-
10.71	road	βaʔi
10.72	path	βaʔi
10.74	bridge	tananɨ
10.75	carriage, wagon, cart	
10.76	wheel	
10.77	axle	
10.78	yoke	
10.81	ship	--
10.83	boat	
10.831	canoe	noti; kora noti
10.832	outrigger	--
10.84	raft	
10.85	oar	witi
10.851	paddle (noun)	witi
10.852	row (vb)	waaṣ̌a-
10.86	rudder	čiβoati
10.87	mast	
10.88	sail (noun)	
10.89	anchor	
10.91	harbor, port	βotɨti
10.92	land (vb)	rɨrɨ-
11.11	have	haya-
11.12	own, possess	iβowa
11.13	take	βi-
11.14	seize, grasp	mɨ-c̷o; ača-
11.15	hold	ača-; iko-
11.16	get, obtain	βi-
11.17	keep, retain	
11.18	thing	mɨpiti
11.21	give	mɨ-a-; a-
11.22	give back	haʔari aki
11.24	preserve, look after	haʔaβɨso-
11.25	save, rescue	
11.27	destroy	kayo-; yošiwa-
11.28	harm, injure, damage	yošiwa-
11.31	seek, look for	mɨra-; ta-is-
11.32	find	βi
11.33	lose	βɨno-; yopa-
11.34	release, let go	tɨsɨ
11.43	money	[parata]
11.44	coin	[parata]
11.51	rich	[parata] ya
11.52	poor	noitiria
11.53	beggar	βɨna ṣ̌ɨni
11.54	avaricious, stingy	wašiṣ̌ɨni
11.61	lend	
