entry_id	trans_english	Avestan_Phonemic
7.45	lamp, torch	
7.46	candle	
7.47	shelf	
7.48	trough	
7.51	roof	
7.52	thatch	
7.53	ridgepole	
7.54	rafter	
7.55	beam	fra-skəmba-
7.56	post, pole	
7.57	board	
7.58	arch	
7.61	mason	
7.62	brick	ištya-
7.63	mortar	
7.64	adobe	
8.11	farmer	vāstrya-
8.12	field (for cultivation)	karšū-; yavan-
8.13	garden	pairidaēza-
8.15	cultivate, till	aiwi-vərəz-
8.16	fence	
8.17	ditch	
8.21	plow	karš-; aēša-
8.212	furrow	karša-
8.22	dig	kan-
8.23	spade	kąstra-
8.24	shovel	
8.25	hoe	
8.26	fork	
8.27	rake	
8.31	sow	
8.311	seed	taoxman-; čiθra-
8.32	mow, reap	
8.33	sickle, scythe	
8.34	thresh	xʷasta-
8.35	threshing-floor	
8.41	crop, harvest	
8.42	grain (barley, oats etc)	yava-; dāna-; hahya-
8.43	wheat	gantuma-
8.44	barley	
8.45	rye	
8.46	oats	
8.47	maize, corn	
8.48	rice	
8.51	grass	vāstra-
8.52	hay	
8.53	plant (noun)	urvarā-
8.531	plant (vb)	
8.54	root	varəšaǰi-
8.55	branch	yaxšti-; frasparəɣa-
8.56	leaf	varəka-
8.57	flower	
8.6	tree	vanā-; varəša- (?)
8.61	oak	
8.62	beech	
8.63	birch	
8.64	pine	
8.65	fir	
8.66	acorn	
8.67	vine	
8.68	tobacco	
8.69	smoke (tobacco)	
8.691	pipe	
8.72	tree stump	
8.73	tree trunk	
8.74	forked branch	
8.75	bark	
8.76	sap	
8.81	palm tree	
8.82	coconut	
8.83	citrus fruit	
8.84	banana tree	
8.85	banyan	
8.91	sweet potato	
8.912	yam	
8.92	tapioca, manioc, cassava	
8.93	gourd	
8.931	pumpkin, squash	
8.94	bamboo	
8.941	sugar cane	
8.96	fish poison (root)	
8.97	nettle	
8.98	mushroom	
9.11	do, make	kərə-; varəz-
9.12	work	vərəzya-; kərəta-
9.14	bend	nam-
9.15	fold	
9.16	tie, bind	band-; hā(y)-; dərəz-
9.161	untie	
9.18	chain	
9.19	rope, cord	
9.192	knot (noun)	
9.21	strike (hit, beat)	ǰan-; snaθ-
9.211	pound with fist	
9.22	cut	kərət-; θwarəs-; brī
9.221	cut down	
9.222	chop, hew	taš-
9.223	stab	
9.23	knife	karəta-
9.24	scissors, shears	
9.25	ax	taša-
9.251	adze	
9.26	break	sčand-
9.261	broken	
9.27	split	dar-; sid-
9.28	tear	niš-dar
9.29	flay, skin	vī-naθ-
9.31	rub, wipe	
9.32	stretch	tan-
9.33	pull	θanǰ-; karš-
9.34	spread out	star-
9.341	hang up	
9.342	press	
9.343	squeeze, wring	
9.35	pour	hič
9.36	wash	snā-; niž-
9.37	sweep	mərəz-
9.38	broom	
9.422	tool	
9.43	carpenter	
9.44	build	kar-
9.46	bore	
9.461	hollow out	
9.48	saw	
9.49	hammer	čakuš-
9.5	nail	
9.56	glue	
9.6	smith, blacksmith	
9.61	forge	
9.62	anvil	
9.63	cast (metals)	hič-
9.64	gold	zaranya-
9.65	silver	ərəzata-
9.66	copper, bronze	ayah-
9.67	iron	ayah-
9.68	lead (noun)	srva-
9.69	tin, tinplate	
9.71	potter	
9.72	mold (clay etc)	mā-
9.73	clay	
9.74	glass	yama-
