entry_id	trans_english	Tacana_Phonemic
4.162	rib	e-pareiri
4.17	horn	e-dana
4.18	tail	e-tiða; e-tima
4.19	back	biši
4.191	spine	biši beðeðe
4.2	head	e-čoa
4.201	side of head, temple	napi-napi
4.202	skull	e-čoa ec̷ao
4.203	brain	e-čoa bošo
4.204	face	e-bo
4.205	forehead	e-mata; e-bo-wa-wa
4.207	jaw	e-ď̶awi; e-hobome-hi
4.208	cheek	e-ho-bo-mei
4.209	chin	eď̶awi
4.21	eye	e-toa
4.212	eyebrow	e-toa šino
4.213	eyelid	e-toa behi
4.214	eyelash	e-toa keke ina
4.215	blink	ha-toa-rabia-ti-; e-toa -a-
4.22	ear	e-iď̶aha
4.221	earlobe	
4.222	earwax	
4.23	nose	ewi
4.231	nostril	ewi-ani rara
4.232	mucus (nasal)	wiď̶i
4.24	mouth	e-kʷac̷a
4.241	beak	ewi
4.25	lip	e-keke
4.26	tongue	yana
4.27	tooth	e-c̷e
4.271	gums	e-c̷e tibo
4.272	molartooth	yamaha ~ yamawa
4.28	neck	e-naha
4.281	nape of neck	ehorotiani
4.29	throat	e-c̷oi-hani
4.3	shoulder	yarapa
4.301	shoulderblade	yarapa e-c̷ao
4.302	collarbone	
4.31	arm	e-bai
4.312	armpit	enokiď̶i
4.32	elbow	e-bac̷o
4.321	wrist	eme baha
4.33	hand	eme
4.331	palm of hand	eme-takʷa
4.34	finger	e-hac̷a; eme hac̷a
4.342	thumb	eme čoaʔai
4.344	fingernail	eme-tiď̶i
4.345	claw	
4.35	leg	e-tidada
4.351	thigh	e-tidada
4.352	calf of leg	čoa-c̷ero
4.36	knee	e-ma-da-čoa
4.37	foot	e-wac̷i; e-c̷aha
4.371	ankle	e-mada-tahi
4.372	heel	e-wac̷i tiadi
4.374	footprint	ewac̷i c̷edo
4.38	toe	e-wac̷i hac̷a
4.392	wing	enaba(h)i
4.393	feather	e-ina
4.4	chest	e-c̷edo
4.41	breast (of woman)	
4.412	nipple, teat	ac̷o
4.42	udder	
4.43	navel	c̷o; c̷oho
4.44	heart	moesomo
4.441	lung	eď̶ata
4.45	liver	e-takʷa
4.451	kidney	e-paiðodo; moro-moro-hi
4.452	spleen	
4.46	stomach	moesomo; eðe
4.461	intestines, guts	e-c̷ama
4.462	waist	e-tima(h)i
4.463	hip	biši; e-tic̷ewi
4.464	buttocks	e-moto
4.47	womb	e-bakʷa-mehi
4.49	testicle	ehaha
4.492	penis	ki
4.51	breathe, breath	haanata-
4.52	yawn, gape	ha-kʷac̷a-wawa-ti-ke
4.521	hiccough	c̷odo
4.53	cough	oto
4.54	sneeze	tiď̶o-
4.55	perspire	weo-
4.56	spit	e-kedi; kitoa-
4.57	vomit	batasio-
4.58	bite	c̷oi-
4.59	lick	c̷eo-
4.591	dribble	
4.61	sleep	tawi-
4.612	snore	rakaka-
4.62	dream	tawi
4.63	wake up	basaita-hihi
4.64	break wind	
4.65	urinate	wia-
4.66	defecate	domi
4.67	have sexual intercourse	ha-kina-ti-; ha-ina-ti c̷e
4.68	shiver	
4.69	bathe	nawi-
4.71	beget (of father)	
4.72	born (to be)	kʷina-; batahi -po-
4.73	pregnant	ðehi -ame-; mabe
4.732	conceive	
4.74	live, living, life	eiď̶e
4.75	die, dead	mano-
4.751	drowned	widi-
4.76	kill	mano-a-me-
4.77	corpse	čeno
4.78	bury (the dead)	papa-
4.79	grave, tomb	
4.81	strong, mighty, powerful	toče-da
4.82	weak	
4.83	well, health	saisi-
4.84	sick, sickness	čiki; neda
4.841	fever	neda sinada; neda hobida
4.842	goiter	nara; mororo
4.843	cold (catarrh)	wiď̶i neda
4.85	wound, sore	čadi; ď̶ipi; -c̷i-hi
4.852	bruise	
4.853	swelling	čoamoko; e-c̷o sehe
4.854	itch	ď̶ia-ď̶ia-
4.855	blister	ha-c̷ora-ti
4.856	boil (noun)	
4.857	pus	boso
4.858	scar	ď̶ipi
4.86	cure, heal	idoene-; nača-
4.87	physician	ha-idoene-ti-hi
4.88	medicine, drug	eidoe
4.89	poison	ac̷a
4.91	tired, weary	ha-doi-taitia
4.912	rest	hanawa-
4.92	lazy	tona-da; ha-tora-ti
4.93	bald	čoa c̷ero
4.94	lame	tida
4.95	deaf	iď̶aha mawe
4.96	mute	iď̶aha mawe opa
4.97	blind	paða
4.98	intoxicated	c̷ec̷e-hihi
4.99	naked, bare	ha-wiha-ti
5.11	eat	dia-
5.12	food	hana
5.121	cooked	ðapa-
5.122	raw	eðawa
5.123	ripe	e-soro
5.124	green, unripe	eðawa
5.125	rotten	iwi-da-; horo-horo
5.13	drink	-iď̶i-
5.14	hunger	ðe-mano-
5.141	famine	dia-dia-ha -mano-
5.15	thirst	
5.16	suck	čočo-ke; ðibi-
5.18	chew	kačo-
5.181	swallow	ibodia-
5.19	choke	ha-naha-ribia-ti
5.21	cook	hana-a-; hana po-; sina-me-
5.22	boil (vb)	kʷarara-; ðapa-
5.23	roast, fry	kʷawi-; rare-; kʷarara-
5.24	bake	
5.25	oven	
5.26	pot, cooking vessel	hoto
5.27	kettle	kedo; e-sina-hi
5.28	pan	ebaðo-hi
5.31	dish	
5.32	plate	ðepe; čototo
5.33	bowl	mato-haha
5.34	pitcher, jug	marera; mato
5.35	cup, drinking vessel	eiď̶i-mehi
5.36	saucer	
5.37	spoon	pata
5.38	knife	[kočiro]
5.39	fork	
5.391	tongs	etami-hi
5.41	meal (a)	hana
5.42	breakfast	
5.43	lunch	
5.44	dinner	
5.45	supper	
5.46	peel	ðiro-
5.47	sieve, strain	dakʷa-
5.48	scrape	ď̶eo-
5.49	stir, mix	waro-; kere-kere
5.51	bread	
5.53	dough	ebeba
5.54	knead	mosi-
5.55	meal, flour	ehoto; epamo
5.56	crush, grind	dodo-
5.57	mill	timo
5.58	mortar	etec̷i-hi
5.59	pestle	edodo-hi tomo
5.61	meat	aiča; yami
5.63	sausage	
5.64	soup, broth	
5.65	vegetables	
5.66	bean	poroto
5.7	potato	
5.71	fruit	ehaha
5.712	bunch	edo; erapa
5.75	fig	--
5.76	grape	--
5.77	nut	
5.78	olive	--
5.79	oil	
5.791	grease, fat	e-c̷ei
5.81	salt	bano
5.82	pepper	--
5.821	chili pepper	biď̶o; hoha-da
5.84	honey	wasa ena
5.85	sugar	
5.86	milk (noun)	ac̷o-na
5.87	milk (vb)	podo-
5.88	cheese	--
5.89	butter	--
5.9	beverage, drink	warapo
5.91	mead	
5.92	wine	--
5.93	beer	
5.94	fermented drink	e-saho-na; ewiď̶ata eiď̶i
5.97	egg	eha
5.971	egg yolk	eha tiď̶ina
6.11	put on (clothes)	ha-iča-ti
6.12	clothing, clothes	ehoď̶o-(h)i
6.13	tailor	--
6.21	cloth	ðiri peď̶o; ehoď̶oi
6.22	wool	
6.23	linen, flax	--
6.24	cotton	wapese
6.25	silk	--
6.27	felt	--
6.28	fur	
6.29	leather	e-biti
6.31	spin	bado-
6.32	spindle	
6.33	weave	taď̶i-
6.34	loom	
6.35	sew	roso-
6.36	needle	[akoša]
6.37	awl	
6.38	thread	masi
6.39	dye	ď̶imia-
6.41	cloak	e-bia-ď̶ama-hi
6.411	poncho	
6.42	woman's dress	ehoď̶oi
6.43	coat	
6.44	shirt	sa
6.45	collar	ðiri naha
6.46	skirt	
6.461	grass-skirt	--
6.48	trousers	
6.49	stocking, sock	
6.51	shoe	poloko
6.52	boot	
6.54	shoemaker, cobbler	--
6.55	hat, cap	motiro
6.57	belt, girdle	e-torisi-hi
6.58	glove	--
6.59	veil	--
6.61	pocket	
6.62	button	
6.63	pin	
6.71	ornament, adornment	
6.72	jewel	
6.73	ring (for finger)	metara
6.74	bracelet	
6.75	necklace	ine
6.76	bead	
6.77	earring	šaporo
6.78	headband, headdress	
6.79	tattoo	
6.81	handkerchief, rag	
6.82	towel	
6.91	comb	ðopa
6.92	brush	ha-c̷e-ď̶iki-ti
6.921	braid	bakʷapa-
6.93	razor	
6.94	ointment	papi-
6.95	soap	[ha(h)o]
6.96	mirror	ha-niď̶o-čama-ti-
7.11	dwell, live	
7.12	house	ete
7.13	hut	erere; epawani
7.131	garden-house	
7.14	tent	
7.15	yard, court	etiweiri
7.16	men's house	
7.17	cookhouse	
7.18	meeting house	
7.21	room	
7.22	door, gate	e-c̷ekeini
7.221	doorpost, jamb	
7.23	lock (noun)	
7.231	latch, door-bolt	erohehi; haðipita-ti-
7.24	key	
7.25	window	
7.26	floor	eteme; yawa
7.27	wall	pirika
7.31	fireplace	
7.32	stove	
7.33	chimney	
7.37	ladder	daď̶a
7.42	bed	sa-(h)ode; tawi-ode
7.421	pillow	e-čoa pawa-hi
7.422	blanket	maša
7.43	chair	ani-ode
7.44	table	[miša]
7.45	lamp, torch	weda
7.46	candle	[kaitera]
7.47	shelf	
7.48	trough	ď̶aweta
7.51	roof	c̷ipi-ke
7.52	thatch	
7.53	ridgepole	
7.54	rafter	
7.55	beam	
7.56	post, pole	tade
7.57	board	
7.58	arch	
7.61	mason	
7.62	brick	
7.63	mortar	
7.64	adobe	
8.11	farmer	
8.12	field (for cultivation)	te
8.13	garden	
8.15	cultivate, till	
8.16	fence	etiweiri
8.17	ditch	kʷaðata
8.21	plow	
8.212	furrow	
8.22	dig	bere-; peda-
8.23	spade	
8.24	shovel	
8.25	hoe	
8.26	fork	c̷ewe
8.27	rake	
8.31	sow	
8.311	seed	ehaha
8.32	mow, reap	
8.33	sickle, scythe	
8.34	thresh	
8.35	threshing-floor	
8.41	crop, harvest	ai ehaha kʷana
8.42	grain (barley, oats etc)	
8.43	wheat	
8.44	barley	
8.45	rye	--
8.46	oats	
8.47	maize, corn	ď̶ihe
8.48	rice	[aroso]
8.51	grass	iď̶ene; noc̷a
8.52	hay	
8.53	plant (noun)	eki
8.531	plant (vb)	hočo-
8.54	root	eď̶ao
8.55	branch	eča
8.56	leaf	e-ina
8.57	flower	šaša
8.6	tree	aki
8.61	oak	
8.62	beech	--
8.63	birch	--
8.64	pine	
8.65	fir	
8.66	acorn	
8.67	vine	hono
8.68	tobacco	omasa
8.69	smoke (tobacco)	omasa po-
8.691	pipe	
8.72	tree stump	
8.73	tree trunk	aki čoadodo
8.74	forked branch	c̷ewe
8.75	bark	aki biti
8.76	sap	e-madi
8.81	palm tree	bi
8.82	coconut	--
8.83	citrus fruit	[rimo]
8.84	banana tree	nasa moď̶o
8.85	banyan	--
8.91	sweet potato	hariri; ehasi
8.912	yam	
8.92	tapioca, manioc, cassava	kʷawe
8.93	gourd	deď̶e; hosi; pararata
8.931	pumpkin, squash	hemi; ebotoď̶o
8.94	bamboo	eic̷a; penena
8.941	sugar cane	šita
8.96	fish poison (root)	
8.97	nettle	
8.98	mushroom	si; keriri
9.11	do, make	a-; -po-
9.12	work	modo-
9.14	bend	rei-; wac̷o-
9.15	fold	tanoha-; tononoa-
9.16	tie, bind	risi-; ď̶eke-
9.161	untie	
9.18	chain	
9.19	rope, cord	tawa miða
9.192	knot (noun)	risi-eni; risi-hihi
9.21	strike (hit, beat)	iče-; ðapo-ha
9.211	pound with fist	ha-me-poči-ti-; ď̶apo-, paď̶a-, tara-
9.22	cut	ðaða-; raha-; siki-, boď̶eď̶e-
9.221	cut down	ke-; -bia-
9.222	chop, hew	ðaða
9.223	stab	ď̶akʷa-
9.23	knife	[kočiro]
9.24	scissors, shears	[tišira]
9.25	ax	[hača]
9.251	adze	
9.26	break	karo-; ða-; ðeo-; ď̶io-; hari-
9.261	broken	
9.27	split	peď̶o-; boðeðe-
9.28	tear	ď̶io-
9.29	flay, skin	biti-hemi-
9.31	rub, wipe	c̷ic̷i-
9.32	stretch	pirara-
9.33	pull	reo-
9.34	spread out	ičawana-; pirara-
9.341	hang up	-bade-; bade-ana-
9.342	press	podo-; tiði-
9.343	squeeze, wring	na-podo-ke; na-wac̷o-ke
9.35	pour	kʷamo-kʷamo-; ď̶o-
9.36	wash	popo-; rokʷa-
9.37	sweep	tawa-
9.38	broom	e-tawa-(h)i
9.422	tool	
9.43	carpenter	
9.44	build	a-
9.46	bore	we-rara-; rara-ne-
9.461	hollow out	we-rara-
9.48	saw	ereke-hi
9.49	hammer	e-tata-hi
9.5	nail	tata-
9.56	glue	noro-
9.6	smith, blacksmith	--
9.61	forge	--
9.62	anvil	--
9.63	cast (metals)	--
9.64	gold	[oro]
9.65	silver	čipilo
9.66	copper, bronze	--
9.67	iron	--
9.68	lead (noun)	--
9.69	tin, tinplate	--
9.71	potter	
9.72	mold (clay etc)	
9.73	clay	roto
9.74	glass	
9.75	weave, plait	taď̶i-
9.76	basket	ď̶iti
9.77	mat	ď̶ipe; siho
9.771	rug	--
9.78	netbag	
9.79	fan (noun)	ewe-hi
9.791	fan (vb)	we-; bia-we-; repe
9.81	carve	
9.82	sculptor	--
9.83	statue	[dioso] eimia
9.84	chisel	--
9.88	paint (noun)	kere-kere; ď̶are-ď̶are
9.89	paint (vb)	ď̶iki-
10.11	move	wahi-wahi
10.12	turn over	bosiapa-
10.13	turn around	-barere-a-
10.14	wind, wrap	dono-
10.15	roll	e-čoči; tokiriria-
10.16	drop (vb)	
10.17	twist	tori-a-; rei-, wac̷o-
10.21	rise	neti-ana-
10.22	raise, lift	neti-a-; -ac̷oa-; -ani-c̷oa-
10.23	fall	dahaha-
10.24	drip	ď̶oď̶o-a-
10.25	throw	sana-
10.252	catch (ball)	ina-
10.26	shake	pa-tara-; ria-
10.32	flow	wiðoi-
10.33	sink	-ani-nobi-; morara-
10.34	float	-beď̶a-
10.35	swim	bec̷a-
10.351	dive	sa-nobi
10.352	splash	
10.36	sail (vb)	
10.37	fly (vb)	kʷabec̷a-
10.38	blow	ho-; hoho-
10.41	creep, crawl	rero-; rire-
10.412	kneel	boc̷e-tororo-; tororo-neti-
10.413	crouch	ðodo-; sa-(ʔ)ote-
10.42	slide, slip	biða-; ha-sewia-ti-
10.43	jump, leap	tena-
10.431	kick	e-wac̷i nehe -hosia-
10.44	dance	tiri-tiri-
10.45	walk	ase-
10.451	limp	tida
10.46	run	hododo-
10.47	go	poti-; kʷa-
10.471	go up	c̷oa-
10.472	climb	c̷oa-; sikʷa-
10.473	go down	bote-; bio-
10.474	go out	kʷinana-
10.48	come	poe-
10.481	come back	siapa-
10.49	go away, depart	kʷinana-; habo-ď̶io-ti-
10.491	disappear	taita-na-
10.51	flee	toa-sio-
10.52	follow	kʷade-
10.53	pursue	
10.55	reach, arrive	kʷina-
10.56	approach	naria-
10.57	enter	nobi-
10.61	carry (bear)	-abo-; doso-
10.612	carry-in-hand	
10.613	carry-on-shoulder	mapa-
10.614	carry-on-head	
10.615	carry-underarm	
10.62	bring	dose-
10.63	send	beito-
10.64	lead (vb)	wi-doso-
10.65	drive	
10.66	ride	
10.67	push, shove	nono-
10.71	road	ediď̶i
10.72	path	ediď̶i
10.74	bridge	
10.75	carriage, wagon, cart	
10.76	wheel	
10.77	axle	tahaha
10.78	yoke	
10.81	ship	--
10.83	boat	
10.831	canoe	kʷaba
10.832	outrigger	--
10.84	raft	pere
10.85	oar	etaro-(h)i
10.851	paddle (noun)	etaro-hi
10.852	row (vb)	taro-taro-
10.86	rudder	
10.87	mast	--
10.88	sail (noun)	
10.89	anchor	--
10.91	harbor, port	e-bote-hi
10.92	land (vb)	
11.11	have	
11.12	own, possess	emec̷e
11.13	take	iď̶i-ke
11.14	seize, grasp	ina-
11.15	hold	
11.16	get, obtain	
11.17	keep, retain	iča-saita-
11.18	thing	ai; ai-kʷana
11.21	give	tia-
11.22	give back	
11.24	preserve, look after	inac̷iwa-
11.25	save, rescue	
11.27	destroy	-bere-bere-a-; ðirape-; oroape-
11.28	harm, injure, damage	
11.31	seek, look for	čako-
11.32	find	c̷otiyo-
11.33	lose	taitana-
11.34	release, let go	wana-, iča-, ičaosea-
11.43	money	čipilo
11.44	coin	
11.51	rich	
11.52	poor	aba, čeno
11.53	beggar	-baha-baha-
11.54	avaricious, stingy	iniðe-da; me-nawe-da
11.61	lend	
11.62	borrow	
11.63	owe	
11.64	debt	mano
11.65	pay (vb)	čohetia-
11.66	account, reckoning	
11.69	tax, tribute	
11.77	hire	
11.78	wages	
11.79	earn	
11.81	buy	baha-
11.82	sell	iro-
11.83	trade, barter	
11.84	merchant	
11.85	market (place)	
11.86	store, shop	
11.87	price	čohe
11.88	dear (costly, expensive)	čohe-ne-da
11.89	cheap	čohe-bote
11.91	share (distribute)	
11.92	weigh	topo-a-
12.1	after	sočo; tihe
12.11	behind	e-ti-pe-so; ti-he
12.2	beside	boa-wa
12.3	down, below	e-ma-so; e-ma-he
12.4	before	bia-wa
12.41	front	e-boc̷e-so; ewi-so
12.5	inside, in	e-dome-he
12.6	outside	e-c̷eke-so; ebehi bene
12.7	under	e-ma-so; etipa so
12.8	up, above	e-ba-ke-so
12.11	place	eti-(h)ode; ani-hode
12.12	put	iča-; haičati-, saiba-
12.13	sit	-ani-; ani-ote-
12.14	lie down	sa-ti-; sa-na; -sa
12.15	stand	neti-
12.16	remain, stay	eteso ani-
12.17	remains, left overs	
12.21	collect, gather	
12.212	pick up	čodo-
12.213	pile up	ðita-
12.22	join, unite	dohi -ame-; done-; rika-
12.23	separate	hemi-dera; mesiame-
12.232	divide	ha-ða-ti-; saha-tia-
12.24	open	ď̶ia-
12.25	shut, close	teri-
12.26	cover	bia-ď̶ama-; eď̶ama-hi; biadono-
12.27	hide, conceal	robo-a-
12.31	high	baoda, baki baoda
12.32	low	e-ma-so; e-ma-he
12.33	top	e-bia-so; ematina
12.34	bottom	
12.35	end	etiani; e-pope-ni so
12.352	pointed	ewi-c̷ana; ewi-c̷eki
12.353	edge	e-mahe; ekeke; ec̷oe
12.36	side	bene; eboawaso
12.37	middle, center	paď̶i, e-dosete-so
12.41	right (side)	ď̶ani bai eni bene
12.42	left (side)	ď̶ani bai bene
12.43	near (adv)	nari; weðoe; e-naha-so
12.44	far (adv)	oke-da
12.45	east	emakʷawa bene
12.46	west	ena bia kʷawa bene
12.47	north	nai bene
12.48	south	beni bene
12.53	grow	bao-na; moro-
12.54	measure	eme
12.541	span, fathom	
12.55	large, big	aida; aða; boc̷ama
12.56	small, little	konini; čidi; waičidi
12.57	long	bao-da
12.58	tall	bao-da; baki bao-da
12.59	short	o-bao-čidi
12.61	wide, broad	pa ai-da
12.62	narrow	o-paʔai-čidi
12.63	thick (in dimension)	ma(ʔ)aida; pamoda
12.65	thin (in dimension)	ma wai-čidi; wiri-wiri; ošori
12.67	deep	doe-da
12.68	shallow	
12.71	flat	pača-ta
12.73	straight	boc̷epi
12.74	crooked	tori
12.75	hook	c̷ewe
12.76	corner	e-bac̷o; e-c̷o-ti
12.77	cross	
12.78	square	bac̷ohi; pewe-pewe
12.81	round	perorota
12.82	circle	perorota
12.83	sphere, ball	perorota
12.84	line	
12.85	hole	rara
12.92	like, similar	batame
12.93	change	hahoď̶oderati-, toroka-
13.0	zero, nothing	ai biame; ai mawe
13.1	one	piada
13.2	two	beta
13.3	three	kimiša
13.4	four	poši
13.5	five	pišika
13.6	six	sokota
13.7	seven	
13.8	eight	
13.9	nine	
13.10	ten	tonka
13.101	eleven	piada tonka piada ehaitiana
13.102	twelve	
13.103	fifteen	
13.104	twenty	
13.105	hundred	
13.106	thousand	
13.107	count	idada-
13.14	every, all	pamapa
13.15	much, many	kʷana; doe-hi; dohi eni
13.16	more	
13.17	little (quantity), few	wai čidi; keokʷa-čidi
13.18	enough	topo
13.181	some	
13.19	multitude, crowd	
13.21	full	e-sehe; sehe-a-
13.22	empty	me-mawe
13.23	part, piece	e-peď̶o; erihi
13.24	half	e-dosete
13.33	alone, only	bawi
13.34	first	ekene
13.35	last	tihe pohi
13.36	second	beta pohi
13.37	pair	e-bo-c̷e
13.38	two times	dec̷e
13.42	third	
13.44	three times	
14.11	time	ď̶ei
14.12	age	
14.13	new	eičakʷa; e-nana
14.14	young	e'de; ediawe
14.15	old	eði
14.16	early	
14.17	late	c̷ine-kʷa
14.18	now	hia-we
14.19	immediately	
14.21	swift, fast, quick	tipei-da
14.22	slow	nime-sai-da
14.23	hasten, hurry	ha-poda-ti; tipe-
14.24	retard, delay	c̷onota-
14.25	begin, beginning	apiro-; piro-
14.252	last, endure	točea-
14.26	end (temporal)	etiani
14.27	finish	ape-; pope-
14.28	cease, stop	
14.29	ready	
14.31	always	c̷ine mea-mea
14.32	often	
14.33	sometimes	
14.331	soon	tipei-da
