entry_id	trans_english	Bulgarian_Phonemic
5.36	saucer	činíjka; podlóžka
5.37	spoon	ləžíc̷a
5.38	knife	nóž
5.39	fork	vílica
5.391	tongs	mašá; štípci
5.41	meal (a)	jádene
5.42	breakfast	zakúska
5.43	lunch	óbed/ objád
5.44	dinner	obéd; večérja
5.45	supper	večérja
5.46	peel	obélvam, obélja; bélja (se)
5.47	sieve, strain	presjávam/ preséja; cedjá
5.48	scrape	stə́rža, ostə́rgvam/ ostə́rža
5.49	stir, mix	bə́rkam; smésvam/ smésja
5.51	bread	xljáb
5.53	dough	testó
5.54	knead	mésja, zamésvam/ zamésjam/ zamésja, máčkam
5.55	meal, flour	brašnó
5.56	crush, grind	smáčkvam/ smáčkam; mélja
5.57	mill	mélnica; vódenica
5.58	mortar	[xaván(če)]
5.59	pestle	čúkalo
5.61	meat	mesó
5.63	sausage	nádenica; [sudžúk]; [lukánka]; [salám]
5.64	soup, broth	[súpa]; [buljón]
5.65	vegetables	zelenčúk, zelenčúci
5.66	bean	bób; [fasúl]
5.7	potato	[kartóf]
5.71	fruit	plód
5.712	bunch	kítka; vrə́zka; čépka; grózd
5.75	fig	smokínja
5.76	grape	grózde
5.77	nut	órex
5.78	olive	maslína
5.79	oil	máslo; ólio/ olívija
5.791	grease, fat	más; mazniná
5.81	salt	sól
5.82	pepper	[pipér]; čér piper; čúška; pipérka
5.821	chili pepper	ljúta čúška, ljúta pipérka; ljút červén pipér
5.84	honey	méd
5.85	sugar	záxar
5.86	milk (noun)	mljáko
5.87	milk (vb)	dojá
5.88	cheese	sírene; [kaškavál]
5.89	butter	máslo
5.9	beverage, drink	pitié; napítka
5.91	mead	medovína
5.92	wine	víno
5.93	beer	[bíra]
5.94	fermented drink	[bozá]; [fermentírala] napítka
5.97	egg	jajcé
5.971	egg yolk	žəltə́k
6.11	put on (clothes)	oblíčam/ obleká (se)
6.12	clothing, clothes	oblekló; dréxi
6.13	tailor	šiváč; krojáč
6.21	cloth	plát, platnó; tə́kan; súkno; kə́rpa
6.22	wool	və́lna
6.23	linen, flax	lén
6.24	cotton	[pamúk]
6.25	silk	koprína
6.27	felt	[fílc]; [fjótər]; plə́st; [kečé]
6.28	fur	kóža (s kózina)
6.29	leather	obrabótena kóža
6.31	spin	predá; izprídam/ izpredá
6.32	spindle	vreténo
6.33	weave	təká
6.34	loom	(təkáčen) stán
6.35	sew	šíja
6.36	needle	iglá
6.37	awl	šílo
6.38	thread	konéc
6.39	dye	[bojadísvam]; [bojá]
6.41	cloak	plášt; [mántija]; [pelerína]; namétka, nametálo
6.411	poncho	[pónčo]; nametálo
6.42	woman's dress	[róklja]
6.43	coat	[paltó]
6.44	shirt	ríza
6.45	collar	[jaká, jakíčka]
6.46	skirt	polá
6.461	grass-skirt	--
6.48	trousers	[pantalóni]
6.49	stocking, sock	(də́ləg, kə́s) [čoráp]
6.51	shoe	obúvka
6.52	boot	[botúš]
6.54	shoemaker, cobbler	obuštár; kərpáč; kə́rpja
6.55	hat, cap	šápka; [kaskét]; [képe]
6.57	belt, girdle	[kolán]; pójas
6.58	glove	rəkavíca
6.59	veil	[voál]; [búlo]
6.61	pocket	[džób]
6.62	button	[kópče]
6.63	pin	[toplíjka]; [karfíca]
6.71	ornament, adornment	ukrašénie; [ornamént]
6.72	jewel	skəpocénnost; [bižú]
6.73	ring (for finger)	prə́sten
6.74	bracelet	grívna
6.75	necklace	[gerdán]; [kolié]; ogərlíca
6.76	bead	mənísto
6.77	earring	obicá, óbica
6.78	headband, headdress	[pándelka] za glavá; [kordéla]; nákit/ ukrašénie za glavá; lénta
6.79	tattoo	[tatuiróvka]
6.81	handkerchief, rag	(nósna) kə́rpa; parcál
6.82	towel	kə́rpa
6.91	comb	[grében]
6.92	brush	čétka
6.921	braid	zaplítam/ zapletá, pletá; plítka
6.93	razor	brəsnáč
6.94	ointment	[mexlém]; mazílo; [krem]
6.95	soap	[sapún]
6.96	mirror	ogledálo
7.11	dwell, live	živéja; obitávam
7.12	house	kə́šta; dóm
7.13	hut	[kolíba]; xíža
7.131	garden-house	[oranžeríja]; párnik
7.14	tent	palátka
7.15	yard, court	dvór
7.16	men's house	--
7.17	cookhouse	ljátna kúxnja
7.18	meeting house	--
7.21	room	stája
7.22	door, gate	vratá; [pórta]; vrátnja, vrátnik
7.221	doorpost, jamb	okačálnik; straná na kása na vratá
7.23	lock (noun)	[bráva]; ključálka; [kofár]
7.231	latch, door-bolt	[rezé]
7.24	key	kljúč
7.25	window	prozórec
7.26	floor	pód
7.27	wall	stená
7.31	fireplace	[kamína]; ogníšte
7.32	stove	péčka
7.33	chimney	[komín]
7.37	ladder	stə́lba
7.42	bed	legló
7.421	pillow	vəzglávnic̷a
7.422	blanket	odejálo
7.43	chair	stól
7.44	table	[mása]
7.45	lamp, torch	[lámpa]; [fákel]
7.46	candle	svéšt
7.47	shelf	[ráft]; políc̷a; lávic̷a
7.48	trough	koríto; xranílka
7.51	roof	pókriv
7.52	thatch	sláma/ trəstíka za pókriv
7.53	ridgepole	--
7.54	rafter	[merték]
7.55	beam	gredá
7.56	post, pole	stə́lb; prə́t
7.57	board	dəská
7.58	arch	[árka]; svód
7.61	mason	zidár; [djulgér(in)]; kamenodélec̷
7.62	brick	[túxla]
7.63	mortar	[xorosán]
7.64	adobe	[kirpíč]
8.11	farmer	zemedélec; zemedélski stópanin; [férmer]
8.12	field (for cultivation)	níva
8.13	garden	gradína
8.15	cultivate, till	obrabótvam/ obrabótja; [kultivíram]; orá
8.16	fence	ográda
8.17	ditch	róv; ízkop; kanávka
8.21	plow	izorávam/ izorá; orá; plúg; rálo
8.212	furrow	brazdá
8.22	dig	kopája
8.23	spade	[lizgár]; [bél]; lopáta
8.24	shovel	lopáta
8.25	hoe	motíka
8.26	fork	víla (za seno)
8.27	rake	grebló; [tərmə́k]
8.31	sow	séja
8.311	seed	séme; zərnó
8.32	mow, reap	kosjá; žə́na
8.33	sickle, scythe	sə́rp; kosá
8.34	thresh	vəršéja/ vəršá
8.35	threshing-floor	gúmno; [xarmán]
8.41	crop, harvest	[rekólta]
8.42	grain (barley, oats etc)	zərnó
8.43	wheat	pšeníca; žíto
8.44	barley	ečemík, ečmík
8.45	rye	rə́ž
8.46	oats	ovés
8.47	maize, corn	cárevica
8.48	rice	[oríz]
8.51	grass	trevá
8.52	hay	senó
8.53	plant (noun)	rasténie
8.531	plant (vb)	sadjá
8.54	root	kóren
8.55	branch	klón
8.56	leaf	líst, listó
8.57	flower	c̷véte
8.6	tree	dərvó
8.61	oak	də́b
8.62	beech	búk, búka
8.63	birch	brezá
8.64	pine	bór
8.65	fir	elá
8.66	acorn	žéləd
8.67	vine	lóza
8.68	tobacco	[tjutjún]
8.69	smoke (tobacco)	púša
8.691	pipe	[lulá]
8.72	tree stump	pə́n; də́ner
8.73	tree trunk	stvól; də́ner
8.74	forked branch	[čatálest] klón
8.75	bark	korá
8.76	sap	məzgá; sók
8.81	palm tree	[pálma]
8.82	coconut	[kokósov] órex
8.83	citrus fruit	[c̷ítrusov] plód
8.84	banana tree	[banánovo] dərvó
8.85	banyan	indíjska [smokínja]
8.91	sweet potato	[batát]; sládək [kartóf]
8.912	yam	sládək [tropíčen] [kartóf]
8.92	tapioca, manioc, cassava	[tapióka]; [manióka]
8.93	gourd	[kratúna]
8.931	pumpkin, squash	tíkva
8.94	bamboo	[bambúk]
8.941	sugar cane	záxarna trəstíka
8.96	fish poison (root)	--
8.97	nettle	kopríva
8.98	mushroom	gə́ba
9.11	do, make	právja, naprávja
9.12	work	rabótja
9.14	bend	izvívam/ izvíja (se); svívam/ svíja (se); nagə́rbvam/nagə́rbjam/ nagə́rna se
9.15	fold	sgə́vam/ sgə́na (se); nagə́vam/ nagə́na; svívam/ svíja
9.16	tie, bind	vrə́zvam/ və́rža
9.161	untie	razvə́rzvam/ razvə́rža
9.18	chain	veríga
9.19	rope, cord	vəžé; vəžénc̷e; vrə́v
9.192	knot (noun)	və́zel
9.21	strike (hit, beat)	údrjam/ udárja; bíja
9.211	pound with fist	údrjam s [jumrúk]
9.22	cut	réža
9.221	cut down	otsíčam/ otseká
9.222	chop, hew	seká
9.223	stab	promúšvam/ promúša
9.23	knife	nož
9.24	scissors, shears	nóžica; nóžici
9.25	ax	brádva
9.251	adze	teslá
9.26	break	čúpja (se), sčupvam/ sčúpja (se); razbívam/ razbíja (se)
9.261	broken	sčúpen; razbít
9.27	split	c̷épja (se); razc̷épvam/ razc̷épja (se)
9.28	tear	kə́sam (se), skə́svam/ skə́sam (se)
9.29	flay, skin	odíram/ oderá
9.31	rub, wipe	tríja; bə́rša
9.32	stretch	raztjágam/ raztégna (se); prostíram/ prostrá (se)
9.33	pull	[də́rpam/ drə́pvam/ drə́pna]
9.34	spread out	prostíram/ prostrá (se)
9.341	hang up	zakáčam/ zakačá
9.342	press	natískam/ natísvam/ natísna; stískam/ stísna
9.343	squeeze, wring	izstískvam/ izstískam; izc̷eždam/ izc̷edjá; stískam/ stísna
9.35	pour	léja; nalívam/ naléja
9.36	wash	míja (se); perá
9.37	sweep	metá
9.38	broom	metlá
9.422	tool	sečivó [instrumént]
9.43	carpenter	dərvodélec̷; [dogramadžíja]
9.44	build	strojá; gradjá
9.46	bore	provərtjávam/ provə́rtam/ provərtjá; probívam/ probíja
9.461	hollow out	dəlbája; izdəlbávam/ izdəlbája
9.48	saw	[trión]
9.49	hammer	čúk
9.5	nail	gvózdej; [pirón]
9.56	glue	lepílo
9.6	smith, blacksmith	kováč
9.61	forge	ková; kováčnic̷a
9.62	anvil	nakoválnja
9.63	cast (metals)	léja; otlívam/ otléja
9.64	gold	zláto
9.65	silver	srebró
9.66	copper, bronze	méd; [bakə́r]; [bronz]
9.67	iron	željázo
9.68	lead (noun)	olóvo
9.69	tin, tinplate	[kaláj]; [teneké]; [tenekíja]
9.71	potter	grənčár
9.72	mold (clay etc)	[fórma]; kalə́p
9.73	clay	gliná; prə́t
9.74	glass	stəkló
9.75	weave, plait	pletá
9.76	basket	kóšnica
9.77	mat	rogózka
9.771	rug	[kilím]; [čérga]
9.78	netbag	mréža
9.79	fan (noun)	vetriló
9.791	fan (vb)	véja (si)
9.81	carve	dəlbája; izrjázvam; izvájvam/ izvája
9.82	sculptor	[skúlptor]; vajátel
9.83	statue	[státuja]; izvajánie
9.84	chisel	dletó
9.88	paint (noun)	[bojá]
9.89	paint (vb)	risúvam; [bojadísvam]
10.11	move	dvíža (se); méstja (se)
10.12	turn over	obrə́štam/ obrə́na (se); preobrə́štam/ preobrə́na (se); prekatúrvam/ prekatúrja (se)
10.13	turn around	obrə́štam/ obrə́na (se) (krəgóm)
10.14	wind, wrap	zavívam/ zavíja (se); uvívam/ uvíja; víja (se); omotávam/ omotája
10.15	roll	tərkáljam/ tərkoljá (se); váljam (se)
10.16	drop (vb)	púskam/ púštam/ púsna; izpúskam/ izpúštam/ izpúsna
10.17	twist	usúkvam/ usúča (se); izvívam/ izvíja; zasúkvam/ zasúča; súča
10.21	rise	izdígam/ izdígna se; vdígam/ vdígna se; stávam/ stána
10.22	raise, lift	vdígam/ vdígna, dígam/ dígna; povdígam/ povdígna; izdígam/ izdígna; izprávjam/ izprávja
10.23	fall	pádam/ pádna
10.24	drip	kápja
10.25	throw	xvə́rljam/ xvə́rlja
10.252	catch (ball)	xváštam/ xvána
10.26	shake	klatja (se), pokláštam/ poklátja (se); razkláštam/ razklátja; raztə́rsvam/ raztə́rsja (se); tresá (se)
10.32	flow	teká; vlívam/ vléja se
10.33	sink	potə́vam/ potə́na
10.34	float	plávam; plúvam
10.35	swim	plúvam; plávam
10.351	dive	gmúrkam/ gmúrvam/ gmúrna se
10.352	splash	c̷ópvam/ c̷ópna; prə́skam; naprə́skvam/ naprə́skam
10.36	sail (vb)	plávam s platná; plávam, plúvam
10.37	fly (vb)	letjá
10.38	blow	dúxam; dúxvam/ dúxna; véja
10.41	creep, crawl	pəlzjá; lázja
10.412	kneel	koleníča
10.413	crouch	svívam se; gótvja se da skóča
10.42	slide, slip	xlə́zgam/ xlə́zvam/ xlə́zna (se); plə́zgam/ plə́zna (s)e
10.43	jump, leap	skáčam/ skóča
10.431	kick	rítam; rítvam/ rítna
10.44	dance	igrája; tancúvam
10.45	walk	vərvjá; xódja
10.451	limp	[kúc̷am/, kúc̷(nu)vam, kúc̷na]; [nakúc̷vam]
10.46	run	bjágam; tíčam
10.47	go	otívam/ otída; xódja
10.471	go up	káčvam/ káča se
10.472	climb	izkáčvam/ izkačá (se); katérja se; káčvam/ káča se
10.473	go down	slízam/ sljáza; spúskam/ spúštam/ spúsna se
10.474	go out	izlízam/ izljáza
10.48	come	ídvam/ dójda
10.481	come back	vrə́štam/ və́rna se
10.49	go away, depart	otívam/ otída si; zaminávam/ zamína
10.491	disappear	izčézvam/ izčézna
10.51	flee	bjágam; pobjágvam/ pobjágna
10.52	follow	slédvam
10.53	pursue	preslédvam
10.55	reach, arrive	pristígam/ pristígna, stígam/ stígna; dostígam/ dostígna
10.56	approach	dobližávam/ dobližá
10.57	enter	vlízam/ vljáza
10.61	carry (bear)	nósja
10.612	carry-in-hand	nósja (na rəká)
10.613	carry-on-shoulder	nósja (na rámo)
10.614	carry-on-head	nósja (na glavá)
10.615	carry-underarm	nósja (pod rəká)
10.62	bring	donásjam/ donesá; nósja
10.63	send	izpráštam/ izprátja
10.64	lead (vb)	vódja
10.65	drive	[káram]
10.66	ride	jázdja, jáxam
10.67	push, shove	bútam/ bútvam/ bútna (se)
10.71	road	pə́t
10.72	path	pətéka, pətéčka
10.74	bridge	móst
10.75	carriage, wagon, cart	kolá; [karúca]; [karéta]
10.76	wheel	koleló
10.77	axle	ós
10.78	yoke	ígo; járem; xomót
10.81	ship	kórab
10.83	boat	lódka
10.831	canoe	[kanú]; [rusálka]
10.832	outrigger	straníčni poplávəci
10.84	raft	[sál]
10.85	oar	grebló; vesló
10.851	paddle (noun)	grebló; vesló
10.852	row (vb)	grebá/ grébvam/ grébna
