entry_id	trans_english	Finnish_Phonemic
5.88	cheese	yuusto
5.89	butter	woi
5.9	beverage, drink	yuoma
5.91	mead	sima
5.92	wine	wiini
5.93	beer	olut
5.94	fermented drink	kalya
5.97	egg	muna
5.971	egg yolk	munankeltuainen
6.11	put on (clothes)	pukeutua
6.12	clothing, clothes	waatteet; pukimet
6.13	tailor	r̃æætæli
6.21	cloth	kangas
6.22	wool	willa
6.23	linen, flax	pellawainen, pellawa
6.24	cotton	puuwilla
6.25	silk	silkki
6.27	felt	huopa
6.28	fur	tur̃kisnahka
6.29	leather	nahka
6.31	spin	kehr̃ætæ
6.32	spindle	wær̃ttinæ
6.33	weave	kutoa (kangasta)
6.34	loom	kangaspuut
6.35	sew	ommella
6.36	needle	neula
6.37	awl	naskali
6.38	thread	lanka; r̃ihma
6.39	dye	wær̃yætæ
6.41	cloak	(pæællüs)takki
6.411	poncho	poncho
6.42	woman's dress	puku; leninki
6.43	coat	takki
6.44	shirt	paita
6.45	collar	kaulus
6.46	skirt	hame
6.461	grass-skirt	- -
6.48	trousers	housut
6.49	stocking, sock	sukka; puolisukka
6.51	shoe	kenkæ
6.52	boot	saapas
6.54	shoemaker, cobbler	suutar̃i
6.55	hat, cap	hattu; lakki
6.57	belt, girdle	wüö
6.58	glove	sor̃mikas; hansikas
6.59	veil	huntu
6.61	pocket	tasku
6.62	button	nappi
6.63	pin	nuppineula
6.71	ornament, adornment	kor̃iste, kor̃u
6.72	jewel	yalokiwi; yuweeli
6.73	ring (for finger)	sor̃mus
6.74	bracelet	r̃anner̃engas
6.75	necklace	kaulaketyu
6.76	bead	helmi
6.77	earring	kor̃war̃engas
6.78	headband, headdress	pæækor̃iste; pææhine
6.79	tattoo	tatuointi
6.81	handkerchief, rag	nenæliina
6.82	towel	püühe, püüheliina
6.91	comb	kampa
6.92	brush	har̃ya
6.921	braid	palmikoida; punoa
6.93	razor	par̃taweitsi
6.94	ointment	woide; salwa
6.95	soap	saippua
6.96	mirror	peili
7.11	dwell, live	asua; oleskella
7.12	house	talo
7.13	hut	maya; mökki
7.131	garden-house	puutar̃hamaya
7.14	tent	teltta
7.15	yard, court	piha, pihamaa; howi
7.16	men's house	miestentalo
7.17	cookhouse	keittokota
7.18	meeting house	r̃ukoushuone
7.21	room	huone
7.22	door, gate	owi; por̃tti
7.221	doorpost, jamb	owenpieli
7.23	lock (noun)	lukko
7.231	latch, door-bolt	linkku
7.24	key	awain
7.25	window	ikkuna
7.26	floor	lattia
7.27	wall	muur̃i; seinæ
7.31	fireplace	takka
7.32	stove	uuni
7.33	chimney	sawupiippu
7.37	ladder	tikapuut ~ tikkaat
7.42	bed	wuode; sænkü
7.421	pillow	tüünü
7.422	blanket	peite
7.43	chair	tuoli
7.44	table	pöütæ
7.45	lamp, torch	lamppu; soihtu
7.46	candle	künttilæ
7.47	shelf	hüllü
7.48	trough	r̃uuhi; kaukalo
7.51	roof	katto
7.52	thatch	olkikatto
7.53	ridgepole	katonkannatin
7.54	rafter	kattotuoli
7.55	beam	(niska)hir̃si
7.56	post, pole	pülwæs; seiwæs; tanko
7.57	board	lauta; lankku
7.58	arch	holwi
7.61	mason	muur̃ar̃i
7.62	brick	tiili
7.63	mortar	laastita
7.64	adobe	polttamaton tiili
8.11	farmer	talonpoika; maanwilyeliyæ
8.12	field (for cultivation)	pelto
8.13	garden	puutar̃ha
8.15	cultivate, till	wilyellæ; kaswattaa
8.16	fence	aidata
8.17	ditch	oya
8.21	plow	küntææ, aur̃ata; aur̃a
8.212	furrow	wako
8.22	dig	kaiwaa
8.23	spade	lapio
8.24	shovel	kihweli, lapio
8.25	hoe	kuokka
8.26	fork	hanko; haar̃ukka
8.27	rake	har̃awa
8.31	sow	külwææ
8.311	seed	siemen
8.32	mow, reap	niittææ; leikata (wilyaa)
8.33	sickle, scythe	sir̃ppi; wiikate
8.34	thresh	puida (r̃iihtæ, wilyaa)
8.35	threshing-floor	r̃iihen puimatanner̃
8.41	crop, harvest	sato; elonkor̃yuu
8.42	grain (barley, oats etc)	wilya
8.43	wheat	wehnæ; nisu
8.44	barley	ohr̃a
8.45	rye	r̃uis
8.46	oats	kaur̃a
8.47	maize, corn	maissi
8.48	rice	r̃iisi
8.51	grass	r̃uoho; nur̃mi
8.52	hay	heinæ
8.53	plant (noun)	kaswi
8.531	plant (vb)	istuttaa
8.54	root	yuur̃i
8.55	branch	oksa
8.56	leaf	lehti
8.57	flower	kukka
8.6	tree	puu
8.61	oak	tammi
8.62	beech	püökki
8.63	birch	koiwu
8.64	pine	mæntü; honka
8.65	fir	kuusi
8.66	acorn	tammenter̃ho
8.67	vine	wiiniköünnös
8.68	tobacco	tupakka
8.69	smoke (tobacco)	tupakoida; polttaa (tupakkaa)
8.691	pipe	piippu
8.72	tree stump	kanto
8.73	tree trunk	tüwi
8.74	forked branch	haar̃ainen oksa
8.75	bark	kuor̃i
8.76	sap	mahla, mehu
8.81	palm tree	palmu
8.82	coconut	kookospæhkinæ
8.83	citrus fruit	sitr̃uskaswi
8.84	banana tree	banaanipuu
8.85	banyan	banianpuu
8.91	sweet potato	bataatti
8.912	yam	yamssiyuur̃i
8.92	tapioca, manioc, cassava	tapiokasuur̃imot
8.93	gourd	pullokur̃pitsa
8.931	pumpkin, squash	kur̃pitsa
8.94	bamboo	bambu
8.941	sugar cane	soker̃ir̃uoko
8.96	fish poison (root)	- -
8.97	nettle	nokkonen
8.98	mushroom	sieni
9.11	do, make	tehdæ
9.12	work	tehdæ tüötæ; tüöskennellæ
9.14	bend	taiwuttaa
9.15	fold	poimuttaa
9.16	tie, bind	sitoa; köüttææ
9.161	untie	ir̃r̃ottaa; aukaista
9.18	chain	kahle; ketyu
9.19	rope, cord	nüör̃i, nauha; köüsi
9.192	knot (noun)	solmu
9.21	strike (hit, beat)	lüödæ; iskeæ
9.211	pound with fist	takoa nür̃keillæ
9.22	cut	leikata
9.221	cut down	kar̃sia; leikellæ pois
9.222	chop, hew	hakata
9.223	stab	pistææ; læwistææ; puukottaa
9.23	knife	weitsi
9.24	scissors, shears	sakset
9.25	ax	kir̃wes
9.251	adze	piilukir̃wes
9.26	break	mur̃taa
9.261	broken	r̃ikki(næinen); mur̃tunut
9.27	split	sær̃keæ; halkoa
9.28	tear	r̃epiæ
9.29	flay, skin	nülkeæ
9.31	rub, wipe	hier̃oa, hier̃tææ
9.32	stretch	wenüttææ; yænnittææ
9.33	pull	wetææ
9.34	spread out	lewittææ
9.341	hang up	r̃ipustaa
9.342	press	painaa
9.343	squeeze, wring	pur̃istaa, puser̃taa
9.35	pour	kaataa
9.36	wash	pestæ
9.37	sweep	püühkiæ
9.38	broom	luuta
9.422	tool	tüökalu; tüöwæline
9.43	carpenter	puuseppæ
9.44	build	r̃akentaa
9.46	bore	por̃ata
9.461	hollow out	kower̃taa
9.48	saw	saha
9.49	hammer	wasar̃a
9.5	nail	naula
9.56	glue	liima
9.6	smith, blacksmith	seppæ
9.61	forge	takoa
9.62	anvil	alasin
9.63	cast (metals)	walaa
9.64	gold	kulta
9.65	silver	hopea
9.66	copper, bronze	kupar̃i; pr̃onssi
9.67	iron	r̃auta
9.68	lead (noun)	lüiyü
9.69	tin, tinplate	tina, tinattu r̃autapelti
9.71	potter	sawenwalaya
9.72	mold (clay etc)	walaa; muowailla
9.73	clay	sawi
9.74	glass	lasi
9.75	weave, plait	punoa
9.76	basket	kor̃i
9.77	mat	owimatto
9.771	rug	matto
9.78	netbag	wer̃kko(pussi)
9.79	fan (noun)	wiuhka
9.791	fan (vb)	tuulettaa
9.81	carve	weistææ
9.82	sculptor	kuvanweistæyæ
9.83	statue	(kuwan)weistos
9.84	chisel	taltta
9.88	paint (noun)	wær̃i; maali
9.89	paint (vb)	wær̃yætæ; maalata
10.11	move	liikuttaa
10.12	turn over	kææntææ
10.13	turn around	kææntyæ
10.14	wind, wrap	kæær̃iæ; kietoa
10.15	roll	wier̃ittææ, kier̃ittææ
10.16	drop (vb)	tippua
10.17	twist	kier̃tææ; wææntææ
10.21	rise	nousta
10.22	raise, lift	nostaa
10.23	fall	pudota; kaatua
10.24	drip	tippua
10.25	throw	heittææ
10.252	catch (ball)	ottaa kiinni; püüdüstææ
10.26	shake	r̃awistaa
10.32	flow	wir̃r̃ata
10.33	sink	wayota
10.34	float	uida; kellua
10.35	swim	uida
10.351	dive	sukeltaa
10.352	splash	r̃æisküttææ
10.36	sail (vb)	pur̃yehtia; seilata
10.37	fly (vb)	lentææ
10.38	blow	puhaltaa; tuulla
10.41	creep, crawl	r̃üömiæ; madella
10.412	kneel	polwistua
10.413	crouch	küür̃istüæ
10.42	slide, slip	liukua, luistaa
10.43	jump, leap	hüpætæ
10.431	kick	potkia, potkaista
10.44	dance	tanssia
10.45	walk	kæüdæ; kæwellæ; kulkea
10.451	limp	ontua
10.46	run	yuosta
10.47	go	mennæ; læhteæ; kæüdæ
10.471	go up	nousta
10.472	climb	kiiwetæ
10.473	go down	laskeutua
10.474	go out	mennæ ulos
10.48	come	tulla
10.481	come back	tulla takaisin; palata
10.49	go away, depart	læhteæ
10.491	disappear	kadota; hæwitæ
10.51	flee	paeta
10.52	follow	seur̃ata
10.53	pursue	wainota; ayaa takaa
10.55	reach, arrive	tulla per̃ille
10.56	approach	læhetæ, læhentüæ, læhestüæ
10.57	enter	astua (sisææn)
10.61	carry (bear)	kantaa
10.612	carry-in-hand	kulyettaa kædessæ
10.613	carry-on-shoulder	kantaa olkapæællæ
10.614	carry-on-head	kantaa pææn pæællæ
10.615	carry-underarm	kulyettaa kainalossa
10.62	bring	tuoda
10.63	send	læhettææ
10.64	lead (vb)	yohtaa, ohyata
10.65	drive	ayaa, ohyata
10.66	ride	r̃atsastaa; ayaa
10.67	push, shove	tüöntææ; lükætæ
10.71	road	tie
10.72	path	polku
10.74	bridge	silta
10.75	carriage, wagon, cart	r̃attaat; kær̃r̃üt; waunu
10.76	wheel	püör̃æ; r̃atas
10.77	axle	akseli
10.78	yoke	ies
10.81	ship	laiwa; alus
10.83	boat	wene
10.831	canoe	kanootti; kayakki
10.832	outrigger	pönkkæpuomi
10.84	raft	lautta; lossa
10.85	oar	air̃o
10.851	paddle (noun)	mela; air̃o
10.852	row (vb)	soutaa
10.86	rudder	per̃æsin
10.87	mast	masto
10.88	sail (noun)	pur̃ye
10.89	anchor	ankkur̃i
10.91	harbor, port	satama
10.92	land (vb)	nousta maihin; laskeutua maihin
11.11	have	omistaa
11.12	own, possess	omistaa
11.13	take	ottaa
11.14	seize, grasp	tar̃ttua
11.15	hold	pitææ
11.16	get, obtain	saada; saawuttaa; tawoittaa
11.17	keep, retain	pitææ; sæilüttææ
11.18	thing	asia
11.21	give	antaa
11.22	give back	antaa takaisin; palauttaa
11.24	preserve, look after	suoyella; hoitaa; pitææ huolta
11.25	save, rescue	pelastaa; wapauttaa
11.27	destroy	tuhota; hæwittææ
11.28	harm, injure, damage	wahingoittaa; waur̃ioittaa; haitata
11.31	seek, look for	etsiæ; hakea
11.32	find	löütææ
11.33	lose	kadottaa; hukata
11.34	release, let go	wapauttaa; pææstææ ir̃ti
11.43	money	r̃aha
11.44	coin	kolikko
11.51	rich	r̃ikas
11.52	poor	köühæ
11.53	beggar	ker̃yælæinen
11.54	avaricious, stingy	ahne
11.61	lend	lainata; antaa lainaksi
11.62	borrow	lainata ~ ottaa lainaksi
11.63	owe	olla welkaa
11.64	debt	welka
11.65	pay (vb)	maksaa
11.66	account, reckoning	lasku; tili
11.69	tax, tribute	wer̃o
11.77	hire	palkata
11.78	wages	palkka
11.79	earn	ansaita
11.81	buy	ostaa
11.82	sell	müüdæ
11.83	trade, barter	kæüdæ kauppaa
11.84	merchant	kauppias
11.85	market (place)	tor̃i
11.86	store, shop	kauppa; liike; müümælæ
11.87	price	hinta
11.88	dear (costly, expensive)	kallis
11.89	cheap	halpa
11.91	share (distribute)	yakaa
11.92	weigh	punnita; painaa
12.1	after	yælkeen
12.11	behind	takana
12.2	beside	wier̃essæ
12.3	down, below	alla; alle
12.4	before	ennen
12.41	front	etupuoli
12.5	inside, in	sisæssæ, sisællæ
12.6	outside	ulkona
12.7	under	alla
12.8	up, above	ülhæællæ, üllæ
12.11	place	paikka; kohta; siya
12.12	put	panna; asettaa
12.13	sit	istua
12.14	lie down	maata; lewætæ
12.15	stand	seisoa
12.16	remain, stay	yæædæ
12.17	remains, left overs	yæænnökset
12.21	collect, gather	koota; ker̃ætæ
12.212	pick up	poimia
12.213	pile up	kasata
12.22	join, unite	ühdistææ; liittææ
12.23	separate	er̃ottaa
12.232	divide	yakaa
12.24	open	awata; aukaista
12.25	shut, close	sulkea; panna kiinni
12.26	cover	peittææ
12.27	hide, conceal	piilottaa; kætkeæ
12.31	high	kor̃kea
12.32	low	matala
12.33	top	huippu
12.34	bottom	pohya
12.35	end	loppu
12.352	pointed	ter̃æwæ
12.353	edge	r̃euna; laita
12.36	side	puoli; siwu
12.37	middle, center	keskimmæinen; keskus
12.41	right (side)	oikea
12.42	left (side)	wasen
12.43	near (adv)	læhellæ
12.44	far (adv)	kaukana
12.45	east	itæ
12.46	west	lænsi
12.47	north	pohyoinen
12.48	south	etelæ
12.53	grow	kaswaa
12.54	measure	mitata
12.541	span, fathom	waaksa; süli
12.55	large, big	suur̃i; iso
12.56	small, little	pieni; pikku
