entry_id	trans_english	Kaingáng_Phonemic
3.91	firefly	
3.92	butterfly	toto
3.93	grasshopper	ɔpã
3.94	snail	
3.95	frog	pɛpo; hɨm
3.96	lizard	ŋãŋŋre; yãŋŋre
3.97	crocodile, alligator	hãpã
3.98	turtle	pɛnĩ
4.11	body	hə
4.12	skin, hide	-Φər
4.13	flesh	-nĩ
4.14	hair (head)	-ŋãɲ
4.142	beard	yuwã
4.144	body hair	kɨki
4.145	pubic hair	
4.146	dandruff	
4.15	blood	kɨwɛɲ
4.151	vein, artery	Φɛ mrũn; kuyey; kuŋyey
4.16	bone	kuka
4.162	rib	kãwɨ
4.17	horn	-nĩka
4.18	tail	-mɨ
4.19	back	pãnĩ
4.191	spine	ɲin
4.2	head	-krĩ
4.201	side of head, temple	kakã
4.202	skull	krĩ
4.203	brain	koyo; kuyo
4.204	face	kakã
4.205	forehead	kakã; rĩn-ya
4.207	jaw	yã pɛ̃n; ra
4.208	cheek	yamɛ̃
4.209	chin	yã pɛ̃n
4.21	eye	-kanɛ̃
4.212	eyebrow	kanɛ̃ kasakɨ
4.213	eyelid	
4.214	eyelash	kanɛ̃ yɔki
4.215	blink	
4.22	ear	-nĩŋrɛ̃ŋ
4.221	earlobe	
4.222	earwax	
4.23	nose	-nĩyɛ̃
4.231	nostril	yurũn
4.232	mucus (nasal)	
4.24	mouth	-yɛ̃nkɨ
4.241	beak	yã
4.25	lip	yɛ̃nkɨ Φər
4.26	tongue	nũnɛ̃
4.27	tooth	-yã
4.271	gums	yuŋrɨ̃ɲ
4.272	molartooth	yaŋrɛ̃ɲ pɛ̃n
4.28	neck	-nuɲ
4.281	nape of neck	yaŋpãnuɲ
4.29	throat	tɨ̃wãn
4.3	shoulder	yɛ̃nĩmaɲ; yɛ̃nĩmɨ̃ɲ; pɛ̃n mɛŋ
4.301	shoulderblade	
4.302	collarbone	
4.31	arm	nĩŋnɔ; pɛ̃
4.312	armpit	yɛ̃rɛ̃
4.32	elbow	pɛ̃n kanun
4.321	wrist	nĩŋnã-Φi nĩŋnɔ-Φi
4.33	hand	nĩŋɛ
4.331	palm of hand	nĩŋɛ nuŋ
4.34	finger	nĩŋɛ Φɛy
4.342	thumb	
4.344	fingernail	nĩŋŋru
4.345	claw	nĩŋru
4.35	leg	-Φa
4.351	thigh	krɛ
4.352	calf of leg	Φa yɛ̃mɨ; Φa mɔ
4.36	knee	yakrĩ
4.37	foot	-pɛ̃n
4.371	ankle	pɛ̃n nən
4.372	heel	pɛ̃n ra
4.374	footprint	
4.38	toe	pɛ̃n məŋ; pɛ̃n yuya; pɛ̃n sĩ
4.392	wing	-Φɛ̃r
4.393	feather	-Φɛ̃r
4.4	chest	Φɛ parɔ
4.41	breast (of woman)	Φe pãrɔ
4.412	nipple, teat	nũŋye (?)
4.42	udder	
4.43	navel	nũŋnin
4.44	heart	-Φe; Φɛ ror
4.441	lung	Φɛ kãɲwɨ; yɛ̃nŋey
4.45	liver	-tə̃mɛ̃; tɨ̃mɛ̃
4.451	kidney	kãɲkra
4.452	spleen	tɨ̃pre
4.46	stomach	yɛ̃n ne; tɨ̃Φɔr; -nuŋ
4.461	intestines, guts	-kãtə; nuŋ
4.462	waist	yɛ̃nʔɨr; yãʔɨr
4.463	hip	pɛɲkrɛɲ; pɛɲkraɲ
4.464	buttocks	nɛr
4.47	womb	ŋrɔ
4.49	testicle	ŋrãΦɨ
4.492	penis	ŋrɛ
4.51	breathe, breath	yɛ̃nŋɛr
4.52	yawn, gape	ããŋ hɛ
4.521	hiccough	
4.53	cough	kuhur; ũhũ he
4.54	sneeze	asĩŋ; mɔɲ ke
4.55	perspire	kãrã-n
4.56	spit	yãra; suŋ
4.57	vomit	tũŋtũw; ɛ e
4.58	bite	pra; kɨpra
4.59	lick	yɔn kɛ; tuŋmãn
4.591	dribble	ŋɔn ŋɔn ke
4.61	sleep	nũr; nũn; nũŋnũr
4.612	snore	hɔ hɔ he
4.62	dream	yãti; yãŋti; peti; piŋti
4.63	wake up	mrin ke
4.64	break wind	tɛn ke
4.65	urinate	yəɲ; yəŋyəɲ
4.66	defecate	yãΦa; yãŋΦa
4.67	have sexual intercourse	prũŋ; mɛn
4.68	shiver	wãŋwã
4.69	bathe	mro; mroŋ-mro
4.71	beget (of father)	kuΦɨŋ; kɔsin han; krɛ̃ han
4.72	born (to be)	tɨy; tɨŋtɨy; mur; munmur
4.73	pregnant	kuΦɨ; rɨ̃y
4.732	conceive	kuΦɨŋ
4.74	live, living, life	rĩr; Φɛ mrir
4.75	die, dead	tɛr; hun ke; tũŋ
4.751	drowned	ti-ki tɛ̃
4.76	kill	tɛn; kãŋtɛn
4.77	corpse	wɛ̃ɲ-tɛr; wɛ̃ser
4.78	bury (the dead)	ŋan; kri ŋan; kɛɲ
4.79	grave, tomb	wɛ̃ɲ-key; key
4.81	strong, mighty, powerful	tar; Φetar
4.82	weak	krɔy; krɔɲkrɔy
4.83	well, health	hə; kaŋa tũ
4.84	sick, sickness	kaŋãŋ; kaŋa
4.841	fever	rɨ̃
4.842	goiter	nuɲ ŋrɔ
4.843	cold (catarrh)	kusãŋ; kusãŋsãŋ
4.85	wound, sore	
4.852	bruise	
4.853	swelling	kãɲpar; kãɲpɨnpar
4.854	itch	krɨkrɨ
4.855	blister	
4.856	boil (noun)	Φɔm; ΦuŋΦɔm; ΦuŋΦo
4.857	pus	Φo
4.858	scar	kawe
4.86	cure, heal	kɨŋtãŋ; kɨŋtãŋtãŋ
4.87	physician	
4.88	medicine, drug	wɛ̃ɲ-kaŋta
4.89	poison	wɛ̃ɲ-kaŋta kɔrɛŋ
4.91	tired, weary	tɨ; ron
4.912	rest	wɛ̃ɲ-kən
4.92	lazy	yɛ̃nyɛ̃r
4.93	bald	krĩ kator
4.94	lame	kɔɲŋrĩ; ŋrĩ
4.95	deaf	kutu
4.96	mute	wĩ wãɲ
4.97	blind	kɨwɔ; nə
4.98	intoxicated	ter; kãŋter
4.99	naked, bare	kator; kur tũ
5.11	eat	yɛ̃n; ko
5.12	food	wɛ̃ɲ-yɛ̃n
5.121	cooked	ney
5.122	raw	təɲ
5.123	ripe	rãn; rãŋ
5.124	green, unripe	təɲ
5.125	rotten	kɔrɛŋ; kɔriŋrɛŋ; kunãɲ
5.13	drink	oŋ; oŋʔoŋ; kron; kron-kron
5.14	hunger	kɔkĩr; kɔkĩnkĩr
5.141	famine	Φɛ tũ; prə̃ŋ
5.15	thirst	hãŋhã; kron sɔr
5.16	suck	ʔũɲ-ʔũɲ he; ũɲ ũɲ hɛ; kãhun
5.18	chew	kayɛ̃
5.181	swallow	rɔŋ; ruŋ-rɔŋ
5.19	choke	
5.21	cook	ɛ̃ŋnɛɲ
5.22	boil (vb)	wãn-wãn
5.23	roast, fry	ŋrãŋ
5.24	bake	ŋrãŋ
5.25	oven	
5.26	pot, cooking vessel	kukrũ
5.27	kettle	
5.28	pan	kukrũ pu; kukrũ
5.31	dish	
5.32	plate	
5.33	bowl	pɛnkɨ; kukrũ
5.34	pitcher, jug	kukrũ
5.35	cup, drinking vessel	
5.36	saucer	
5.37	spoon	kuye
5.38	knife	kɨΦɛ; rɔŋro
5.39	fork	kuye nĩŋɛ
5.391	tongs	ka pɛ̃n; kansin
5.41	meal (a)	wɛyɛ̃n
5.42	breakfast	
5.43	lunch	yɛ̃n; ko
5.44	dinner	
5.45	supper	
5.46	peel	kuΦɛ̃n; kuŋΦɛ̃n
5.47	sieve, strain	kur Φĩn mĩn
5.48	scrape	katɔn; kɨkɛn; kuŋmre
5.49	stir, mix	wɔŋ; wɔŋwɔŋ; rũm; rũmrũm
5.51	bread	yamĩ; ɛ̃mĩ; pũ
5.53	dough	kãŋŋrɔr
5.54	knead	kãŋŋrɔr; ŋrɔn
5.55	meal, flour	[Φarĩɲ]
5.56	crush, grind	ŋũm kɛ; ŋũm ŋũm hɛ
5.57	mill	tɨnɨn yãΦã
5.58	mortar	krɛy
5.59	pestle	kra
5.61	meat	-nĩ
5.63	sausage	
5.64	soup, broth	kome; kume
5.65	vegetables	ɛ̃ŋɔro; yaŋɔro
5.66	bean	rãŋrɔ
5.7	potato	nin; pɛnʔɔ
5.71	fruit	-kanɛ̃; ka kanɛ̃
5.712	bunch	mɔ
5.75	fig	
5.76	grape	
5.77	nut	
5.78	olive	
5.79	oil	
5.791	grease, fat	rəm; -tãŋ
5.81	salt	sa
5.82	pepper	
5.821	chili pepper	
5.84	honey	mɨ̃ŋ
5.85	sugar	ŋrɛ̃
5.86	milk (noun)	nũŋyɛ; moɲ nũŋyɛ; ŋoy kupri
5.87	milk (vb)	
5.88	cheese	
5.89	butter	
5.9	beverage, drink	
5.91	mead	kɨΦɛ
5.92	wine	
5.93	beer	kɨΦɛ
5.94	fermented drink	yãŋ-ya; yɛ̃ŋya-yaΦã
5.97	egg	-krɛ̃; o; ow; ŋarĩɲ krɛ̃
5.971	egg yolk	sɔŋ
6.11	put on (clothes)	kun; kãtɔn; kur
6.12	clothing, clothes	kur
6.13	tailor	kur kurãn yãΦã
6.21	cloth	kur
6.22	wool	mɛ kɨki
6.23	linen, flax	--
6.24	cotton	
6.25	silk	--
6.27	felt	--
6.28	fur	kɨki
6.29	leather	kaΦe; kɨki
6.31	spin	wãΦɛn
6.32	spindle	
6.33	weave	Φɨ; wãΦɨ; wãŋΦɨ
6.34	loom	
6.35	sew	kurə̃n; kurɨ̃n; kuŋrɨ̃n
6.36	needle	prɛy
6.37	awl	
6.38	thread	wãΦe
6.39	dye	prɔy; wɛ̃ɲ-prəŋ tɨ̃ ke
6.41	cloak	[kapa]
6.411	poncho	[kapa]
6.42	woman's dress	wɛ̃ɲ-kri-Φɛ̃
6.43	coat	
6.44	shirt	
6.45	collar	kur Φɛ̃r
6.46	skirt	wɛ̃ɲ-pɛ̃Φĩ
6.461	grass-skirt	--
6.48	trousers	[karsa]
6.49	stocking, sock	
6.51	shoe	pɛ̃n nɛ; pɛ̃n to rɔ
6.52	boot	[mɔta]
6.54	shoemaker, cobbler	
6.55	hat, cap	sãpe
6.57	belt, girdle	yãʔɨr; yɛ̃nʔɨr
6.58	glove	
6.59	veil	
6.61	pocket	
6.62	button	
6.63	pin	
6.71	ornament, adornment	sĩnwĩ han
6.72	jewel	
6.73	ring (for finger)	nĩŋe-kã-nĩw
6.74	bracelet	
6.75	necklace	yãnka
6.76	bead	
6.77	earring	
6.78	headband, headdress	
6.79	tattoo	
6.81	handkerchief, rag	kunmri
6.82	towel	
6.91	comb	wɛ̃ɲ-kurɨɲ-ya
6.92	brush	
6.921	braid	wãΦɨ; kɨŋΦɨ; wãŋΦɨ
6.93	razor	
6.94	ointment	
6.95	soap	[samũm]
6.96	mirror	wɛ̃ɲ-wɛn-yaΦã
7.11	dwell, live	ɛ̃mã-n; yãma-n
7.12	house	ʔĩn; wɛ̃ɲ-nĩŋ-ya
7.13	hut	ʔĩn; pãyɔ; wãre
7.131	garden-house	wãre
7.14	tent	ĩn; pãyɔ
7.15	yard, court	
7.16	men's house	
7.17	cookhouse	
7.18	meeting house	
7.21	room	wãnɨn
7.22	door, gate	yãnkã; yɛ̃nkã
7.221	doorpost, jamb	
7.23	lock (noun)	
7.231	latch, door-bolt	
7.24	key	
7.25	window	kanɛ̃ nor
7.26	floor	kroŋŋroŋ
7.27	wall	ĩn to rɔ; kãyɛ̃ŋ
7.31	fireplace	pĩ
7.32	stove	pĩ
7.33	chimney	
7.37	ladder	sãn-sãn-he-yaΦã;
7.42	bed	wɛ̃ɲ-nĩŋŋrɛ
7.421	pillow	Φaŋkrĩ
7.422	blanket	[komɛrto]
7.43	chair	nĩŋya
7.44	table	
7.45	lamp, torch	ney
7.46	candle	nɛy
7.47	shelf	kri-win-ya
7.48	trough	
7.51	roof	ĩn kri
7.52	thatch	
7.53	ridgepole	
7.54	rafter	
7.55	beam	
7.56	post, pole	nũna; ĩn nũna
7.57	board	Φəŋ ke; tapa
7.58	arch	
7.61	mason	ĩn han tĩ
7.62	brick	
7.63	mortar	
7.64	adobe	
8.11	farmer	
8.12	field (for cultivation)	ɛ̃pə̃; -yapə̃
8.13	garden	ɛ̃krɛ; -yakrɛ
8.15	cultivate, till	pɨ̃; ɛ̃pɨ̃; yapɨ̃; ɛ̃ŋɨpɨ̃; yaŋɨpɨ̃
8.16	fence	rɔ
8.17	ditch	
8.21	plow	ŋa-kũm-yaΦã
8.212	furrow	
8.22	dig	kũkũm; kũm; kũm-kũm
8.23	spade	
8.24	shovel	
8.25	hoe	mɛŋ səm; tãpɛr
8.26	fork	
8.27	rake	
8.31	sow	Φɨn; krãn
8.311	seed	Φɨ
8.32	mow, reap	kɨm
8.33	sickle, scythe	yãpã
8.34	thresh	
8.35	threshing-floor	
8.41	crop, harvest	
8.42	grain (barley, oats etc)	Φɨ
8.43	wheat	
8.44	barley	
8.45	rye	
8.46	oats	
8.47	maize, corn	ŋãr
8.48	rice	[aroɲ]
8.51	grass	rɔrɔ; re
8.52	hay	
8.53	plant (noun)	ɛ̃krɛ; yakrɛ
8.531	plant (vb)	krãn; ɛ̃krãn
8.54	root	-yãre
8.55	branch	ne; niŋne; Φɛy
8.56	leaf	-Φɛy
8.57	flower	-Φey
8.6	tree	ka
8.61	oak	
8.62	beech	
8.63	birch	
8.64	pine	Φəŋ
8.65	fir	
8.66	acorn	Φəŋ krĩ; Φəŋ Φɨ
8.67	vine	
8.68	tobacco	Φũmu
8.69	smoke (tobacco)	wãyu
8.691	pipe	
8.72	tree stump	yəɲkɔ
8.73	tree trunk	ka; ka nɛr
8.74	forked branch	
8.75	bark	-Φər
8.76	sap	yɛ̃nyo; mɛ
8.81	palm tree	tãɲ
8.82	coconut	
8.83	citrus fruit	rãrãɲ
8.84	banana tree	
8.85	banyan	--
8.91	sweet potato	[matata]; nin; pɛnʔɔ
8.912	yam	
8.92	tapioca, manioc, cassava	[mə̃nyɔka]
8.93	gourd	run-ya
8.931	pumpkin, squash	pɛho; pɛhu
8.94	bamboo	wãn; wãŋwã
8.941	sugar cane	
8.96	fish poison (root)	
8.97	nettle	pɨrΦɛ
8.98	mushroom	kayɛ̃r kasakɨ
9.11	do, make	han; hɨn-han; ke
9.12	work	rãɲrãy
9.14	bend	pãɲ ke; pãnɔn
9.15	fold	tãm; tãw; nũy; ŋũr
9.16	tie, bind	kaŋye
9.161	untie	kawãn; kɨwãn; kɨŋwãn
9.18	chain	
9.19	rope, cord	ṣ̌eya; wãΦe
9.192	knot (noun)	kaŋye; ki kaŋye; kɨŋye
9.21	strike (hit, beat)	mrãn-mrãn; nə e; kã nə e
9.211	pound with fist	pɔ he; pɔke
9.22	cut	kɨm; kɨkɨm
9.221	cut down	kutɛ̃m; ŋə̃n; rəy
9.222	chop, hew	kutɛ̃m; pan
9.223	stab	nɔn; kusɔn
9.23	knife	kɨΦɛ; rɔŋro
9.24	scissors, shears	wãrɛ-ya
9.25	ax	mɛŋ
9.251	adze	
9.26	break	ŋɨ̃n kɛ
9.261	broken	mrəy
9.27	split	rɨŋ; rɔm; ruŋrɔm
9.28	tear	yãn-hãŋ; hũŋ
9.29	flay, skin	
9.31	rub, wipe	kãŋrãɲ; sɔŋmrɛŋ; yãɲkriŋ
9.32	stretch	kuyɛn; kuŋyɛn
9.33	pull	nə̃ŋ-nə̃ŋ; raran; yɔyɛn
9.34	spread out	kriŋkriŋ
9.341	hang up	sa; wɛ̃ɲ-yɛ̃yən
9.342	press	ɲə̃ɲ; hɔhɔm; yɛ̃ŋmĩ
9.343	squeeze, wring	yɛ̃ŋmĩ; yɛ̃ŋũ
9.35	pour	kuyɛ̃n; kuŋyɛ̃n
9.36	wash	kupe; kuŋpe; kɨpe; kɨŋpe
9.37	sweep	prun
9.38	broom	Φɨ̃ŋΦɨ̃ŋ-yaΦã
9.422	tool	kɨΦɛ
9.43	carpenter	
9.44	build	han
9.46	bore	kusɔn; kuŋyɔn
9.461	hollow out	
9.48	saw	krĩ tɛy
9.49	hammer	yɛ̃tɛ̃n; yɛ̃ŋtɛ̃n
9.5	nail	sa; to sa
9.56	glue	kaŋrɛ̃r; kãŋmĩ; to pɛm ke
9.6	smith, blacksmith	
9.61	forge	
9.62	anvil	
9.63	cast (metals)	
9.64	gold	
9.65	silver	
9.66	copper, bronze	--
9.67	iron	
9.68	lead (noun)	
9.69	tin, tinplate	
9.71	potter	
9.72	mold (clay etc)	
9.73	clay	ŋoʔor; sɔw; ɔrɛ
9.74	glass	
9.75	weave, plait	Φɨ; wãΦɨ; wãŋΦɨ
9.76	basket	kɛ̃y; kãŋtɨ
9.77	mat	
9.771	rug	wãΦɨ
9.78	netbag	pɛrɔŋ
9.79	fan (noun)	yɛ̃nwɛn-yaΦã
9.791	fan (vb)	yɛ̃nwɛn
9.81	carve	
9.82	sculptor	
9.83	statue	wɛ̃ɲ-kãŋŋrə
9.84	chisel	
9.88	paint (noun)	wɛ̃ɲprəŋ
9.89	paint (vb)	wɛ̃ɲprəŋ tə̃ ke
10.11	move	tĩn; mũn; wɔŋ
10.12	turn over	wə̃n ke
10.13	turn around	wə̃n ke; wĩrn ke; yɨ rã; yɨ ŋĩn
10.14	wind, wrap	pãŋ
10.15	roll	ŋrĩn; kuŋrĩn; kɔɲŋrĩn; tuŋrĩn
10.16	drop (vb)	ti-tɨ̃-nã-ke
10.17	twist	yɔɲŋĩn; Φɛn; kɨΦɛn
10.21	rise	tãprɨ ŋrɛ̃n ŋrɛ̃nke
10.22	raise, lift	tãnΦɨn; yãnΦɨn
10.23	fall	kutɛ̃
10.24	drip	nãʔ nãʔ ke; sinsin ke
10.25	throw	Φɔn; wãm; wãwãm
10.252	catch (ball)	to wern ke
10.26	shake	yɔŋrũm; rũmrũm; rũm rũm hɛ
10.32	flow	yɨyɨɲ he
10.33	sink	ki payu
10.34	float	nãn; nãŋnãn; mro
10.35	swim	mro; tũŋnũm
10.351	dive	pun ke; punpun; rɛ̃ŋ; rɛ̃ŋrɛ̃ŋ
10.352	splash	
10.36	sail (vb)	
10.37	fly (vb)	tɛ̃; tɛ̃w; tɛ̃ŋtɛ̃; tɛ̃ŋtɛ̃w
10.38	blow	kãkan; yãkə; kãkə; Φu ke; hu he
10.41	creep, crawl	raran; yɔyɛn
10.412	kneel	ŋrĩɲ ke
10.413	crouch	
10.42	slide, slip	Φɛrn ke
10.43	jump, leap	hũm he; tim ke
10.431	kick	niʔ he
