entry_id	trans_english	Lakkia_Phonemic
4.46	stomach	puk.7 kou.6
4.461	intestines, guts	puk.7
4.462	waist	puk.7 kou.6
4.463	hip	puk.7 cɛ:ŋ.1
4.464	buttocks	puk.7 ŋɛn.5
4.47	womb	puk.7 kjaŋ.1
4.49	testicle	wie:t.8
4.492	penis	kjɛ:ŋ.1
4.51	breathe, breath	pu.4 wi:n.2
4.52	yawn, gape	nɛ:n.3
4.521	hiccough	tei.3 nɛ:n.3
4.53	cough	nɛ:n.3 ti:u.2
4.54	sneeze	mie.1
4.55	perspire	fɛm.1
4.56	spit	jok.8
4.57	vomit	tap.7
4.58	bite	i.1 tei.3
4.59	lick	cam.3 ca.5
4.591	dribble	blai.1
4.61	sleep	tu.3 ŋja:i.6
4.612	snore	nant.5 tu.3
4.62	dream	ti:u.2.4 kja:i.3
4.63	wake up	jie:t.8
4.64	break wind	klĳən.3 tən.2
4.65	urinate	khjən.3
4.66	defecate	huə:t.7 klĳən.3
4.67	have sexual intercourse	nam.5 ta:i.6
4.68	shiver	kjai.5 lo:m.6
4.69	bathe	kjai.5 kwẽ:ŋ.3
4.71	beget (of father)	huə:t.7 mie:k.7
4.72	born (to be)	hĩ:p.7
4.73	pregnant	ma.3 tei.3
4.732	conceive	tuk.8 i:t.7; tuk.8 kə.6
4.74	live, living, life	chũ:n.3
4.75	die, dead	tuk.8 khjɛn.1
4.751	drowned	uk.7 a:n.6
4.76	kill	lei.2; cie:n.2
4.77	corpse	phu:i.1; cie:n.2
4.78	bury (the dead)	jok.7
4.79	grave, tomb	kat.7
4.81	strong, mighty, powerful	jaŋ.4 wã.2
4.82	weak	lie:t.7
4.83	well, health	uk.7 lei.2
4.84	sick, sickness	hep.7
4.841	fever	pɛ:ŋ.5 kjũ:n.1
4.842	goiter	wan.3 hep.7
4.843	cold (catarrh)	blen.2 faŋ.1
4.85	wound, sore	blen.2
4.852	bruise	foŋ.5.3 kjat.7
4.853	swelling	foŋ.5 kjĩ:u.5
4.854	itch	foŋ.5.3 kwei.4
4.855	blister	pok.8 mie:k.7
4.856	boil (noun)	kjə:n.5
4.857	pus	huk.8 sen.1
4.858	scar	cie:ŋ.4
4.86	cure, heal	uk.7 sɛ:ŋ.1
4.87	physician	cie:ŋ.4 nuŋ.4
4.88	medicine, drug	mi.2 sen.1; mi.2 wən.6
4.89	poison	mi.2 sen.1; mi.2 nuŋ.4
4.91	tired, weary	ŋjɛ:u.6
4.912	rest	plei.1
4.92	lazy	ŋɛm.5 plei.1
4.93	bald	a.4
4.94	lame	si.1
4.95	deaf	ta:ŋ.6
4.96	mute	fa:m.1 to.3
4.97	blind	lek.8
4.98	intoxicated	pai.4
4.99	naked, bare	uə:ŋ.6; sen.1 lai.1
5.11	eat	piŋ.6; mi.2 piŋ.6
5.12	food	fa:t.7 khja:n.3
5.121	cooked	ciŋ.2 u.1
5.122	raw	pok.8 kjĩ:t.7
5.123	ripe	foŋ.5 kwei.4 ŋo:m.3
5.124	green, unripe	cɛ:t.7; ta:n.4 cɛ:t.7
5.125	rotten	wok.8 jau.2
5.13	drink	pok.8 wok.8
5.14	hunger	wok.8; jət.8
5.141	famine	phəm.1
5.15	thirst	kjei.5
5.16	suck	khjãu.1
5.18	chew	ta:n.4
5.181	swallow	i.1 lai.1
5.19	choke	i.1 sɛ:ŋ.1
5.21	cook	jie.1
5.22	boil (vb)	jie.1 tok.8
5.23	roast, fry	la:ŋ.6 jie.1
5.24	bake	waŋ.6
5.25	oven	hjie:t.7
5.26	pot, cooking vessel	la:n.4
5.27	kettle	kjɛu.1 lo.5
5.28	pan	puk.7 kwɛ.2
5.31	dish	ja.2 jak.7
5.32	plate	ŋam.3
5.33	bowl	pla.1 pha:ŋ.3
5.34	pitcher, jug	wãi.2
5.35	cup, drinking vessel	plãŋ.5 cãŋ.3
5.36	saucer	cen.1
5.37	spoon	lak.7 cen.1
5.38	knife	lak.7 cok.8
5.39	fork	lak.7 sɛ:ŋ.1
5.391	tongs	cok.8
5.41	meal (a)	jau.2; waŋ.2 cok.8
5.42	breakfast	la:n.6
5.43	lunch	ho:p.7; tuə:t.7
5.44	dinner	sei.3
5.45	supper	sei.3; huə:ŋ.1
5.46	peel	ɛn.1 ho.1
5.47	sieve, strain	tuə:t.7
5.48	scrape	ńjã:i.3
5.49	stir, mix	jɛn.1, ɛn.1
5.51	bread	kak.8
5.53	dough	tu.2; to.3
5.54	knead	tu.2
5.55	meal, flour	chɛ:u.3
5.56	crush, grind	cik.7
5.57	mill	lo.2
5.58	mortar	kuə:n.5; ka.3 lai.6 pok.8 cen.1
5.59	pestle	u.2
5.61	meat	khjɛ:k.7
5.63	sausage	tie:p.8
5.64	soup, broth	cɛ:n.3
5.65	vegetables	ũ:n.3
5.66	bean	cɛ.4 u.2, ca.4 u.2
5.7	potato	coŋ.1
5.71	fruit	tie:p.8
5.712	bunch	koŋ.3 pɛ:u.4
5.75	fig	mɛ.4
5.76	grape	cam.3 jã.1
5.77	nut	ci:m.2
5.78	olive	(in.3 tən.5) kou.3
5.79	oil	kou.3 ŋjet.8
5.791	grease, fat	kou.3 wan.2
5.81	salt	tən.5 ciŋ.2
5.82	pepper	kou.3 blau.2
5.821	chili pepper	hɛ:t.7
5.84	honey	sa:i.1; tu:n.6; lu.6
5.85	sugar	kwɛ:t.7
5.86	milk (noun)	cɛ:u.3
