entry_id	trans_english	Chiriguano_Phonemic
4.412	nipple, teat	(če-)kaᵐbu ĩ-ti
4.42	udder	-kaᵐbɨ
4.43	navel	-pɨrũa
4.44	heart	-pɨa; (če-)[korasõ]
4.441	lung	(če-)pɨtũe
4.45	liver	(če-)pɨa
4.451	kidney	-r-uᵐbɨ; -h-uᵐbɨ
4.452	spleen	-pere
4.46	stomach	(če-)rɨe; hɨe; tɨe
4.461	intestines, guts	t-ɨe; (če-)čuri; ičuri (?)
4.462	waist	(če-)kua
4.463	hip	(če-)r-uᵐbɨ; h-uᵐbɨ
4.464	buttocks	(če-)rewi; (se-)toko
4.47	womb	h-ɨru; -r-ɨru
4.49	testicle	t-apia; -r-apia; -h-apia
4.492	penis	-r-akʷa; -h-akʷa; -r-eᵐbo; -h-eᵐbo
4.51	breathe, breath	-pɨtũe
4.52	yawn, gape	-ǰuru-peka
4.521	hiccough	ɨʔi
4.53	cough	(če-)uu; iǰuu; iǰu
4.54	sneeze	-atio
4.55	perspire	(se-)r-ɨai; -h-ɨai
4.56	spit	(a)ⁿdɨwɨ
4.57	vomit	(a)wẽe
4.58	bite	(ai)čuu; suu
4.59	lick	(a)ere
4.591	dribble	-ɲemoteⁿdɨ
4.61	sleep	(a)ke
4.612	snore	(če-)korõro
4.62	dream	-payu; -pau
4.63	wake up	-pa
4.64	break wind	-pɨ̃no
4.65	urinate	(a)kʷaru
4.66	defecate	(a)mãɲa; (če-)poti
4.67	have sexual intercourse	-mẽno
4.68	shiver	(a)rɨri
4.69	bathe	(a)ᵐbo-ǰau; -ǰau
4.71	beget (of father)	-mo-ɲe-mõɲa
4.72	born (to be)	(a)a
4.73	pregnant	purua
4.732	conceive	-mo-ɲe-mõɲa
4.74	live, living, life	-ikowe; t-ekowe
4.75	die, dead	mãno
4.751	drowned	ɨ o-ǰuka
4.76	kill	(a)ǰuka
4.77	corpse	teõ-ᵑwe
4.78	bury (the dead)	-ɲõti
4.79	grave, tomb	ɲõti-a
4.81	strong, mighty, powerful	hataŋatu
4.82	weak	tatã-a
4.83	well, health	tekowe-katu; -r-ekowe-katu
4.84	sick, sickness	asɨ; -r-asɨ; h-asɨ
4.841	fever	(če-)r-aku; h-aku
4.842	goiter	'ǰuai
4.843	cold (catarrh)	-uu
4.85	wound, sore	(če-)pere
4.852	bruise	huᵐbiri
4.853	swelling	(če-)ruru; iruru
4.854	itch	-r-ẽmi; -h-ẽmi
4.855	blister	-apirua
4.856	boil (noun)	(če-)ruru; iruru
4.857	pus	peu
4.858	scar	pere o-kãe-ma
4.86	cure, heal	(ai)poãno
4.87	physician	poãno-poãno-a
4.88	medicine, drug	mõa; (se)põa
4.89	poison	ᵐbayači; teⁿdɨ-rasɨ
4.91	tired, weary	(če-)kaⁿdɨ; kaᵑgɨ; kãno
4.912	rest	(a)putuu
4.92	lazy	atẽɨ
4.93	bald	a-ᵐbae
4.94	lame	[kõšo]
4.95	deaf	(če-)apɨsã-a; apɨsa-ᵐbae
4.96	mute	ɲẽe-ᵐbae
4.97	blind	-r-esã-a; -h-esa-ᵐbae
4.98	intoxicated	sawaɨpo; (a)hawaɨpo
4.99	naked, bare	naⁿdi
5.11	eat	-u; -karu
5.12	food	t-eᵐbi-u; r-eᵐbi-u; h-eᵐbi-u
5.121	cooked	-yɨ
5.122	raw	-yɨ-ᵐbae
5.123	ripe	-agʷɨye
5.124	green, unripe	-agʷɨye-ᵐbae; akɨ
5.125	rotten	-h-ũu
5.13	drink	-u
5.14	hunger	-yeᵐbaɨ
5.141	famine	karu-gʷai; karu-ai
5.15	thirst	(če-)u[w]e; iǰue
5.16	suck	-pɨte; (a)ere
5.18	chew	suu ~ čuu; (ai)aso
5.181	swallow	-mõkʷi
5.19	choke	-pɨtupa
5.21	cook	-ᵐbo-yɨ; (a)mõi; (a)yeᵐbiapo
5.22	boil (vb)	-pupu; (a)ᵐbo-pupu
5.23	roast, fry	-mõ-kãe ~ -mɨ̃-kãe
5.24	bake	-ᵐbo-yɨ
5.25	oven	ᵐbuyape-i-ᵐbo-yɨ-ka
5.26	pot, cooking vessel	yapepo
5.27	kettle	yapepo
5.28	pan	
5.31	dish	ɲãe
5.32	plate	
5.33	bowl	ɲãe
5.34	pitcher, jug	kau-a; (če-)ᵐbaereru
5.35	cup, drinking vessel	kau-a
5.36	saucer	
5.37	spoon	ĩta
5.38	knife	kɨse
5.39	fork	ᵐbae-kutuhamĩi
5.391	tongs	ᵐbae-pɨsɨ-ka
5.41	meal (a)	karu; t-eᵐbiu
5.42	breakfast	
5.43	lunch	karu
5.44	dinner	karu
5.45	supper	t-eᵐbiu pɨ̃tu-pegʷa
5.46	peel	piro
5.47	sieve, strain	-mo-ⁿdɨkɨ
5.48	scrape	-kãri
5.49	stir, mix	-ᵐbo-ǰea
5.51	bread	ᵐbuǰape; [pã]
5.53	dough	muɲapẽ-ra
5.54	knead	ᵐbo-ǰea
5.55	meal, flour	kui; asi; iasi
5.56	crush, grind	-ᵐbae-so
5.57	mill	moᵑguia
5.58	mortar	aᵑgua
5.59	pestle	ᵐbae-so-ka
5.61	meat	hewae; soo; (če-)roo; hoo
5.63	sausage	--
5.64	soup, broth	tɨkʷe
5.65	vegetables	
5.66	bean	kumaⁿda; gwɨraya; ⁿdakarai
5.7	potato	
5.71	fruit	aa; ia
5.712	bunch	ɲõma
5.75	fig	--
5.76	grape	--
5.77	nut	ɨwɨrasa ia
5.78	olive	--
5.79	oil	-kɨra-kʷe
5.791	grease, fat	(če-)kɨra
5.81	salt	ǰukɨ
5.82	pepper	--
5.821	chili pepper	kɨ̃i
5.84	honey	ei
5.85	sugar	
5.86	milk (noun)	kaᵐbɨ
5.87	milk (vb)	-tãmi
5.88	cheese	--
5.89	butter	--
5.9	beverage, drink	
5.91	mead	muⁿduwi ikãwɨ
5.92	wine	
5.93	beer	
5.94	fermented drink	kãwɨ
5.97	egg	(če-)rupia; hupia
5.971	egg yolk	uru-rupia i-yu-kʷe
6.11	put on (clothes)	-moⁿde
6.12	clothing, clothes	ᵐbae-moⁿde
6.13	tailor	
6.21	cloth	tɨru
6.22	wool	[oweha] ra-ᵑwe
6.23	linen, flax	--
6.24	cotton	maⁿdiǰu
6.25	silk	--
6.27	felt	--
6.28	fur	pire
6.29	leather	pire-kʷe; ᵐbae-pire
6.31	spin	(ai-)põwa
6.32	spindle	ẽi
6.33	weave	(a-)ɲõpe
6.34	loom	ɲopẽ-a
6.35	sew	(a-ᵐbae)ᵐbowɨwɨ
6.36	needle	ǰuu
6.37	awl	wasupirasa
6.38	thread	iniᵐbo
6.39	dye	(a-)mopɨ̃ta
6.41	cloak	asoǰa
6.411	poncho	asoǰa
6.42	woman's dress	tipoi; maⁿdu
6.43	coat	--
6.44	shirt	[kamisa]
6.45	collar	aǰu-r-aitɨ
6.46	skirt	
6.461	grass-skirt	--
6.48	trousers	t-eᵐbi-ao; r-eᵐbi-ao; h-eᵐbi-ao
6.49	stocking, sock	
6.51	shoe	[sapato]
6.52	boot	
6.54	shoemaker, cobbler	[sapato]-iy-apo-a
6.55	hat, cap	(če-)aka-ⁿdao
6.57	belt, girdle	kua-pua; (se-)kʷakʷaa
6.58	glove	--
6.59	veil	--
6.61	pocket	
6.62	button	
6.63	pin	
6.71	ornament, adornment	ᵐboki
6.72	jewel	
6.73	ring (for finger)	(če-)po-ãka-regʷa
6.74	bracelet	papi ᵐboki
6.75	necklace	poɨ
6.76	bead	ᵐbae-r-apua
6.77	earring	naᵐbičai
6.78	headband, headdress	apɨkʷa
6.79	tattoo	ǰewa
6.81	handkerchief, rag	osoro-kʷe
6.82	towel	
6.91	comb	(če-)kɨwa
6.92	brush	
6.921	braid	(a-)ɲõpe
6.93	razor	
6.94	ointment	põa
6.95	soap	
6.96	mirror	
7.11	dwell, live	(a)-iko
7.12	house	o(o); (če-)r-oo; h-oo; (ã)iɲ-a
7.13	hut	tapɨi
7.131	garden-house	tapɨi
7.14	tent	oo ao
7.15	yard, court	oka
7.16	men's house	
7.17	cookhouse	tata hẽta
7.18	meeting house	
7.21	room	
7.22	door, gate	õke; r-õke; h-õke
7.221	doorpost, jamb	
7.23	lock (noun)	ᵐbae-yukeⁿda
7.231	latch, door-bolt	ᵐbae-yukeⁿda
7.24	key	[yawi]
7.25	window	
7.26	floor	ɨwɨ
7.27	wall	ɨweᵐbɨ
7.31	fireplace	tata-reⁿda
7.32	stove	ᵐboǰɨka
7.33	chimney	
7.37	ladder	ǰupika
7.42	bed	t-upa; r-upa; h-upa
7.421	pillow	akaᵑgɨta
7.422	blanket	asoika
7.43	chair	(če-)apɨka; [siya]
7.44	table	[mesa]
7.45	lamp, torch	temi-r-eⁿdɨ
7.46	candle	eⁿdɨa
7.47	shelf	
7.48	trough	ɲãe wasu ɨwɨra
7.51	roof	oo iy-asoǰa; (če-)apɨte; iǰapɨte
7.52	thatch	kapii
7.53	ridgepole	oo iǰ-apɨte-reᵑgwa
7.54	rafter	ɨwɨra gʷasu; gʷaᵐbita
7.55	beam	ɨwɨra-wasu
7.56	post, pole	ɨwɨra-akʷa
7.57	board	ɨwɨra-pe
7.58	arch	wɨrapa
7.61	mason	--
7.62	brick	[naᵑgiriyu]
7.63	mortar	
7.64	adobe	ɨwɨ hãta
8.11	farmer	ɨwɨ i-ᵐbo[labra]-a
8.12	field (for cultivation)	ɲũu
8.13	garden	ko
8.15	cultivate, till	ɨwɨ 'ᵐbowo
8.16	fence	'hokai
8.17	ditch	ɨwɨ 'soro
8.21	plow	(a)ai
8.212	furrow	a'ia
8.22	dig	(a)'ǰoo
8.23	spade	
8.24	shovel	'sɨpe
8.25	hoe	
8.26	fork	h-akaᵐbɨ; r-akaᵐbɨ
8.27	rake	
8.31	sow	ɲõti; mãe-ti
8.311	seed	hãɨ; temĩ-tɨ
8.32	mow, reap	i'poo
8.33	sickle, scythe	'kɨse pãri
8.34	thresh	'ǰɨkɨ
8.35	threshing-floor	
8.41	crop, harvest	ᵐba'rɨwo
8.42	grain (barley, oats etc)	hãɨ
8.43	wheat	
8.44	barley	
8.45	rye	
8.46	oats	
8.47	maize, corn	a'wati
8.48	rice	
8.51	grass	kapii
8.52	hay	ka'ape tĩni
8.53	plant (noun)	ɨwɨraraɨ
8.531	plant (vb)	(a)ɲõti
8.54	root	h-'apo; r-'apo
8.55	branch	h-ãka; r-ãka
8.56	leaf	roo; hoʔo; h-okɨ
8.57	flower	(če-)'potɨ
8.6	tree	ɨ'wɨra
8.61	oak	
8.62	beech	
8.63	birch	
8.64	pine	
8.65	fir	
8.66	acorn	
8.67	vine	ɨsɨpo; ɨhɨpo
8.68	tobacco	pẽtɨ
8.69	smoke (tobacco)	pẽtɨ u
8.691	pipe	pẽtɨ-ᵑgwa
8.72	tree stump	
8.73	tree trunk	(ɨ'wɨra) ɨ'pɨ-kʷe
8.74	forked branch	ɨ'wɨra 'kaᵐbi
8.75	bark	ɨ'wɨra 'pire
8.76	sap	ɨ'wɨra i'tɨ
8.81	palm tree	kara'ⁿdaɨ
8.82	coconut	kara'ⁿdaɨ 'ia
8.83	citrus fruit	
8.84	banana tree	pa'kowa
8.85	banyan	--
8.91	sweet potato	'ǰetɨ
8.912	yam	
8.92	tapioca, manioc, cassava	ma'ⁿdio
8.93	gourd	a'ⁿdai
8.931	pumpkin, squash	gʷiⁿdaka
8.94	bamboo	takʷa'reᵐbo
8.941	sugar cane	takʷanẽe
8.96	fish poison (root)	
8.97	nettle	pɨno
8.98	mushroom	urupe
9.11	do, make	(aǰ-)apo
9.12	work	parawɨkɨ
9.14	bend	mo-karãpa
9.15	fold	ᵐbu-ǰ-apa
9.16	tie, bind	ǰokʷa; mõiča
9.161	untie	ǰora
9.18	chain	korepoti ĩša
9.19	rope, cord	sã; tɨmãsa
9.192	knot (noun)	kɨ̃ta
9.21	strike (hit, beat)	nũpa
9.211	pound with fist	ǰoso
9.22	cut	kɨ̃ti
9.221	cut down	itɨ
9.222	chop, hew	pesẽa
9.223	stab	kutu
9.23	knife	kɨse
9.24	scissors, shears	ǰetapa
9.25	ax	ǰɨɨ
9.251	adze	ǰɨgʷapa
9.26	break	ǰoka
9.261	broken	õ-pe; o-ǰeka
9.27	split	ᵐbo-wo
9.28	tear	moⁿdoro; soro
9.29	flay, skin	piro
9.31	rub, wipe	kɨtɨ
9.32	stretch	ᵐbo-puku
9.33	pull	mo-ãta, m-ãta
9.34	spread out	pɨso
9.341	hang up	sawawa; hawawa
9.342	press	ǰopɨ; huᵐbiri
9.343	squeeze, wring	tami; akaᵐbɨ
9.35	pour	puǰere; ikʷawo
9.36	wash	ǰoe
9.37	sweep	tupei
9.38	broom	tupeiča
9.422	tool	temiporu
9.43	carpenter	ɨwɨra-ǰapo-a
9.44	build	apo
9.46	bore	mo-ᵑgʷɨra-kʷa
9.461	hollow out	ǰoo
9.48	saw	ɨwɨra ikɨ̃ti-a
9.49	hammer	takataka
9.5	nail	ᵐbae-kutu-a
9.56	glue	ᵐbae-pomo
9.6	smith, blacksmith	korepoti-ǰ-apo-a
9.61	forge	--
9.62	anvil	--
9.63	cast (metals)	mo-ⁿdɨkʷe
9.64	gold	korepoti-ǰu
9.65	silver	korepoti-tĩi
9.66	copper, bronze	korepoti iǰuagʷe
9.67	iron	korepoti
9.68	lead (noun)	--
9.69	tin, tinplate	--
9.71	potter	ɲãe iǰ-apo-a
9.72	mold (clay etc)	
9.73	clay	tuǰũti
9.74	glass	--
9.75	weave, plait	ɲõpe
9.76	basket	ᵐbae-rɨru
9.77	mat	
9.771	rug	--
9.78	netbag	urupuku
9.79	fan (noun)	ᵐbae-peǰu-a
9.791	fan (vb)	peǰu
9.81	carve	mu-aᵑga
9.82	sculptor	mu-aᵑga-a
9.83	statue	h-aaᵑga; h-ãa
9.84	chisel	tapiǰu
9.88	paint (noun)	yegʷa
9.89	paint (vb)	mo-r-egʷa; ᵐbuyegʷa
10.11	move	mo-mɨ̃i; mo-ᵑgue
10.12	turn over	itɨ; mo-ᵑgʷarapɨ
10.13	turn around	ᵐbo-ǰere
10.14	wind, wrap	mama
10.15	roll	ᵐb-apua
10.16	drop (vb)	poi; ᵐbo-a
10.17	twist	poka
10.21	rise	ǰupi
10.22	raise, lift	mo-pũa
10.23	fall	a
10.24	drip	tɨkɨ
10.25	throw	moᵐbo
10.252	catch (ball)	pɨsɨ; pɨ
10.26	shake	mo-kãta; ᵐbɨwawa
10.32	flow	sɨrɨ; hɨrɨ
10.33	sink	ᵐbɨ-sakaᵐbu; mo-sakaᵐbu
10.34	float	'wewi
10.35	swim	ɨta
10.351	dive	(aɲ-)ãka-pɨ̃mi
10.352	splash	'ɨpɨi
10.36	sail (vb)	ɨ-rupi gʷata
10.37	fly (vb)	wewe
10.38	blow	peǰu
10.41	creep, crawl	põɲɨ
10.412	kneel	(ay-)atɨka
10.413	crouch	
10.42	slide, slip	sururu; pɨsɨrɨ
10.43	jump, leap	(a)po
10.431	kick	pɨ̃no
10.44	dance	purae
10.45	walk	wata
10.451	limp	(če-)[kõčo]
10.46	run	('a-)si
10.47	go	('a-)ha; ('o-)ho
10.471	go up	ǰupi
10.472	climb	ǰupi
10.473	go down	gʷeyɨ
10.474	go out	(ã-)ẽ
10.48	come	(a-)ǰu
10.481	come back	ǰewɨ
10.49	go away, depart	('a-)ha; ('o-)ho
10.491	disappear	kãɲɨ
10.51	flee	('a-)si
10.52	follow	h-aɨkʷere-pe (a)wata
10.53	pursue	mũɲa
