entry_id	trans_english	Nung-Ninbei_Phonemic
4.65	urinate	li.2
4.66	defecate	na:i.2 lɔi.1
4.67	have sexual intercourse	non.2
4.68	shiver	kjɔn.1
4.69	bathe	pɔn.2 jɔn.3
4.71	beget (of father)	cən.6
4.72	born (to be)	səŋ.3
4.73	pregnant	ok.8 tat.7
4.732	conceive	niu.6
4.74	live, living, life	ok.8 kei.3
4.75	die, dead	tɨk.6 e.3
4.751	drowned	san.2
4.76	kill	sui.5 ʔda:ŋ.2
4.77	corpse	seŋ.1 ciŋ.4
4.78	bury (the dead)	than.2 na.3
4.79	grave, tomb	seŋ.1
4.81	strong, mighty, powerful	khɨn.3 ʔda:ŋ.2
4.82	weak	khɨn.3 ʔda:ŋ.2
4.83	well, health	ńaŋ.2
4.84	sick, sickness	tha:i.2
4.841	fever	nam.4 thum.3 ta:i.2
4.842	goiter	kha.3
4.843	cold (catarrh)	sei.1 ja:i.2
4.85	wound, sore	ham.2
4.852	bruise	co.3; mo.6
4.853	swelling	reŋ.2; maŋ.6
4.854	itch	jo.4
4.855	blister	ʔda:ŋ.̀ ʔdai.2
4.856	boil (noun)	pəŋ.6; pan.2 pəŋ.6
4.857	pus	fa:t.7 ʔdut.8
4.858	scar	a:i.2
4.86	cure, heal	pan.2 khjai.3
4.87	physician	khei.3 mɔk.7
4.88	medicine, drug	cap.7; tei.6 cap.7
4.89	poison	kɔi.6; ʔban.6
4.91	tired, weary	fɔk.8; fɔk.8 fou.2
4.912	rest	kɔi.6; ʔda:t.8
4.92	lazy	pop.7
4.93	bald	cɔŋ.1
4.94	lame	noŋ.1
4.95	deaf	ʔban.6
4.96	mute	ʔja.2 ʔdai.2
4.97	blind	ca:ŋ.6 ʔja.2
4.98	intoxicated	ʔja.2
4.99	naked, bare	ʔja.2 tɨk.8
5.11	eat	lɔŋ.2 ʔja.2
5.12	food	kui.4
5.121	cooked	hit.8 pak.8
5.122	raw	kwa:n.4
5.123	ripe	thu.2 ʔdo.6
5.124	green, unripe	kwe.2
5.125	rotten	nuk.7
5.13	drink	wam.4
5.14	hunger	ʔbot.8
5.141	famine	to.2
5.15	thirst	ke.3 ləŋ.2
5.16	suck	kən.1
5.18	chew	ka:i.5 kən.1
5.181	swallow	sɨk.7
5.19	choke	ʔdɨp.7
5.21	cook	pan.2
5.22	boil (vb)	khiu.2
5.23	roast, fry	nau.6
5.24	bake	kən.1; ʔdɔt.7
5.25	oven	ʔja:k.8
5.26	pot, cooking vessel	ʔja:k.8
5.27	kettle	wo.2 ha:u.3
5.28	pan	ʔdɔt.7
5.31	dish	keu.4; ńai.3
5.32	plate	ʔdɨn.3
5.33	bowl	ken.4
5.34	pitcher, jug	cɨn.3
5.35	cup, drinking vessel	tam.3
5.36	saucer	śa:u.3
5.37	spoon	hiŋ.6; ʔja:ŋ.3
5.38	knife	lu.2 fai.2
5.39	fork	ca:u.5
5.391	tongs	hu.2 nam.4
5.41	meal (a)	ca:u.5
5.42	breakfast	thui.3 thou.6
5.43	lunch	pɨn.2
5.44	dinner	thui.3
5.45	supper	ŋeu.6
5.46	peel	pui.5
5.47	sieve, strain	teŋ.5
5.48	scrape	peu.2 keŋ.1
5.49	stir, mix	pja.4
5.51	bread	ŋa:m.2 śa.2
5.53	dough	kjɨm.2 nep.7
5.54	knead	khau.3
5.55	meal, flour	khau.3 cau.4
5.56	crush, grind	khau.3 ŋa:i.2
5.57	mill	ta:i.6 ton.5
5.58	mortar	khau.3 pjau.2
5.59	pestle	phen.2; lau.1; cin.3
5.61	meat	khaŋ.2; to.1
5.63	sausage	kjau.3
5.64	soup, broth	pau.1
5.65	vegetables	khon.2
5.66	bean	ʔbɔŋ.2 mek.8 min.6
5.7	potato	tam.1
5.71	fruit	śe.5
5.712	bunch	phat.7
5.75	fig	kjɔk.8
5.76	grape	ta:p.8 toi.6
5.77	nut	ni.4
5.78	olive	sai.3
5.79	oil	tha:ŋ.5
5.791	grease, fat	phjak.7
5.81	salt	thu.6 phjak.7
5.82	pepper	kiŋ.1
5.821	chili pepper	soi.5
5.84	honey	lɨk.8 ma:n.6
