entry_id	trans_english	Nenets_Phonemic
2.55	cousin	- -
2.56	ancestors	ir̃iʔʔ-xadaʔʔ
2.57	descendants	nʸuʔ
2.61	father-in-law (of a man)	ŋɨnab ~ ir̃i
2.611	father-in-law (of a woman)	ŋɨnab ~ ir̃i
2.62	mother-in-law (of a man)	nʸe ŋɨnab ~ xada
2.621	mother-in-law (of a woman)	nʸe ŋɨnab
2.63	son-in-law (of a man)	iy
2.631	son-in-law (of a woman)	iy
2.64	daughter-in-law (of a man)	mʸeya
2.641	daughter-in-law (of a woman)	mʸeya
2.71	stepfather	- -
2.72	stepmother	nʸaba
2.73	stepson	wadar̃a
2.74	stepdaughter	nʸe wadar̃a
2.75	orphan	yewako
2.76	widow	ser̃a nʸe
2.77	widower	ser̃a
2.81	relatives, kinsmen	- -
2.82	family	tuʔ tʸer̃ʔʔ
2.91	I	manʸ
2.92	you (singular)	pɨdar̃
2.93	he/she/it	pɨda
2.94	we	maniʔ; manʸaʔʔ
2.941	we (inclusive)	- -
2.942	we (exclusive)	- -
2.95	you (plural)	pɨdar̃iʔ; pɨdar̃aʔʔ
2.96	they	pɨdiʔ; pɨdoʔ
3.11	animal	sar̃mik
3.12	male (adj)	xor̃a
3.13	female (adj)	sibʸako; yetʸa
3.15	livestock	- -
3.16	pasture	xado
3.18	herdsman	tɨber̃tʸa
3.19	stable, stall	- -
3.2	cattle (bovine)	- -
3.21	bull	xabt
3.22	ox	- -
3.23	cow	xor̃awa
3.24	calf	suyu
3.25	sheep	ŋawc̷ʸa
3.26	ram	par̃an
3.28	ewe	ŋawc̷ʸa
3.29	lamb	ŋawc̷ʸaʔ nʸu
3.32	boar	- -
3.34	sow	par̃asʸ
3.35	pig	par̃asʸʔ nʸu
3.36	goat	- -
3.37	he-goat	- -
3.38	kid	- -
3.41	horse (equine)	yuno
3.42	stallion	yunoʔ xor̃a
3.44	mare	yunoʔ nʸebʸa
3.45	foal, colt	yunoʔ suyu
3.46	ass, donkey	- -
3.47	mule	- -
3.5	fowl	xar̃adʔ tir̃tʸa
3.52	cock, rooster	xar̃adʔ xor̃kɨ
3.54	hen	- -
3.55	chicken	xanʸey
3.56	goose	yabto
3.57	duck	ŋaʔʔŋu
3.58	nest	pidʸa
3.581	bird	tir̃tʸa
3.582	seagull	xalew
3.583	heron	- -
3.584	eagle	limbʸa
3.585	hawk	xanawey
3.586	vulture	sapsan
3.591	bat	pʸenzo
3.592	parrot	- -
3.593	crow	war̃ŋe
3.594	dove	- -
3.596	owl	xanʸebc̷ʸo
3.61	dog	wenʸeko ~ weʔ
3.614	rabbit	nʸawa ~ tewasi
3.62	cat	xoska
3.622	opossum	- -
3.63	mouse, rat	pisʸa; idʔ pisʸa
3.65	fish	xalʸa
3.652	fin (dorsal)	tor̃a
3.653	fishscale	sʸaw
3.654	gill	tʸar̃ʔʔ
3.655	shell	yawʔ xa
3.661	shark	- -
3.662	porpoise, dolphin	- -
3.663	whale	xaleʔ
3.664	stingray	- -
3.665	freshwater eel	- -
3.71	wolf	sar̃mik
3.72	lion	- -
3.73	bear	war̃k
3.74	fox	tʸonʸa
3.75	deer	tɨ
3.76	monkey	ŋaya tar̃ʔʔ
3.77	elephant	- -
3.78	camel	- -
3.81	insect	mair̃ta
3.811	louse	panzʸeʔʔe
3.812	nit (louse egg)	talik
3.813	flea	luxu
3.814	centipede	- -
3.815	scorpion	- -
3.816	cockroach	- -
3.817	ant	- -
3.818	spider	lʸar̃c̷o
3.819	spider web	lʸar̃c̷oʔ poŋga
3.82	bee	- -
3.821	beeswax	- -
3.822	beehive	- -
3.823	wasp	xeb
3.83	fly	toxondabc̷o
3.831	sandfly (midge), gnat	nibʸer̃ʸo
3.832	mosquito	nʸenʸaŋg
3.84	worm	xalc̷o
3.85	snake	- -
3.91	firefly	- -
3.92	butterfly	lambar̃ʸo
3.93	grasshopper	- -
3.94	snail	- -
3.95	frog	tʸamdeʔʔ
3.96	lizard	tanz
3.97	crocodile, alligator	- -
3.98	turtle	- -
4.11	body	ŋaya
4.12	skin, hide	tobyowa; xoba
4.13	flesh	ŋamza
4.14	hair (head)	ŋebtʔ yaʔʔ
4.142	beard	munoc̷ʸʔ
4.144	body hair	ŋebt ~ ŋewaʔ tar̃ʔʔ
4.145	pubic hair	maʔʔnɨʔ tar̃ʔʔ
4.146	dandruff	siwolʔʔ
4.15	blood	xemʔ ~ weya
4.151	vein, artery	xewʔ paŋg ~ weyaʔ paŋg
4.16	bone	lɨ
4.162	rib	xewc̷ʸʔ
4.17	horn	nʸamd
4.18	tail	tewa
4.19	back	maxa
4.191	spine	ledɨ
4.2	head	ŋewa
4.201	side of head, temple	nilʸnʸa
4.202	skull	ŋewaʔ lɨ ~ ŋeweyc̷ʸʔ
4.203	brain	ŋewey
4.204	face	sʸaʔʔ
4.205	forehead	tay
4.207	jaw	nʸaŋu
4.208	cheek	padu
4.209	chin	nʸaŋu
4.21	eye	sew
4.212	eyebrow	nir̃c̷ʸʔ
4.213	eyelid	sewʔ war̃
4.214	eyelash	sewʔ tar̃ʔʔ
4.215	blink	sewmʔ xayemlamba(sʸ)
4.22	ear	xa
4.221	earlobe	xaʔ lambʸa
4.222	earwax	xaʔ labar̃ʔʔ
4.23	nose	pɨya
4.231	nostril	pɨyaʔ si
4.232	mucus (nasal)	nadʔ
4.24	mouth	nʸaʔ
4.241	beak	tir̃tʸaʔ pɨya
4.25	lip	pibtʸaʔ
4.26	tongue	nʸamʸu
4.27	tooth	tibʸa
4.271	gums	tiwʔ ŋamza
4.272	molartooth	taʔʔwanabc̷ʸʔ
4.28	neck	ik
4.281	nape of neck	pawe
4.29	throat	xuŋgo
4.3	shoulder	mar̃c̷ʸʔ
4.301	shoulderblade	sʸudɨ; mar̃c̷ʸʔ lɨ
4.302	collarbone	mar̃c̷ʸʔ lɨ
4.31	arm	ŋuda
4.312	armpit	sʸalʔ
4.32	elbow	salik
4.321	wrist	ŋudaʔ sexer̃ʔʔ
4.33	hand	ŋuda
4.331	palm of hand	pʸeʔ
4.34	finger	ŋudaʔ tar̃ka
4.342	thumb	pikc̷ʸa
4.344	fingernail	xada
4.345	claw	xada
4.35	leg	ŋey
4.351	thigh	yeyʔ
4.352	calf of leg	nʸelak
4.36	knee	pulɨ
4.37	foot	ŋe
4.371	ankle	ŋeʔ sexer̃ʔʔ
4.372	heel	yenʸad
4.374	footprint	ŋeʔ ŋɨlʔʔ
4.38	toe	ŋeʔ tar̃ka
4.392	wing	to
4.393	feather	toʔ tar̃ʔʔ
4.4	chest	lembar̃a
4.41	breast (of woman)	ŋamʸa
4.412	nipple, teat	ŋamʸaʔ mal
4.42	udder	xor̃awaʔ ŋamʸa
4.43	navel	sʸuʔ
4.44	heart	sʸey
4.441	lung	tiwak
4.45	liver	mɨd
4.451	kidney	suik
4.452	spleen	lʸusi
4.46	stomach	nʸanko; pir̃c̷i
4.461	intestines, guts	sʸonzʸaʔ tar̃ʔʔ
4.462	waist	sʸudɨ
4.463	hip	yeyʔ
4.464	buttocks	xar̃c̷i ~ mor̃tɨʔʔ
4.47	womb	nʸeʔ ŋesʸʔ
4.49	testicle	nʸalo
4.492	penis	xonda ~ xor̃a
4.51	breathe, breath	indadmʔ nekalpa(sʸ); indʔʔ
4.52	yawn, gape	nʸaŋger̃c̷ʸ
4.521	hiccough	sʸoydar̃c̷ʸ
4.53	cough	xodor̃c̷ʸ
4.54	sneeze	pɨyadar̃c̷ʸ
4.55	perspire	nʸoxomba(sʸ)
4.56	spit	sabc̷ʸbasʸ
4.57	vomit	todnor̃c̷ʸ
4.58	bite	sʸakalpa(sʸ)
4.59	lick	nʸanzba(sʸ)
4.591	dribble	muŋgana(sʸ)
4.61	sleep	xonʸo(sʸ)
4.612	snore	nar̃na(sʸ)
4.62	dream	yudesʸ
4.63	wake up	sidʸeba(sʸ); sidʸe(sʸ)
4.64	break wind	par̃ner̃c̷ʸ
4.65	urinate	ŋanzac̷ʸ
4.66	defecate	palka
4.67	have sexual intercourse	saʔʔyesʸ
4.68	shiver	lʸedr̃ʸe(sʸ)
4.69	bathe	masna(sʸ)
4.71	beget (of father)	soyabta(sʸ)
4.72	born (to be)	soya(sʸ)
4.73	pregnant	saŋgowota
4.732	conceive	saŋgowoc̷ʸ
4.74	live, living, life	ilʸe(sʸ); ilʸena; ilʔ
4.75	die, dead	xaŋga(sʸ); xa(sʸ); xawɨ
4.751	drowned	pakalmɨ
4.76	kill	xada(sʸ)
4.77	corpse	- -
4.78	bury (the dead)	sʸur̃pa(sʸ); tinʸemba(sʸ)
4.79	grave, tomb	xalʸmʸer̃ʔ waŋg; xalʸmʸer̃ʔ tin
4.81	strong, mighty, powerful	nɨxɨta ~ mebʸeta
4.82	weak	nɨxɨsʸada
4.83	well, health	sʸenzʸ ~ yedʸasʸada; yedʸasʸawa
4.84	sick, sickness	xaŋgur̃ta; xabc̷ʸaʔ ~ yedʸa
4.841	fever	yadʸo
4.842	goiter	- -
4.843	cold (catarrh)	xanʸʔʔlar̃awa
4.85	wound, sore	mʸer̃ʸo
4.852	bruise	tanzʸo
4.853	swelling	payena ~ posʸo
4.854	itch	yakdey
4.855	blister	idar̃ʔʔ
4.856	boil (noun)	mʸer̃ʸo
4.857	pus	xaʔʔ
4.858	scar	- -
4.86	cure, heal	sawumdamba(sʸ)
4.87	physician	lʸekar̃ʔʔ
4.88	medicine, drug	par̃don
4.89	poison	ŋabtʔʔ
4.91	tired, weary	pedawɨ
4.912	rest	nɨlana(sʸ)
4.92	lazy	lek
4.93	bald	ŋewa mʸar̃ʸoy
4.94	lame	medna
4.95	deaf	xasʸada
4.96	mute	nʸanzʸada
4.97	blind	sewsʸada
4.98	intoxicated	yabʸenʸa
4.99	naked, bare	par̃kasʸada
5.11	eat	ŋawor̃c̷ʸ
5.12	food	ŋawar̃
5.121	cooked	pir̃ʸewɨ
5.122	raw	ŋayabey
5.123	ripe	xolkabey ~ xolkawɨ
5.124	green, unripe	yedabey
5.125	rotten	tibʸey
5.13	drink	idar̃c̷ʸ
5.14	hunger	ŋawor̃c̷ʸawa
5.141	famine	ŋawor̃c̷ʸawa
5.15	thirst	idiʔʔma
5.16	suck	nimnʸeba(sʸ)
5.18	chew	taʔʔwaba(sʸ)
5.181	swallow	nʸalmba(sʸ)
5.19	choke	xabtʸumdana(sʸ); soxomdamba(sʸ)
5.21	cook	pir̃ʸeba(sʸ)
5.22	boil (vb)	pir̃ʸe(sʸ)
5.23	roast, fry	yabc̷aba(sʸ)
5.24	bake	yabc̷ba(sʸ)
5.25	oven	pʸečka ~ xor̃
5.26	pot, cooking vessel	- -
5.27	kettle	yed
5.28	pan	- -
5.31	dish	pʸed
5.32	plate	pʸed
5.33	bowl	nar̃o
5.34	pitcher, jug	- -
5.35	cup, drinking vessel	sandʸa ~ xɨdʸa
5.36	saucer	pʸedkec̷ʸa
5.37	spoon	xu
5.38	knife	xar̃
5.39	fork	- -
5.391	tongs	tɨc̷ʸaʔ
5.41	meal (a)	tol ~ tolʸ
5.42	breakfast	sʸay; xuwɨ ŋawar̃
5.43	lunch	xuwɨ ŋawar̃
5.44	dinner	yalʸey ŋawar̃
5.45	supper	pewsʸumdawa
5.46	peel	yaxasʸ; yexebasʸ; sisʸtʸembasʸ
5.47	sieve, strain	ter̃aba(sʸ)
5.48	scrape	war̃ʸepa(sʸ)
5.49	stir, mix	xulc̷opa(sʸ)
5.51	bread	nʸanʸ
5.53	dough	lʸeska
5.54	knead	xulc̷opa(sʸ)
5.55	meal, flour	mayaʔ
5.56	crush, grind	nʸayelpa(sʸ)
5.57	mill	nʸayolabc̷ʸʔ
5.58	mortar	- -
5.59	pestle	- -
5.61	meat	ŋamza
5.63	sausage	- -
5.64	soup, broth	ya; yewey
5.65	vegetables	ŋawor̃taʔ ŋamdeʔʔ
5.66	bean	- -
5.7	potato	- -
5.71	fruit	- -
5.712	bunch	sʸar̃uw
5.75	fig	- -
5.76	grape	- -
5.77	nut	naxar̃ʔʔ
5.78	olive	- -
5.79	oil	yur̃ʔʔ
5.791	grease, fat	tuʔʔ
5.81	salt	ser̃ʔʔ
5.82	pepper	- -
5.821	chili pepper	- -
5.84	honey	- -
5.85	sugar	saxar̃ʔʔ
5.86	milk (noun)	malaka
5.87	milk (vb)	doiba(sʸ)
5.88	cheese	- -
5.89	butter	yur̃ʔʔ
5.9	beverage, drink	ŋer̃pada
5.91	mead	- -
5.92	wine	yabʸe iʔʔ ~ sʸar̃ka
5.93	beer	- -
5.94	fermented drink	- -
5.97	egg	sar̃ʔʔnʸu
5.971	egg yolk	tasik
6.11	put on (clothes)	yembtana(sʸ)
6.12	clothing, clothes	yembdʸar̃ʔʔ; imbɨtʔʔ
6.13	tailor	sedor̃ana
6.21	cloth	toxoʔʔ; noy
6.22	wool	tar̃ʔʔ
6.23	linen, flax	toxoʔʔ
6.24	cotton	toxoʔʔ
6.25	silk	xambka
6.27	felt	- -
6.28	fur	xobaʔ tar̃ʔʔ
6.29	leather	tobyowa
6.31	spin	paŋgalpa(sʸ)
6.32	spindle	- -
6.33	weave	sʸar̃ba(sʸ)
6.34	loom	- -
6.35	sew	sedor̃asʸ
6.36	needle	nibʸa
6.37	awl	pinʸamindʸa
6.38	thread	ten ~ temboy
6.39	dye	ŋotabasʸ
6.41	cloak	yar̃
6.411	poncho	- -
6.42	woman's dress	imbɨtʔʔ
6.43	coat	lad panɨ
6.44	shirt	imbɨtʔʔ
6.45	collar	ikadʔʔ
6.46	skirt	- -
6.461	grass-skirt	- -
6.48	trousers	piʔʔmʸa
6.49	stocking, sock	čulka
6.51	shoe	xutɨ; xar̃nak
6.52	boot	xutɨ
6.54	shoemaker, cobbler	xutɨ sedabada
6.55	hat, cap	sawa
6.57	belt, girdle	ni
6.58	glove	ŋoba
6.59	veil	- -
6.61	pocket	sʸep
6.62	button	sisʸʔ
6.63	pin	- -
6.71	ornament, adornment	mec̷eymdambabc̷ʸʔ
6.72	jewel	mir̃ʸec̷ʸʔ
6.73	ring (for finger)	ŋudaʔ yesʸa
6.74	bracelet	ŋudaʔ xar̃aʔ yesʸa
6.75	necklace	- -
6.76	bead	ŋodʸako
6.77	earring	xawoʔʔpʸa
6.78	headband, headdress	ŋewaʔ sʸeʔ
6.79	tattoo	- -
6.81	handkerchief, rag	pɨyaʔ tec̷ʸaʔ; nadʔ tec̷ʸaʔ; tec̷ʸaʔ
6.82	towel	tec̷ʸaʔ
6.91	comb	tir̃c̷ʸʔ
6.92	brush	- -
6.921	braid	paŋgalpasʸ
6.93	razor	pidnabc̷ʸʔ
6.94	ointment	yur̃itaʔʔma
6.95	soap	lansʸak ~ mɨla
6.96	mirror	sʸadober̃c̷ʸʔ
7.11	dwell, live	ilʸesʸ
7.12	house	xar̃d ~ xar̃ad
7.13	hut	- -
7.131	garden-house	- -
7.14	tent	- -
7.15	yard, court	- -
7.16	men's house	- -
7.17	cookhouse	ŋawar̃ pir̃ʸenzʸolawa
7.18	meeting house	tuyoʔʔlawa
7.21	room	xar̃adʔ niŋg
7.22	door, gate	nʸo; nʸoʔʔ
7.221	doorpost, jamb	- -
7.23	lock (noun)	paklabc̷ʸʔ ~ taman
7.231	latch, door-bolt	nʸeʔ nʸaʔʔmor̃c̷ʸʔ
7.24	key	- -
7.25	window	sidʸer̃ʔʔ ~ sidʸer̃ʔsi
7.26	floor	lata
7.27	wall	- -
7.31	fireplace	pʸečka ~ xor̃
7.32	stove	pʸečka ~ xor̃
7.33	chimney	makoda
7.37	ladder	tanac̷ʸʔ
7.42	bed	waʔʔaw
7.421	pillow	pɨr̃kabtʔʔ
7.422	blanket	toʔ
7.43	chair	ŋamdʸosʸʔ ~ ŋamdʸor̃c̷ʸʔ
7.44	table	tol ~ tolʸ
7.45	lamp, torch	- -
7.46	candle	sʸer̃ʸekabtʔʔ ~ sʸedar̃kabt
7.47	shelf	- -
7.48	trough	- -
7.51	roof	xar̃adʔ maxaley
7.52	thatch	- -
7.53	ridgepole	- -
7.54	rafter	- -
7.55	beam	- -
7.56	post, pole	sal; ŋu
7.57	board	lata
7.58	arch	- -
7.61	mason	- -
7.62	brick	xɨr̃bisʸ
7.63	mortar	- -
7.64	adobe	- -
8.11	farmer	- -
8.12	field (for cultivation)	- -
8.13	garden	- -
8.15	cultivate, till	- -
8.16	fence	wapasʸ
8.17	ditch	waŋg; yer̃wɨ ya
8.21	plow	- -
8.212	furrow	- -
8.22	dig	sabkabasʸ
8.23	spade	siwa
8.24	shovel	siwa
8.25	hoe	- -
8.26	fork	- -
8.27	rake	- -
8.31	sow	- -
8.311	seed	yaʔsew ~ sibʸako
8.32	mow, reap	- -
8.33	sickle, scythe	ixilabc̷ʸʔ
8.34	thresh	- -
8.35	threshing-floor	- -
8.41	crop, harvest	- -
8.42	grain (barley, oats etc)	- -
8.43	wheat	- -
8.44	barley	- -
8.45	rye	- -
8.46	oats	- -
8.47	maize, corn	- -
8.48	rice	- -
8.51	grass	ŋamdeʔʔ ~ ŋumʔ
8.52	hay	ŋumʔ
8.53	plant (noun)	ŋamdeʔʔ
8.531	plant (vb)	ŋamtambasʸ
8.54	root	wano ~ paŋg ~ paxaʔ
8.55	branch	mo; tar̃ka
8.56	leaf	weba
8.57	flower	ŋamdeʔʔ
8.6	tree	pʸa
8.61	oak	tɨbɨyowa
8.62	beech	- -
8.63	birch	xo
8.64	pine	ye
8.65	fir	xadɨ
8.66	acorn	- -
8.67	vine	- -
8.68	tobacco	sʸar̃
8.69	smoke (tobacco)	sʸar̃pʸaŋgosʸ
8.691	pipe	sʸar̃ʔpʸa
8.72	tree stump	sal
8.73	tree trunk	pʸaʔ xanɨr̃ʔʔ
8.74	forked branch	tar̃lʸaŋg ~ tar̃kasawey
8.75	bark	sʸabt
8.76	sap	tʸebt
8.81	palm tree	- -
8.82	coconut	- -
8.83	citrus fruit	- -
8.84	banana tree	- -
8.85	banyan	- -
8.91	sweet potato	- -
8.912	yam	- -
8.92	tapioca, manioc, cassava	- -
8.93	gourd	- -
8.931	pumpkin, squash	- -
8.94	bamboo	- -
8.941	sugar cane	- -
8.96	fish poison (root)	
8.97	nettle	nac̷dey
8.98	mushroom	tudako
9.11	do, make	sʸer̃tabasʸ
9.12	work	manzar̃asʸ
9.14	bend	wɨyar̃pasʸ
9.15	fold	pembasʸ
9.16	tie, bind	sʸar̃asʸ
9.161	untie	yekabasʸ
9.18	chain	yesʸa inʸa
9.19	rope, cord	inʸa
9.192	knot (noun)	yu
9.21	strike (hit, beat)	lador̃pasʸ ~ lador̃c̷ʸ
9.211	pound with fist	tɨr̃ar̃c̷ʸ
9.22	cut	madabasʸ; sapbasʸ
9.221	cut down	madaybtʸesʸ
9.222	chop, hew	sapbasʸ
9.223	stab	ŋetpasʸ
9.23	knife	xar̃
9.24	scissors, shears	ŋebtober̃c̷ʸʔ
9.25	ax	tubka
9.251	adze	sʸabar̃c̷ʸʔ
9.26	break	malʸyembasʸ
9.261	broken	malʸyewɨ
9.27	split	pepasʸ
9.28	tear	ŋadpasʸ
9.29	flay, skin	yaxabasʸ
9.31	rub, wipe	wɨr̃dambasʸ
9.32	stretch	weŋgalasʸ
9.33	pull	nekalpasʸ
9.34	spread out	lʸexebtambasʸ
9.341	hang up	ŋɨdar̃ambasʸ ~ ŋɨdar̃asʸ
9.342	press	teʔʔlpasʸ
9.343	squeeze, wring	latr̃ambasʸ
9.35	pour	xamdabasʸ
9.36	wash	xaltambasʸ
9.37	sweep	naʔʔwolpasʸ
9.38	broom	lataʔ to
9.422	tool	mir̃w
9.43	carpenter	mir̃tʸa
9.44	build	mir̃c̷ʸ
9.46	bore	par̃eŋgopasʸ
9.461	hollow out	sabkabasʸ
9.48	saw	ixibc̷ʸʔ ~ pila
9.49	hammer	ma
9.5	nail	tʸeb ~ yesʸa tʸeb
9.56	glue	ibʸa
9.6	smith, blacksmith	yadar̃ta
9.61	forge	yadasʸ
9.62	anvil	yadac̷ʸʔ paŋg
9.63	cast (metals)	xamdabasʸ
9.64	gold	solot
9.65	silver	nʸeney
9.66	copper, bronze	nʸar̃awa
9.67	iron	yesʸa
9.68	lead (noun)	xubtʔʔ
9.69	tin, tinplate	yesʸa
9.71	potter	- -
9.72	mold (clay etc)	labc̷ʸer̃pasʸ
9.73	clay	nʸaxaba
9.74	glass	pe
9.75	weave, plait	paŋgalpasʸ
9.76	basket	- -
9.77	mat	xuʔʔnʸer̃ʔʔ
9.771	rug	- -
9.78	netbag	- -
9.79	fan (noun)	- -
9.791	fan (vb)	- -
9.81	carve	- -
9.82	sculptor	- -
9.83	statue	- -
9.84	chisel	sitabc̷ʸʔ
9.88	paint (noun)	ŋo ~ ŋolʸepʸa
9.89	paint (vb)	ŋotabasʸ
10.11	move	nʸenzxalasʸ
10.12	turn over	sʸur̃xalʸesʸ ~ xambxalʸesʸ
10.13	turn around	sʸur̃ʸelʸesʸ
10.14	wind, wrap	pebtambasʸ ~ manonzʸ
10.15	roll	mantalambasʸ
10.16	drop (vb)	mantembasʸ; mantesʸ
10.17	twist	sʸur̃tʸembasʸ
10.21	rise	yur̃kasʸ
10.22	raise, lift	ilasʸ
10.23	fall	moʔʔnaŋgasʸ; moʔʔnasʸ
10.24	drip	tesasʸ
10.25	throw	masʸ
10.252	catch (ball)	nʸaʔʔmasʸ
10.26	shake	lɨmbr̃asʸ
10.32	flow	tesasʸ; loxor̃c̷ʸ
10.33	sink	seyr̃asʸ; pakalc̷ʸ
10.34	float	- -
10.35	swim	ŋoxolʸosʸ ~ xuʔʔlʸosʸ
10.351	dive	seyr̃anasʸ
10.352	splash	tʸanar̃c̷ʸ
10.36	sail (vb)	xater̃c̷ʸ; ŋoxolʸosʸ ~ xuʔʔlʸosʸ
10.37	fly (vb)	tir̃c̷ʸ
10.38	blow	posɨbasʸ
10.41	creep, crawl	nʸenzar̃c̷ʸ ~ nʸalodor̃c̷ʸ
10.412	kneel	pulɨbtʸosʸ
10.413	crouch	- -
10.42	slide, slip	- -
10.43	jump, leap	sanasʸ
10.431	kick	yenʸedar̃c̷ʸ
10.44	dance	tar̃asʸ
10.45	walk	minzʸ; yader̃c̷ʸ
10.451	limp	medasʸ
10.46	run	sʸur̃basʸ
10.47	go	yadasʸ ~ minzʸ
10.471	go up	ilŋgasʸ ~ tantanasʸ
10.472	climb	tantanasʸ
10.473	go down	xaʔʔmotanasʸ
10.474	go out	tar̃potanasʸ; tar̃pasʸ
10.48	come	tosʸ; tur̃c̷ʸ
10.481	come back	salc̷ʸ; saltanasʸ
10.49	go away, depart	tar̃pasʸ
10.491	disappear	yaŋguwor̃c̷ʸ
10.51	flee	sʸur̃basʸ
10.52	follow	maniyesʸ; ŋudopasʸ
10.53	pursue	nʸodasʸ; pitar̃pasʸ
10.55	reach, arrive	tosʸ
10.56	approach	xaxayatanasʸ
10.57	enter	tʸusʸ; nʸalc̷ʸ
10.61	carry (bear)	minʸesʸ; minar̃c̷ʸ
10.612	carry-in-hand	- -
10.613	carry-on-shoulder	- -
10.614	carry-on-head	- -
10.615	carry-underarm	- -
10.62	bring	tasʸ ~ tewr̃asʸ
10.63	send	ŋedar̃asʸ
10.64	lead (vb)	wadasʸ; wadabasʸ
10.65	drive	tanabasʸ
10.66	ride	minzʸ
