entry_id	trans_english	Trumai_Phonemic
10.49	go away, depart	(ha) uamu
10.491	disappear	pušu(-n); pušu ptsʔa-n
10.51	flee	(iau)-fui iaka
10.52	follow	(ha) metsi
10.53	pursue	
10.55	reach, arrive	
10.56	approach	(ha) peš uakden
10.57	enter	(ha) pumu
10.61	carry (bear)	(haits) eeʔtsi
10.612	carry-in-hand	
10.613	carry-on-shoulder	(ha) miuda-ki etsi
10.614	carry-on-head	(ha) kutama-n etsi (haits)
10.615	carry-underarm	
10.62	bring	uauakti
10.63	send	(ha) tao tao
10.64	lead (vb)	
10.65	drive	
10.66	ride	
10.67	push, shove	(haits) tɨrɨrɨu
10.71	road	
10.72	path	tsiuel
10.74	bridge	
10.75	carriage, wagon, cart	
10.76	wheel	
10.77	axle	
10.78	yoke	
10.81	ship	
10.83	boat	
10.831	canoe	si
10.832	outrigger	--
10.84	raft	
10.85	oar	anat
10.851	paddle (noun)	
10.852	row (vb)	(ha) šɨ
10.86	rudder	
10.87	mast	
10.88	sail (noun)	
10.89	anchor	
10.91	harbor, port	
10.92	land (vb)	(ha) datsi himila
11.11	have	(ha) amo
11.12	own, possess	
11.13	take	
11.14	seize, grasp	
11.15	hold	
11.16	get, obtain	
11.17	keep, retain	(haits) karakatu-ka-n (haits)
11.18	thing	tiro tiro
11.21	give	(haits)-kɨtɨ
11.22	give back	
11.24	preserve, look after	
11.25	save, rescue	
11.27	destroy	
11.28	harm, injure, damage	
11.31	seek, look for	(ha) peš-kaua
11.32	find	(haits) xomne-n
11.33	lose	(haits) tsifan pušu-k
11.34	release, let go	
11.43	money	
11.44	coin	
11.51	rich	
11.52	poor	pariiau
11.53	beggar	
11.54	avaricious, stingy	(ha) ueš
11.61	lend	
11.62	borrow	
11.63	owe	
11.64	debt	
11.65	pay (vb)	
11.66	account, reckoning	
11.69	tax, tribute	
11.77	hire	
11.78	wages	
11.79	earn	
11.81	buy	
11.82	sell	
11.83	trade, barter	pap; panu
11.84	merchant	
11.85	market (place)	
11.86	store, shop	
11.87	price	
11.88	dear (costly, expensive)	
11.89	cheap	
11.91	share (distribute)	(ha) detne
11.92	weigh	
12.1	after	in-tsatske-hen
12.11	behind	
12.2	beside	
12.3	down, below	
12.4	before	
12.41	front	
12.5	inside, in	faxo-n
12.6	outside	mata-n; mata-ki; mata-lots
12.7	under	
12.8	up, above	
12.11	place	latʔa
