entry_id	trans_english	Sanapaná_Dialect_Angaité_Phonemic
4.214	eyelash	apyiohinkok; ayiohinkok
4.215	blink	ankilitsipkaski aktik
4.22	ear	ahaikok
4.221	earlobe	ahaikok
4.222	earwax	
4.23	nose	awahik
4.231	nostril	akaɬwa awahik
4.232	mucus (nasal)	aɬwana
4.24	mouth	atoŋ
4.241	beak	amaok
4.25	lip	atoŋ
4.26	tongue	aɬkok
4.27	tooth	amaok
4.271	gums	koniŋ amaok
4.272	molartooth	
4.28	neck	
4.281	nape of neck	aniŋyitik
4.29	throat	ayaspok
4.3	shoulder	apitik / [apittik] (?)
4.301	shoulderblade	
4.302	collarbone	aɬkapok apittik
4.31	arm	aktoŋ
4.312	armpit	konami
4.32	elbow	aohaktoŋ
4.321	wrist	aɬima apmik
4.33	hand	ap-mik; a-mik
4.331	palm of hand	awaɬwa ap-mik
4.34	finger	ap-hihik
4.342	thumb	aɬima ap-hihik
4.344	fingernail	iyip-hihik
4.345	claw	aphiyok
4.35	leg	apiɬkapok; aɬkapok
4.351	thigh	ap-yook; aiwok
4.352	calf of leg	apitik aɬkapok
4.36	knee	aptapnik; atapnik
4.37	foot	ap-minik; amnik
4.371	ankle	alyoma apankok
4.372	heel	apahak
4.374	footprint	ap-tamnik
4.38	toe	aphiyok
4.392	wing	apɬimpinik
4.393	feather	awa
4.4	chest	apninyik; ankinyik
4.41	breast (of woman)	nimi
4.412	nipple, teat	
4.42	udder	nimi-ankok
4.43	navel	ataɬna
4.44	heart	apyiphima; akyiphima
4.441	lung	akwaha apankok
4.45	liver	aphikhik; aihikhik
4.451	kidney	apkilwaninkap; alwaninkap
4.452	spleen	
4.46	stomach	ayikhik
4.461	intestines, guts	milaok
4.462	waist	nipɬit; anaɬit
4.463	hip	aoho-apyaok; aoho yaok
4.464	buttocks	apitik aptakla
4.47	womb	awaɬwok
4.49	testicle	apopok
4.492	penis	apyisoma
4.51	breathe, breath	ni-amnimama
4.52	yawn, gape	antipkiski amnimama
4.521	hiccough	anyaposki
4.53	cough	apkaknakɬima
4.54	sneeze	apkathima; athima
4.55	perspire	apyimis; aimis
4.56	spit	apkiɬpaisiyi; ankiɬpaisiyi
4.57	vomit	apyikɬima; akyikɬima
4.58	bite	aptakɬima; aktakɬima
4.59	lick	apitsisma; akpitsisma
4.591	dribble	ansipkinki
4.61	sleep	aptiyanma
4.612	snore	apaiwoma akwahik
4.62	dream	akwanmonkoma
4.63	wake up	aptiɬwaayi; antiɬwaayi
4.64	break wind	
4.65	urinate	apyiswiyi; anyiswiyi
4.66	defecate	apyakniyi; anyakniyi
4.67	have sexual intercourse	
4.68	shiver	aptikhapki; antikhapki
4.69	bathe	apyiɬwatki yimin
4.71	beget (of father)	
4.72	born (to be)	aptiyakmi; antiyakmi
4.73	pregnant	alaosoyi
4.732	conceive	
4.74	live, living, life	apmokhamanki; amokhamanki
4.75	die, dead	atkitsipki; ankitsipki
4.751	drowned	akwaiwinki; anwaiwinki
4.76	kill	apkakhayi
4.77	corpse	aphapak
4.78	bury (the dead)	apkatoniyi maɬik
4.79	grave, tomb	takhaɬpop
4.81	strong, mighty, powerful	apmihi
4.82	weak	ap-yakhapikhoi
4.83	well, health	apmihi
4.84	sick, sickness	ap-masoli; ak-masoli
4.841	fever	ap-haɬyiwamaha
4.842	goiter	akyiphima ayaspok
4.843	cold (catarrh)	
4.85	wound, sore	
4.852	bruise	ampaisinkaski
4.853	swelling	anyiphiyi
4.854	itch	antaokiski
4.855	blister	aiminik
4.856	boil (noun)	paskapma
4.857	pus	apyatkiyi aiminik
4.858	scar	
4.86	cure, heal	antakmilakhiyi
4.87	physician	
4.88	medicine, drug	panaktima
4.89	poison	kilyawaika
4.91	tired, weary	ap-kamninki
4.912	rest	ap-kilwatiski
4.92	lazy	ap-haɬikpoyi
4.93	bald	mitki akwa ap-katik
4.94	lame	aktakhima aɬkapok
4.95	deaf	minaia; konaia
4.96	mute	mitki apaiwoma
4.97	blind	mitki aktik
4.98	intoxicated	anmin ato
4.99	naked, bare	mitki aktahnima
5.11	eat	ap-taoki ap-toma
5.12	food	nintoma
5.121	cooked	anhanma (?); [anhanki aktoma]
5.122	raw	anwitik
5.123	ripe	amokhitki
5.124	green, unripe	anwitik
5.125	rotten	antahapki
5.13	drink	apyinki; anyinki
5.14	hunger	mayik ankakhak
5.141	famine	mayik ankinapak
5.15	thirst	yimin ankakhak
5.16	suck	ankatakponki yimin
5.18	chew	aptaoki [aptoma]; antaoki [aktoma]
5.181	swallow	apnaksipki; anaksipki
5.19	choke	
5.21	cook	anhanki
5.22	boil (vb)	ankilyakɬiyakmi anwainka
5.23	roast, fry	ankilitsiwiski
5.24	bake	ankalimonki
5.25	oven	yama-maɬik
5.26	pot, cooking vessel	anwainka
5.27	kettle	nanim atoŋ
5.28	pan	anwainka
5.31	dish	
5.32	plate	paihima
5.33	bowl	nahaikok
5.34	pitcher, jug	nahaikok
5.35	cup, drinking vessel	nahaikok
5.36	saucer	
5.37	spoon	tatakpa
5.38	knife	pilitao
5.39	fork	yakɬaia nintoma
5.391	tongs	nimiska miɬma
5.41	meal (a)	nintoma
5.42	breakfast	nintoma atsosikhoi
5.43	lunch	
5.44	dinner	
5.45	supper	
5.46	peel	apliki; anliki; aɬiki
5.47	sieve, strain	noktaok
5.48	scrape	
5.49	stir, mix	akpaɬnaia
5.51	bread	[pan]
5.53	dough	aɬpasmoama sipomapankok
5.54	knead	ankikpasmonki
5.55	meal, flour	sipomapankok
5.56	crush, grind	ankilitsitki
5.57	mill	
5.58	mortar	yintikɬima
5.59	pestle	yamit ankok
5.61	meat	aphapitik; apitik
5.63	sausage	--
5.64	soup, broth	waka aɬkapok aiminik
5.65	vegetables	
5.66	bean	koliki
5.7	potato	nopiya
5.71	fruit	panaktima akyiɬna
5.712	bunch	
5.75	fig	--
5.76	grape	--
5.77	nut	makwa
5.78	olive	--
5.79	oil	[aseite]
5.791	grease, fat	akpiɬmok
5.81	salt	yamayasik
5.82	pepper	yama natikhit
5.821	chili pepper	yama natikhit atkok
5.84	honey	piyam apyiminik
5.85	sugar	yama-paat-aiminik
5.86	milk (noun)	[waka]nimi-ankok
5.87	milk (vb)	anyakhapma [waka] nimi-anok
5.88	cheese	[waka] nimi-ankok
5.89	butter	katkai
5.9	beverage, drink	aiminik
5.91	mead	
5.92	wine	[wino]
5.93	beer	maɬa anmin
5.94	fermented drink	anmin
5.97	egg	(tapii) apok
5.971	egg yolk	(tapii apok) akhanaktima
6.11	put on (clothes)	aptaɬniyi aptaɬnima
6.12	clothing, clothes	aktaɬnima
6.13	tailor	--
6.21	cloth	yitipipa
6.22	wool	nipkisik akwaa
6.23	linen, flax	--
6.24	cotton	yama-yitipipa
6.25	silk	yitipipa apyakha pomahap
6.27	felt	--
6.28	fur	awa
6.29	leather	yintanima
6.31	spin	aokma
6.32	spindle	
6.33	weave	
6.34	loom	
6.35	sew	nilyitnaia yitipipa
6.36	needle	sopkitama; lahak
6.37	awl	
6.38	thread	yama-yitipipa
6.39	dye	aktakɬiskama
6.41	cloak	
6.411	poncho	ankisik akwaa
6.42	woman's dress	aktaɬnima nimaa alanaia
6.43	coat	aktaɬnima apyayaam
6.44	shirt	aptaɬnima
6.45	collar	aptaɬnima apyaspok
6.46	skirt	apyapmoma
6.461	grass-skirt	ankisik
6.48	trousers	apkilatkiska apyaok
6.49	stocking, sock	atkiska amnik
6.51	shoe	atkiska amnik
6.52	boot	
6.54	shoemaker, cobbler	--
6.55	hat, cap	apinkanma
6.57	belt, girdle	aktitimaɬka
6.58	glove	niyatkiska iyipyok
6.59	veil	aklaska yitipipa anaat
6.61	pocket	taɬnima apaikok
6.62	button	mamatik
6.63	pin	yitipipa apatoŋ; lahak
6.71	ornament, adornment	
6.72	jewel	
6.73	ring (for finger)	atkiska aphihik
6.74	bracelet	atkiska alhima amik
6.75	necklace	akwatanma
6.76	bead	
6.77	earring	alatkiska aikaok
6.78	headband, headdress	
6.79	tattoo	
6.81	handkerchief, rag	
6.82	towel	niliklima iniat
6.91	comb	waka ankapitik
6.92	brush	alaɬnaska awa
6.921	braid	anyaksaska awa
6.93	razor	apyapima awa-apatoŋ
6.94	ointment	panaktima aiminik
6.95	soap	yakmopaia; sapaia
6.96	mirror	nanimaɬkoho
7.11	dwell, live	apyaihikama
7.12	house	apɬankok
7.13	hut	
7.131	garden-house	
7.14	tent	[karpa]
7.15	yard, court	paat aɬpaihima
7.16	men's house	
7.17	cookhouse	
7.18	meeting house	
7.21	room	koni
7.22	door, gate	atoŋ; maɬa porton
7.221	doorpost, jamb	anaiha
7.23	lock (noun)	
7.231	latch, door-bolt	ankapakhiyi tima apatoŋ
7.24	key	akliklima atoŋ
7.25	window	atoŋ atkok
7.26	floor	mitaimoŋ
7.27	wall	haɬtim
7.31	fireplace	niɬtima taɬa
7.32	stove	akhanmakha nintoma
7.33	chimney	aptiyapmakha itiŋ
7.37	ladder	
7.42	bed	ninyitnima nitiŋ; nintahanma
7.421	pillow	aktiyanmikamok
7.422	blanket	ankisik niyaklamaɬka
7.43	chair	nintahanma
7.44	table	nintomakha nitiŋ
7.45	lamp, torch	ninyapopkiska piɬasip
7.46	candle	nokpiɬmok
7.47	shelf	
7.48	trough	waka aktoma awaɬwok
7.51	roof	aktiniska; tima
7.52	thatch	ao-aok
7.53	ridgepole	
7.54	rafter	yamit aisiksik
7.55	beam	aktiniska
7.56	post, pole	masit apyisiksik
7.57	board	yamit aisiksik
7.58	arch	--
7.61	mason	
7.62	brick	yitaphaimankok
7.63	mortar	mitaimoŋ anik
7.64	adobe	
8.11	farmer	
8.12	field (for cultivation)	
8.13	garden	anyip; apkiɬkakhama
8.15	cultivate, till	aptikpoama ɬipop aɬpihik
8.16	fence	nosiyaniŋ
8.17	ditch	yimin atamnik
8.21	plow	
8.212	furrow	
8.22	dig	apmitmiyi
8.23	spade	akmitama ɬipop
8.24	shovel	akmitama ɬipop
8.25	hoe	aɬpihik
8.26	fork	
8.27	rake	akɬimaska yamit nikhawak
8.31	sow	apkiɬkakhi
8.311	seed	(...) aktik
8.32	mow, reap	akɬimaski
8.33	sickle, scythe	akyaktimama paat
8.34	thresh	
8.35	threshing-floor	
8.41	crop, harvest	
8.42	grain (barley, oats etc)	
8.43	wheat	
8.44	barley	
8.45	rye	
8.46	oats	
8.47	maize, corn	latsihi; latsaktik
8.48	rice	pataktik
8.51	grass	paat
8.52	hay	
8.53	plant (noun)	panaktima
8.531	plant (vb)	apkinki
8.54	root	apkapminaok
8.55	branch	aktiaok; aktiŋaok
8.56	leaf	awa
8.57	flower	panaktima aɬnimok
8.6	tree	yamit aohak
8.61	oak	
8.62	beech	
8.63	birch	
8.64	pine	
8.65	fir	
8.66	acorn	
8.67	vine	panaktima
8.68	tobacco	akhina (anik)
8.69	smoke (tobacco)	apkaspoma akhina
8.691	pipe	ɬipop
8.72	tree stump	apkilyaktimama yamit
8.73	tree trunk	(yamit) aohak
8.74	forked branch	aktiŋaok anaiha
8.75	bark	yamit ayimpihik
8.76	sap	yamit anyi
8.81	palm tree	aɬa
8.82	coconut	
8.83	citrus fruit	solyaktiktima
8.84	banana tree	yankamo
8.85	banyan	--
8.91	sweet potato	piya; pihiya
8.912	yam	
8.92	tapioca, manioc, cassava	sipo
8.93	gourd	kaɣa
8.931	pumpkin, squash	yaktipa
8.94	bamboo	
8.941	sugar cane	yama-paat
8.96	fish poison (root)	
8.97	nettle	yita-panka
8.98	mushroom	
9.11	do, make	apkilanaia; alanaia
9.12	work	nintaikamaha
9.14	bend	aktakhaska
9.15	fold	ankintaski nipaɬtaa
9.16	tie, bind	antitki
9.161	untie	apliki; aliki
9.18	chain	nanimayi
9.19	rope, cord	tama
9.192	knot (noun)	
9.21	strike (hit, beat)	aptikponki; antikponki
9.211	pound with fist	aptikponki apmik
9.22	cut	apiɬyikhaayi; ampiɬyikhaayi
9.221	cut down	apyaktiminki
9.222	chop, hew	
9.223	stab	apkiɬyipɬaayi
9.23	knife	pilitao
9.24	scissors, shears	sowanit
9.25	ax	poti
9.251	adze	
9.26	break	apkintaski; ankintaski
9.261	broken	ampakɬiyi
9.27	split	
9.28	tear	apyaptiyi; anyaptiyi
9.29	flay, skin	
9.31	rub, wipe	apkiɬpiwiski; ankiɬpiwiski
9.32	stretch	ankilwiyi
9.33	pull	ankiwiski
9.34	spread out	anyawinki (?)
9.341	hang up	ankilyakhapkiski nitiŋ
9.342	press	
9.343	squeeze, wring	ankiɬpiɬyankakmi
9.35	pour	apyankinki; anyankinki
9.36	wash	ankilaɬnaski
9.37	sweep	ninmakhima tima
9.38	broom	akmakhima
9.422	tool	akmaikama
9.43	carpenter	
9.44	build	apkilanaia
9.46	bore	alyipɬaia
9.461	hollow out	akmitmiyi akwaɬwok
9.48	saw	akpiɬyikhaia yamit
9.49	hammer	tawaktik
9.5	nail	lahak
9.56	glue	apophitkiska
9.6	smith, blacksmith	--
9.61	forge	--
9.62	anvil	--
9.63	cast (metals)	--
9.64	gold	[oro]
9.65	silver	
9.66	copper, bronze	
9.67	iron	
9.68	lead (noun)	
9.69	tin, tinplate	nitsoma; nitsoma akpaihima
9.71	potter	
9.72	mold (clay etc)	
9.73	clay	anyaɬpa
9.74	glass	kasik akpaisiyam
9.75	weave, plait	aɬawa alanaia
9.76	basket	[kanasto]
9.77	mat	
9.771	rug	niltiyanmoma
9.78	netbag	yama-ayin; sinsinhi; aktook
9.79	fan (noun)	natɬimpin
9.791	fan (vb)	nimakhimaɬka
9.81	carve	apkilanaia
9.82	sculptor	--
9.83	statue	--
9.84	chisel	--
9.88	paint (noun)	kasik aiminik
9.89	paint (vb)	
10.11	move	apɬinki; anɬinki
10.12	turn over	-kiɬpolinki
10.13	turn around	-painkakpi
10.14	wind, wrap	apiɬkiki; ampiɬkiki
10.15	roll	
10.16	drop (vb)	aniɬtinki nitiŋ
10.17	twist	ampiɬyankakmi
10.21	rise	ankiknimakhi nitiŋ
10.22	raise, lift	apkainki; ankainki
10.23	fall	aptiyakmi; antiyakmi
10.24	drip	ansipkinki
10.25	throw	apyiyaoki; anyiyaoki
10.252	catch (ball)	apmanki; amanki
10.26	shake	aspaɬniskaayi
10.32	flow	(yimin) akyiŋama
10.33	sink	anwaiwinki
10.34	float	ansawimaktakha
10.35	swim	akmama yimin
10.351	dive	alaoki koni yimin
10.352	splash	ankiɬpaknaayi yimin (mook)
10.36	sail (vb)	--
10.37	fly (vb)	ankimpaayi
10.38	blow	akwatipnapki; anwatipnapki
10.41	creep, crawl	alawinki amiyok
10.412	kneel	apkiɬtiyaski aptapnaok
10.413	crouch	apnityi nitiŋ apmankok
10.42	slide, slip	aptawiɬnaayi; antawiɬnaayi
10.43	jump, leap	apniɬtinki nitiŋ; aniɬtinki nitiŋ
10.431	kick	apyapiɬkitki; anyapiɬkitki
10.44	dance	apyihiyi; anyihiyi
10.45	walk	apɬinki; anɬinki
10.451	limp	apmasa apyok; (...aiwok)
10.46	run	apkinyiyi; ankinyiyi
10.47	go	aptakhakhiyi; aptaakhiyi
10.471	go up	apɬinki nitin
10.472	climb	apkanantiyi
10.473	go down	
10.474	go out	aptipki; antipki
10.48	come	apkiɬyakmi; ankiɬyakmi
10.481	come back	aptakhawoi; antakhawoi
10.49	go away, depart	mankotakhawoho
10.491	disappear	anɬianakmi
10.51	flee	
10.52	follow	apkimhanki
10.53	pursue	apkitansimki
10.55	reach, arrive	aptanyinwakmi
10.56	approach	
10.57	enter	-taɬniyi
10.61	carry (bear)	-sakhiyi
10.612	carry-in-hand	-sakhiyi
10.613	carry-on-shoulder	ampinkinki apitik atsaikamaha
10.614	carry-on-head	ampinkinki aitsiksik
10.615	carry-underarm	ankaniski konami
10.62	bring	apsantanyi
10.63	send	apkapaski
10.64	lead (vb)	apyantimakhiyi
10.65	drive	apɬinkaski (kasik apankok)
10.66	ride	apkanantiyi apkanantima
10.67	push, shove	apyihinki
10.71	road	amai
10.72	path	amai
10.74	bridge	[puente]
10.75	carriage, wagon, cart	layita
10.76	wheel	alayita amik
10.77	axle	
10.78	yoke	
10.81	ship	
10.83	boat	yantakmomiyok
10.831	canoe	namok
10.832	outrigger	--
10.84	raft	
10.85	oar	yamit akpaihima
10.851	paddle (noun)	
10.852	row (vb)	apmiskik yimin
10.86	rudder	
10.87	mast	
10.88	sail (noun)	
10.89	anchor	
10.91	harbor, port	
10.92	land (vb)	antiyakmik aɬipi
11.11	have	anyitniyi
11.12	own, possess	apyitniyi apankok kasik
11.13	take	ansakhiyi
11.14	seize, grasp	apmiyi
11.15	hold	apmanki; amanki
11.16	get, obtain	akwitayi; aptinyaayi
11.17	keep, retain	aposki
11.18	thing	kasik
11.21	give	apkanki; ankanki; askanki
11.22	give back	apkankokhiyi
11.24	preserve, look after	apkilanimaha
11.25	save, rescue	akwonkaski tayip
11.27	destroy	ankasonkaski
11.28	harm, injure, damage	aptiwaski
11.31	seek, look for	apkitansimki
11.32	find	akwitakhiyi
11.33	lose	anhiyanakmi (?)
11.34	release, let go	apyinyaoki
11.43	money	solyakyi
11.44	coin	
11.51	rich	anɬanyi solyakyi ankok
11.52	poor	mitki solyakyi
11.53	beggar	apkanhima solyakyi
11.54	avaricious, stingy	apmosma; minyankok
11.61	lend	inyankota sokhoi aptaɬimaa
11.62	borrow	askanhayi
11.63	owe	
11.64	debt	
11.65	pay (vb)	apkanki solyakyi
11.66	account, reckoning	
11.69	tax, tribute	
11.77	hire	aptimiskisamaha
11.78	wages	akyanmoama aptaikamaha
11.79	earn	
11.81	buy	aptinyaayi
11.82	sell	apkanki
11.83	trade, barter	yakmonkaski
11.84	merchant	
11.85	market (place)	alaikankoɬa walayo
11.86	store, shop	akyitnimakha nintoma
11.87	price	akyanmoama
11.88	dear (costly, expensive)	amihi akyanmoama
11.89	cheap	mankoyinaak akyanmoama
11.91	share (distribute)	ankinaskiyi
11.92	weigh	alyitsitma
12.1	after	niptamin
12.11	behind	akpok; niptamin
12.2	beside	nikha
12.3	down, below	koniŋ
12.4	before	apmanyi; amanyi
12.41	front	apmanyi; amanyi
12.5	inside, in	koni; awaɬwok
12.6	outside	akyawakaɬma
12.7	under	koniŋ
12.8	up, above	nitin; nitiŋ
12.11	place	akyawakaɬma
12.12	put	-pinkinki
12.13	sit	apniyi
12.14	lie down	apyitniyi
12.15	stand	apkitnimki nitiŋ
12.16	remain, stay	apyaihimaha
12.17	remains, left overs	(nintoma) aimomaɬka
12.21	collect, gather	akɬima
12.212	pick up	apkainki; ankainki
12.213	pile up	anyakhai
12.22	join, unite	ipaphitkasikha mook
12.23	separate	ampakɬiyi aisiksik
12.232	divide	akpaɬkatma aisiksik
12.24	open	ilik
12.25	shut, close	iwankamkasikha
12.26	cover	ankapki (atoŋ)
12.27	hide, conceal	aposki; amposki
12.31	high	nitnoi
12.32	low	akwaiwikanta ɬipop
12.33	top	apma
12.34	bottom	atakla
12.35	end	naoa
12.352	pointed	nipkitama
12.353	edge	nikha
12.36	side	nikha
12.37	middle, center	nipɬit; naiksa
12.41	right (side)	akyinakha
12.42	left (side)	asankalwi
12.43	near (adv)	ankitoi
12.44	far (adv)	tiyipi; mokhoi
12.45	east	aktiyapmakha aknim
12.46	west	taɬnaha aknim
12.47	north	niɬha; niɬkiha
12.48	south	apyayam; apyayaam
12.53	grow	akwaninyi; anwaninyi
12.54	measure	apkilyitsitma
12.541	span, fathom	
12.55	large, big	awanhi; akyawaia
