entry_id	trans_english	Chatino,_Zacatepec_Phonemic
4.151	vein, artery	sta tnẽ-
4.16	bone	tihʸã-
4.162	rib	tihʸã siʔ-
4.17	horn	yka ke-
4.18	tail	heʔẽ-
4.19	back	čũʔ-
4.191	spine	tihʸã yka čũʔ-
4.2	head	ke-
4.201	side of head, temple	siʔ ke
4.202	skull	tihʸã ke-
4.203	brain	siʔʸa-; tʸukʷa ke-
4.204	face	tlō-
4.205	forehead	čkā̃-
4.207	jaw	tihʸã sū-
4.208	cheek	skaʔ-
4.209	chin	lo kičãʔ sū-
4.21	eye	kilō-
4.212	eyebrow	kičãʔ y-
4.213	eyelid	kihĩ kilō-
4.214	eyelash	kičãʔ kilō-
4.215	blink	š-ɲã kilō-
4.22	ear	hĩ nškã-
4.221	earlobe	hĩnškã-
4.222	earwax	kiɲãʔ tu nškã
4.23	nose	siyẽʔ-
4.231	nostril	tu siyẽʔ
4.232	mucus (nasal)	ngãʔ
4.24	mouth	tuʔwa-
4.241	beak	skʷaʔ tuʔʷa-
4.25	lip	kihĩ tuʔʷa-
4.26	tongue	lc̷eʔ-
4.27	tooth	liʔʸa-
4.271	gums	kunãʔ (kiyaʔ) liʔʸa-
4.272	molartooth	liʔʸa-
4.28	neck	ynĩ-
4.281	nape of neck	čũ ynĩ-
4.29	throat	tu ynĩ-
4.3	shoulder	sluʔ skũ-
4.301	shoulderblade	tihʸã skũ-
4.302	collarbone	tihʸã skũ-
4.31	arm	skũ-
4.312	armpit	tu skũ-
4.32	elbow	skuʔ; skuʔ yaʔ-
4.321	wrist	ynĩ yaʔ-
4.33	hand	yaʔ-
4.331	palm of hand	tiye yaʔ-
4.34	finger	lo yaʔ-; šɲī-
4.342	thumb	šɲī tnũ-
4.344	fingernail	katãʔ-; s-tãʔ-
4.345	claw	katãʔ-; s-tãʔ-
4.35	leg	kiyaʔ-; li kiyaʔ
4.351	thigh	ndã-
4.352	calf of leg	kunãʔ li; kunãʔ kiyaʔ-
4.36	knee	kē štʸĩʔ-
4.37	foot	kiyaʔ-
4.371	ankle	sluʔ kiyaʔ-
4.372	heel	tu tkaʔ kiyaʔ-
4.374	footprint	nkʷĩ; wiyaʔ (kiyaʔ-)
4.38	toe	lō kiyaʔ-
4.392	wing	hluʔʷe-
4.393	feather	kitʸĩ-
4.4	chest	tiye-; stʸiʔ
4.41	breast (of woman)	stʸiʔ-
4.412	nipple, teat	lō stʸiʔ-
4.42	udder	lo stʸiʔ wta
4.43	navel	tʸuʔ
4.44	heart	[krasiya]
4.441	lung	c̷ĩ
4.45	liver	lu-
4.451	kidney	[riyĩ]
4.452	spleen	[wa'su]
4.46	stomach	neʔ-
4.461	intestines, guts	tu (y-seʔẽ)
4.462	waist	siʔ-
4.463	hip	ndã-
4.464	buttocks	kunãʔ sū̃-
4.47	womb	
4.49	testicle	
4.492	penis	
4.51	breathe, breath	tʸiʔi-; hʷaki tʸiʔi
4.52	yawn, gape	kutũ kala
4.521	hiccough	tʸukʷa kʷiʔ
4.53	cough	tʸūʔ
4.54	sneeze	šiha
4.55	perspire	tʸukʷa rta
4.56	spit	kulo tiʔa tuʔʷa
4.57	vomit	kʷĩ
4.58	bite	ku
4.59	lick	kʷeʔe
4.591	dribble	slu tiʔa tuʔʷa
4.61	sleep	kahaʔ
4.612	snore	
4.62	dream	čkʷiʔ s-la
4.63	wake up	šā tiʔ
4.64	break wind	čuʔ kʷiʔĩ
4.65	urinate	šeʔ; kulo šeʔ
4.66	defecate	kičuʔ
4.67	have sexual intercourse	tʸiʔĩ loʔo; šuʔʷi čaʔ loʔo
4.68	shiver	lkʷã
4.69	bathe	kata čku
4.71	beget (of father)	kuʔni čaʔ ka
4.72	born (to be)	kala
4.73	pregnant	tnã
4.732	conceive	kuʔni kala
4.74	live, living, life	kuʔu; luʔu
4.75	die, dead	kaha; nguhʷi
4.751	drowned	wa msiyuʔ
4.76	kill	kuhʷi
4.77	corpse	hʸoʔo; [lʸumã]
4.78	bury (the dead)	kuc̷iʔ
4.79	grave, tomb	kʷā
4.81	strong, mighty, powerful	lye; ngula tiʔ
4.82	weak	ɲuʔũ; hoʔo
4.83	well, health	lye tiʔ
4.84	sick, sickness	kiča; tiʔi
4.841	fever	tikēʔ
4.842	goiter	kĩ ynĩ-; kʷitʸiʔ ynĩ-
4.843	cold (catarrh)	tūʔ; ngãʔ
4.85	wound, sore	kuc̷uʔ
4.852	bruise	seʔẽ mta kunãʔ
4.853	swelling	kī̃
4.854	itch	nu tʸihĩ
4.855	blister	kʷiše
4.856	boil (noun)	kiʔɲi
4.857	pus	kuc̷eʔ
4.858	scar	skʷaʔ lō; pãʔ
4.86	cure, heal	kuʔni--hoʔo
4.87	physician	ska nu hoʔo; [ndoktor]
4.88	medicine, drug	[r'miyu]
4.89	poison	yã
4.91	tired, weary	tɲãʔ
4.912	rest	ši-tɲãʔ
4.92	lazy	ndaha
4.93	bald	škaʔ ke
4.94	lame	tiʔi kiyaʔ
4.95	deaf	kuʔũ; n-čkũʔ ke
4.96	mute	kuʔũî
4.97	blind	kʷitʸī̃
4.98	intoxicated	kuʔʷi
4.99	naked, bare	tiʔʸu ti
5.11	eat	ku
5.12	food	nã ku-; nu ku(-) kʸiha
5.121	cooked	nã mkēʔ
5.122	raw	yaʔa; hʸaʔa
5.123	ripe	nguwẽ
5.124	green, unripe	yaʔa tihi kala; tihi kuwẽ
5.125	rotten	mc̷uʔ
5.13	drink	koʔo
5.14	hunger	kateʔ tiʔ; kateʔ ʔĩ
5.141	famine	ndiʔĩ kuʔnã
5.15	thirst	kitʸi tiʔ
5.16	suck	katiʔ
5.18	chew	ku luwe
5.181	swallow	ykʷẽʔ
5.19	choke	tʸukʷĩ; šoʔo ʔĩ-
5.21	cook	kēʔ
5.22	boil (vb)	lkʷi
5.23	roast, fry	kʷiʔi
5.24	bake	kēʔ niʔ ['ʔorno]
5.25	oven	['ʔorno]
5.26	pot, cooking vessel	kitũʔ
5.27	kettle	kitũʔ čkʷã
5.28	pan	suʔũ
5.31	dish	kiʔnã tnũ
5.32	plate	kiʔnã
5.33	bowl	[sa] tnũ
5.34	pitcher, jug	stʸu
5.35	cup, drinking vessel	[sa]
5.36	saucer	kiʔnã šuwe
5.37	spoon	[ku'čara]
5.38	knife	[šlʸu]
5.39	fork	--
5.391	tongs	--
5.41	meal (a)	skʷa
5.42	breakfast	koʔo [kahʷe]
5.43	lunch	lo [msā]
5.44	dinner	tlʸā
5.45	supper	sĩ
5.46	peel	stã
5.47	sieve, strain	tukʷa skaʔ ntẽ
5.48	scrape	suweʔ
5.49	stir, mix	šla; štʸaʔ; kišāʔ
5.51	bread	ha [šlʸa]
5.53	dough	skʷã
5.54	knead	kišāʔ skʷã
5.55	meal, flour	kita ha šlʸa
5.56	crush, grind	kō; sta
5.57	mill	čkʷã ndʸō
5.58	mortar	kiʔnã čeʔ
5.59	pestle	kē kiʔnã čeʔ
5.61	meat	kunãʔ-
5.63	sausage	(ti šeʔẽ) tnẽ
5.64	soup, broth	[klu]
5.65	vegetables	nã yaʔa; ta ~ kita
5.66	bean	nda
5.7	potato	kū̃ ['papa]
5.71	fruit	nguti; siʔʸu
5.712	bunch	stʸa-
5.75	fig	--
5.76	grape	mta kutũ
5.77	nut	[nue'se]; mta
5.78	olive	--
5.79	oil	[se'te]
5.791	grease, fat	tā̃
5.81	salt	teheʔ
5.82	pepper	kiɲãʔ ši
5.821	chili pepper	kiɲãʔ
5.84	honey	kʷiɲãʔ
5.85	sugar	[skā]
5.86	milk (noun)	stʸiʔ
5.87	milk (vb)	kulo. . . stʸiʔ
5.88	cheese	[kišu]
5.89	butter	tā̃ stʸiʔ
5.9	beverage, drink	nã koʔo; ska tiʔa nu koʔo-
5.91	mead	tiʔa kʷiɲãʔ
5.92	wine	[vinu]
5.93	beer	[serwe'sa]
5.94	fermented drink	lkʷi; tiʔa tiyeʔ
5.97	egg	skuwe ~ suwe
5.971	egg yolk	skuwe kē
6.11	put on (clothes)	kuʔ
6.12	clothing, clothes	teʔ (-); steʔ(-)
6.13	tailor	kʷitʸi teʔ; nu nškʷã steʔ-
6.21	cloth	teʔ
6.22	wool	kičãʔ slʸaʔ
6.23	linen, flax	teʔ yaʔa
6.24	cotton	slʸaʔ
6.25	silk	teʔ ['sera]
6.27	felt	teʔ kičãʔ ke
6.28	fur	kihĩ-
6.29	leather	kihĩ-
6.31	spin	kuhū̃
6.32	spindle	kutĩʔ
6.33	weave	čkʷa; kalaʔ . . . kila
6.34	loom	kila
6.35	sew	škʷã
6.36	needle	kuša
6.37	awl	čkʷã ndihʸu
6.38	thread	hū̃
6.39	dye	kʷoʔo' tʸoʔo
6.41	cloak	teʔ tnũ; teʔ čũʔ-
6.411	poncho	teʔ kičãʔ
6.42	woman's dress	teʔ lʸi
6.43	coat	teʔ tnũ (nu šuʔwi čũʔ-)
6.44	shirt	ykãʔ-; škãʔ-
6.45	collar	ynĩ teʔ
6.46	skirt	tlo
6.461	grass-skirt	tlo kī
6.48	trousers	teʔ [panta'lũ]
6.49	stocking, sock	teʔ kiyaʔ nu kunaʔã
6.51	shoe	[špatu]
6.52	boot	--
6.54	shoemaker, cobbler	kʷitʸi [špatu]
6.55	hat, cap	[mslu]; [sombilu]
6.57	belt, girdle	[piyũ]
6.58	glove	teʔ yaʔ; teʔ šuʔʷi yaʔ-
6.59	veil	teʔ ndukʷi tlō-
6.61	pocket	kʷihĩ s-teʔ-
6.62	button	pʔni
6.63	pin	kuša nguluʔ
6.71	ornament, adornment	nã nu ka tkãʔ
6.72	jewel	kē šā
6.73	ring (for finger)	kʷīʔ
6.74	bracelet	čkʷã ynĩ yaʔ-
6.75	necklace	čkãʔ
6.76	bead	kē čkãʔ
6.77	earring	čkʷã (ndukʷi) nskã-
6.78	headband, headdress	teʔ [lis'tũ]
6.79	tattoo	taʔã lkʷĩ lo kihĩ-
6.81	handkerchief, rag	teʔ
6.82	towel	teʔ čaʔ štʸi yaʔ-
6.91	comb	čku
6.92	brush	kʷa šuwe; kʷa čeʔ
6.921	braid	su
6.93	razor	čkʷã [nawa'ha]
6.94	ointment	tā̃ [r'miyu]
6.95	soap	kʷiyāʔ
6.96	mirror	kunã
7.11	dwell, live	tʸiʔĩ
7.12	house	naʔã
7.13	hut	naʔã kī
7.131	garden-house	naʔã niʔ kišĩʔ
7.14	tent	naʔã teʔ [r'mara]
7.15	yard, court	tuʔʷa naʔã
7.16	men's house	--
7.17	cookhouse	naʔã kīʔ
