entry_id	trans_english	Zhuang-Longzhou_Phonemic
2.46	grandfather	śam.3; pa.3; ʔa.5; na.5; na.6; ku.5
2.461	old man	pa.3; ʔa.5; na.5; na.6
2.47	grandmother	pa.3; na.6 lu.6; khamʔ.4
2.471	old woman	la:n.1 ʔba:u.5; la:n.1
2.48	grandson	la:n.1 ła:u.1
2.49	granddaughter	piu.3 pi.6 no:ŋʔ.4; pi.6 no:ŋʔ.4 piu.3
2.51	uncle	co.3 cuŋ.1
2.511	mother's brother	hau.6 ta:i.6
2.512	father's brother	kuŋ.5 ta.1
2.52	aunt	kuŋ.5 ta.1; ʔo.2 pa.5
2.521	mother's sister	ma.3 ta:i.1; na:ŋ.2 ta:i.1
2.522	father's sister	ma.3 ta:i.1; na:ŋ.2 ta:i.1; ʔo.2 ca.3
2.53	nephew	luk.8 khɨi.1
2.54	niece	luk.8 khɨi.1
2.55	cousin	me.6 lu.2
2.56	ancestors	me.6 lu.2
2.57	descendants	pa.5; ʔo.2 pa.5; pa.5 cə:ŋʔ.4; pa.5 laŋ.1
2.61	father-in-law (of a man)	ca.3; ʔo.2 ca.3; ca.3 cə:ŋʔ.4; ca.3 laŋ.1
2.611	father-in-law (of a woman)	luk.8 ʔba:u.5 cɨ:ŋʔ.4
2.62	mother-in-law (of a man)	luk.8 ła:u.1 cɨ:ŋʔ.4
2.621	mother-in-law (of a woman)	luk.8 pjaʔ.4
2.63	son-in-law (of a man)	me.6 ma:i.3
2.631	son-in-law (of a woman)	po.6 ma:i.3
2.64	daughter-in-law (of a man)	śan.1 śik.7
2.641	daughter-in-law (of a woman)	kja.1; łɨ:n.2
2.71	stepfather	ŋo.6; laiʔ.4; kau.1
2.72	stepmother	ni.6; maɨ.2
2.73	stepson	min.2
2.74	stepdaughter	ŋo.6 ti.6; ʔbo:ŋ.1 lau.2
2.75	orphan	lau.2; huŋ.1 lau.2
2.76	widow	ŋo.6 ti.6
2.77	widower	huŋ.1 lau.2 ło:ŋ.1 kɨn.2; ŋo.6 ti.6 ło:ŋ.1 kɨn.2
2.81	relatives, kinsmen	ni.6 ti.6
2.82	family	ni.6 ti.6 ło:ŋ.1 kɨn.2
2.91	I	huŋ.1 min.2; ʔbo:ŋ.1 min.2
2.92	you (singular)	cuk.7 łe:ŋ.1
2.93	he/she/it	tak.8
2.94	we	me.6
2.941	we (inclusive)	tu.1 łe:ŋ.1
2.942	we (exclusive)	kɨn.2 he:n.1 va:i.2
2.95	you (plural)	la:ŋ.2 va:i.2; kuk.8 va:i.2
2.96	they	tu.1 łe:ŋ.1; cuk.7 łe:ŋ.1
3.11	animal	va:i.2 tak.8
3.12	male (adj)	mo.2
3.13	female (adj)	me.6 va:i.2
3.15	livestock	luk.8 va:i.2
3.16	pasture	va:i.2
3.18	herdsman	ʔbe.3
3.19	stable, stall	ʔbe.3 tak.8
3.2	cattle (bovine)	me.6 ʔbe.3; ʔbe.3 me.6
3.21	bull	me:n.2 ja:ŋ.2
3.22	ox	mu.1 tak.8; mu.1 thai.1
3.23	cow	mu.1 me.6
3.24	calf	mu.1
3.25	sheep	ʔbe.3
3.26	ram	ʔbe.3 tak.8
3.28	ewe	luk.8 ʔbe.3
3.29	lamb	maʔ.4
3.32	boar	maʔ.4 tak.8
3.34	sow	maʔ.4 me.6
3.35	pig	luk.8 maʔ.4 tak.8; luk.8 maʔ.4 me.6
3.36	goat	maʔ.4 li.5; lɨ.2
3.37	he-goat	lo.2
3.38	kid	pit.7 kai.5
3.41	horse (equine)	kai.5 phu.3; kai.5 łe:ŋ.1
3.42	stallion	kai.5 me.6; kai.5 fan.2
3.44	mare	kai.5
3.45	foal, colt	pɨn.2
3.46	ass, donkey	pit.7
3.47	mule	łaŋ.2
3.5	fowl	nuk.8
3.52	cock, rooster	nuk.8 jau.5
3.54	hen	lam.6
3.55	chicken	lam.6 va:ŋ.2
3.56	goose	ka:u.3 kit.8; ci.3 kit.8; ci.3 ka:u.2
3.57	duck	nuk.8 ʔe:ŋ.1 ko.1
3.58	nest	ka.1; nuk.8 ka.1
3.581	bird	nuk.8 ku.1
3.582	seagull	nuk.8 ku.1
3.583	heron	kauʔ.4; paŋ.5; kwət.7 me:u.5
3.584	eagle	nuk.8 ʔa:m.1; nuk.8 ʔum.1
3.585	hawk	nuk.8 ʔen.5
3.586	vulture	kai.5 thɨ:n.5; nuk.8 kai.5
3.591	bat	ma.1
3.592	parrot	tho.5
3.593	crow	lin.6
3.594	dove	pha:u.5; ƛɨ.3 phiu.3
3.596	owl	łɨ.1
3.61	dog	me:u.5
3.614	rabbit	hjan.1 me:u.5; me:u.5 phja.1
3.62	cat	nu.1
3.622	opossum	pja.1
3.63	mouse, rat	pin.5 pja.1; pik.7 pia.1
3.65	fish	kit.7 (kjat.7) pja.1
3.652	fin (dorsal)	ka:p.8 hɨ:k.7 pja.1
3.653	fishscale	pu.1
3.654	gill	kuŋ.3 kaŋ.5; kuŋ.3; ŋiu.2
3.655	shell	ŋu.2 lai.1
3.661	shark	ma.1 nai.2; la:ŋ.2
3.662	porpoise, dolphin	łai.5 ci.3
3.663	whale	mi.1
3.664	stingray	hin.1 (hjan.1)
3.665	freshwater eel	co:n.3
3.71	wolf	min.3 (mjan.3)
3.72	lion	na:k.8
3.73	bear	kjo:k.8
3.74	fox	liŋ.2
3.75	deer	ca:ŋʔ.4
3.76	monkey	no:n.1; me:ŋ.2
3.77	elephant	min.2 (mjan.2); man.2; hau.1
3.78	camel	khiai.5 hau.1
3.81	insect	mat.7
3.811	louse	khip.7 (khjap.7); ci.3 khip.7 (khjap.7)
3.812	nit (louse egg)	ha:ŋ.1 phjoi.5
3.813	flea	ła:p.7
3.814	centipede	mat.8
3.815	scorpion	śiŋ.3 śa:u.1; khia:ŋ.3 khia:u.1
3.816	cockroach	łaŋ.2 śiŋ.3 śa:u.1
3.817	ant	me:ŋ.2 thɨ:ŋ.1
3.818	spider	la:p.8
3.819	spider web	łaŋ.2 to.5
3.82	bee	to.5; phe:n.1
3.821	beeswax	ku:k.7; me:ŋ.2 mau.6
3.822	beehive	me:ŋ.2 fan.2
3.823	wasp	me:ŋ.2 mo:n.5
3.83	fly	juŋ.2
3.831	sandfly (midge), gnat	mo:t.8
3.832	mosquito	ja:ŋ.3; no:n.1 ja:ŋ.3
3.84	worm	ʔdɨ:n.1
3.85	snake	no:n.1 khi.3
3.91	firefly	me:ŋ.2 ce.5; ve:n.2 ve:n.2
3.92	butterfly	kai.5 tau.3
3.93	grasshopper	piŋ.1
3.94	snail	tak.8
3.95	frog	ŋu.2
3.96	lizard	ta:ŋ.6
3.97	crocodile, alligator	phe:m.5; hi:ŋ.1 hoi.3
3.98	turtle	fiʔ.4; fiʔ.4 pha:i.3; kap.7 fɨʔ.4 (fiʔ.4)
4.11	body	lu:m.6; me:ŋ.2 mu:k.7
4.12	skin, hide	ho:i.1
4.13	flesh	kop.7; vi:t.7
4.14	hair (head)	mo.2 pi.2; ha:ŋ.1 phio:i.5
4.142	beard	cɨk.8 łɨ:ŋ.2
4.144	body hair	ŋɨ:k.8
4.145	pubic hair	tau.5; kaŋ.3 ka:i.1; kvi.1
4.146	dandruff	ʔda:ŋ.1
4.15	blood	naŋ.1
4.151	vein, artery	nɨʔ.4
4.16	bone	phjum.1
4.162	rib	mum.6
4.17	horn	khun.1 muk.7 mo:n.5; khun.1 mo:n.6
4.18	tail	mo:i.1; khun.1 pio:m.1 ko.1
4.19	back	hɨ.5
4.191	spine	lɨ:t.8
4.2	head	me:k.8 tuŋ.3
4.201	side of head, temple	jan.2 (jin.2)
4.202	skull	ʔduk.7
4.203	brain	lo:i.2 ʔduk.7; uk.7 ʔe:k.7
4.204	face	ʔduk.7 ha:ŋ.3
4.205	forehead	ko:k.7
4.207	jaw	ha:ŋ.1
4.208	cheek	paŋʔ.4 laŋ.1
4.209	chin	ʔduk.7 ʔda:m.3 ci.2
4.21	eye	ʔbau.3; hu.1 ʔbau.3
4.212	eyebrow	ko:k.7 ŋe:k.8; ki:ŋ.5
4.213	eyelid	ŋo:t.7 ʔbau.3
4.214	eyelash	ʔok.7 ek.7
4.215	blink	na.3
4.22	ear	na.3 phja:k.7
4.221	earlobe	ke:m.3
4.222	earwax	ke:m.3 na.3; ko:k.7 na.3
4.23	nose	kaŋ.1 taɨ.3; taɨ.3 kaŋ.1
4.231	nostril	ma:k.7 ha.1
4.232	mucus (nasal)	khun.1 cauʔ.1
4.24	mouth	pi.2 ha.1
4.241	beak	khun.1 ha.1
4.25	lip	ha.1 łam.2; jap.7
4.26	tongue	pi.1 hu.1
4.27	tooth	ma:k.7 hu.1
4.271	gums	khi.3 hu.1
4.272	molartooth	ma:k.7 ʔdaŋ.1
4.28	neck	łu.2 ʔdaŋ.1
4.281	nape of neck	muk.8
4.29	throat	pa:k.7
4.3	shoulder	pa:k.7 nuk.8
4.301	shoulderblade	pi.2 pa:k.7
4.302	collarbone	linʔ.4
4.31	arm	kheu.3
4.312	armpit	hɨ:k.7
4.32	elbow	kheu.3 va:i.2
4.321	wrist	kam.3 ko.2
4.33	hand	ko.2; ńam.3 ko.2
4.331	palm of hand	łu.2 ko.2
4.34	finger	tuŋ.1 ʔba.5; tap.7 pa:i.1
4.342	thumb	ʔduk.7 ʔda:n.3 ci.2
4.344	fingernail	ʔduk.7 ła.3
4.345	claw	kuk.7 khe:n.1; pi.1 mɨ.2
4.35	leg	kuk.7 łak.8 łeʔ.4
4.351	thigh	cok.8 ło:k.7
4.352	calf of leg	ko.2 mɨ.2; ʔaŋ.3 mɨ.2
4.36	knee	mɨ.2
4.37	foot	pha.3 mɨ.2
4.371	ankle	neuʔ.4 mɨ.2
4.372	heel	me.6 mɨ.2
4.374	footprint	li:p.8 mɨ.2
4.38	toe	li:p.8 ca:i.1; le:p.8
4.392	wing	kha.1
4.393	feather	pa:ŋ.1 kha.1
4.4	chest	pi.1 kha.1
4.41	breast (of woman)	pau.1 khau.5; hu.1 khau.5
4.412	nipple, teat	kha.1
4.42	udder	ko.2 kha.1
4.43	navel	łin.3 kha.1; łin.3 tən.1
4.44	heart	ło:i.2 kha.1
4.441	lung	neuʔ.4 kha.1
4.45	liver	pik.7
4.451	kidney	khun.1
4.452	spleen	na.3 ʔak.7
4.46	stomach	num.2
4.461	intestines, guts	ma:k.7 num.2
4.462	waist	ʔduk.7 ʔdi.3
4.463	hip	łim.1
4.464	buttocks	pɨt.7
4.47	womb	tap.7
4.49	testicle	ma:k.7 jiu.1
4.492	penis	ma:mʔ.4
4.51	breathe, breath	ʔdi.1
4.52	yawn, gape	muk.7
4.521	hiccough	to:ŋʔ.4
4.53	cough	łai.3
4.54	sneeze	jiu.1
4.55	perspire	kun.3 khi.3
4.56	spit	kun.3 khi.3
4.57	vomit	łu.2 khi.3; łuk.8
4.58	bite	no:k.8
4.59	lick	ma:k.7 ham.1
4.591	dribble	ham.1; vai.2
4.61	sleep	hi.1
4.612	snore	thoi.1 caɨ.1
4.62	dream	hau.1 lum.2
4.63	wake up	ʔɨk.8; śak.7 ʔɨk.7
4.64	break wind	ʔa:i.1; ʔa.1
4.65	urinate	łjan.1 (łin.1); łan.1
4.66	defecate	ʔo:k.7 hɨ.5
4.67	have sexual intercourse	la:i.7; ŋa:p.8
4.68	shiver	tu.5 ŋa:p.8
4.69	bathe	ła:k.8
4.71	beget (of father)	kat.7
4.72	born (to be)	ji:t.7 linʔ.4
4.73	pregnant	li.2
4.732	conceive	la:i.2 ci.6; la:i.2 ten.5
4.74	live, living, life	no:n.2
4.75	die, dead	can.1; kian.1
4.751	drowned	phan.1; phan.1 han.1
4.76	kill	łiŋ.3
4.77	corpse	te:u.6 łiŋ.3; fa:n.3 te:u.6
4.78	bury (the dead)	ʔo:k.7 tit.7 (tjat.7)
4.79	grave, tomb	ʔe.1 ne:u.6
4.81	strong, mighty, powerful	ʔe.1 khi.3
4.82	weak	to.2 ʔe.3; to.2 phoi.5; ke:u.2; Łau.6
4.83	well, health	fa:t.7 hau.5
4.84	sick, sickness	ła:u.2 ʔda:ŋ.1
4.841	fever	cɨ:ŋʔ.4
4.842	goiter	ʔo:k.7 śi.5; ʔo:k.7 łe:ŋ.1
4.843	cold (catarrh)	łe:ŋ.1
4.85	wound, sore	ta:i.5 ʔda:ŋ.1; la:m.2 ʔda:ŋ.1
4.852	bruise	ta:i.5 ʔda:ŋ.1; mi.2 ʔda:ŋ.1
4.853	swelling	te:u.6
4.854	itch	ha:i.1
4.855	blister	kha.3
4.856	boil (noun)	łi.1 jai.2
4.857	pus	phaŋ.1
4.858	scar	fan.2; mu.6
4.86	cure, heal	cɨ:ŋ.5
4.87	physician	ju:k.8; jo:k.8
4.88	medicine, drug	maŋ.6; ʔda:ŋ.1 śa:ŋ.5; naŋ.2
4.89	poison	pin.2 (pjan.2) piŋ.6
4.91	tired, weary	fa:t.7 puŋ.2; fa:t.7 ʔdɨ:t.7
4.912	rest	ko.2 ʔa:i.1
4.92	lazy	fa:t.7 ʔda:ŋ.3
4.93	bald	lo.5
4.94	lame	cap.7; pa:k.7 łu.2; pa:k.7 łaŋ.1
4.95	deaf	kam.5; lɨ:t.8 ha:i.1
4.96	mute	kaɨ.6; to:k.8 kaɨ.6
4.97	blind	kaɨ.6; ʔdin.3 (ʔdjan.3); kan.2
4.98	intoxicated	po:p.7
4.99	naked, bare	ʔba:t.7
5.11	eat	no:ŋ.1
5.12	food	naŋ.5; naŋ.5 ka.5
5.121	cooked	ja.1 ʔdai.1
5.122	raw	i.1 łe:ŋ.1
5.123	ripe	ja.1
5.124	green, unripe	to:k.8 ja.1; ja.1 to:k.8
5.125	rotten	to:k.8; ʔbɨ.5
5.13	drink	pak.8
5.14	hunger	ji:t.7 pak.8
5.141	famine	kjanʔ.4
5.15	thirst	lo:i.2; no:ŋ.5; ʔdo.5; lɨ:n.5
5.16	suck	kve.2; pai.5
5.18	chew	nu:k.7
5.181	swallow	vo:mʔ.4
5.19	choke	ʔbo:t.7; fa:ŋ.2
5.21	cook	mau.2
5.22	boil (vb)	ke.3 pui.1; ke.3 ka:ŋ.2
5.23	roast, fry	kin.1
5.24	bake	(khau.3) ki.5 kin.1
5.25	oven	łuk.7
5.26	pot, cooking vessel	ʔdip.7
5.27	kettle	pin.2
5.28	pan	ʔdip.7
5.31	dish	nau.6; ʔdok.7
5.32	plate	kin.1; ʔdit.7
5.33	bowl	ja:k.7
5.34	pitcher, jug	ca:i.1 va:ŋ.1
5.35	cup, drinking vessel	ko.2 khaɨ.5
5.36	saucer	cup.7
5.37	spoon	ke:uʔ.4
5.38	knife	ninʔ.4
5.39	fork	ka:k.8; ka.6
5.391	tongs	cɨ.3; huŋ.1; ʔun.5
5.41	meal (a)	tam.3; tum.3; ʔun.5
5.42	breakfast	śe:u.3
5.43	lunch	kha:ŋ.5; phaɨ.1; piŋ.3
5.44	dinner	he:k.7; mo.3
5.45	supper	hu.2
5.46	peel	he:k.7
5.47	sieve, strain	tiep.8; ca:m.2
5.48	scrape	pu:n.2
5.49	stir, mix	thui.3
5.51	bread	hu.2
5.53	dough	co:k.7
5.54	knead	tiep.8
5.55	meal, flour	tiu.2 ke:ŋ.1
5.56	crush, grind	pjaʔ.4
5.57	mill	śa.1
5.58	mortar	kim.2
5.59	pestle	khau.3 to:n.5
5.61	meat	kva.5 cauʔ.4; kin.1 cauʔ.4
5.63	sausage	kin.1 ŋa:i.2; khau.3 ŋa:i.2
5.64	soup, broth	kin.1 le:ŋ.2; khau.3 le:ŋ.2
5.65	vegetables	kin.1 pjau.2; khau.3 pjau.2
5.66	bean	pje:n.1
5.7	potato	khiaŋ.1; thiat.7
5.71	fruit	pa:u.2
5.712	bunch	kia:uʔ.4; fa:k.8; nuk.7
5.75	fig	śa:i.1
5.76	grape	mi:n.6; fan.3
5.77	nut	tam.1
5.78	olive	ŋa:n.2; kvan.3
5.79	oil	phat.7
5.791	grease, fat	ŋa:n.2
5.81	salt	co:k.8
5.82	pepper	ła:k.7; kiuk.8
5.821	chili pepper	nɨʔ.4
5.84	honey	tha:ŋ.1; cap.7
5.85	sugar	phiak.7
5.86	milk (noun)	thu.5 nɨʔ.4
5.87	milk (vb)	khiŋ.1 lɨ:ŋ.́
5.88	cheese	łu:n.5
5.89	butter	śuŋ.1
5.9	beverage, drink	ma:k.7 ciu.1; ma:k.7 pat.7
5.91	mead	ŋa.2
5.92	wine	khiŋ.1
5.93	beer	phe:ŋ.1
5.94	fermented drink	ma:k.7 khɨi.1; ma:k.7 khɨ.1
5.97	egg	ma:k.7 śe.2 cai.3; man.2 ʔbuŋ.~
5.971	egg yolk	ma:k.7
6.11	put on (clothes)	śi:t.8
6.12	clothing, clothes	ma:k.7 ʔit.7
6.13	tailor	pa:n.3 lit.8; ma:k.7 ko.5 na:m.1
6.21	cloth	ma:k.7 kɨ:m.3
6.22	wool	jiu.2
6.23	linen, flax	la:u.2
6.24	cotton	pi.2
6.25	silk	ciŋ.1
6.27	felt	kɨ.1
6.28	fur	thɨ:ŋ.1 me:ŋ.2
6.29	leather	thɨ:ŋ.1
6.31	spin	namʔ.4 num.2
6.32	spindle	ʔdan.3; jan.3
6.33	weave	lau.3 thɨ:ŋ.1 me:ŋ.2
6.34	loom	lau.3 va:n.1
6.35	sew	khiai.5
6.36	needle	mio:n.2 khiai.5; khiai.5 lɨ:ŋ.1
6.37	awl	nuŋ.6
6.38	thread	łɨ.3 khva.5
6.39	dye	kɨn.2 hit.7 łɨ.3 khva.5
6.41	cloak	pha:i.3
6.411	poncho	(ni.2)
6.42	woman's dress	pa:n.5
6.43	coat	pha:i.3 ʔbət.7; pha:i.3
6.44	shirt	śau.3
6.45	collar	(juŋ.2)
6.46	skirt	pi.2; naŋ.1 łiu.1
6.461	grass-skirt	to.2
6.48	trousers	ła.3
6.49	stocking, sock	tam.5
6.51	shoe	phiau.5
6.52	boot	jap.8; śe.1
6.54	shoemaker, cobbler	khiam.1
6.55	hat, cap	ci.1
6.57	belt, girdle	mai.1
6.58	glove	łak.7; ja.1 jo:mʔ.4
6.59	veil	pu:ŋ.2; khu:i.5
6.61	pocket	łɨ.3; łɨ.3 no:k.8
6.62	button	łɨ.3 te.3
6.63	pin	ja:u.1 ko.2
6.71	ornament, adornment	kven.2; kun.2
6.72	jewel	khva.5
6.73	ring (for finger)	fa:t.8
6.74	bracelet	ka:i.2
6.75	necklace	ka:i.2 he.5
6.76	bead	cɨ:ŋ.6 hit.7 ku.6 ka:i.2
6.77	earring	ma:u.6
6.78	headband, headdress	ła.6 k.8; ła:i.1 khva.5; Łak.8 ʔda:ŋ.1
6.79	tattoo	khan.1 pa:u.1 ʔbau.3
6.81	handkerchief, rag	śa:m.1 tu:i.6
6.82	towel	ʔauʔ.4; nauʔ.4 łɨ.3; khau.5 łɨ.3
6.91	comb	łau.3 łik.7
6.92	brush	pa:u.3; cɨ.1 pa:u.3
6.921	braid	ʔbio:k.7 mɨ.2
6.93	razor	ki:m.2 mɨ.2
6.94	ointment	ła.3; ki:m.2 ko.2
6.95	soap	cɨ.1
6.96	mirror	ło:i.3
7.11	dwell, live	khan.1 pa:u.1 ʔbau.3; ła:i.1
7.12	house	khan.1
7.13	hut	kan.1 na.3
7.131	garden-house	vi.1
7.14	tent	vi.1
7.15	yard, court	śa:t.7; phai.1
7.16	men's house	pɨ.2; phɨ.1
7.17	cookhouse	thai.5
7.18	meeting house	ka:n.3
7.21	room	kiŋ.5
7.22	door, gate	ju.5
7.221	doorpost, jamb	łɨ:n.2
7.23	lock (noun)	tiŋ.1; łɨ:n.2 ka.2; pu:ŋ.2 ta:p.7
7.231	latch, door-bolt	tiŋ.2
7.24	key	pu:ŋ.2 ta:p.7
7.25	window	ti.6 ta:ŋ.2; kia:ŋ.1 vi:n.6
7.26	floor	śi.2 fu:ŋ.2; pa:k.7 cau.5
7.27	wall	li.5 tha:ŋ.2
7.31	fireplace	fu:ŋ.2; łu:m.3
7.32	stove	tu.1
7.33	chimney	łau.1 tu.1
7.37	ladder	ła.3
7.42	bed	łen.1 tu.1
7.421	pillow	kan.5 li.6; linʔ.4 ła.3; ci.2 ła.3
7.422	blanket	ła.1 śa:ŋ.1
7.43	chair	ti.6; ti.6 pe:n.3
7.44	table	pha:ŋ.1 cɨŋ.2
7.45	lamp, torch	lu.2
7.46	candle	thuŋ.1 van.2
7.47	shelf	ʔdai.1
7.48	trough	ła:ŋ.2
7.51	roof	mo:n.1
7.52	thatch	tha:n.3
7.53	ridgepole	ʔi.3
7.54	rafter	co:ŋ.2
7.55	beam	taŋ.1
7.56	post, pole	la:p.8 cuk.7
7.57	board	kia.5
7.58	arch	ła:ŋ.2; ca:u.2
7.61	mason	ta:i.2 fa:i.2
7.62	brick	fuŋ.2
7.63	mortar	ka.2
7.64	adobe	lo.2
8.11	farmer	kjap.7 ci.3
8.12	field (for cultivation)	he:ŋ.2 tiu.2
8.13	garden	kan.2 co:k.8
8.15	cultivate, till	pe:n.3
8.16	fence	cɨ:ŋ.6 hin.1
8.17	ditch	kik.7
8.21	plow	ho:i.1 cɨ:ŋ.1
8.212	furrow	cin.1
8.22	dig	kɨn.2 hit.7 na.2
8.23	spade	na.2
8.24	shovel	łai.6
8.25	hoe	łun.1 phiak.7
8.26	fork	hit.7 na.2
8.27	rake	pha.1 łɨ:k.8; ta:mʔ.4
8.31	sow	ʔbɨ:ŋ.1 (mɨ:ŋ.1)
8.311	seed	thai.1
8.32	mow, reap	ło:ŋ.6
8.33	sickle, scythe	va:t.7; tau.5; ʔbo:n.1
8.34	thresh	śa:n.3
8.35	threshing-floor	śo:n.3; śa:n.3
8.41	crop, harvest	kva:k.7
8.42	grain (barley, oats etc)	śa.1
8.43	wheat	pha.2; phɨ.1 liap.8
8.44	barley	ʔdam.1
8.45	rye	fan.2
8.46	oats	kvan.2 (kun.2)
8.47	maize, corn	li:m.2; li:m.2 KHȫ.1
8.48	rice	lo:i.6; pho:i.1
8.51	grass	ti.6 ta:ŋ.2
8.52	hay	łau.1 ciŋ.2
8.53	plant (noun)	khau.3
8.531	plant (vb)	me:k.8 ła:n.1; me:k.8
8.54	root	me:k.8 ko:k.7
8.55	branch	khau.3 jɨ.6
8.56	leaf	khau.3
8.57	flower	khau.3 ka:k.7
8.6	tree	khau.3; kja.3
8.61	oak	ke:p.7; łam.6
8.62	beech	fa:ŋ.2 khau.3; fɨ:ŋ.2 khau.3
8.63	birch	khau.3 pha:ŋ.3
8.64	pine	ja.3
8.65	fir	fa:ŋ.2; fɨ:ŋ.2
8.66	acorn	ko.1 ku.3 ka:i.5
8.67	vine	ca:i.1
8.68	tobacco	la:k.8
8.69	smoke (tobacco)	ko:k.7 maiʔ.4
8.691	pipe	ka.2; kɨŋ.5
8.72	tree stump	ʔbaɨ.1
8.73	tree trunk	na:m.1
8.74	forked branch	ʔbio:k.7
8.75	bark	maiʔ.4
