entry_id	trans_english	Yaminahua_Phonemic
9.12	work	yono-kĩ
9.14	bend	kako-kĩ; kãti-kĩ
9.15	fold	kato-kĩ
9.16	tie, bind	nɨṣ̌a-kĩ
9.161	untie	pɨka-kĩ
9.18	chain	yami pono
9.19	rope, cord	niši
9.192	knot (noun)	nɨṣ̌ɨa
9.21	strike (hit, beat)	sɨtɨ-kĩ; koša-kĩ
9.211	pound with fist	mɨ̃kɨ-mã sɨtɨ sɨtɨ akĩ
9.22	cut	ṣ̌atɨ-kĩ
9.221	cut down	rɨra-kĩ
9.222	chop, hew	ṣ̌atɨ ṣ̌atɨ akĩ
9.223	stab	čači-kĩ
9.23	knife	kɨno pɨβɨ-ti
9.24	scissors, shears	mastɨ-ti
9.25	ax	yami
9.251	adze	aro-ti
9.26	break	tɨkɨ-kĩ; moši-kĩ; posi-kĩ
9.261	broken	tɨkɨ-a; moši-a; posi-a
9.27	split	toṣ̌a-kĩ; kaškɨ-kĩ
9.28	tear	βaṣ̌tɨ-kĩ
9.29	flay, skin	raṣ̌to-kĩ; βiči βi-kĩ
9.31	rub, wipe	rɨyo rɨyo akĩ; tɨrɨ akĩ
9.32	stretch	čai βɨc̷ɨ-kĩ
9.33	pull	nini-kĩ
9.34	spread out	kaka βa-kĩ
9.341	hang up	põɨ̃-kĩ; rõta-kĩ
9.342	press	šoi aki
9.343	squeeze, wring	rɨyo-kĩ; c̷inĩ-kĩ
9.35	pour	manɨ-kĩ
9.36	wash	čoka-kĩ; pãc̷a-kĩ
9.37	sweep	mãc̷o-kĩ
9.38	broom	mãc̷o-ti
9.422	tool	
9.43	carpenter	pɨṣ̌ɨ βa-mis
9.44	build	pɨṣ̌ɨ βa-kĩ
9.46	bore	c̷ɨpɨs-akĩ
9.461	hollow out	naβɨrɨṣ̌a-kĩ
9.48	saw	[sɨra]
9.49	hammer	masta-ti; [mãritičo]; amɨ̃ṣ̌ɨta
9.5	nail	rãβo
9.56	glue	taṣ̌ta-ti
9.6	smith, blacksmith	--
9.61	forge	--
9.62	anvil	[kõma]
9.63	cast (metals)	--
9.64	gold	[oro]
9.65	silver	
9.66	copper, bronze	
9.67	iron	
9.68	lead (noun)	[poromã]
9.69	tin, tinplate	
9.71	potter	kɨšo βa-mis
9.72	mold (clay etc)	oni βa-kĩ
9.73	clay	nɨo; mĩβa
9.74	glass	
9.75	weave, plait	ṣ̌ɨβa-kĩ
9.76	basket	βɨ̃ta; šiβa-ti; ɨpɨ-a-ti
9.77	mat	pĩši
9.771	rug	--
9.78	netbag	nõṣ̌a-ti
9.79	fan (noun)	pai-ti
9.791	fan (vb)	pɨɨ pɨɨ akĩ; pɨkka pɨkka akĩ
9.81	carve	
9.82	sculptor	--
9.83	statue	
9.84	chisel	
9.88	paint (noun)	[pĩtora]
9.89	paint (vb)	raiš akĩ; raiš ikĩ
10.11	move	βia kɨkɨ βoa-kĩ; raβɨ raβɨ akĩ
10.12	turn over	raβɨ-kĩ
10.13	turn around	βɨso-kĩ; βɨso-akɨ-kaβa-kĩ
10.14	wind, wrap	nɨa nɨa akĩ
10.15	roll	tara-kĩ; tara-mɨi
10.16	drop (vb)	pakɨ-kĩ
10.17	twist	yošto-kĩ; yošto βa-kĩ
10.21	rise	βini-kĩ; mapɨ-kĩ
10.22	raise, lift	c̷omanĩ βoa-kĩ; βini-kĩ
10.23	fall	pakɨ-kĩ
10.24	drip	toi tois iki; poro-kĩ; tosi-kĩ
10.25	throw	c̷aka-kĩ
10.252	catch (ball)	ači-kĩ
10.26	shake	taa taa aki; takɨ takɨš aki
10.32	flow	βaka βɨ-kĩ
10.33	sink	iki pakɨ-ka-βa-kĩ
10.34	float	nono-kĩ
10.35	swim	topiti aki
10.351	dive	
10.352	splash	po po aki
10.36	sail (vb)	
10.37	fly (vb)	yoya-kĩ
10.38	blow	ṣ̌õa-kĩ
10.41	creep, crawl	mɨṣ̌o-kĩ
10.412	kneel	ratokonõ čači-kĩ
10.413	crouch	ṣ̌okipakɨ-kĩ
10.42	slide, slip	mãyo raiš iki
10.43	jump, leap	ičotiri iki
10.431	kick	tãɨ sɨtɨ-kĩ
10.44	dance	mono-kĩ
10.45	walk	tãɨ ka-kĩ
10.451	limp	niti ma-kĩ
10.46	run	ičo-kĩ
10.47	go	ka-kĩ
10.471	go up	mãpɨ-kĩ
10.472	climb	ina-kĩ
10.473	go down	βoto-kĩ
10.474	go out	kãi-kĩ
10.48	come	o-kĩ
10.481	come back	ka-tan-i
10.49	go away, depart	ka-kĩ
10.491	disappear	βɨnoa
10.51	flee	ičo-kĩ
10.52	follow	čiβa-kĩ
10.53	pursue	čiβa-kĩ
10.55	reach, arrive	noko-kĩ
10.56	approach	čai-ma-šta βa-kĩ
10.57	enter	iki-kĩ
10.61	carry (bear)	βo-kĩ; iyo-kĩ
10.612	carry-in-hand	mɨ̃-kɨmɨ̃ βo-kĩ
10.613	carry-on-shoulder	tɨ-c̷ao-ṣ̌õ βo-kĩ
10.614	carry-on-head	mãpo βo-kĩ
10.615	carry-underarm	noṣ̌a-ṣ̌õ βo-kĩ
10.62	bring	βɨ-kĩ
10.63	send	βo-ma-kĩ; βɨ-ma-kĩ
10.64	lead (vb)	rɨkɨ kakĩ
10.65	drive	čiata-kĩ
10.66	ride	a βiči βɨo-kai kakĩ
10.67	push, shove	pɨṣ̌o-kĩ; pic̷iki-kĩ
10.71	road	βai
10.72	path	βai
10.74	bridge	tapo
10.75	carriage, wagon, cart	[karatiča]
10.76	wheel	[karo] taɨ
10.77	axle	
10.78	yoke	
10.81	ship	[moti]-pa-βa
10.83	boat	[moti]
10.831	canoe	[kanõa]
10.832	outrigger	naoti
10.84	raft	tapa
