entry_id	trans_english	Mosetén_Phonemic
3.831	sandfly (midge), gnat	fe'feiɲ
3.832	mosquito	õ'toʔ
3.84	worm	he'saʔ
3.85	snake	'nas
3.91	firefly	[koyo'yoʔ]
3.92	butterfly	batak'tak
3.93	grasshopper	'šooko
3.94	snail	wo'ont
3.95	frog	o'koku
3.96	lizard	kušifu're
3.97	crocodile, alligator	mih'mama
3.98	turtle	me'meʔ; kih'bo
4.11	body	ãa; ã-'c̷oɲ; ã-t-'pheinsi
4.12	skin, hide	šu'paʔ
4.13	flesh	šœš
4.14	hair (head)	'fin
4.142	beard	yæ'tis
4.144	body hair	'fin
4.145	pubic hair	'fin
4.146	dandruff	'okw
4.15	blood	češ
4.151	vein, artery	češ
4.16	bone	hin
4.162	rib	ma'raʔ
4.17	horn	da'šœʔ
4.18	tail	ko'dih; pih
4.19	back	mœrehri'ka
4.191	spine	mœ'reh'rœ
4.2	head	xuʔ'no
4.201	side of head, temple	
4.202	skull	xuʔ'no
4.203	brain	'saasa
4.204	face	beh-'yaʔ
4.205	forehead	'haafi
4.207	jaw	be'kaʔ
4.208	cheek	aiɲ
4.209	chin	im
4.21	eye	beh
4.212	eyebrow	huuf'wai
4.213	eyelid	bee-'čes
4.214	eyelash	čii'čim
4.215	blink	'kibaɲ
4.22	ear	'čuiɲ
4.221	earlobe	'čuiɲ
4.222	earwax	šaf'waiʔ
4.23	nose	'hoi
4.231	nostril	'hoi si tõmo
4.232	mucus (nasal)	šũ'šu; a'ha
4.24	mouth	čõ
4.241	beak	čõ
4.25	lip	čõ
4.26	tongue	'nem
4.27	tooth	mu'dʸin
4.271	gums	be'yãʔ
4.272	molartooth	kaʔa'ku
4.28	neck	tœh; be'kaʔ
4.281	nape of neck	tœh
4.29	throat	tæræ'reč
4.3	shoulder	bih'bi
4.301	shoulderblade	wa'tahta
4.302	collarbone	koobe'ri
4.31	arm	œɲ'ya
4.312	armpit	c̷a'kaʔ
4.32	elbow	c̷oʔt'ki
4.321	wrist	œɲ'ya
4.33	hand	uɲ
4.331	palm of hand	uɲ'kha
4.34	finger	či'rihri
4.342	thumb	hœ'bœ
4.344	fingernail	'patki
4.345	claw	'patki
4.35	leg	xœɲœk
4.351	thigh	'xœɲœk
4.352	calf of leg	yœh-'ya; yœh
4.36	knee	kaš ~ kaaš
4.37	foot	yœh
4.371	ankle	po'po ~ kuti'kaɲ
4.372	heel	
4.374	footprint	yœh ~ yœh-mœ̃
4.38	toe	či'rihri
4.392	wing	pa'wah
4.393	feather	paiɲ
4.4	chest	eefe
4.41	breast (of woman)	eefe
4.412	nipple, teat	taa'šin
4.42	udder	taa'šin ['wakas]
4.43	navel	u'yu
4.44	heart	'kohki
4.441	lung	šaba'bač
4.45	liver	na'kač
4.451	kidney	kain-'dʸe
4.452	spleen	
4.46	stomach	tere'buč
4.461	intestines, guts	wo'koh
4.462	waist	fiyeʔe'kah
4.463	hip	ke'neh
4.464	buttocks	dgi'yaʔ
4.47	womb	bam-'dʸeʔ
4.49	testicle	fe'fein
4.492	penis	'dʸoʔ
4.51	breathe, breath	pœh'yi; hœ'ki
4.52	yawn, gape	hah'ki; ha'ki
4.521	hiccough	kami'ti; fwent'ki
4.53	cough	'ehe-ʔe'hei
4.54	sneeze	haa'čihki
4.55	perspire	hœin'hoi
4.56	spit	čopi'yi
4.57	vomit	'čai
4.58	bite	ka'rau'heʔ
4.59	lick	enam'he
4.591	dribble	'c̷omptki
4.61	sleep	ko'ši ~ ku'ši
4.612	snore	khœ'ri
4.62	dream	tami'ñi
4.63	wake up	'c̷aʔi
4.64	break wind	čo'ti ~ ču'ti hi'fi
4.65	urinate	čike-'ki
4.66	defecate	wæsæ-'ki
4.67	have sexual intercourse	neema'ki
4.68	shiver	no-'čučui
4.69	bathe	'yœih
4.71	beget (of father)	
4.72	born (to be)	na'ʔih
4.73	pregnant	hãad'si
4.732	conceive	
4.74	live, living, life	bœ'yi; c̷aa'ki
4.75	die, dead	sæ'ɲi; i'hak
4.751	drowned	pœ'ti; pœ'tiʔ
4.76	kill	i'hai; i'hak-si
4.77	corpse	sæ'ɲi
4.78	bury (the dead)	eruyuhæ'tein; eruyu'hein
4.79	grave, tomb	eruyætk'hin
4.81	strong, mighty, powerful	'ferxki; fer'gič; fer
4.82	weak	'ham-'ferxki
4.83	well, health	'reštki
4.84	sick, sickness	hapak-'ui
4.841	fever	ha'pak
4.842	goiter	dukeiɲt'ki
4.843	cold (catarrh)	hapak-'ui
4.85	wound, sore	tææc̷i'ti
4.852	bruise	tki'rei
4.853	swelling	ɲya'biʔ
4.854	itch	ye'c̷ic̷i
4.855	blister	haye-'dʸe
4.856	boil (noun)	ɲop'yeʔ
4.857	pus	hunu'yeʔ
4.858	scar	ši'bira
4.86	cure, heal	pi'ɲi-tæi
4.87	physician	piɲi-tak'si; kõhku'si
4.88	medicine, drug	piɲi-'dʸe
4.89	poison	[be'neno]
4.91	tired, weary	'nobih
4.912	rest	hihoči'ti
4.92	lazy	to'oč
4.93	bald	pæuhnač
4.94	lame	wei-wei-'yič
4.95	deaf	čyuhkuč
4.96	mute	he'pepe
4.97	blind	tu'fein
4.98	intoxicated	šyu'ki
4.99	naked, bare	kæ'dæ
5.11	eat	sakse-'ha
5.12	food	sakse-'dʸe
5.121	cooked	mœ̃'keʔ
5.122	raw	yã; nyã
5.123	ripe	'ĩhc̷i
5.124	green, unripe	ho'hoi
5.125	rotten	fo'koi
5.13	drink	tk'yei
5.14	hunger	'daki
5.141	famine	
5.15	thirst	haha'ri ~ 'hahri
5.16	suck	c̷iʔ'yi
5.18	chew	karaub-'he; ka'raub-ka'raub-'he
5.181	swallow	koɲin'he
5.19	choke	
5.21	cook	hemi'tih; hemi'tiʔ
5.22	boil (vb)	wai'ɲi
5.23	roast, fry	'hauhtaki
5.24	bake	
5.25	oven	
5.26	pot, cooking vessel	ta'dʸič
5.27	kettle	
5.28	pan	
5.31	dish	
5.32	plate	pi'hiʔ
5.33	bowl	
5.34	pitcher, jug	
5.35	cup, drinking vessel	['tasa]
5.36	saucer	
5.37	spoon	[ko'čara]
5.38	knife	[kučiɲo ~ kučino]
5.39	fork	['trinči]
5.391	tongs	
5.41	meal (a)	
5.42	breakfast	sækse-'dʸe
5.43	lunch	sækse-'dʸe
5.44	dinner	
5.45	supper	sækse-'dʸe
5.46	peel	'c̷aka'ɲet
5.47	sieve, strain	'pase
5.48	scrape	šukera'kis
5.49	stir, mix	[ku'čana]ki
5.51	bread	[pan]
5.53	dough	
5.54	knead	
5.55	meal, flour	
5.56	crush, grind	muihe'yak
5.57	mill	mœsakič
5.58	mortar	ta'ko
5.59	pestle	ko'čakis
5.61	meat	šœš
5.63	sausage	--
5.64	soup, broth	kap'husis
5.65	vegetables	
5.66	bean	ko'riši
5.7	potato	['papa]
5.71	fruit	weš; 'tatu
5.712	bunch	pœ'či
5.75	fig	--
5.76	grape	o'wa
5.77	nut	
5.78	olive	[asei'tuna]
5.79	oil	[a'seite]
5.791	grease, fat	'čœye
5.81	salt	hii'ko
5.82	pepper	[pimʸenta]
5.821	chili pepper	taʔ
5.84	honey	ku'ruma ~ ko'roma
5.85	sugar	[a'sukar]
5.86	milk (noun)	[e'reče]
5.87	milk (vb)	kœ'beʔ
5.88	cheese	['keso]
5.89	butter	--
5.9	beverage, drink	'čeye
5.91	mead	--
5.92	wine	['bino]
5.93	beer	[ser'besa]
5.94	fermented drink	'čukye ~ šokdʸeʔ
5.97	egg	fen
5.971	egg yolk	mofẽmo
6.11	put on (clothes)	kofhi'ti
6.12	clothing, clothes	koft'yi-t; kis'ye
6.13	tailor	--
6.21	cloth	kis'ye
6.22	wool	
6.23	linen, flax	--
6.24	cotton	'bahnaʔ
6.25	silk	--
6.27	felt	--
6.28	fur	
6.29	leather	šo'paʔ ~ šu'paʔ
6.31	spin	'biki
6.32	spindle	šamak'dʸe
6.33	weave	'pante
6.34	loom	pa'naki
6.35	sew	dʸi'baki
6.36	needle	yoo'keʔ
6.37	awl	
6.38	thread	'bumaʔ
6.39	dye	iic̷ih
6.41	cloak	
6.411	poncho	
6.42	woman's dress	kis'ye
6.43	coat	--
6.44	shirt	[ka'misa]
6.45	collar	
6.46	skirt	
6.461	grass-skirt	--
6.48	trousers	[kar'sona]
6.49	stocking, sock	[karse'tin]
6.51	shoe	[sa'pato]
6.52	boot	['bota]
6.54	shoemaker, cobbler	--
6.55	hat, cap	[šomero'ro]
6.57	belt, girdle	
6.58	glove	--
6.59	veil	--
6.61	pocket	[wor'sirio]
6.62	button	
6.63	pin	
6.71	ornament, adornment	
6.72	jewel	--
6.73	ring (for finger)	[son'tika]
6.74	bracelet	
6.75	necklace	tʸikak-'dʸeʔ
6.76	bead	
6.77	earring	ša'poro
6.78	headband, headdress	
6.79	tattoo	tai'taktki
6.81	handkerchief, rag	
6.82	towel	[to'aya]
6.91	comb	'peec̷i
6.92	brush	
6.921	braid	mi'ɲeʔ
6.93	razor	[na'baxa]
6.94	ointment	
6.95	soap	[haa'bo]
6.96	mirror	[eh'pexo]
7.11	dwell, live	bœ'yi
7.12	house	aʔka
7.13	hut	aʔka
7.131	garden-house	
7.14	tent	--
7.15	yard, court	
7.16	men's house	
7.17	cookhouse	[ko'sihna]
7.18	meeting house	'šipa
7.21	room	--
7.22	door, gate	čũ-'dʸeʔ
7.221	doorpost, jamb	
7.23	lock (noun)	--
7.231	latch, door-bolt	
7.24	key	['dʸabe]
7.25	window	[wen'tana]
7.26	floor	mu'ix'ya; yũči'haʔ
7.27	wall	ɲaʔ'ru
7.31	fireplace	'hiʔ'sa ~ hiʔi'sa
7.32	stove	--
7.33	chimney	'hiʔ'sa ~ hiʔi'sa
7.37	ladder	bohwa'kis
7.42	bed	hi'biʔ
7.421	pillow	
7.422	blanket	phuir'yit
7.43	chair	bœʔya'kis
7.44	table	sœʔsa'kis
7.45	lamp, torch	['rampara; rampa'rina]
7.46	candle	['bera]
7.47	shelf	yuʔta'kis
7.48	trough	ux'duʔ
7.51	roof	kaʔtap'haʔ ~ 'kahtapha
7.52	thatch	kaʔtap'haʔ
7.53	ridgepole	
7.54	rafter	
7.55	beam	
7.56	post, pole	
7.57	board	['tabra]
7.58	arch	--
7.61	mason	
7.62	brick	
7.63	mortar	
7.64	adobe	
8.11	farmer	kihoitʸiʔ
8.12	field (for cultivation)	kiho-'dʸeʔ
8.13	garden	
8.15	cultivate, till	'kœti
8.16	fence	'sope
8.17	ditch	to; 'tko
8.21	plow	
8.212	furrow	fek
8.22	dig	fa-'dʸe
8.23	spade	
8.24	shovel	hedak-'dʸeʔ
8.25	hoe	fwi'daka'kis
8.26	fork	
8.27	rake	ko'ya-kis
8.31	sow	'kœti
8.311	seed	we ~ be
8.32	mow, reap	we'dak
8.33	sickle, scythe	we'dakis
8.34	thresh	we'dak'kaɲ
8.35	threshing-floor	
8.41	crop, harvest	wedak'dʸeʔ
8.42	grain (barley, oats etc)	'tara
8.43	wheat	['triwo]
8.44	barley	--
8.45	rye	--
8.46	oats	[a'bena]
8.47	maize, corn	'tara
8.48	rice	[a'ros]
8.51	grass	bi'ruruʔ
8.52	hay	'kœti
8.53	plant (noun)	kœ'ti
8.531	plant (vb)	kœti'dʸeʔ; kik
8.54	root	iri'bin
8.55	branch	da'kaʔ
8.56	leaf	'šan
8.57	flower	haa'me
8.6	tree	de'reʔ
8.61	oak	--
8.62	beech	--
8.63	birch	--
8.64	pine	
8.65	fir	--
8.66	acorn	--
8.67	vine	
8.68	tobacco	kos
8.69	smoke (tobacco)	pis'naki
8.691	pipe	
8.72	tree stump	
8.73	tree trunk	peč
8.74	forked branch	da'kaʔ
8.75	bark	'šoʔpaʔ ~ šu'páʔ
8.76	sap	fii'mo
8.81	palm tree	tʸit'yira
8.82	coconut	'koko
8.83	citrus fruit	asa'sa ~ ašaša ~ aaša'šaʔ
8.84	banana tree	peʔ're
8.85	banyan	--
8.91	sweet potato	ka'ʔi
8.912	yam	
8.92	tapioca, manioc, cassava	oʔ'yi
8.93	gourd	
8.931	pumpkin, squash	'sobo ~ 'šobo
8.94	bamboo	'toɲ
8.941	sugar cane	wi'ro
8.96	fish poison (root)	či'tuʔ
8.97	nettle	
8.98	mushroom	bi'tatu
9.11	do, make	hemʔ'tke
9.12	work	karih'taki; karihtakiʔ
9.14	bend	kudoi'heʔ
9.15	fold	kat'šeʔ
9.16	tie, bind	'sapheʔ
9.161	untie	da'heʔ
9.18	chain	[ka'dena]
9.19	rope, cord	tĩ'dʸeʔ
9.192	knot (noun)	sapeyaki
9.21	strike (hit, beat)	'tœhɲe
9.211	pound with fist	khatʔ'hẽ
9.22	cut	'tœc̷he
9.221	cut down	'hoʔčãĩ
9.222	chop, hew	phak'haɲ
9.223	stab	'pothe'te
9.23	knife	[kučino] ~ [kučiɲo]
9.24	scissors, shears	[ti'sira]
9.25	ax	pha'kiyeʔ
9.251	adze	haida'kis
9.26	break	iɲwãʔ'čai; tokʔ'he
9.261	broken	tokʔhet'ki
9.27	split	'četheʔ ~ čee'teʔ
9.28	tear	'seiheʔ; 'werheʔ
9.29	flay, skin	c̷a'kan
9.31	rub, wipe	
9.32	stretch	
9.33	pull	soi'heʔ; bu'be
9.34	spread out	
9.341	hang up	
9.342	press	'yutʸeʔ
9.343	squeeze, wring	'sumʔ'he
9.35	pour	čo'heʔ; šat'heʔ
9.36	wash	
9.37	sweep	ku'yaki
9.38	broom	si'nakiti
9.422	tool	
9.43	carpenter	
9.44	build	hœmʔta'ki ~ hemʔta'ki
9.46	bore	
9.461	hollow out	
9.48	saw	šu'kakis
9.49	hammer	
9.5	nail	[ka'ravo; 'kravo]
9.56	glue	'peitakis
9.6	smith, blacksmith	--
9.61	forge	--
9.62	anvil	--
9.63	cast (metals)	--
9.64	gold	['oro]
9.65	silver	['prata]
9.66	copper, bronze	--
9.67	iron	['fyero]
9.68	lead (noun)	--
9.69	tin, tinplate	--
9.71	potter	pœɲai'si
9.72	mold (clay etc)	
9.73	clay	
9.74	glass	
9.75	weave, plait	mi'ɲeʔ
9.76	basket	
9.77	mat	to'bo ~ to'woh
9.771	rug	
9.78	netbag	sa'hi
9.79	fan (noun)	fi'fit
9.791	fan (vb)	fuhfuh'yih
9.81	carve	
9.82	sculptor	--
9.83	statue	--
9.84	chisel	--
9.88	paint (noun)	
9.89	paint (vb)	tai'he ~ tai'hẽ
10.11	move	mo'hočaʔ'he
10.12	turn over	kamãnʔyiʔ
10.13	turn around	
10.14	wind, wrap	'pante; woiye'teʔ
10.15	roll	
10.16	drop (vb)	hõ'čai
10.17	twist	'kupte
10.21	rise	'boxwi
10.22	raise, lift	'čeʔ'heʔ
10.23	fall	hõ'čai
10.24	drip	
10.25	throw	fa'raheʔ
10.252	catch (ball)	'taphe
10.26	shake	kafuɲ'yeʔ
10.32	flow	ča'ĩ
10.33	sink	to'mi
10.34	float	wo'šiʔ
10.35	swim	'naiki
10.351	dive	čimœ̃'dʸi
10.352	splash	či'fa
10.36	sail (vb)	nyi'c̷i
10.37	fly (vb)	'ɲai
10.38	blow	puh'ye
10.41	creep, crawl	
10.412	kneel	yœc̷iʔi
10.413	crouch	'yičmi
10.42	slide, slip	šitan'dʸi
10.43	jump, leap	roiʔ'yiʔ
10.431	kick	yitai'heʔ
10.44	dance	eroya'ki
10.45	walk	fue'rih; mi'ʔi
10.451	limp	wœ-wœ-'yi ~ wœiwœ'yiʔ
10.46	run	pi'ki
10.47	go	ho'baɲ
10.471	go up	'ɲic̷iʔ
10.472	climb	'boxwi
10.473	go down	ča'baɲ; 'kasti
10.474	go out	'syupki
10.48	come	a'c̷ih; a'yih
10.481	come back	kaɲi'ti
10.49	go away, depart	hõ'baɲ; hõ'baiʔ
10.491	disappear	mo'ɲi
10.51	flee	kahõ'baɲ; kahõi
10.52	follow	kœčœʔču'te
10.53	pursue	'hinčakeʔ
10.55	reach, arrive	'wen'čui
10.56	approach	čeiʔ'yai
10.57	enter	si'tih; si'tiʔ
10.61	carry (bear)	wi'ti
10.612	carry-in-hand	'kai ũn'khan
10.613	carry-on-shoulder	'kai 'bihbi
10.614	carry-on-head	ho'ɲu če'kai
10.615	carry-underarm	
10.62	bring	'tui
10.63	send	hu'teʔ
10.64	lead (vb)	
10.65	drive	
10.66	ride	[ka'wayo] če
10.67	push, shove	tak
10.71	road	'mahmi
10.72	path	'mahmi
10.74	bridge	ɲoba-'kis
10.75	carriage, wagon, cart	[ka'reto]
10.76	wheel	[ka'reto]
10.77	axle	[ehe]
10.78	yoke	woye'yes
10.81	ship	--
10.83	boat	
10.831	canoe	ko'amba
10.832	outrigger	--
10.84	raft	a'c̷ah
10.85	oar	
10.851	paddle (noun)	ko'rak-'dʸeʔ
10.852	row (vb)	kor'dʸi
10.86	rudder	
10.87	mast	
10.88	sail (noun)	
10.89	anchor	--
10.91	harbor, port	['porto]
10.92	land (vb)	'c̷oi
11.11	have	moʔ'yaʔ
11.12	own, possess	
11.13	take	'taphe
11.14	seize, grasp	'taphe
11.15	hold	
11.16	get, obtain	da'keʔ
11.17	keep, retain	'hœn'heʔ
11.18	thing	
11.21	give	sõʔme'ye
11.22	give back	hi'kaɲi yi'butʔ
11.24	preserve, look after	
11.25	save, rescue	
11.27	destroy	mehya'ha; ačiče'ha
11.28	harm, injure, damage	
11.31	seek, look for	'kefwa'baʔ
11.32	find	da'keʔ
11.33	lose	hiʔmo'ne ~ hiʔmo'ɲeʔ
11.34	release, let go	'nyahki'baɲ
11.43	money	ke'reča
11.44	coin	['fiča]
11.51	rich	['riko]
11.52	poor	ɲi'bet
11.53	beggar	
11.54	avaricious, stingy	
11.61	lend	['presta]
11.62	borrow	['presta ye'wa]
11.63	owe	['debe] tun'yœ
11.64	debt	
11.65	pay (vb)	hiyaʔdʸeye'banʔ
11.66	account, reckoning	
11.69	tax, tribute	
11.77	hire	
11.78	wages	hiyaʔdʸeye'banʔ
11.79	earn	
11.81	buy	ya'ʔi
11.82	sell	'himikai
11.83	trade, barter	['kambiya]
11.84	merchant	[kambyaʔ'ra] paeræ'yi
11.85	market (place)	[marka'tuk]
11.86	store, shop	['kyenda]
11.87	price	yaʔi'yeʔ
11.88	dear (costly, expensive)	'yaʔi; ['karo]
11.89	cheap	ham ya'ʔi
11.91	share (distribute)	kœc̷ yi'ri tʸitʸih'ʔin
11.92	weigh	tœpœ'tui
12.1	after	'noxno
12.11	behind	hœ'kiwe
12.2	beside	'be; beta'ke
12.3	down, below	mu'ix'ya
12.4	before	tac̷'če
12.41	front	tac̷'če
12.5	inside, in	ok'haɲ
12.6	outside	ho'rohyaʔ
12.7	under	mu'ix'ya
12.8	up, above	čeʔe'we
12.11	place	bœdʸe'yeʔ
12.12	put	yœ̃'če
12.13	sit	bœʔ'dʸi
12.14	lie down	čuden'yi
12.15	stand	oroikoh'kõi
12.16	remain, stay	
12.17	remains, left overs	hiʔšukdʸe-'dʸe
12.21	collect, gather	'dʸim'ha
12.212	pick up	wahmu'yače
12.213	pile up	dœriʔyœ'če
12.22	join, unite	'kœčbanʔ
12.23	separate	pareyu'taksi
12.232	divide	hiʔčetak'si
12.24	open	wa'nakheʔ
12.25	shut, close	'khœrheʔ
12.26	cover	kœh'kame
12.27	hide, conceal	hihmœsi'ti
12.31	high	mo'če
12.32	low	mœx'ɲa
12.33	top	a'niki mo'čes
12.34	bottom	mahk'haɲ
12.35	end	'tče
12.352	pointed	'šihmis (f.)
12.353	edge	'tokaksiʔ
12.36	side	ɲok beta'keʔ
12.37	middle, center	dʸakaɲ'yaʔ
12.41	right (side)	'tak
12.42	left (side)	'kim
12.43	near (adv)	'tčei'ỹaʔ
12.44	far (adv)	'mutč
12.45	east	šup'kibe
12.46	west	si'tičeʔ
12.47	north	orok-beta'ke
12.48	south	hetis'beʔ
12.53	grow	pa'ɲi
12.54	measure	tupu'tui
12.541	span, fathom	
12.55	large, big	'dersi
12.56	small, little	mi'ki-tk; mi'ki-s
12.57	long	mot'ča-tk; mot'ča-s
12.58	tall	mot'če; mot'če-s
12.59	short	'taknis; mi'kias
12.61	wide, broad	ka'c̷is
12.62	narrow	sumkaɲ
12.63	thick (in dimension)	ma'bet ~ mba'bet
12.65	thin (in dimension)	oroi'koč; oroi'kos
12.67	deep	'mœč 'kaiɲ
12.68	shallow	fwas'čeʔ
12.71	flat	'kœc̷
12.73	straight	'tčoi
12.74	crooked	'wek
