entry_id	trans_english	Mansi_Phonemic
4.272	molartooth	ulsʸpuŋk; towtnepuŋk; paytpuŋk
4.28	neck	sɨpluw
4.281	nape of neck	sʸopr̃ʸi
4.29	throat	tur̃
4.3	shoulder	waŋn
4.301	shoulderblade	poŋkal; nʸaxsap
4.302	collarbone	waŋnluwnur̃
4.31	arm	kat
4.312	armpit	xanɨlpatta; putʸi
4.32	elbow	konɨlowɨl
4.321	wrist	katsor̃
4.33	hand	kat
4.331	palm of hand	katpatta
4.34	finger	tulʸowɨl
4.342	thumb	laɣl yanɨɣ tulʸowɨl
4.344	fingernail	laɣl konskʸer̃
4.345	claw	kons
4.35	leg	laɣɨlsor̃
4.351	thigh	pʸesʸ
4.352	calf of leg	xaŋr̃atan nʸowlʸit
4.36	knee	sanspuŋk
4.37	foot	laɣɨlpatta
4.371	ankle	- -
4.372	heel	yunɣa
4.374	footprint	laɣɨlpatta pos
4.38	toe	laɣl tulʸowɨl
4.392	wing	towl
4.393	feather	pun
4.4	chest	maɣil
4.41	breast (of woman)	sʸak
4.412	nipple, teat	sʸak
4.42	udder	mʸis sʸakw xur̃ɨɣ
4.43	navel	pup
4.44	heart	sɨm
4.441	lung	xopsɨ
4.45	liver	mayt
4.451	kidney	saŋkwaxwtas
4.452	spleen	- -
4.46	stomach	wosewxur̃ɨɣ
4.461	intestines, guts	kʸiwr̃ɨt
4.462	waist	por̃x
4.463	hip	pʸesʸ poxa
4.464	buttocks	puy
4.47	womb	- -
4.49	testicle	kʸisʸ
4.492	penis	kʸisʸ
4.51	breathe, breath	lɨltuŋkwʸe; lɨltne war̃malʸ
4.52	yawn, gape	usʸinʸtaŋkwʸe; usʸinʸtan
4.521	hiccough	- -
4.53	cough	kakwuŋkwʸe
4.54	sneeze	nʸaxtuŋkwʸe
4.55	perspire	mulʸmʸiɣtaŋkwʸe
4.56	spit	polx; salʸxuŋkwʸe
4.57	vomit	oxuŋkwʸe
4.58	bite	pur̃uŋkwʸe
4.59	lick	nʸolantaŋkwʸe
4.591	dribble	sʸur̃ɣuŋkwʸe
4.61	sleep	xuyuŋkwʸe
4.612	snore	tor̃wʸinʸtaŋkwʸe
4.62	dream	ulmayaŋkwʸe
4.63	wake up	saykataxtuŋkwʸe; nox-saykalaxtuŋkwʸe
4.64	break wind	ponɣuŋkwʸe
4.65	urinate	kʸisʸuŋkwʸe
4.66	defecate	posʸ
4.67	have sexual intercourse	utxatuŋkwʸe
4.68	shiver	tor̃ɣuŋkwʸe
4.69	bathe	lowtxatuŋkwʸe; puɣluŋkwʸe
4.71	beget (of father)	nʸawr̃am onʸsʸuŋkwʸe
4.72	born (to be)	samn patuŋkwʸe
4.73	pregnant	poitɨm ~ pukʸiŋ
4.732	conceive	poytɨmʸiɣ yemtuŋkwʸe; pukʸiŋiɣ yemtuŋkwʸe
4.74	live, living, life	oluŋkwʸe; lɨlɨŋ; olupsa
4.75	die, dead	xoluŋkwʸe; sor̃umn patuŋkwʸe; xolum; sor̃umn patum
4.751	drowned	wʸitn sʸaltɨm; wʸitn uytuptɨm
4.76	kill	alɨŋkwʸe; aliɣlaluŋkwʸe
4.77	corpse	xola
4.78	bury (the dead)	man yola-sʸopʸitaŋkwʸe
4.79	grave, tomb	kol
4.81	strong, mighty, powerful	yor̃
4.82	weak	waɣtal
4.83	well, health	pustaɣɨl olne; pustaɣɨl olne sʸir̃
4.84	sick, sickness	aɣmaŋ xotpa; aɣm
4.841	fever	aɣm r̃ʸeɣ
4.842	goiter	manʸ kolt oluŋkwʸe; uks
4.843	cold (catarrh)	polʸlaxtan aɣm
4.85	wound, sore	nʸulmʸi
4.852	bruise	semlɨɣ yunɨɣtaxtamma
4.853	swelling	puwlaspʸi
4.854	itch	losʸɣʸil-kalʸɣʸil
4.855	blister	wʸit xur̃ɨɣ nʸulmʸi
4.856	boil (noun)	say war̃um palɨɣnʸulmʸi
4.857	pus	say
4.858	scar	nʸulmʸi yor̃
4.86	cure, heal	pulmaltaŋkwʸe
4.87	physician	pusmaltan xotpa
4.88	medicine, drug	por̃tun
4.89	poison	xolne ter̃pʸi
4.91	tired, weary	waɣtal patɨm
4.912	rest	usʸlax, usʸlaxtaŋkwʸe
4.92	lazy	sawɨŋ
4.93	bald	nʸar̃puŋkpattap
4.94	lame	noxne
4.95	deaf	palʸtal
4.96	mute	nʸelmtal
4.97	blind	sampʸilʸtal
4.98	intoxicated	ayum; kusʸ
4.99	naked, bare	nʸar̃lomt
5.11	eat	teŋkwʸe
5.12	food	tenut; tep
5.121	cooked	paytɨm; astum
5.122	raw	nʸar̃
5.123	ripe	ponsum; poxʸiyim
5.124	green, unripe	nʸar̃
5.125	rotten	saym
5.13	drink	ayuŋkwʸe
5.14	hunger	tetal
5.141	famine	tetal
5.15	thirst	tur̃ xoxtan; nʸelum tosne
5.16	suck	sɨpɣuŋkwʸe; nʸar̃tuŋkwʸe
5.18	chew	towtuŋkwʸe
5.181	swallow	kʸiwɨr̃n pattaŋkwʸe
5.19	choke	lɨlɨte yar̃tuŋkwʸe
5.21	cook	put war̃uŋkwʸe
5.22	boil (vb)	paytuŋkwʸe
5.23	roast, fry	sar̃ʸitaŋkwʸe
5.24	bake	nʸanʸ war̃uŋkwʸe
5.25	oven	kur̃
5.26	pot, cooking vessel	kʸiwɨr̃; put
5.27	kettle	axwtas put
5.28	pan	pant axwtas anɨ
5.31	dish	anɨ
5.32	plate	anɨ
5.33	bowl	anɨ
5.34	pitcher, jug	sulɨput; kur̃ɨska
5.35	cup, drinking vessel	anɨ
5.36	saucer	konɨ sʸay anɨ
5.37	spoon	nʸalɨ
5.38	knife	kasay
5.39	fork	wulka
5.391	tongs	ker̃kat
5.41	meal (a)	tenut
5.42	breakfast	sʸay; alpɨl tenut
5.43	lunch	xotal kotʸilʸ tenut
5.44	dinner	xotal tenut
5.45	supper	etʸi palaɣ tenut
5.46	peel	nʸilʸuŋkwʸe; nuyuŋkwʸe
5.47	sieve, strain	sɨstamtaŋkwʸe
5.48	scrape	osxuŋkwʸe
5.49	stir, mix	r̃awtuŋkwʸe
5.51	bread	nʸanʸ
5.53	dough	nʸanʸ šum
5.54	knead	nʸanʸ r̃awtuŋkwʸe
5.55	meal, flour	kolas; kur̃pa
5.56	crush, grind	r̃aw sakwatuŋkwʸe
5.57	mill	- -
5.58	mortar	axwtas kiwɨr̃
5.59	pestle	axwtas nal
5.61	meat	nʸowlʸ
5.63	sausage	- -
5.64	soup, broth	kolas; ismʸit
5.65	vegetables	sur̃nʸi
5.66	bean	- -
5.7	potato	kar̃topka
5.71	fruit	- -
5.712	bunch	kar̃ek; lak; pʸɨlmor̃ʸi
5.75	fig	- -
5.76	grape	- -
5.77	nut	pakwsam
5.78	olive	- -
5.79	oil	sʸalɨɣ woy
5.791	grease, fat	woy
5.81	salt	solwal
5.82	pepper	kur̃mʸek
5.821	chili pepper	kur̃mʸek
5.84	honey	maɣ
5.85	sugar	sakkar̃
5.86	milk (noun)	sʸakwit
5.87	milk (vb)	posuŋkwʸe
5.88	cheese	war̃ok
5.89	butter	miswoy
5.9	beverage, drink	aynut
5.91	mead	maɣɨŋ aynut
5.92	wine	wuna
5.93	beer	pʸiwa
5.94	fermented drink	pʸiwa
5.97	egg	muŋʸi
5.971	egg yolk	- -
6.11	put on (clothes)	masxataŋkwʸe
6.12	clothing, clothes	masnut
6.13	tailor	masnut yuntne xotpa
6.21	cloth	tor̃; nuy
6.22	wool	tor̃
6.23	linen, flax	tor̃
6.24	cotton	tor̃
6.25	silk	yar̃mak
6.27	felt	katanka
6.28	fur	uy punaŋ sow
6.29	leather	sow
6.31	spin	yeŋtuŋkwʸe; setap saɣuŋkwʸe
6.32	spindle	eŋta
6.33	weave	tor̃ war̃uŋkwʸe
6.34	loom	- -
6.35	sew	yuntuŋkwʸe
6.36	needle	yuntup
6.37	awl	katpasɨɣlap
6.38	thread	setap; tan
6.39	dye	kellaŋkwʸe
6.41	cloak	r̃akw masnut
6.411	poncho	- -
6.42	woman's dress	ne sup
6.43	coat	watʸi saxʸi; xoptan
6.44	shirt	xum sup
6.45	collar	sɨpluw tor̃ ~ tulɨx ~ r̃ak
6.46	skirt	yoli sup oxsa
6.461	grass-skirt	- -
6.48	trousers	kasʸ
6.49	stocking, sock	way
6.51	shoe	sopʸek; pošmʸek
6.52	boot	sopʸek
6.54	shoemaker, cobbler	sopʸek man pošmʸek yuntne xum
6.55	hat, cap	kʸent
6.57	belt, girdle	entap
6.58	glove	tulʸowlaŋ passa
6.59	veil	- -
6.61	pocket	sʸep
6.62	button	kʸeŋan ~ poxlap
6.63	pin	r̃usʸ yuntup
6.71	ornament, adornment	xor̃am
6.72	jewel	tɨnaŋ axwtas
6.73	ring (for finger)	- -
6.74	bracelet	katsor̃ xor̃am
6.75	necklace	tur̃lops
6.76	bead	sakw
6.77	earring	palʸ sʸimsʸak
6.78	headband, headdress	- -
6.79	tattoo	- -
6.81	handkerchief, rag	polx posne sow; sowlomt; r̃akasʸi
6.82	towel	wʸilt seɣnut
6.91	comb	konsup
6.92	brush	- -
6.921	braid	saɣuŋkwʸe; saɣuɣlaluŋkwʸe
6.93	razor	- -
6.94	ointment	ter̃pʸi
6.95	soap	moytak
6.96	mirror	wilʸt susne kʸer̃
7.11	dwell, live	oluŋkwʸe
7.12	house	kol
7.13	hut	kol
7.131	garden-house	kol
7.14	tent	par̃sʸent kol
7.15	yard, court	kar̃ta kʸiwɨr̃
7.16	men's house	- -
7.17	cookhouse	- -
7.18	meeting house	yalpɨŋ kol
7.21	room	kolnak
7.22	door, gate	awʸi; okr̃at awʸi
7.221	doorpost, jamb	awʸi xusap
7.23	lock (noun)	tuman
7.231	latch, door-bolt	awʸi kat
7.24	key	tuman nʸelm
7.25	window	išnʸi
7.26	floor	kolkan
7.27	wall	kol yer̃
7.31	fireplace	kur̃
7.32	stove	kur̃
7.33	chimney	tur̃pa
7.37	ladder	xaŋxɨltap
7.42	bed	xuyne kan
7.421	pillow	ossum
7.422	blanket	lepta
7.43	chair	ulas
7.44	table	pasan
7.45	lamp, torch	lampa
7.46	candle	iswʸesʸa
7.47	shelf	nor̃ma
7.48	trough	xur̃a
7.51	roof	kolala
7.52	thatch	pum kolala
7.53	ridgepole	- -
7.54	rafter	- -
7.55	beam	nor̃; kolnor̃
7.56	post, pole	aŋkwal; sɨr̃
7.57	board	par̃t
7.58	arch	- -
7.61	mason	axwtas kol unttan xotpa
7.62	brick	kʸir̃pasʸ
7.63	mortar	- -
7.64	adobe	- -
8.11	farmer	ma palt r̃upitane xotpa
8.12	field (for cultivation)	tepkan
8.13	garden	okr̃ot; tepkan
8.15	cultivate, till	ma sakwatuŋkwʸe
8.16	fence	okr̃ot war̃uŋkwʸe
8.17	ditch	xulɨ
8.21	plow	ma sakwatuŋkwʸe; ma sakwatane por̃mas
8.212	furrow	xulɨ
8.22	dig	xʸiluŋkwʸe
8.23	spade	mant, mantsar̃
8.24	shovel	mant
8.25	hoe	- -
8.26	fork	wula
8.27	rake	pum kosne yiw
8.31	sow	kolas sam man unttuŋkwʸe
8.311	seed	sam
8.32	mow, reap	saɣr̃uŋkwʸe
8.33	sickle, scythe	pum saɣr̃ane ker̃
8.34	thresh	kolas r̃aw tawr̃ʸiyaŋkwʸe
8.35	threshing-floor	kum
8.41	crop, harvest	kolas pum saɣr̃ane por̃a
8.42	grain (barley, oats etc)	kolas
8.43	wheat	woykan kolas
8.44	barley	- -
