entry_id	trans_english	Armenian,_Eastern_Phonemic
5.31	dish	skˀutˀeɣ, apʰse
5.32	plate	pˀ[ə]nakˀ, apʰse
5.33	bowl	(xor) aman, tʰas
5.34	pitcher, jug	kˀuž, sapʰor
5.35	cup, drinking vessel	gavatʰ, bažakˀ
5.36	saucer	bažakˀakˀal, skˀahakˀal
5.37	spoon	g[ə]dal
5.38	knife	danakˀ
5.39	fork	pˀatˀar̃akʰaɣ
5.391	tongs	akʰc̷ʰan
5.41	meal (a)	čˀaš, kˀerakˀur
5.42	breakfast	naxaǰaš
5.43	lunch	kˀesorva čˀaš
5.44	dinner	c̷ˀaš
5.45	supper	əntʰrikʰ
5.46	peel	kˀeɣevel, kˀ[ə]čˀpˀel
5.47	sieve, strain	maɣel, kʰamel
5.48	scrape	kʰerel, manrel
5.49	stir, mix	xar̃nel
5.51	bread	hac̷ʰ
5.53	dough	x[ə]mor
5.54	knead	hunc̷ʰel, šaɣaxel
5.55	meal, flour	alyur
5.56	crush, grind	pʰ[ə]šrel, aɣal
5.57	mill	ǰ[ə]raɣac̷ʰ, aɣac̷ʰ
5.58	mortar	sand
5.59	pestle	sandatʰakˀ
5.61	meat	mis
5.63	sausage	yeršikˀ
5.64	soup, broth	apˀur, arganakˀ
5.65	vegetables	banǰareɣen
5.66	bean	lobi
5.7	potato	getˀnax[ə]nd͜zor, kˀartˀofil
5.71	fruit	pˀ[ə]tˀuɣ, mirg
5.712	bunch	pʰunǰ, xurc̷ʰ
5.75	fig	tʰuz
5.76	grape	xaɣoɣ
5.77	nut	ənkˀuyz
5.78	olive	d͜zitʰapˀ[ə]tˀuɣ
5.79	oil	yuɣ, d͜zetʰ
5.791	grease, fat	čˀarpˀ, čˀ[ə]ragu
5.81	salt	aɣ
5.82	pepper	pˀ[ə]ɣpˀeɣ
5.821	chili pepper	tˀarapˀ[ə]ɣpˀeɣ, tˀakʰdeɣ
5.84	honey	meɣ[ə]r
5.85	sugar	šakʰar
5.86	milk (noun)	kˀatʰ
5.87	milk (vb)	kˀ[ə]tʰel
5.88	cheese	pˀanir
5.89	butter	kˀarag
5.9	beverage, drink	x[ə]mičʰkʰ, x[ə]melikʰ, əmpˀelikʰ
5.91	mead	meɣraǰur
5.92	wine	gini
5.93	beer	gareǰur
5.94	fermented drink	--
