entry_id	trans_english	Armenian,_Eastern_Phonemic
22.22	preach	kʰarozel
22.23	bless	orhnel
22.24	curse	anic̷ˀel
22.26	fast (vb)	pˀas pˀahel, c̷ˀom pˀahel
22.31	heaven	yerkˀinkʰ, d[ə]raxtˀ
22.32	hell	d[ə]žoxkʰ
22.35	demon (evil spirit)	dev, satˀana
22.37	idol	kˀur̃kʰ
22.42	magic, witchcraft, sorcery	kˀaxardutʰyun, h[ə]mayutʰun, mogutʰyun
22.43	sorcerer, witch	kˀaxard, v[ə]hukˀ
22.44	fairy, elf	pʰeri, huri, pˀarikˀ
22.45	ghost, phantom	vogi, tˀesilkʰ, urvakˀan, uru
22.47	omen, portent	kˀanxan[ə]šan, naxan[ə]šanakˀ
