entry_id	trans_english	Shan_Dialect_Northern_Shan_Phonemic
4.79	grave, tomb	ma:k.2 lam.1
4.81	strong, mighty, powerful	pa:ŋ.4
4.82	weak	li:.3
4.83	well, health	pum.3
4.84	sick, sickness	tɔ:ŋ.5
4.841	fever	saj.4
4.842	goiter	ʔɛ:ŋ.4
4.843	cold (catarrh)	kum.2
4.85	wound, sore	kum.2 kon.4
4.852	bruise	hu:.1 kon.4
4.853	swelling	ho:ŋ.1 lu:k.4
4.854	itch	khaj.2 ham.3; ham.3
4.855	blister	kwaj.1; ka:n.4 jew.4
4.856	boil (noun)	hi:.3
4.857	pus	thoj.4 caɨ.3
4.858	scar	ha:w.3
4.86	cure, heal	khi:.2-ʔək.1
4.87	physician	ʔaj.3
4.88	medicine, drug	khi:.2-ca:m.1
4.89	poison	hə:.2 ʔɔ:k.2
4.91	tired, weary	nam.5 la:j.1
4.912	rest	thom.2 nam.5 la:j.1
4.92	lazy	ha:k.4; to:n.5; wɛ:k.2; ʔɔ:.5
4.93	bald	khop.1
4.94	lame	mɛ:p.4 lin.5
4.95	deaf	le:.1
4.96	mute	jɔj.5; nam.5 ka:.5 jɔj.5
4.97	blind	nɔ:n.1
4.98	intoxicated	nɔ:n.1 khon.3
4.99	naked, bare	nɔ:n.1 phan.3
5.11	eat	luk.5
5.12	food	tɨ:n.2
5.121	cooked	tɔ:ŋ.5 kam.4; tɔ:ŋ.5 pɔ:ŋ.1; tɔ:ŋ.5 puk.4
5.122	raw	jew.4; pha:j.4 ʔɔ:n.2; pha:j.4 nɔ:j.5
5.123	ripe	pha:j.4 lo:ŋ.3
5.124	green, unripe	sam.3 kan.3; hɔ:m.1 kan.3
5.125	rotten	san.2
5.13	drink	ʔa:p.2 nam.5
5.14	hunger	het.1 haɨ.4 kə:t.2 lu:k.4
5.141	famine	kə:t.2; han.3 na:.4
5.15	thirst	kə:t.2 ʔɔ:k.2; kə:t.2 pan.3
5.16	suck	to:.3 lo:ŋ.3; pa:.1 tɔ:ŋ.5; cap.1 tɔ:ŋ.5; ma:n.1
5.18	chew	cap.1 san.2-the:.2; cap.1 to:.3
5.181	swallow	pen.3 to:.3; ʔam.2 ta:j.3; mi:.1 caɨ.3 ju:.2
5.19	choke	ta:j.3; khɔ:j.4; se:ŋ.4 ka:m.2
5.21	cook	com.3 nam.5
5.22	boil (vb)	ʔaw.3 ta:j.3; kha:.4 pɛ:t.4; kɔ:j.3 pɛ:t.4; mɔ:.3 pɛ:t.4; sim.1 pɛ:t.4
5.23	roast, fry	to:.3 ta:j.3
5.24	bake	phaŋ.3
5.25	oven	pa:.2 hew.4; pa:.2 ca:.5; khum.3
5.26	pot, cooking vessel	hɛ:ŋ.1 jaɨ.2; kɛ:n.2 khɛ:ŋ.3; hɛ:ŋ.1 lo:ŋ.3
5.27	kettle	hɛ:ŋ.1 ʔo:n.4
5.28	pan	lɔŋ.4 ju:.2 li:.3; ju:.2 li:.3
5.31	dish	na:w.3; khaj.4; pen.3 khaj.4 pen.3 na:w.4
5.32	plate	lom.1 na:w.3
5.33	bowl	khɔ:.1 pum.1
5.34	pitcher, jug	pen.3 wat.1
5.35	cup, drinking vessel	tɔ:ŋ.5 kwa:.2; tɔ:ŋ.5 hɛ:.4; khi:.4 hɛ:.4
5.36	saucer	cep.1; tum.2 cep.1
5.37	spoon	lɔ:k.4; cam.5; ma:n.5
5.38	knife	kaɨ.4; pɔ:ŋ.1; tɨŋ.2; pom.3
5.39	fork	kaɨ.4 ma:.1; pɔ:ŋ.1 ma:.1; tɨŋ.2 ma:.1; pom.3 ma:.1; kho:m.1
5.391	tongs	tum.2 cep.1; tum.2 nɔ:ŋ.3
5.41	meal (a)	tum.2 cep.1; siw.3
5.42	breakfast	nɔ:ŋ.3
5.43	lunch	hɔ:j.1 cep.1; ʔa:t.2 cep.1
5.44	dinner	jot.1 ja:.3; hɔ:m.2 kwa:.2
5.45	supper	mɔ:.3 ja:.3
5.46	peel	ʔi:.4 ja:.3; ja:.4 ja:.3
5.47	sieve, strain	kɔ:ŋ.5; mə:.2
5.48	scrape	ńa:.1 kɔ:ŋ.5; ʔɔ:j.2 kɔ:ŋ.5
5.49	stir, mix	hə:.5; mɔ:j.4
5.51	bread	lɨ:.4
5.53	dough	kha:n.5
5.54	knead	la:n.4
5.55	meal, flour	kha:.3 ha:n.4; kha:.3 khɛ:.5
5.56	crush, grind	hu:.3 no:k.2
5.57	mill	ʔa:.5
5.58	mortar	ta:.3 mɔ:t.2; ta:.3 wɔ:t.2
5.59	pestle	maw.1; maw.1 law.4
5.61	meat	pɔ:j.2 po:j.3
5.63	sausage	kin.3
5.64	soup, broth	ta:ŋ.1 kin.3
5.65	vegetables	huŋ.3 jaw.5; suk.1 jaw.5
5.66	bean	lip.1
5.7	potato	suk.1
5.71	fruit	khew.3; ʔam.2 suk.1
5.712	bunch	lu:.5; la:n.4; naw.4 jaw.5
5.75	fig	sot.5; ʔɔk.5; ʔək.5
5.76	grape	tɔ:ŋ.5 maj.4
5.77	nut	ʔɨp.1
5.78	olive	khɔ:.1 hɛ:ŋ.4; tɔ:ŋ.5 maj.4 nam.5
5.79	oil	cup.2
5.791	grease, fat	kew.5; jɛm.5
5.81	salt	ʔɨn.3
5.82	pepper	kɛ:n.5
5.821	chili pepper	huŋ.3; mɨ:.5
5.84	honey	to:m.4
5.85	sugar	pi:ŋ.4; kho:.4
5.86	milk (noun)	phaw.3; ci:.2
5.87	milk (vb)	ti:.4 kho:.4; ti:.4 phaw.3
5.88	cheese	mɔ:.4
5.89	butter	ŋɔ:j.1
5.9	beverage, drink	mɔ:.4 kha:ŋ.3; mɔ:.4 kho:.4; pha:ŋ.3 kho:.4
5.91	mead	wa:n.2 phak.1; wa:n.2 sɔ:ŋ.1
5.92	wine	wa:n.2 phɛ:.3
5.93	beer	wa:n.2 sɔ:ŋ.1
5.94	fermented drink	kɔŋ.2 nam.5
5.97	egg	kɔk.1 nam.5
5.971	egg yolk	wa:n.2 kha:m.2; wa:n.2 lɔ:ŋ.3
6.11	put on (clothes)	cɔ.5
6.12	clothing, clothes	mit.4
6.13	tailor	cɔ.5 ŋɛ:m.4
6.21	cloth	kim.1
6.22	wool	khaw.4 phak.1; ta:ŋ.1 kin.3
6.23	linen, flax	khaw.4 nam.3
6.24	cotton	khaw.4 wan.1
6.25	silk	khaw.4 kham.4
6.27	felt	khaw.4 lɨk.1
6.28	fur	pɔ:k.2 pə:k.2; kɔk.1 pə:k.2
6.29	leather	khɨŋ.3
6.31	spin	khu:t.2; khi:t.2; kɔk.1
6.32	spindle	kaw.3 lɔ:.1; khon.1; taw.3
6.33	weave	khaw.4 mun.1
6.34	loom	khaw.4 mun.1 nɔk.1
6.35	sew	no:t.4; pan.4
6.36	needle	phɔ:ŋ.3; phɔ:ŋ.3 khaw.4 mun.1; khaw.4 phak.1
6.37	awl	tam.3
6.38	thread	khɨt.4; ʔit.2
6.39	dye	la:ŋ.3
6.41	cloak	luj.3
6.411	poncho	khok.5
6.42	woman's dress	sa:k.2
6.43	coat	nə:.5
6.44	shirt	nə:.5 je:t.4 saj.4
6.45	collar	khaw.4 huŋ.3 lɛ:w.3; nam.5 phak.1
6.46	skirt	phak.1 khew.3; phak.1 jə:.4 na:ŋ.1 khew.3
6.461	grass-skirt	tho:.2
6.48	trousers	min.5
6.49	stocking, sock	phak.1 mi:.2 hɔ:.3; phak.1 mi:.2 phə:k.2
6.51	shoe	phak.1 mi:.2 mo:.2; phak.1 mi:.2 lɛ:ŋ.3
6.52	boot	ma:k.2 phit.5 phɔ:ŋ.3
6.54	shoemaker, cobbler	ŋa:.1
6.55	hat, cap	khiŋ.1
6.57	belt, girdle	tɛ:ŋ.3 ciŋ.3
6.58	glove	ma:k.2 khə:.3
6.59	veil	ʔa:.2-lu:.1
6.61	pocket	ma:k.2
6.62	button	puk.5; tum.1
6.63	pin	ma:k.2 lə:.2
6.71	ornament, adornment	ma:k.2 ʔit.2
6.72	jewel	ma:k.2 pə:k.2 kɛn.2
6.73	ring (for finger)	ma:k.2 man.1 jam.1
6.74	bracelet	nam.5 man.1
6.75	necklace	khaj.3; man.1 khaj.3
6.76	bead	pi:.1
6.77	earring	jɔ:m.3
6.78	headband, headdress	kə:.3
6.79	tattoo	ma:k.2 phit.5 pɔ:m.4
6.81	handkerchief, rag	ma:k.2 phit.5 pɔ:ŋ.3
6.82	towel	nam.5 phɨŋ.4
6.91	comb	kə:.3 wa:n.3
6.92	brush	nam.5 nom.1
6.921	braid	mip.2 nam.5 nom.1
6.93	razor	nam.5 nom.1 kɔ:n.4
6.94	ointment	thɔ:.1 pa:t.4; man.1 nam.5 nom.1 wo:.1
6.95	soap	nam.5 law.4
6.96	mirror	law.4 nam.5 phɨŋ.4
7.11	dwell, live	law.4 ma:k.2 ʔit.2
7.12	house	law.4 pa:j.3; law.4 ʔon.4; pi:.2-ja:.2
7.13	hut	kam.5 cɔ:.2; law.4 pɛ:ŋ.4
7.131	garden-house	khaj.2
7.14	tent	mɔ:n.1 khaj.2
7.15	yard, court	nuŋ.4; nuŋ.4 kho:.1
7.16	men's house	sə:.4 kho:.1; kho:.1 le:ŋ.1
7.17	cookhouse	kon.1 jep.5 kho:.1
7.18	meeting house	phɛ:n.2
7.21	room	khon.3 so:.1
7.22	door, gate	pha:.4 phɛ:n.2 man.4
7.221	doorpost, jamb	kuj.3
7.23	lock (noun)	la:j.4
7.231	latch, door-bolt	kho:n.3 juŋ.4; kho:n.3 jum.3
7.24	key	kho:n.3 no:n.1
7.25	window	naŋ.3
7.26	floor	pan.2 maj.3 kuj.3
7.27	wall	lɔ:t.2 maj.3; we:n.1
