entry_id	trans_english	Sanchong_Kelao_Phonemic
2.74	stepdaughter	pa.42 łjaŋ.42 ńəu.42
2.75	orphan	pu.55 lei.31
2.76	widow	ʔa.35 lei.31
2.77	widower	ma.42 lei.31
2.81	relatives, kinsmen	lei.35 lei.31 tja.42
2.82	family	lei.31 ʔuŋ.35
2.91	I	ʔa.42 ʒaŋ.31
2.92	you (singular)	pu.35 ʒaŋ.31
2.93	he/she/it	ma.42 ʒaŋ.31
2.94	we	ʔa.42 ʒaŋ.31
2.941	we (inclusive)	pu.35 mpe.35
2.942	we (exclusive)	ma.42 mpe.42
2.95	you (plural)	ʔa.35 me.35 /mpe.42
2.96	they	ʔa.42 y.42
3.11	animal	pu.35 y.42
3.12	male (adj)	li.35 u.42 tja.42
3.13	female (adj)	ńəu.42
3.15	livestock	pu.35 ńəu.42
3.16	pasture	ma.42 ńəu.42
3.18	herdsman	pu.35 ńəu.42 tja.42; lei.35 ńće.31 ńəu.42
3.19	stable, stall	lo.31 cI.42
3.2	cattle (bovine)	pu.55 qhe.42
3.21	bull	ma.42 qhe.42
3.22	ox	qhe.42
3.23	cow	ʔa.42 ŋu.42
3.24	calf	ma.35 ʔja.13
3.25	sheep	ʔa.42 to.35
3.26	ram	ma.42 lo.13
3.28	ewe	ma.42 lja.42
3.29	lamb	lei.35 təu.35 wa.31
3.32	boar	ma.42 ʔʒi.13
3.34	sow	ʔa.42 pan.31 ćəu.33
3.35	pig	ko.31 ći.42
3.36	goat	ma.42 hu.42 hu.42
3.37	he-goat	ʒan.13 cI.42
3.38	kid	sau.13
3.41	horse (equine)	ʔuŋ.42 (ʔa.42 ʔuŋ.42 / ŋ.42)
3.42	stallion	thu.13 ə.35
3.44	mare	cuan.35 san.33 ća.31
3.45	foal, colt	pu.35 zai.31
3.46	ass, donkey	pu.35 zai.31 łjuŋ.42
3.47	mule	lei.35 chuai.42
3.5	fowl	ma.42 qhe.35
3.52	cock, rooster	ma.42 łja.35
3.54	hen	ma.42 ʔa.42 ljau.31
3.55	chicken	ma.42 ʔa.42 ljau.31 ŋkuŋ.42
3.56	goose	ma.42 ʔa.42 ljəu.31 ʒəu.31
3.57	duck	phaŋ.31 hai.42
3.58	nest	ʔa.42 śa.35 cI.42
3.581	bird	ʔa.42 huaŋ.31 san.13
3.582	seagull	ʔa.42 ʔuŋ.42 ʔo.13
3.583	heron	ma.42 ʔa.42 łja.35 ntjuŋ.31
3.584	eagle	ʔa.42 lei.31 ʒi.42
3.585	hawk	ma.42 tja.35 / pu.55 tja.35
3.586	vulture	ma.42 qa.42
3.591	bat	ma.42 ʔa.42 tji.31; ma.42 ʔa.42 śai.42
3.592	parrot	laŋ.31 śaŋ.35 ma.42 tji.31
3.593	crow	ma.42 mpa.13
3.594	dove	ʔa.42 lui.31 kuŋ.35 chuŋ.31
3.596	owl	ma.42 mje.13 ʔle.35
3.61	dog	ma.42 za.31
3.614	rabbit	ʔa.42 to.35 za.31
3.62	cat	ma.42 ɣai.31
3.622	opossum	ʔa.42 huaŋ.31 la.31
3.63	mouse, rat	ʔa.42 to.35 Hun.42
3.65	fish	ma.42 mje.13 ʔle.35 ʔau.13
3.652	fin (dorsal)	ma.42 ʔa.42 ɣuaŋ.31
3.653	fishscale	ma.42 je.13 wen.31
3.654	gill	ma.42 ʔa.42 ŋka.42
3.655	shell	ma.42 mau.31 chuŋ.35
3.661	shark	haŋ.13 (xaŋ.13)
3.662	porpoise, dolphin	ma.42 ńəu.31 laŋ.35 laŋ.31
3.663	whale	ʔa.42 ćau.13 ćy.35 cI.42
3.664	stingray	ma.42 təu.35 tji.13
3.665	freshwater eel	ma.42 ʔa.42 ŋkəu.31
3.71	wolf	ma.42 ʔa.42 ŋkəu.31 łjuŋ.35
3.72	lion	lei.35 təu.35 zau.13
3.73	bear	lei.35 ɣuaŋ.31 tja.42
3.74	fox	la.42 huai.42
3.75	deer	ma.42 ʔa.42 cha.42
3.76	monkey	so.42 ʔo.35
3.77	elephant	pa.42 ho.13
3.78	camel	ʔo.35
3.81	insect	ʔa.42 saŋ.42
3.811	louse	ʔa.42 jun.13 ćhin.13
3.812	nit (louse egg)	ʔa.42 jun.13 ʔlo.42
3.813	flea	pa.42 ho.13 ha.13
3.814	centipede	ʔuŋ.35 ljaŋ.13
3.815	scorpion	mpai.13
3.816	cockroach	ma.42 waŋ.42
3.817	ant	ʔa.42 la.13
3.818	spider	ma.42 ɣa.42 / ʔa.42 la.13 ʔuŋ.35
3.819	spider web	pa.42 so.42
3.82	bee	ʔa.42 ćhe.13
3.821	beeswax	ʔa.42 khuŋ.35
3.822	beehive	ʔa.42 la.13 lja.31 khuŋ.31
3.823	wasp	mpa.42 ha.13
3.83	fly	pa.42 ntaŋ.31
3.831	sandfly (midge), gnat	pa.42 ko.42 ha.13
3.832	mosquito	pa.42 ʔau.13 sai.13
3.84	worm	pa.35 ljəu.35
3.85	snake	pa.42 taŋ.31
3.91	firefly	pa.42 ʔa.42 ljəu.13
3.92	butterfly	pa.42 ljəu.13 la.13
3.93	grasshopper	pa.42 ʔa.42 qhe.35
3.94	snail	śəu.42
3.95	frog	ʔa.42 jun.13 ćəu.42
3.96	lizard	pa.42 ho.13 śəu.42
3.97	crocodile, alligator	ʔa.42 jun.13 śəu.42
3.98	turtle	ʔla.13 pa.42 śəu.42; pa.42 śəu.42 ʔla.13
4.11	body	pa.42 ʔa.42 ʒəu.31
4.12	skin, hide	pa.42 ʔa.42 ʒəu.31
4.13	flesh	qha.35 ʔa.35 ʒəu.31
4.14	hair (head)	pa.42 ʔa.42 ŋua.13
4.142	beard	qha.35 ŋua.13
4.144	body hair	pa.42 mpai.13
4.145	pubic hair	ma.42 lo.13 mpai.13 hau.42
4.146	dandruff	ma.42 lo.13 pa.42 mpai.13
4.15	blood	ma.42 ʔa.42 mji.31
4.151	vein, artery	ma.42 ʔa.42 huaŋ.42
4.16	bone	ma.42 huaŋ.42 ʔa.42 cuo.13 ja.31
4.162	rib	ʔa.35 ʔa.42 ʒau.31
4.17	horn	huaŋ.42 qha.13
4.18	tail	ma.42 ʔa.42 huŋ.42
4.19	back	ʔa.42 ʔa.42 ŋkuŋ.42
4.191	spine	ʔa.35 ʔa.42 mpaŋ.13 ʒau.31
4.2	head	ʔa.42 ʒau.31 vu.13
4.201	side of head, temple	jin.42 śa.35
4.202	skull	qhəu.35 ćhe.42
4.203	brain	ʔa.42 ʒau.31. ŋkau.42
4.204	face	mpo.42 mpo.42
4.205	forehead	khuŋ.35 śin.35 vu.31
4.207	jaw	ma.42 vu.31
4.208	cheek	ma.42 vu.31 łjuŋ.42
4.209	chin	ma.42 ʔle.13
4.21	eye	pa.42 qhe.13
4.212	eyebrow	pa.42 həu.42
4.213	eyelid	pa.42 həu.42
4.214	eyelash	pa.42 qhe.13
4.215	blink	ʔa.42 ntaŋ.31 khuŋ.35
4.22	ear	pa.42 qhe.13
4.221	earlobe	pa.42 qhe.13 lin.31
4.222	earwax	chI.35 qhe.13
4.23	nose	ma.42 qhe.13
4.231	nostril	pa.42 həu.35
4.232	mucus (nasal)	ʔa.42 jun.13 həu.35
4.24	mouth	pa.42 łjo.35
4.241	beak	pa.42 cI.35
4.25	lip	lei.35 lau.31
4.26	tongue	pa.42 łjo.35
4.27	tooth	pa.42 hau.35
4.271	gums	pa.42 łjo.35
4.272	molartooth	ʔa.42 jau.42 cI.42
4.28	neck	lei.35 pje.31
4.281	nape of neck	pa.42 łjuŋ.42
4.29	throat	ʔa.42 se.35
4.3	shoulder	pa.42 łje.35
4.301	shoulderblade	ʔa.42 pu.31 ćy.35
4.302	collarbone	ʔa.42 pu.31 ćy.35
4.31	arm	ʔa.42 ćy.35
4.312	armpit	laŋ.31 śaŋ.42
4.32	elbow	ʔa.42 ku.31 ku.35
4.321	wrist	pa.42 śy.35
4.33	hand	zaŋ.13 hi.35
4.331	palm of hand	hei.13
4.34	finger	chai.13
4.342	thumb	ntjau.13 ljaŋ.13
4.344	fingernail	qha.35 həu.42
4.345	claw	thje.13 qha.35 həu.42
4.35	leg	śi.13
4.351	thigh	śa.13
4.352	calf of leg	lja.31 ma.42 mi.31
4.36	knee	ʔla.13
4.37	foot	qha.35 həu.42 ʒe.13 /ʒe.13 qha.35 həu.42
4.371	ankle	ŋe.13 hau.13
4.372	heel	le.31 huaŋ.42
4.374	footprint	ŋe.13 ʔie.42
4.38	toe	ɣa.31 tje.13
4.392	wing	ɣa.31 tje.13
4.393	feather	ɣa.31 kha.35
4.4	chest	tha.42 śe.35
4.41	breast (of woman)	zo.13
4.412	nipple, teat	vau.13 so.42 ʔo.35
4.42	udder	tjo.35 to.35 łje.35
4.43	navel	ntjan.13 si.13
4.44	heart	tjo.35 lji.13
4.441	lung	ŋkuai.31 naŋ.42 ʔɛ.42 ʔaŋ.42 pe.42 ɣuŋ.42
4.45	liver	mpai.42
4.451	kidney	ŋun.31
4.452	spleen	tjo.13 ʔuŋ.35 ŋkun.31
4.46	stomach	ʒin.31
4.461	intestines, guts	cəu.42 səu.42 so.42 ʔo.35
4.462	waist	tjaŋ.35
4.463	hip	pa.42 ʔa.42 tjuŋ.35
4.464	buttocks	thai.13 Huŋ.13
4.47	womb	ma.31 ʔaŋ.35 ʔa.35 lau.13
4.49	testicle	sI.55 səu.42 ʔɛ.42 ʔie.42
4.492	penis	tjo.35 ɣie.42
4.51	breathe, breath	pei.35
4.52	yawn, gape	kho.35 ntjo.42
4.521	hiccough	pa.42 ʔa.42 łyuŋ.42 suai.42
4.53	cough	saŋ.42
4.54	sneeze	qhuŋ.35
4.55	perspire	qhuŋ.35
4.56	spit	qhuŋ.35; lo.13
4.57	vomit	po.35
4.58	bite	ʒi.42 ʔie.42
4.59	lick	pu.35 ʒi.33 sən.33
4.591	dribble	khən.42
4.61	sleep	tu.31 khən.42
4.612	snore	ɣa.31 ʔa.31 khən.42
4.62	dream	ti.55
4.63	wake up	ja.31 ʔa.31 sa.42
4.64	break wind	njau.42
4.65	urinate	lja.13
4.66	defecate	lja.13
4.67	have sexual intercourse	ńi.42
4.68	shiver	ja.42 pa.35
4.69	bathe	tjau.35
4.71	beget (of father)	łjaŋ.42
4.72	born (to be)	tja.35 ʔljo.35 ʔljo.35
4.73	pregnant	khi.35
4.732	conceive	ŋhe.13
4.74	live, living, life	le.13
4.75	die, dead	ŋhe.13
4.751	drowned	sai.42
4.76	kill	ɣuŋ.13
4.77	corpse	ɣuŋ.42
4.78	bury (the dead)	ŋkuai.31
4.79	grave, tomb	həu.13
4.81	strong, mighty, powerful	ɣuŋ.42
4.82	weak	ńa.13
4.83	well, health	ly.31
4.84	sick, sickness	k n.42
4.841	fever	tjaŋ.13
4.842	goiter	ʔaŋ.35 tjaŋ.13
4.843	cold (catarrh)	ha.42
4.85	wound, sore	hau.35
4.852	bruise	ʔa.42 ʔly.35 ljau.13
4.853	swelling	ʔa.42 hei.35 hei.35
4.854	itch	ʔa.42 khai.35 fu.31
4.855	blister	ʔa.42 hei.35 ha.42; ʔuŋ.35 ljuŋ.31
4.856	boil (noun)	ʔa.42 phan.31 cI.42
4.857	pus	ʔa.42 nti.13
4.858	scar	ʔa.42 ce.42
4.86	cure, heal	ʔa.42 ŋkuai.42
4.87	physician	thaŋ.35 sI.31
4.88	medicine, drug	ʔa.42 ntjaŋ.13
4.89	poison	ʔa.42 ća.31 ćhan.31
4.91	tired, weary	mo.42 (sI.55 ńy.42 mo.42)
4.912	rest	sa.13 ńi.31 mo.42
4.92	lazy	(khi.42) taŋ.35 haŋ.42
4.93	bald	(khi.42) ɣie.31
4.94	lame	hau.35
4.95	deaf	ńi.31
4.96	mute	jau.13 (ʒau.13)
4.97	blind	sI.55 pje.13
4.98	intoxicated	chaŋ.42 huŋ.35 mo.42
4.99	naked, bare	mhje.35
5.11	eat	tin.35
5.12	food	te.13
5.121	cooked	ʔau.13
5.122	raw	ʔa.42 njan.42 cI.42
5.123	ripe	ʔa.42 he.35 khau.35
5.124	green, unripe	ʔa.42 he.35
5.125	rotten	ʔo.35
5.13	drink	ʔa.42 se.35
5.14	hunger	ʔo.35 lei.31
5.141	famine	to.35 ljuŋ.31 (sai.42)
5.15	thirst	po.42 śi.35
5.16	suck	laŋ.31 həu.35
5.18	chew	ńa.13
5.181	swallow	ʔa.42 cI.35 ma.31
5.19	choke	so.35 hai.42
5.21	cook	khe.13 śai.42
5.22	boil (vb)	lei.35 ʒo.13
5.23	roast, fry	la.42 ʔlui.35
5.24	bake	y.13
5.25	oven	mi.42 həu.35
5.26	pot, cooking vessel	la.42 śe.13
5.27	kettle	lei.31
5.28	pan	lei.31
5.31	dish	lei.31 haŋ.42
5.32	plate	ŋo.31 haŋ.42
5.33	bowl	ńćau.31
5.34	pitcher, jug	ʔa.42 fu.31 ćau.35
5.35	cup, drinking vessel	laŋ.31 zəu.13
5.36	saucer	ʔuŋ.35 ŋhai.31 (ʔŋai.31)
5.37	spoon	ntaŋ.31 (daŋ.31)
5.38	knife	ʔuŋ.35 (ŋ.35) cI.35
5.39	fork	ɣie.42
5.391	tongs	śaŋ.42 khe.42 (qhe.42)
5.41	meal (a)	pu.35
5.42	breakfast	pa.42. ńćəu.31
5.43	lunch	sau.42
5.44	dinner	ʔa.42 jun.13 khai.13
5.45	supper	ŋkəu.42
5.46	peel	ʔa.42 ʒuŋ.13 ʒaŋ.31
5.47	sieve, strain	pa.42 ńćəu.31 łuŋ.31
5.48	scrape	pa.42 ɣəu.31 ho.13
5.49	stir, mix	huai.42 ljai.13
5.51	bread	huai.42
5.53	dough	tji.13 sau.42
5.54	knead	ʔa.42 so.42 lo.42
5.55	meal, flour	hua.35 ńćəu.31
5.56	crush, grind	ljin.13
5.57	mill	ʔa.42 sa.42
5.58	mortar	jin.31
5.59	pestle	pa.42 jau.31 ńćəu.31
5.61	meat	pa.42 ʔʒin.35
5.63	sausage	pa.42 ńćəu.31 łje.35
5.64	soup, broth	ʔa.42 wa.31 cI.42
5.65	vegetables	pa.42 ɣəu.31
5.66	bean	pu.55 he.13 ɣəu.31
5.7	potato	pa.42 mau.13
5.71	fruit	ʔa.42 haŋ.42
5.712	bunch	pa.42 ńi.42
5.75	fig	ʔa.42 ńəu.42 cI.42
5.76	grape	ʔua.35 ŋkuŋ.31
5.77	nut	ʔua.42 ʒau.31
5.78	olive	ʔa.42 phin.42 lju.13
5.79	oil	ʔa.42 sən.42
5.791	grease, fat	sən.42
5.81	salt	sua.13
5.82	pepper	ŋkue.31; ʔa.42; ʔjuŋ.35 saŋ.42
5.821	chili pepper	lei.35 tjaŋ.13 ha.13
5.84	honey	ʔa.42 ćin.13 cI.42
5.85	sugar	ʔaŋ.42
5.86	milk (noun)	pa.42 he.42
5.87	milk (vb)	lei.35 he.42 tja.42
5.88	cheese	lo.42 he.42
5.89	butter	pa.42 ŋhau.42 /ŋho.42
5.9	beverage, drink	mən.31 faŋ.35
5.91	mead	ʔa.42 so.42
5.92	wine	ti.35 ŋho.42
5.93	beer	ʔa.42 jo.31 sI.31
5.94	fermented drink	ʔa.42 chuaŋ.35 cI.42
5.97	egg	lau.42 ʒin.42
5.971	egg yolk	pa.42 ncai.31 (dzai.31)
6.11	put on (clothes)	ʔa.42 ʔly.35 ljau.13
6.12	clothing, clothes	ma.42 lje.13 ha.42
6.13	tailor	pa.42 hai.42
6.21	cloth	ʔa.42 la.42 ńi.31
6.22	wool	ʔa.42 than.42 cI.42
6.23	linen, flax	ʔa.42 ʒi.42 cI.42
6.24	cotton	ʔa.42 sI.13 faŋ.33 co.31
6.25	silk	ʔa.42 tən.42
6.27	felt	ma.42 lĳ.31 təu.42
6.28	fur	ʔa.42 lo.31
6.29	leather	ha.13 he.42
6.31	spin	(chI.35 khaŋ.42) mi.13 ha.13 he.42
6.32	spindle	ɣuŋ.42 he.42
6.33	weave	ma.42 ljaŋ.31
6.34	loom	ʔa.42 chuan.31 phi.31
6.35	sew	ma.42 ljaŋ.31
6.36	needle	pa.42 mpai.13 he.35
6.37	awl	ʔa.42 ŋkui.13 (ŋui.13) śi.42
6.38	thread	pu.55 ho.13 ɣo.31
6.39	dye	cuan.35
6.41	cloak	ʔle.31 he.42 khuŋ.42 ɣəu.42
6.411	poncho	pa.42 mpaŋ.42
6.42	woman's dress	pa.42 ljuŋ.42
6.43	coat	pa.42 ljuŋ.42 (tjaŋ.42) ljaŋ.31
6.44	shirt	tjaŋ.35
6.45	collar	ʔje.13 pa.42 vai.31
6.46	skirt	ʔa.42 chuŋ.42 ʔuŋ.35
6.461	grass-skirt	lji.42
6.48	trousers	kho.35 ʔa.42 lji.31 kəu.42
6.49	stocking, sock	he.35
6.51	shoe	chuan.42
6.52	boot	ʔa.42 hua.42 /ɣji.42
6.54	shoemaker, cobbler	ʔa.42 ʒaŋ.31 cha.42
6.55	hat, cap	ʔa.42 ća.13
6.57	belt, girdle	thəu.35 / tja.13
6.58	glove	śy.42
6.59	veil	ɣaŋ.42
6.61	pocket	ʔa.42 ŋuai.31
6.62	button	kho.35 laŋ.31 sau.31
6.63	pin	khuŋ.35 ŋho.42
6.71	ornament, adornment	ma.42 nja.42 (ntja.42)
6.72	jewel	ma.13 łuŋ.13
6.73	ring (for finger)	ma.13 ʔa.35 ljaŋ.31
6.74	bracelet	khəu.42
6.75	necklace	nco.13 mo.42
6.76	bead	mpo.35 ʔau.13
6.77	earring	laŋ.31 sau.13
6.78	headband, headdress	laŋ.31 sa.42; ʔa.13
6.79	tattoo	sa.42 ho.13
6.81	handkerchief, rag	khaŋ.42
6.82	towel	laŋ.31 ʔjəu.31
6.91	comb	ʔlo.35
6.92	brush	khaŋ.42 həu.13
6.921	braid	tjaŋ.35
6.93	razor	ʔa.42 cha.42 śi.42
6.94	ointment	ʔa.42 cuaŋ.42 cuaŋ.42
6.95	soap	ʔa.42 khe.42 śi.42
6.96	mirror	le.31 ńi.42
7.11	dwell, live	ʔa.42 ńi.42
7.12	house	ŋkəu.35 (ŋəu.35)
7.13	hut	ma.42 śi.42
7.131	garden-house	ma.42 śi.42 ʔau.13
7.14	tent	suŋ.35 su.13
7.15	yard, court	zI.31
7.16	men's house	haŋ.42
7.17	cookhouse	tje.35 (haŋ.42); ʔa.42 cI.42 jan.35
7.18	meeting house	mi.31 haŋ.42
7.21	room	ʔa.42 cuaŋ.42 cuaŋ.42 śi.42
7.22	door, gate	ma.42 śi.42
7.221	doorpost, jamb	sau.42 khe.42
7.23	lock (noun)	pa.42 ho.13 śi.42
7.231	latch, door-bolt	ʔuŋ.42 ma.42 śi.42
7.24	key	ʔa.41 pa.35 ćau.35
7.25	window	ljuŋ.31 mpu.31
7.26	floor	la.42 ʔlui.35
7.27	wall	lei.35 ce.42 ʔa.35
7.31	fireplace	hua.13
7.32	stove	ʔa.42 zI.31
7.33	chimney	ma.42 ɣuaŋ.13
7.37	ladder	ʔa.42 ce.13 kan.42
7.42	bed	no.13
7.421	pillow	ʔa.42 ljo.31 hei.35
7.422	blanket	la.42 khəu.42
7.43	chair	le.31
7.44	table	le.31 he.42 khuŋ.42
7.45	lamp, torch	ŋkau.35
7.46	candle	ćy.35
7.47	shelf	nai.31
7.48	trough	ɣa.31
7.51	roof	ʔa.42 la.31 hei.35
7.52	thatch	ʔa.42 la.31
7.53	ridgepole	laŋ.31 khuŋ.35
7.54	rafter	kho.35
7.55	beam	kho.35
7.56	post, pole	huai.42; ɣaŋ.42
7.57	board	tji.35 mpe.13
7.58	arch	tji.35 khən.13
7.61	mason	ma.42 ńi.42
7.62	brick	ʔa.42 tjaŋ.13
7.63	mortar	ʔa.42 cən.35
7.64	adobe	ʔa.42 la.42 hai.42
8.11	farmer	ʔa.42 pən.42 chui.31
8.12	field (for cultivation)	təu.35 khən.13
8.13	garden	łai.13
8.15	cultivate, till	mjəu.13
8.16	fence	śe.13
8.17	ditch	tji.13
8.21	plow	la.13
8.212	furrow	chaŋ.13
8.22	dig	zaŋ.13 ɣe.42
8.23	spade	śin.35; zaŋ.13
8.24	shovel	śin.35
8.25	hoe	ća.31 ʔa.42 so.13 / ća.13 pa.42 mpai.13
8.26	fork	khəu.42
8.27	rake	lən.42
8.31	sow	ljaŋ.42
8.311	seed	ha.35 (ʔuŋ.42, pe.42)
8.32	mow, reap	vau.13
8.33	sickle, scythe	sua.13
8.34	thresh	kho.35 sən.35
8.35	threshing-floor	pa.42 łja.13
8.41	crop, harvest	pu.35 he.13 śi.42
8.42	grain (barley, oats etc)	zau.13 he.35
8.43	wheat	kho.35 tuŋ.35
8.44	barley	he.35
8.45	rye	ɣaŋ.42
8.46	oats	kho.35
8.47	maize, corn	ʔa.42 tin.35 cI.42
8.48	rice	pu.35 kho.35 hai.35
8.51	grass	ha.35 hei.35
8.52	hay	ʔa.42 cən.35 tən.42
8.53	plant (noun)	huŋ.42 (khuŋ.35 ŋuaŋ.31 huŋ.42)
8.531	plant (vb)	khuŋ.35 ŋuaŋ.31
8.54	root	łje.42
8.55	branch	hei.35
8.56	leaf	to.35 ne.31
8.57	flower	po.35 lji.31
8.6	tree	sən.42
8.61	oak	ʔa.42 chI.35
8.62	beech	ʔa.42 ŋkui.31 ncaŋ.31 (dzaŋ.31)
8.63	birch	pa.42 səu.35 ntjai.42 (djai.42)
8.64	pine	kho.35 vei.31
8.65	fir	śy.35 (ɣuaŋ.31)
8.66	acorn	ɣaŋ.42
8.67	vine	ʔa.42 zən.13
8.68	tobacco	ʔuŋ.31 ɣi.31
8.69	smoke (tobacco)	ʔʒi.13
8.691	pipe	ńəu.13
8.72	tree stump	ljai.42
8.73	tree trunk	ljan.42
8.74	forked branch	pje.13
8.75	bark	ljaŋ.42
8.76	sap	tjo.13
8.81	palm tree	ʔue.42
8.82	coconut	ntjau.13
8.83	citrus fruit	thai.31
8.84	banana tree	tjo.13
