entry_id	trans_english	Waurá_Phonemic
8.33	sickle, scythe	yu'wa; tʸehɨ̃
8.34	thresh	tapata
8.35	threshing-floor	
8.41	crop, harvest	
8.42	grain (barley, oats etc)	-tɨ
8.43	wheat	
8.44	barley	
8.45	rye	
8.46	oats	
8.47	maize, corn	maiki
8.48	rice	[aru'wĩ]
8.51	grass	ata-kahɨ
8.52	hay	
8.53	plant (noun)	
8.531	plant (vb)	hamuta
8.54	root	-ta'pa
8.55	branch	-tawana
8.56	leaf	-pana; ata-pana
8.57	flower	-pulu
8.6	tree	ata
8.61	oak	
8.62	beech	
8.63	birch	
8.64	pine	
8.65	fir	
8.66	acorn	
8.67	vine	ẽẽpi
8.68	tobacco	hɨ'ka
8.69	smoke (tobacco)	
8.691	pipe	
8.72	tree stump	aža-tɨwɨ
8.73	tree trunk	-mɨna-pic̷i
8.74	forked branch	-halaku
8.75	bark	ažata; ata-mai
8.76	sap	ɨ-ɣa-ki
8.81	palm tree	ic̷au
8.82	coconut	wepiru-ku'ma
8.83	citrus fruit	[alimau]; [alarãža]
8.84	banana tree	[panana]
8.85	banyan	--
8.91	sweet potato	uhu
8.912	yam	paka
8.92	tapioca, manioc, cassava	ule-i
8.93	gourd	kiru; mɨ'ma
8.931	pumpkin, squash	mɨmɨmɨžu
8.94	bamboo	yana-tɨ; yetũtɨ
8.941	sugar cane	[kanawĩya]
8.96	fish poison (root)	kuna
8.97	nettle	kaitʸalu-pa'na
8.98	mushroom	
9.11	do, make	uma; tuma
9.12	work	ka-tuma-la
9.14	bend	kamisa; kamisa-ta
9.15	fold	kemuka
9.16	tie, bind	i-c̷itʸa
9.161	untie	peže
9.18	chain	weru-pi
9.19	rope, cord	-nutai
9.192	knot (noun)	
9.21	strike (hit, beat)	maitʸa; tau-ta
9.211	pound with fist	maitʸa
9.22	cut	tuka ~ ɨtuka
9.221	cut down	tuka
9.222	chop, hew	tuka
9.223	stab	c̷akɨ-ka
9.23	knife	tʸehɨ̃-tãi
9.24	scissors, shears	imic̷ewe
9.25	ax	e'pi; -ɣawa
9.251	adze	
9.26	break	kalaka; pa-c̷itʸa
9.261	broken	kalaka-
9.27	split	halaka
9.28	tear	kɨ̃ka
9.29	flay, skin	kɨ̃ka
9.31	rub, wipe	apiya-ta; awayakata
9.32	stretch	kɨnɨnɨka; pĩtʸa
9.33	pull	ãta
9.34	spread out	wežɨka
9.341	hang up	ahupitʸa; ahupitʸa-ta
9.342	press	haka
9.343	squeeze, wring	a-huriritʸa
9.35	pour	huka; pɨ-ka; pasaka
9.36	wash	huku-ta; i-misa
9.37	sweep	a-waic̷u-ta
9.38	broom	waic̷u
9.422	tool	
9.43	carpenter	
9.44	build	tuma
9.46	bore	pɨhɨka; puleke
9.461	hollow out	a-tɨ-ka
9.48	saw	hɨkɨ-žɨ
9.49	hammer	tau-ta-'ti
9.5	nail	tʸalãta'pa
9.56	glue	kapic̷u'ka
9.6	smith, blacksmith	--
9.61	forge	--
9.62	anvil	--
9.63	cast (metals)	--
9.64	gold	
9.65	silver	
9.66	copper, bronze	
9.67	iron	[tau]
9.68	lead (noun)	[žũpu]
9.69	tin, tinplate	[tau]
9.71	potter	ka-c̷ɨlãa-pɨ-'la
9.72	mold (clay etc)	tuma
9.73	clay	kamalu; tɨpepe
9.74	glass	muwĩ-tʸa'na
9.75	weave, plait	huka
9.76	basket	maya-ku; yatalu
9.77	mat	mužu'pa
9.771	rug	mužu'pa
9.78	netbag	ĩyũku
9.79	fan (noun)	wawai
9.791	fan (vb)	awaisa
9.81	carve	c̷ežuka-ta
9.82	sculptor	
9.83	statue	
9.84	chisel	ɨnuma
9.88	paint (noun)	yana
9.89	paint (vb)	ana-ata
10.11	move	hužužuka; awata
10.12	turn over	mɨu-ka-ta; pamuka
10.13	turn around	ɣak-uwa
10.14	wind, wrap	a-kasi-c̷a; epec̷uta
10.15	roll	te-riri-tʸa
10.16	drop (vb)	taka
10.17	twist	a-hu-riri-tʸa
10.21	rise	akãitʸa; peyu
10.22	raise, lift	itʸãta; a-paki-c̷a
10.23	fall	taka
10.24	drip	tupi-tʸa
10.25	throw	wasitʸa
10.252	catch (ball)	mec̷ic̷i
10.26	shake	awaisa
10.32	flow	miyãɣa
10.33	sink	pisa ~ ipisa
10.34	float	alakiya; peyu-ka
10.35	swim	ec̷una
10.351	dive	akakapa; hapuka
10.352	splash	pauka; pesiuka
10.36	sail (vb)	
10.37	fly (vb)	ala
10.38	blow	ežeke; amusa
10.41	creep, crawl	awaulu-ta
10.412	kneel	ahuluk-; kamisa
10.413	crouch	pakɨ; pataka
10.42	slide, slip	sĩyãnaka
10.43	jump, leap	pulu-kahɨwa
10.431	kick	parakata
10.44	dance	a-tuluka
10.45	walk	ec̷una
10.451	limp	atɨkɨžuta
10.46	run	a-hɨmai-c̷a
10.47	go	iya; ta
10.471	go up	piyu; iya enu
10.472	climb	piyu
10.473	go down	taka
10.474	go out	putu-ka
10.48	come	t-uwa
10.481	come back	ɣak-uwa
10.49	go away, depart	iya
10.491	disappear	m-ɨpulala
10.51	flee	kepeže; pilala
10.52	follow	
10.53	pursue	a-hɨmai-c̷a-ta
10.55	reach, arrive	pitʸa
10.56	approach	-p; iya ɨ-u; usẽi
10.57	enter	putu-ka
10.61	carry (bear)	ulukata; a-paki-c̷a
10.612	carry-in-hand	itʸãta
10.613	carry-on-shoulder	-senepu-wa
10.614	carry-on-head	ulukata; a-paki-c̷a
10.615	carry-underarm	itʸãta
10.62	bring	a-t-uwa-ta; iy-uwa
10.63	send	a-wana-ka-ta; saic̷a
10.64	lead (vb)	ãta
10.65	drive	pukata
10.66	ride	ɨ-tanaka-ic̷a-
10.67	push, shove	tunuka
10.71	road	ahɨ-napu
10.72	path	ahɨ-napu
10.74	bridge	te-penu-tɨ
10.75	carriage, wagon, cart	ic̷a
10.76	wheel	kanutapa
10.77	axle	
10.78	yoke	
10.81	ship	--
10.83	boat	ic̷a
10.831	canoe	ic̷a
10.832	outrigger	--
10.84	raft	ata-ka; [pausa]
10.85	oar	etene
10.851	paddle (noun)	etene
10.852	row (vb)	ãt-uwa
10.86	rudder	
10.87	mast	
10.88	sail (noun)	
10.89	anchor	
10.91	harbor, port	waku
10.92	land (vb)	c̷alala; akãitʸa
11.11	have	-u; ka-
11.12	own, possess	e-ke-weke-hɨ-ta
11.13	take	iya; apic̷ata
11.14	seize, grasp	hukapic̷a
11.15	hold	ɨtuka
11.16	get, obtain	ẽetẽic̷a
11.17	keep, retain	awažata
11.18	thing	yakawa'ka
11.21	give	itʸeke; seke
11.22	give back	a-t-uwa-ta; put-ene ɨ-u-ma
11.24	preserve, look after	awažata; a-kɨtepe-te
11.25	save, rescue	e-kepeže-te
11.27	destroy	pahaka
11.28	harm, injure, damage	-nuka; a-tamalai-c̷a
11.31	seek, look for	auta
11.32	find	takuta
11.33	lose	wasitʸ-uwa -u-c̷a
11.34	release, let go	putapa
11.43	money	[tʸĩyẽru]; hanana
11.44	coin	[tau]-pɨna
11.51	rich	k-apapaalatai
11.52	poor	m-apapaalatai
11.53	beggar	kɨ-tamana-la-ki-'ya
11.54	avaricious, stingy	ka-kaya-numa
11.61	lend	puta
11.62	borrow	iya
11.63	owe	
11.64	debt	
11.65	pay (vb)	puta ɨ-pete
11.66	account, reckoning	
11.69	tax, tribute	
11.77	hire	
11.78	wages	-pete
11.79	earn	
11.81	buy	tamana; ẽtẽic̷a
11.82	sell	pataka-ta
11.83	trade, barter	a-huluki-c̷a
11.84	merchant	apapaalai-yeke-hɨ
11.85	market (place)	
11.86	store, shop	
11.87	price	-pete
11.88	dear (costly, expensive)	ka-kaya
11.89	cheap	
11.91	share (distribute)	itʸeke; puta-wa
11.92	weigh	a-pɨtala-ta
12.1	after	-malã-yã-ic̷a
12.11	behind	-malã-yã; -punu-ti-c̷a
12.2	beside	-tapa-ic̷a; -kanu-c̷a
12.3	down, below	-tepɨ
12.4	before	-apɨtã-yã
12.41	front	tiwi-yai; kic̷i-c̷a
12.5	inside, in	-na-ku
12.6	outside	paac̷ai
12.7	under	-tepɨ
12.8	up, above	-penu; enu
12.11	place	-pɨku; -na-i
12.12	put	puta ~ ɨputa; pataka-ta; pakɨ
12.13	sit	pataka
12.14	lie down	halalak-uwa
12.15	stand	hɨžɨžɨkata
12.16	remain, stay	tauna
12.17	remains, left overs	ĩse
12.21	collect, gather	apic̷a-ta; esepitʸa-ta
12.212	pick up	itʸaka
12.213	pile up	
12.22	join, unite	
12.23	separate	itʸek-uwa
12.232	divide	kɨžuka
12.24	open	wanaka; paitʸa
12.25	shut, close	haluta; a-kunu-ta
12.26	cover	e-sepu-ta; a-kɨtepe-te
12.27	hide, conceal	eheže
12.31	high	enu
12.32	low	witʸa
12.33	top	-epu-taku; -pa-tɨwɨ
12.34	bottom	-tɨpulu; iyežetɨ
12.35	end	-c̷epu-; -punu-
12.352	pointed	kuhupi
12.353	edge	ii-pi
12.36	side	ii-pi
12.37	middle, center	enɨkatɨ
12.41	right (side)	k-iyežẽ-pe-lu
12.42	left (side)	wahulu-pa-lu
12.43	near (adv)	-kanu; -pažutɨ
