entry_id	trans_english	Pilagá_Phonemic
3.665	freshwater eel	win
3.71	wolf	
3.72	lion	'sawaʁaik
3.73	bear	
3.74	fox	'waʁayaʁa
3.75	deer	yʔoʁoneʔ
3.76	monkey	woyim
3.77	elephant	
3.78	camel	
3.81	insect	
3.811	louse	l-apa-ʁat
3.812	nit (louse egg)	l-atoʁomata
3.813	flea	pioḳ l-apa-ʁat
3.814	centipede	
3.815	scorpion	noʁopik
3.816	cockroach	
3.817	ant	pesoʔ
3.818	spider	pači'diyaʁa
3.819	spider web	pači'diyaʁa l-'alaʔ
3.82	bee	koʔnayaḳ l-apa-ʁat
3.821	beeswax	ma-ʔage l-'apa
3.822	beehive	'l-ʔoʁon-ek
3.823	wasp	lawoik; lapaʁat
3.83	fly	waltaʁaɲi
3.831	sandfly (midge), gnat	čitole; kočitole
3.832	mosquito	wando
3.84	worm	ḳočiʔl
3.85	snake	nan-aik
3.91	firefly	ʔwe'daʁai
3.92	butterfly	pe'tooloʁol
3.93	grasshopper	ḳosiikioʁoi
3.94	snail	na'siyo
3.95	frog	petayo
3.96	lizard	'malaʁ-aik
3.97	crocodile, alligator	ɲi'aʁadiaḳ
3.98	turtle	napo'taʁanaḳ
4.11	body	'l-oʔok-iaʁak
4.12	skin, hide	'l-oʔok
4.13	flesh	l-apat
4.14	hair (head)	l-ayo-ʁot
4.142	beard	la-ḳaʔ l-ayo-ʁot
4.144	body hair	l-ayo-ʁot
4.145	pubic hair	n-amo l-ayo-ʁot
4.146	dandruff	la-ḳai l-soči
4.15	blood	le-tawoʔ
4.151	vein, artery	l-ʔota
4.16	bone	li-pʔinek
4.162	rib	li-'čiset
4.17	horn	le-pee
4.18	tail	'l-aawen-ek
4.19	back	'l-owiʔ
4.191	spine	l-oi-pʔinek
4.2	head	la-ḳai-k
4.201	side of head, temple	la-ḳaik l-ai
4.202	skull	la-ḳaik li-pʔinek
4.203	brain	l-ap'ʔioʁo
4.204	face	le-'taʁasoʁok
4.205	forehead	l-atap
4.207	jaw	l-anok
4.208	cheek	l-a'linke
4.209	chin	la-ḳaʔ
4.21	eye	l-ʔaite
4.212	eyebrow	na-ḳaʔipaḳ l-ayo-ḳte
4.213	eyelid	l-ʔaite 'l-oʔok; l-ʔaite la-ḳaʔ
4.214	eyelash	le-loteke
4.215	blink	na-ḳa'tagoʁo-ɲi
4.22	ear	le-ke'tela
4.221	earlobe	le-ke'tela le-'taʔam
4.222	earwax	le-ke'tela l-aak l-ʔo'waʁa
4.23	nose	li-mik
4.231	nostril	li-mii-l-aak-o
4.232	mucus (nasal)	ne-'kopiʔ
4.24	mouth	ne-'degaʁat
4.241	beak	n-asep
4.25	lip	n-asep; l-ak
4.26	tongue	l-a'čaʁat
4.27	tooth	l-odaite
4.271	gums	l-odaite l-apat
4.272	molartooth	l-odaite l-a'noyi-se
4.28	neck	lo-ḳosot
4.281	nape of neck	ne-ketaʔ
4.29	throat	lo-ḳolama
4.3	shoulder	l-a'wage
4.301	shoulderblade	l-apalateʔta pʔinek
4.302	collarbone	n-amap
4.31	arm	l-owaḳ
4.312	armpit	le-saḳtakiʔ
4.32	elbow	lo-ḳote
4.321	wrist	
4.33	hand	l-owaḳ
4.331	palm of hand	l-owaḳ l-ai-ɲi
4.34	finger	l-iaʁata
4.342	thumb	l-iaʁata l-atʔe
4.344	fingernail	le-nat
4.345	claw	le-nat
4.35	leg	li-či
4.351	thigh	l-oteʔta l-amo
4.352	calf of leg	li-či l-'taʔam
4.36	knee	li-liikte
4.37	foot	l-'apiaʔ
4.371	ankle	li-ki'yokena
4.372	heel	l-aɲaʁa
4.374	footprint	l-'apiaʔ l-ii-ɲi
4.38	toe	lo-ḳona
4.392	wing	l-awa
4.393	feather	l-ayo-ḳte
4.4	chest	le-'toge
4.41	breast (of woman)	l-'otete
4.412	nipple, teat	l-'otete la-ḳaik
4.42	udder	l-'otete
4.43	navel	le-dam
4.44	heart	li-kidiaḳte
4.441	lung	l-ačiʔ
4.45	liver	le-lamek
4.451	kidney	li-'čii-se
4.452	spleen	le-tepaḳ
4.46	stomach	le-'taʔam
4.461	intestines, guts	li-pi'yoʁo-sek
4.462	waist	l-asot
4.463	hip	l-iiyi
4.464	buttocks	n-ateʔ
4.47	womb	le-'kʔo-ʁoki
4.49	testicle	'l-ola
4.492	penis	ne-kʔoweʔ
4.51	breathe, breath	l-ayat
4.52	yawn, gape	d-a'to-tak
4.521	hiccough	le-maʁa
4.53	cough	da-'ḳaigoʁo-soʁo-tak
4.54	sneeze	na-ḳasen
4.55	perspire	ne-'soiyaḳa-ɲi
4.56	spit	n-atoḳ
4.57	vomit	'h-anol
4.58	bite	'y-ito
4.59	lick	y-ʔolek
4.591	dribble	∅-net-'eta-ɲi
4.61	sleep	d-ʔoči
4.612	snore	no-ḳo'lo-tak
4.62	dream	di-čoʁon
4.63	wake up	ne-'lo-yi
4.64	break wind	di-ɲi
4.65	urinate	lo-te
4.66	defecate	n-ola
4.67	have sexual intercourse	h-awok
4.68	shiver	di-'wiloʁol
4.69	bathe	'n-ačil
4.71	beget (of father)	yi-'koʔo-n
4.72	born (to be)	n-i'yi-ɲi
4.73	pregnant	ḳoʔwa-ʁai
4.732	conceive	ḳoʔwa-ʁai
4.74	live, living, life	ne-kʔal-'eege
4.75	die, dead	yi-lew; lew-aʁaik
4.751	drowned	ʔowa-ʁaik
4.76	kill	y-alaat
4.77	corpse	n-apaʔl
4.78	bury (the dead)	yi-sii-ɲi
4.79	grave, tomb	ne-sen-aḳaʔ
4.81	strong, mighty, powerful	ʔwaɲa-ʁaik
4.82	weak	yi-'lawta
4.83	well, health	yi-m-'eege
4.84	sick, sickness	yi-lw-aak
4.841	fever	ni-'wiloʁol-aḳt-aʁan-aḳ
4.842	goiter	
4.843	cold (catarrh)	'ʔom-aʁad-aik
4.85	wound, sore	le-ʔke'maʁa-set
4.852	bruise	l-te
4.853	swelling	l-alaač-i
4.854	itch	di-siki
4.855	blister	l-a'čipalo-ʁo
4.856	boil (noun)	ne-kot-e (ne-kote [?])
4.857	pus	'l-iʔi
4.858	scar	le-kolaʁ-a
4.86	cure, heal	n-atad-en
4.87	physician	ta'd-en-ataʁan-aʁaik
4.88	medicine, drug	l-ataʔ
4.89	poison	le-ʔwen-'aʁan-aʁat; ne-ʔwen-'aʁat
4.91	tired, weary	ni-lii-ɲi
4.912	rest	ne-mat-aʁak
4.92	lazy	'wal-aik
4.93	bald	ʔket-aik
4.94	lame	wa'yod-aʁaik
4.95	deaf	čiyoʁo-sek
4.96	mute	ḳaya-wa ʔte l-ʔaḳt-aḳa
4.97	blind	ḳanam
4.98	intoxicated	taʁ-aik
4.99	naked, bare	sa'lew-aik
5.11	eat	de-'keʔe; y-alik
5.12	food	n-alik
5.121	cooked	'd-ato
5.122	raw	sa 'd-ato
5.123	ripe	yi
5.124	green, unripe	l-ʔalole
5.125	rotten	ni-čiʔya
5.13	drink	ni-yom
5.14	hunger	yo-ḳowat
5.141	famine	lo-ḳo'wa-ʁa
5.15	thirst	yi-lii-n-kip
5.16	suck	ne-kʔowoḳ
5.18	chew	yi-paʁat
5.181	swallow	yi-woʁon-'a-ɲi
5.19	choke	yi-ta'pela
5.21	cook	de-'wose
5.22	boil (vb)	'n-iʔyam
5.23	roast, fry	yi-ton
5.24	bake	y-awot
5.25	oven	l-a'wo-ʁon-aʁaki
5.26	pot, cooking vessel	l-ataʁaki
5.27	kettle	ne-[paawa]
5.28	pan	
5.31	dish	li-kiʔy-'aʁaki
5.32	plate	le-koki
5.33	bowl	l-ʔowelai
5.34	pitcher, jug	ne-[kaado]
5.35	cup, drinking vessel	ni-'yom-aʁaki
5.36	saucer	koki 'kʔo-ʁot
5.37	spoon	l-emek
5.38	knife	le-'leg-aʁan-aʁat
5.39	fork	li-kiʔy-'aʁan-aḳte
5.391	tongs	n-aḳap
5.41	meal (a)	li-kiʔy-'aʁak
5.42	breakfast	
5.43	lunch	
5.44	dinner	
5.45	supper	
5.46	peel	n-asola
5.47	sieve, strain	n-apise-n
5.48	scrape	n-amadek
5.49	stir, mix	y-okolii-yi
5.51	bread	ḳawiaʁadai; [pan]
5.53	dough	l-o'naɲ-iise
5.54	knead	y-onan-aʔt
5.55	meal, flour	[ʔa'liina]
5.56	crush, grind	yi-sok
5.57	mill	le-'sog-aʁan-aʁaki
5.58	mortar	'l-ayo; wiyo
5.59	pestle	n-ʔelgek
5.61	meat	l-apat
5.63	sausage	
5.64	soup, broth	noose 'l-iʔi (< no'wasek)
5.65	vegetables	
5.66	bean	
5.7	potato	
5.71	fruit	hal-a
5.712	bunch	l-aḳata
5.75	fig	
5.76	grape	
5.77	nut	
5.78	olive	--
5.79	oil	
5.791	grease, fat	li-čita; l-apiyo
5.81	salt	ḳaaʔnowa
5.82	pepper	kodai
5.821	chili pepper	
5.84	honey	ma-ʔage l-'iʔi
5.85	sugar	[ʔasooka]
5.86	milk (noun)	'l-očiʔ
5.87	milk (vb)	ne-som
5.88	cheese	[kiiso]
5.89	butter	
5.9	beverage, drink	ni-'yom-aʁat
5.91	mead	la'taʁa
5.92	wine	la'taʁa
5.93	beer	
5.94	fermented drink	
5.97	egg	le-kʔoweʔ
5.971	egg yolk	lo-ḳowi-oʁo
6.11	put on (clothes)	ne-saat; y-aa-di-ɲi l-ewo
6.12	clothing, clothes	l-ewo
6.13	tailor	ʔet-aʁan-aʁaik
6.21	cloth	ne-pat-e
6.22	wool	nʔaanaʁate l-ayo-ʁot
6.23	linen, flax	--
6.24	cotton	'waloḳ
6.25	silk	--
6.27	felt	--
6.28	fur	l-ayo-ʁot
6.29	leather	'l-oʔok
6.31	spin	ya-ḳaliten
6.32	spindle	la-ḳali'ten-aʁan-aḳte
6.33	weave	yi-'paʁat
6.34	loom	l-ʔoʁon-aʁan-aʁalaʔ
6.35	sew	n-ʔet
6.36	needle	ne-'naikaiyi
6.37	awl	la-ḳana
6.38	thread	l-ʔet-aʁan-aʁat
6.39	dye	lo-ḳʔoil-'aan-aʁat; ḳʔoil-e
6.41	cloak	
6.411	poncho	l-apoto
6.42	woman's dress	ne-'loʁoki
6.43	coat	ne-[saako]
6.44	shirt	ne-som-aʁaki
6.45	collar	som-aʁaki l-ḳosot
6.46	skirt	ne-'saat-a-yi
6.461	grass-skirt	--
6.48	trousers	ne-ʔkemaʁaso
6.49	stocking, sock	
6.51	shoe	l-apelaʔ
6.52	boot	
6.54	shoemaker, cobbler	pelaʔ 'l-oʔo
6.55	hat, cap	n-aʁaʔdo
6.57	belt, girdle	ne-'saat-aʁaki
6.58	glove	--
6.59	veil	--
6.61	pocket	l-oʁoki
6.62	button	l-eg-aʁasete
6.63	pin	le-ʔna; nʔal'čiise
6.71	ornament, adornment	li-ʔyoʁod-'aʁat
6.72	jewel	
6.73	ring (for finger)	niči'saʁa
6.74	bracelet	l-o'waʁa-sek
6.75	necklace	lo-ḳola
6.76	bead	pelak-al-a
6.77	earring	li-ki'čiki-se
6.78	headband, headdress	l-aḳaik-aʔla
6.79	tattoo	ne-'sowik
6.81	handkerchief, rag	ḳai-l-apo 'kʔo-ʁot
6.82	towel	n-api'lod-aʁat
6.91	comb	ne-tag-aḳte
6.92	brush	l-ama'deg-aʁan-aḳte
6.921	braid	le-'paʁak
6.93	razor	le-peteg-aʁan-aʁat; ne-peteg-aʁat
6.94	ointment	le-kod-'aʁaki
6.95	soap	li-'yo-ʁon-aʁat
6.96	mirror	talen-aʁai
7.11	dwell, live	∅-ne-ta-'lege; n-a-'lege
7.12	house	ʔemek
7.13	hut	l-ʔemek
7.131	garden-house	
7.14	tent	le-peʔl
7.15	yard, court	n-asoʁok
7.16	men's house	
7.17	cookhouse	le-'wos-aʁaki
7.18	meeting house	le-'maʁaki
7.21	room	le-'da-ḳaʔ
7.22	door, gate	som
7.221	doorpost, jamb	som l-ai
7.23	lock (noun)	
7.231	latch, door-bolt	som l-eg-aʁasete
7.24	key	li-win-aḳte; som l-'oʔo
7.25	window	ʔemee-l-ʔaite
7.26	floor	l-api-'aḳaʔ
7.27	wall	ʔemee-l-ai; ne-kepaʁaan-aʁat
7.31	fireplace	
7.32	stove	
7.33	chimney	
7.37	ladder	n-api-'aʁalaʔ
7.42	bed	le-talaʔ
7.421	pillow	n-a'saan-aʁat
7.422	blanket	
7.43	chair	ne-sʔ'on-aʁaki
7.44	table	li-kiʔy-'aʁalaʔ
7.45	lamp, torch	le-koyad-'aʁan-aḳte
7.46	candle	le-koyad-'aʁan-aʁat
7.47	shelf	
7.48	trough	ni-'yom-aʁaki
7.51	roof	ʔemee-l-'apoʔ
7.52	thatch	ʔawaḳa-pi
7.53	ridgepole	le-malaʔ
7.54	rafter	l-ʔaʁa-soʁon-atak
7.55	beam	∅-diʔ ʔepaḳ
7.56	post, pole	ha-daʔ ʔepaḳ
7.57	board	diʔ ʔepaḳ
7.58	arch	--
7.61	mason	[ʔadowa] l-'oʔo
7.62	brick	[ʔadoowa]
7.63	mortar	
7.64	adobe	[ʔadoowa]
8.11	farmer	
8.12	field (for cultivation)	l-an-aʁan-ḳaʔ
8.13	garden	l-an-aʁan-ḳaʔ
8.15	cultivate, till	n-asek; d-aseg-aʁan
8.16	fence	ḳopadit
8.17	ditch	le-sed-ek
8.21	plow	d-aseg-aʁan
8.212	furrow	
8.22	dig	ne-seʔ
8.23	spade	l-aseg-aʁan-aʁat
8.24	shovel	l-aseg-aʁan-aʁat
8.25	hoe	l-aseg-aʁan-aḳte
8.26	fork	le-'sog-aʁan-aḳte
8.27	rake	le-polg-aʁan-aḳte
8.31	sow	d-an-aʁan; y-aa-ɲi
8.311	seed	hal-a
8.32	mow, reap	n-awok; d-a'wog-aʁan
8.33	sickle, scythe	
8.34	thresh	n-asola; d-aso'la-ʁan
8.35	threshing-floor	
8.41	crop, harvest	la-ḳat-ek; la-ḳat-aʁan-aʁak
8.42	grain (barley, oats etc)	hal-a
8.43	wheat	
8.44	barley	
8.45	rye	
8.46	oats	
8.47	maize, corn	'tawaʁa
8.48	rice	
8.51	grass	ʔawaḳa-pi
8.52	hay	
8.53	plant (noun)	l-aɲ-iisek; l-aɲ-iise
8.531	plant (vb)	y-aa-ɲi
8.54	root	le-pataʔ
8.55	branch	le-pee
8.56	leaf	l-ayo-ḳte
8.57	flower	l-aʔwo
8.6	tree	ha-daʔ ʔepaḳ ~ ha-daʔ ʔipaḳ
8.61	oak	
8.62	beech	
8.63	birch	
8.64	pine	
8.65	fir	
8.66	acorn	
8.67	vine	n-akoloʔ
8.68	tobacco	'ḳoy-ik; lo-'ḳoy-ik
8.69	smoke (tobacco)	yo-ḳoi; do-'ḳoy-aʁan
8.691	pipe	lo-'ḳoy-aʁan-aʁaki
8.72	tree stump	l-amo
8.73	tree trunk	l-amo
8.74	forked branch	le-pee
8.75	bark	'l-oʔok
8.76	sap	li-čaʔ
8.81	palm tree	čaik
8.82	coconut	--
8.83	citrus fruit	
8.84	banana tree	
8.85	banyan	--
8.91	sweet potato	[wataata]
8.912	yam	
8.92	tapioca, manioc, cassava	piyok; [madiooka]
8.93	gourd	čimai; ʔo'wete
8.931	pumpkin, squash	'taɲi; loli'aʁai
8.94	bamboo	koḳta l-atʔe
8.941	sugar cane	he-daʔ ma-ik
8.96	fish poison (root)	
8.97	nettle	poḳo
8.98	mushroom	waḳčiɲi l-ʔat-ek
9.11	do, make	'y-iʔet
9.12	work	d-ʔonat-aʁan
9.14	bend	yi-kam-aʁač-iyi
9.15	fold	yi-naa-'lege
9.16	tie, bind	yi-koɲiʔ
9.161	untie	yi-'so-iyi
9.18	chain	[ka'deena]
9.19	rope, cord	l-aɲik
9.192	knot (noun)	le-'pela
9.21	strike (hit, beat)	yi-ʔwaʁan
9.211	pound with fist	yi-ʔwaʁan
9.22	cut	y-apiat
9.221	cut down	yi-kesoḳ-ot
9.222	chop, hew	yi-kesoḳ
9.223	stab	yi-sok
9.23	knife	leg-aʁan-aʁat
9.24	scissors, shears	n-asoteg-aḳaʔte
9.25	ax	na-ḳačipe
9.251	adze	
9.26	break	yi-noʁon
9.261	broken	wakak
9.27	split	∅-kosay-a-ʔage
9.28	tear	yi-kolaʁ-at-a-ʔage
9.29	flay, skin	yi-kola
9.31	rub, wipe	yi-polek
9.32	stretch	ʔ-en ∅-k-'eege
9.33	pull	n-awek
9.34	spread out	yi-lag-aʁač-iɲi
9.341	hang up	y-an-'a-segem
9.342	press	yi-pa'taʁa-ɲi
9.343	squeeze, wring	ne-som
9.35	pour	'y-okoʔ
9.36	wash	yi-yo
9.37	sweep	yi-polek
9.38	broom	
9.422	tool	l-ʔonta-aʁan-aʁat
9.43	carpenter	ʔepaḳ 'l-oʔo
9.44	build	y-ʔoʁon; n-ʔoʁo-'segem
9.46	bore	yi-'win-eege
9.461	hollow out	ni-sid-'iyi
9.48	saw	ni-'čiy-oʁon-aʁat
9.49	hammer	ne-ʔ'waan-aʁan-aʁat
9.5	nail	l-eg-aʁasete
9.56	glue	
9.6	smith, blacksmith	l-aikawa 'l-oʔo
9.61	forge	--
9.62	anvil	'towoʁo-soʁon-aʁalaʔ
9.63	cast (metals)	--
9.64	gold	
9.65	silver	
9.66	copper, bronze	
9.67	iron	
9.68	lead (noun)	
9.69	tin, tinplate	
9.71	potter	ʔa'lewa 'l-oʔo
9.72	mold (clay etc)	
9.73	clay	ʔa'lewa
9.74	glass	henʔ 'či-či-iɲi
9.75	weave, plait	yi-'paʁat
9.76	basket	le-paḳt-aise
9.77	mat	le-talaʔ
9.771	rug	
9.78	netbag	lo-ḳo'taki
9.79	fan (noun)	n-asaw
9.791	fan (vb)	y-aseed-et-ʔot
9.81	carve	
9.82	sculptor	--
9.83	statue	l-a'denaḳt-ak
9.84	chisel	--
9.88	paint (noun)	lo-ḳol-'aan-aʁat
9.89	paint (vb)	no-ḳoilen
10.11	move	ni-'čiy-aʁat
10.12	turn over	y-asoʁo-'segem
10.13	turn around	neso'woʁočiɲi
10.14	wind, wrap	y-aʁat-ege
10.15	roll	yi-nan-ege
10.16	drop (vb)	y-i't-a-iyi
10.17	twist	yi-win-aʔt
10.21	rise	∅-ɲi-segem
10.22	raise, lift	y-aa-'segem
10.23	fall	n-ʔ'aḳa-ɲi
10.24	drip	∅-ne't-eta-ɲi
10.25	throw	y-asaḳ
10.252	catch (ball)	y-akon-get
10.26	shake	yi-čiyoḳ
10.32	flow	'nat-eege
10.33	sink	d-amo'li-ɲi
10.34	float	d-aliki
10.35	swim	d-a'loʁon
10.351	dive	∅-'wom-ɲi
10.352	splash	ne-ke'tegaʁa-segem
10.36	sail (vb)	
10.37	fly (vb)	'w-ayo
10.38	blow	yi-petet
10.41	creep, crawl	na-ḳalek
10.412	kneel	yi-'soi-di-ɲi na-wa-ʔ li-liikte-l
10.413	crouch	w-ʔii-t-ʔaʔt
10.42	slide, slip	∅-ḳači'laʁan
10.43	jump, leap	we-not
10.431	kick	y-ačaḳ
10.44	dance	d-omi
10.45	walk	∅-'kewo
10.451	limp	w-a'yod-eta
10.46	run	na-ḳa'legoḳ
10.47	go	ʔe-k; he-k
10.471	go up	∅-'ki-seem
10.472	climb	we-'nodi-segem
10.473	go down	't-a-ʔ-ɲ-a
10.474	go out	't-a-iyi
10.48	come	h-anak
10.481	come back	n-ʔi'yilaḳ
10.49	go away, depart	yi-noʁon-'eege
10.491	disappear	∅-pal
10.51	flee	d-a'so-iyi
10.52	follow	ʔe-ke-ge
10.53	pursue	yi-'kaa-tak
10.55	reach, arrive	yi-'wit-a; ni-'wit-a
10.56	approach	ni-'čii-wo
10.57	enter	yi-noʁon-ewo; ne-noʁon-ewo
10.61	carry (bear)	yi-do-ʔt; ne-do-ʔt
10.612	carry-in-hand	l-a'soḳ-ot-ʔa
10.613	carry-on-shoulder	
10.614	carry-on-head	
10.615	carry-underarm	n-asaḳtake-n
10.62	bring	ne-do-ʔt
10.63	send	y-amaḳ; n-amaḳ
10.64	lead (vb)	y-awek; n-awek
10.65	drive	yi-či'kin-yi
10.66	ride	we-'nodi-segem
10.67	push, shove	y-amaḳ; n-amaḳ
10.71	road	naḳʔaik
10.72	path	n-adik
10.74	bridge	n-api-'aʁalaʔ
10.75	carriage, wagon, cart	ne-'naawen-a
10.76	wheel	ne-sa'ʁalen-a
10.77	axle	
10.78	yoke	l-ač-'oʁon-aʁalaʔ
10.81	ship	--
10.83	boat	li-likot-a
10.831	canoe	
10.832	outrigger	--
10.84	raft	le-malaʔ
10.85	oar	li-likot-aan-aʁat
