entry_id	trans_english	Polci_Phonemic
2.43	offspring (son or daughter)	miir
2.44	brother	yees
2.444	older brother	daŋ yees
2.445	younger brother	win yees
2.45	sister	waas
2.454	older sister	waas
2.455	younger sister	waas
2.456	sibling	--
2.458	twins	paas
2.46	grandfather	jer
2.461	old man	gwaasi
2.47	grandmother	jer
2.471	old woman	basi manya
2.48	grandson	wun jer
2.49	granddaughter	wun jer
2.51	uncle	kawo
2.511	mother's brother	kawo
2.512	father's brother	baaba
2.52	aunt	wobna
2.521	mother's sister	kawo
2.522	father's sister	wobna
2.53	nephew	--
2.54	niece	--
2.55	cousin	yees; waas
2.56	ancestors	--
2.57	descendants	--
2.61	father-in-law (of a man)	kwam
2.611	father-in-law (of a woman)	kwam
2.62	mother-in-law (of a man)	kwam
2.621	mother-in-law (of a woman)	kwam
2.63	son-in-law (of a man)	kwam
2.631	son-in-law (of a woman)	kwam
2.64	daughter-in-law (of a man)	kwam
2.641	daughter-in-law (of a woman)	kwam
2.71	stepfather	baa gən
2.72	stepmother	--
2.73	stepson	[agoola]
2.74	stepdaughter	[agoola]
2.75	orphan	kəi
2.76	widow	takaba
2.77	widower	--
2.81	relatives, kinsmen	zuuriya
2.82	family	iyaali
2.91	I	am
2.92	you (singular)	kii
2.93	he/she/it	yaa
2.94	we	mii
2.941	we (inclusive)	mii
2.942	we (exclusive)	mii
2.95	you (plural)	kii
2.96	they	wur
3.11	animal	tloo
3.12	male (adj)	mani
3.13	female (adj)	mədli
3.15	livestock	tloo bən
3.16	pasture	ləəp
3.18	herdsman	kon lii
3.19	stable, stall	kanja
3.2	cattle (bovine)	tlaa
3.21	bull	tlaa
3.22	ox	tlaa
3.23	cow	tlaa
3.24	calf	nyalbi
3.25	sheep	təm
3.26	ram	gaŋlaŋ
3.28	ewe	təm
3.29	lamb	mii təm
3.32	boar	shiŋərim
3.34	sow	[alade]
3.35	pig	alade
3.36	goat	maar
3.37	he-goat	gwapshəŋ
3.38	kid	wun maar
3.41	horse (equine)	pərsə
3.42	stallion	--
3.44	mare	[goɗiya]
3.45	foal, colt	wun pərsə
3.46	ass, donkey	shyaaki
3.47	mule	[alfadari]
3.5	fowl	kooro
3.52	cock, rooster	toghsə; twaghsə
3.54	hen	kooro
3.55	chicken	kooro
3.56	goose	agwagwaa maa
3.57	duck	[agwagwaa]
3.58	nest	been yaadli
3.581	bird	yaadli
3.582	seagull	--
3.583	heron	gwarmadak
3.584	eagle	gəəm
3.585	hawk	suura
3.586	vulture	kwaɗak
3.591	bat	zəŋər
3.592	parrot	[aku]
3.593	crow	ŋgwaak
3.594	dove	ciguuru; cugooro
3.596	owl	zhizhi
3.61	dog	yar
3.614	rabbit	zom
3.62	cat	muus
3.622	opossum	--
3.63	mouse, rat	kusum
3.65	fish	geesi
3.652	fin (dorsal)	bəghəm geesi
3.653	fishscale	kor geesi
3.654	gill	bəghəm geesi
3.655	shell	gyiŋgyal
3.661	shark	--
3.662	porpoise, dolphin	--
3.663	whale	--
3.664	stingray	--
3.665	freshwater eel	--
3.71	wolf	--
3.72	lion	bor
3.73	bear	--
3.74	fox	byau
3.75	deer	mbaran
3.76	monkey	garə; bərr; dzuŋbər
3.77	elephant	liŋ
3.78	camel	[rakˀumi]
3.81	insect	pupələm
3.811	louse	kwarkwata
3.812	nit (louse egg)	--
3.813	flea	twadlii
3.814	centipede	dzuŋganca
3.815	scorpion	yində
3.816	cockroach	pupələm
3.817	ant	--
3.818	spider	loghən
3.819	spider web	been loghən
3.82	bee	dzom
3.821	beeswax	--
3.822	beehive	--
3.823	wasp	hiŋhiŋ
3.83	fly	yaləm
3.831	sandfly (midge), gnat	--
3.832	mosquito	furen
3.84	worm	byamlak
3.85	snake	koŋkoŋ
3.91	firefly	mbil
3.92	butterfly	pakpaksher
3.93	grasshopper	kaaɓən
3.94	snail	toŋlaŋ
3.95	frog	tajoori
3.96	lizard	tablaŋ
3.97	crocodile, alligator	korom
3.98	turtle	kurbi
4.11	body	dlii
4.12	skin, hide	kur
4.13	flesh	sooka
4.14	hair (head)	tsuruŋ
4.142	beard	bəmzə
4.144	body hair	tsuruŋ dlii
4.145	pubic hair	tsuruŋ gaamwar
4.146	dandruff	tsagha gaam
4.15	blood	buran; bəran
4.151	vein, artery	tsop buran
4.16	bone	gooloo
4.162	rib	goolə gəp
4.17	horn	mbee
4.18	tail	tsər
4.19	back	kar
4.191	spine	goolə kar
4.2	head	gaam
4.201	side of head, temple	kum gaam
4.202	skull	gooloo gaam
4.203	brain	ɓurgo gaam
4.204	face	yiir
4.205	forehead	naŋ gaam
4.207	jaw	goolaŋa
4.208	cheek	gəsh kəəˑm
4.209	chin	boghom
4.21	eye	yiir
4.212	eyebrow	gəŋ iir
4.213	eyelid	kur-yiir
4.214	eyelash	tsuruŋyir
4.215	blink	njəpyiir
4.22	ear	kəəm
4.221	earlobe	wal kəəm
4.222	earwax	nzuk kəəm
4.23	nose	cin
4.231	nostril	shuu cin
4.232	mucus (nasal)	naghan
4.24	mouth	bii
4.241	beak	bii yadli
4.25	lip	wal bii
4.26	tongue	nyatl
4.27	tooth	shen
4.271	gums	deelim
4.272	molartooth	karagha
4.28	neck	yuwar
4.281	nape of neck	--
4.29	throat	ŋgwaŋəlaŋ
4.3	shoulder	bablaŋ
4.301	shoulderblade	goolə bablaŋ
4.302	collarbone	goolə yuwar
4.31	arm	aam
4.312	armpit	dlaŋgo
4.32	elbow	ŋgwatl
4.321	wrist	yuwar aam
4.33	hand	aam
4.331	palm of hand	gip aam
4.34	finger	mii aam
4.342	thumb	goŋ aam
4.344	fingernail	mbek
4.345	claw	mbek
4.35	leg	asəm
4.351	thigh	tsəghən
4.352	calf of leg	--
4.36	knee	gaam kwitlkən
4.37	foot	asəm
4.371	ankle	yiir asəm
4.372	heel	ɓəpsə asəm
4.374	footprint	rəp asəm
4.38	toe	mii asəm
4.392	wing	bəghəm
4.393	feather	tsuruŋ
4.4	chest	bəgəəp
4.41	breast (of woman)	neen
4.412	nipple, teat	bəneen
4.42	udder	neen
4.43	navel	mbutl
4.44	heart	mbatl
4.441	lung	vaktarak
4.45	liver	mbatl
4.451	kidney	mbarləm
4.452	spleen	labaara
4.46	stomach	tuu
4.461	intestines, guts	wat
4.462	waist	ndaŋ; gəsh tuu
4.463	hip	kuŋtukuŋ
4.464	buttocks	gəsh; gish
4.47	womb	tler gərəghən
4.49	testicle	jindi
4.492	penis	wagham
4.51	breathe, breath	səghəntə
4.52	yawn, gape	həəm
4.521	hiccough	tləghət
4.53	cough	itlaa
4.54	sneeze	disha
4.55	perspire	saaləmtə
4.56	spit	topa
4.57	vomit	biighən
4.58	bite	nyaŋsə
4.59	lick	ɓəəp
4.591	dribble	--
4.61	sleep	yimbur
4.612	snore	kwaraghən
4.62	dream	farwali
4.63	wake up	tlet
4.64	break wind	ti ish; ti
4.65	urinate	ti baas
4.66	defecate	ndzom ish
4.67	have sexual intercourse	kwak
4.68	shiver	dlaar
4.69	bathe	fwaptə
4.71	beget (of father)	--
4.72	born (to be)	gər
4.73	pregnant	tuughə gərtə
4.732	conceive	pər tuu
4.74	live, living, life	shik-; baltə
4.75	die, dead	məs; məsi
4.751	drowned	--
4.76	kill	kashe
4.77	corpse	vuni
4.78	bury (the dead)	laaptə
4.79	grave, tomb	gaam gipsə
4.81	strong, mighty, powerful	nyap; nyapkən
4.82	weak	foghəl
4.83	well, health	tlet kalaw
4.84	sick, sickness	shekamkam
4.841	fever	ŋanŋən
4.842	goiter	mwaɗəyuwar
4.843	cold (catarrh)	naaghan
4.85	wound, sore	ciwo
4.852	bruise	mok
4.853	swelling	mwat
4.854	itch	kaptə
4.855	blister	--
4.856	boil (noun)	wanjaane
4.857	pus	roo
4.858	scar	lowan
4.86	cure, heal	fəɗə
4.87	physician	likitən; kon woghən
4.88	medicine, drug	woghən; woghən bən
4.89	poison	maa woghən; pyas woghən
4.91	tired, weary	gəji
4.912	rest	səghən
4.92	lazy	--
4.93	bald	mogha gaam
4.94	lame	ŋgurum
4.95	deaf	ndwaghəm
4.96	mute	ɓaaɓa
4.97	blind	dzuwaan
4.98	intoxicated	ɗok nə zuri
4.99	naked, bare	[siraara]
5.11	eat	ci
5.12	food	rəpci
5.121	cooked	tsor
5.122	raw	ɗeghai
5.123	ripe	nyoo
5.124	green, unripe	gwaami
5.125	rotten	roos
5.13	drink	tlee
5.14	hunger	gusum
5.141	famine	raaraka
5.15	thirst	gər maa
5.16	suck	ɓəəp
5.18	chew	ɗaam
5.181	swallow	zəngaa
5.19	choke	ŋgap yuwar
5.21	cook	tsor
5.22	boil (vb)	ful
5.23	roast, fry	bak
5.24	bake	bak
5.25	oven	tandeeruu
5.26	pot, cooking vessel	caan; taŋ
5.27	kettle	caan
5.28	pan	--
5.31	dish	--
5.32	plate	--
5.33	bowl	--
5.34	pitcher, jug	--
5.35	cup, drinking vessel	--
5.36	saucer	--
5.37	spoon	kəŋga
5.38	knife	sərəp
5.39	fork	--
5.391	tongs	ŋgal
5.41	meal (a)	rəpci
5.42	breakfast	rəpcighə tlitliin
5.43	lunch	rəpcighə piɗi
5.44	dinner	rəpcighə vor
5.45	supper	rəpcighə vor
5.46	peel	tyat
5.47	sieve, strain	tsərəŋ
5.48	scrape	wagha
5.49	stir, mix	kətl
5.51	bread	--
5.53	dough	--
5.54	knead	--
5.55	meal, flour	cap
5.56	crush, grind	nok; noghvon
5.57	mill	rəp mbaaɓə
5.58	mortar	itlaŋ
5.59	pestle	aam itlaŋ
5.61	meat	tloo
5.63	sausage	--
5.64	soup, broth	miitli
5.65	vegetables	rəpkə lambu
5.66	bean	zaam
5.7	potato	lawur
5.71	fruit	gər pət
5.712	bunch	dzom
5.75	fig	tsorom
5.76	grape	--
5.77	nut	--
5.78	olive	--
5.79	oil	ɗiin
5.791	grease, fat	ɗogho
5.81	salt	kwi
5.82	pepper	talas
5.821	chili pepper	--
5.84	honey	dzom
5.85	sugar	[səkar]
5.86	milk (noun)	madara
5.87	milk (vb)	zhootə neen
5.88	cheese	--
5.89	butter	ɗiin tlaa
5.9	beverage, drink	--
5.91	mead	ɗok
5.92	wine	--
5.93	beer	ɗok
5.94	fermented drink	ɗok
5.97	egg	mbwatl
5.971	egg yolk	--
6.11	put on (clothes)	ŋgar loghət
6.12	clothing, clothes	loghət
6.13	tailor	[tela]
6.21	cloth	--
6.22	wool	--
6.23	linen, flax	--
6.24	cotton	pəɗək
6.25	silk	--
6.27	felt	--
6.28	fur	tsuruŋ
6.29	leather	kur
6.31	spin	mbok
6.32	spindle	kaskara
6.33	weave	tsoghay
6.34	loom	--
6.35	sew	rap
6.36	needle	alluura
6.37	awl	zhoŋar
6.38	thread	abawa
6.39	dye	--
6.41	cloak	--
6.411	poncho	--
6.42	woman's dress	--
6.43	coat	--
6.44	shirt	--
6.45	collar	--
6.46	skirt	--
6.461	grass-skirt	ŋgar wal
6.48	trousers	--
6.49	stocking, sock	--
6.51	shoe	cugopsi
6.52	boot	[but]
6.54	shoemaker, cobbler	--
6.55	hat, cap	[taagiiya]
6.57	belt, girdle	--
6.58	glove	--
6.59	veil	[hijaab]
6.61	pocket	[aljuhu]
6.62	button	[aniinii]
6.63	pin	--
6.71	ornament, adornment	ərəm ado
6.72	jewel	--
6.73	ring (for finger)	[zobbe]
6.74	bracelet	yit
6.75	necklace	zululu
6.76	bead	--
6.77	earring	--
6.78	headband, headdress	kwaali
6.79	tattoo	tloolə
6.81	handkerchief, rag	--
6.82	towel	[taawul]
6.91	comb	zaar
6.92	brush	--
6.921	braid	tsoghə gaam
6.93	razor	[reza]
6.94	ointment	ɗiin
6.95	soap	[saabulu]
6.96	mirror	[maganii]
7.11	dwell, live	shik
7.12	house	keen; tlaap
7.13	hut	kanja
7.131	garden-house	--
7.14	tent	--
7.15	yard, court	ɗəl keen
7.16	men's house	--
7.17	cookhouse	--
7.18	meeting house	--
7.21	room	tlaap
7.22	door, gate	biibi
7.221	doorpost, jamb	gaam biibi
7.23	lock (noun)	[makulli]
7.231	latch, door-bolt	[sakata]
7.24	key	[mabuuɗi]
7.25	window	[taaga]
7.26	floor	[daɓee]
7.27	wall	tu keen
7.31	fireplace	been tsop
7.32	stove	pyeghət
7.33	chimney	--
7.37	ladder	dlaŋtaŋ
7.42	bed	gudu
7.421	pillow	ərkənnə
7.422	blanket	bargoo
7.43	chair	daan
7.44	table	[teebur]
7.45	lamp, torch	[pitila]
7.46	candle	[kyandir]
7.47	shelf	aam kir
7.48	trough	kumtə
7.51	roof	yar
7.52	thatch	yar
7.53	ridgepole	ghart
7.54	rafter	--
7.55	beam	taŋka
7.56	post, pole	tsaŋ
7.57	board	[kaataakoo]
7.58	arch	məəm
7.61	mason	--
7.62	brick	goŋraŋ
7.63	mortar	gurugho
7.64	adobe	--
8.11	farmer	mun ŋgərəghə
8.12	field (for cultivation)	zhim
8.13	garden	[lambu]
8.15	cultivate, till	ŋgərəghə
8.16	fence	[darni]
8.17	ditch	[gada]
8.21	plow	jer
8.212	furrow	zhel
8.22	dig	ɗok shuu; kəptə
8.23	spade	yuuru
8.24	shovel	--
8.25	hoe	yuuru
8.26	fork	--
8.27	rake	[manjagara]
8.31	sow	kəp
8.311	seed	batər
8.32	mow, reap	tloo
8.33	sickle, scythe	[lauje]
8.34	thresh	zok
8.35	threshing-floor	--
8.41	crop, harvest	[girbi]
8.42	grain (barley, oats etc)	wu
8.43	wheat	--
8.44	barley	--
8.45	rye	--
8.46	oats	--
8.47	maize, corn	buŋgwaaren
8.48	rice	shiŋga
8.51	grass	məi
8.52	hay	kun məi
8.53	plant (noun)	kəp
8.531	plant (vb)	kəp
8.54	root	tlertə pət; tler pət
8.55	branch	bə aam; aam pət
8.56	leaf	wal
8.57	flower	pas
8.6	tree	pət
8.61	oak	--
8.62	beech	--
8.63	birch	--
8.64	pine	--
8.65	fir	--
8.66	acorn	--
8.67	vine	--
8.68	tobacco	taaba; tunkura
8.69	smoke (tobacco)	kələm
8.691	pipe	cantaaba
8.72	tree stump	ndənzə pət
8.73	tree trunk	--
8.74	forked branch	ŋgapcaŋ
8.75	bark	koor pət
8.76	sap	nzuk
8.81	palm tree	[kwaakwaa]
8.82	coconut	[kwaakwaa]
8.83	citrus fruit	--
8.84	banana tree	ayaba
8.85	banyan	--
8.91	sweet potato	lawur
8.912	yam	gutlum
8.92	tapioca, manioc, cassava	--
8.93	gourd	kaalə
8.931	pumpkin, squash	ɓaar
8.94	bamboo	məghə
8.941	sugar cane	[rike]
8.96	fish poison (root)	maakoba; maakuba
8.97	nettle	--
8.98	mushroom	--meeta; mbarmat; ləɗəntə; gaŋgaŋ zoomoo
9.11	do, make	pur
9.12	work	səntə
9.14	bend	ŋgwoŋ
9.15	fold	naak
9.16	tie, bind	ləŋ
9.161	untie	təs
9.18	chain	sarka
9.19	rope, cord	tler
9.192	knot (noun)	kutl
9.21	strike (hit, beat)	dzu
9.211	pound with fist	ɗok
9.22	cut	njaŋ
9.221	cut down	rapsə
9.222	chop, hew	rapsə
9.223	stab	ɓəŋ
9.23	knife	sərəp
9.24	scissors, shears	--
9.25	ax	wotkə
9.251	adze	kas
9.26	break	tsak
9.261	broken	ŋgəl
9.27	split	vye rop
9.28	tear	tarr; tla�ktə
9.29	flay, skin	lurr
9.31	rub, wipe	berrdlek
9.32	stretch	tək
9.33	pull	jaa
9.34	spread out	baza
9.341	hang up	zat
9.342	press	dənna
9.343	squeeze, wring	zho
9.35	pour	gasaŋ
9.36	wash	fwap
9.37	sweep	saat
9.38	broom	səndaarə
9.422	tool	ərəm mbaaɓə
9.43	carpenter	[kaapinta]
9.44	build	tsok
9.46	bore	ɓəŋ
9.461	hollow out	kumtə
9.48	saw	zartə
9.49	hammer	fəmbə
9.5	nail	mbek
9.56	glue	--
9.6	smith, blacksmith	shugop
9.61	forge	shugop
9.62	anvil	been shugop
9.63	cast (metals)	--
9.64	gold	zinari
9.65	silver	tookiya
9.66	copper, bronze	lagham val
9.67	iron	dzuŋ val
9.68	lead (noun)	[dalmaa]
9.69	tin, tinplate	gyenəŋ
9.71	potter	ger (kon) tsogho waasən
9.72	mold (clay etc)	--
9.73	clay	--
9.74	glass	--
9.75	weave, plait	tsok
9.76	basket	gəəptə
9.77	mat	kwaasə
9.771	rug	darduma
9.78	netbag	kataŋkoo
9.79	fan (noun)	mafifici
9.791	fan (vb)	[fifita]
9.81	carve	ɓok
9.82	sculptor	kon ɓok; kon ɓogha
9.83	statue	wun baam
9.84	chisel	giŋgyal
9.88	paint (noun)	[penti]
9.89	paint (vb)	pur [penti]
10.11	move	pərdli
10.12	turn over	bal; bali
10.13	turn around	ŋgwaktə
10.14	wind, wrap	naak
10.15	roll	tumti
10.16	drop (vb)	nda
10.17	twist	byaŋar
10.21	rise	tswa; tsoo
10.22	raise, lift	ɗaga
10.23	fall	nda
10.24	drip	--
10.25	throw	ŋgar
10.252	catch (ball)	guɓi
10.26	shake	dəŋəl
10.32	flow	--
10.33	sink	mbul
10.34	float	məər adan maa; tlet adanmaa
10.35	swim	dali maa
10.351	dive	--
10.352	splash	pyaasa
10.36	sail (vb)	--
10.37	fly (vb)	tleda leyam
10.38	blow	fwaat
10.41	creep, crawl	gurruptə
10.412	kneel	zhok
10.413	crouch	gurup
10.42	slide, slip	sheləŋtə
10.43	jump, leap	raam
10.431	kick	mbok; omti mvok
10.44	dance	tlaar
10.45	walk	dəksə
10.451	limp	ŋgurum
10.46	run	kətər
10.47	go	nduu
10.471	go up	tswa; tsoo
10.472	climb	tsoo
10.473	go down	myes; mees
10.474	go out	ɗəl
10.48	come	rit
10.481	come back	mən
10.49	go away, depart	nduu
10.491	disappear	mal
10.51	flee	pyar tee kətərtə
10.52	follow	bilti
10.53	pursue	ndaa tee aakar
10.55	reach, arrive	tsullə
10.56	approach	roomat
10.57	enter	soo; tsət
10.61	carry (bear)	kən
10.612	carry-in-hand	guɓi
10.613	carry-on-shoulder	--
10.614	carry-on-head	--
10.615	carry-underarm	--
10.62	bring	yoor ...rit
10.63	send	sən
10.64	lead (vb)	--
10.65	drive	ləm
10.66	ride	tsoo
10.67	push, shove	tum
10.71	road	tsop
10.72	path	tsop
10.74	bridge	[gada]
10.75	carriage, wagon, cart	--
10.76	wheel	garegare
10.77	axle	--
10.78	yoke	--
10.81	ship	--
10.83	boat	--
10.831	canoe	kumtə
10.832	outrigger	--
10.84	raft	--
10.85	oar	meelaŋ kaɗa tu jirgi
10.851	paddle (noun)	--
10.852	row (vb)	[tukai]
10.86	rudder	--
10.87	mast	--
10.88	sail (noun)	--
10.89	anchor	--
10.91	harbor, port	--
10.92	land (vb)	--
11.11	have	kap
11.12	own, possess	--
11.13	take	kən
11.14	seize, grasp	voktə
11.15	hold	guɓi
11.16	get, obtain	pat
11.17	keep, retain	vundər
11.18	thing	ərəm
11.21	give	buri
11.22	give back	məndər
11.24	preserve, look after	--
11.25	save, rescue	ɗəlti
11.27	destroy	lii
11.28	harm, injure, damage	[cucee]
11.31	seek, look for	mbək; mbəghə
11.32	find	paɗi
11.33	lose	mal
11.34	release, let go	ŋgar
11.43	money	wurɓə
11.44	coin	saaba
11.51	rich	yan rəp
11.52	poor	barak rəəp
11.53	beggar	bara
11.54	avaricious, stingy	ɗaasə
11.61	lend	dzur
11.62	borrow	kap dzur
11.63	owe	biltədzur
11.64	debt	dzur
11.65	pay (vb)	kwaat
11.66	account, reckoning	tsul
11.69	tax, tribute	wurɓə gandu
11.77	hire	hayaa
11.78	wages	kwattəghə caar
11.79	earn	--
11.81	buy	ɗep
11.82	sell	ɗeeɓər
11.83	trade, barter	[kasuwanci]
11.84	merchant	kon kasuwa
11.85	market (place)	[kaasuwa]
11.86	store, shop	[kanti]
11.87	price	[laada]
11.88	dear (costly, expensive)	[saada]
11.89	cheap	[araha]
11.91	share (distribute)	vye
11.92	weigh	pyaghsə
12.1	after	taŋkar
12.11	behind	kar
12.2	beside	aa bə; bə
12.3	down, below	aa atl
12.4	before	panti; dede
12.41	front	nan
12.5	inside, in	a gip
12.6	outside	kaari
12.7	under	aa gəsh
12.8	up, above	aa leyam
12.11	place	rəəp
12.12	put	naa
12.13	sit	shik
12.14	lie down	məər
12.15	stand	dler
12.16	remain, stay	ɓəətəŋ
12.17	remains, left overs	pasaŋi
12.21	collect, gather	dzomi
12.212	pick up	kən
12.213	pile up	kashi
12.22	join, unite	maŋ
12.23	separate	vye
12.232	divide	vye
12.24	open	ta
12.25	shut, close	git
12.26	cover	zupti
12.27	hide, conceal	vundər
12.31	high	leyam
12.32	low	atl
12.33	top	byaŋ
12.34	bottom	gəsh
12.35	end	liŋ
12.352	pointed	byertə
12.353	edge	bii
12.36	side	kar
12.37	middle, center	dlam
12.41	right (side)	shimlə
12.42	left (side)	kalaŋ; kalaŋ
12.43	near (adv)	mat
12.44	far (adv)	dleyam
12.45	east	vaari tee mi
12.46	west	leyam teemi
12.47	north	areewa
12.48	south	kudu
12.53	grow	--
12.54	measure	gwada
12.541	span, fathom	--
12.55	large, big	daŋai
12.56	small, little	gəɓi
12.57	long	zhaŋti
12.58	tall	lwii
12.59	short	ndəghei
12.61	wide, broad	ŋaləŋai
12.62	narrow	maɓi
12.63	thick (in dimension)	tswa
12.65	thin (in dimension)	jalaŋlal
12.67	deep	goroŋ; goroŋi
12.68	shallow	goroŋ nəŋ
12.71	flat	kwaghal
12.73	straight	təghei
12.74	crooked	ŋgwoŋ
12.75	hook	[kuugiyaa]
12.76	corner	duŋgu
12.77	cross	--
12.78	square	--
12.81	round	--
12.82	circle	kugh loghəi
12.83	sphere, ball	--
12.84	line	--
12.85	hole	shuu
12.92	like, similar	waa
12.93	change	[canji]
13.0	zero, nothing	--
13.1	one	nəm, bəgya
13.2	two	rop
13.3	three	meen
13.4	four	woopsə
13.5	five	naamtam
13.6	six	maagh
13.7	seven	wussərəmeen
13.8	eight	wusupsə
13.9	nine	nantorəpsə
13.10	ten	zup
13.101	eleven	zup tlii nəəm
13.102	twelve	zup tlii rop
13.103	fifteen	zup tli naamtam
13.104	twenty	ziirop
13.105	hundred	te nəm
13.106	thousand	[duɓənəəm]
13.107	count	dliim
13.14	every, all	kwaŋ
13.15	much, many	ŋaar
13.16	more	[daɗa]
13.17	little (quantity), few	gəp
13.18	enough	kəmi
13.181	some	bəjən
13.19	multitude, crowd	taaroo mbaam
13.21	full	kəmi
13.22	empty	regiiraŋ
13.23	part, piece	jaŋei
13.24	half	[rabi]
13.33	alone, only	woŋgən
13.34	first	faari
13.35	last	talləm
13.36	second	kə rop
13.37	pair	rop rop
13.38	two times	asəmii rop
13.42	third	kə meen
13.44	three times	asəmii meen
14.11	time	lokaci
14.12	age	--
14.13	new	məri
14.14	young	--
14.15	old	gwaasi
14.16	early	rəɓi
14.17	late	makara
14.18	now	ɗagi
14.19	immediately	[maza-maza]
14.21	swift, fast, quick	--
14.22	slow	leelee
14.23	hasten, hurry	batl
14.24	retard, delay	laŋagaam
14.25	begin, beginning	sooma
14.252	last, endure	--
14.26	end (temporal)	pagha
14.27	finish	pagha
14.28	cease, stop	--
14.29	ready	[shirya]
14.31	always	[kullum]
14.32	often	adəne adəne
14.33	sometimes	lokaci gələm
14.331	soon	[an juma]
14.332	long-time (for a)	zhəŋtə lookacii
14.34	never	taɓa
14.35	again	panti
14.41	day	piiɗi
14.42	night	vor
14.43	dawn	tloghən ŋə rəp
14.44	morning	tli tliin
14.45	noon, midday	piiɗi
14.451	afternoon	piiɗi
14.46	evening	siitə
14.47	today	pit goon, piɗi gon
14.48	tomorrow	tlii
14.481	day-after-tomorrow	tlii ghə gwa
14.49	yesterday	mbor
14.491	day-before-yesterday	mbuga
14.51	hour	awa
14.53	clock, timepiece	--
14.61	week	saati
14.62	Sunday	--
14.63	Monday	[liitini]
14.64	Tuesday	Talata
14.65	Wednesday	--
14.66	Thursday	--
14.67	Friday	--
14.68	Saturday	--
14.71	month	car
14.73	year	shekaara
14.74	winter	--
14.75	spring	--
14.76	summer	--
14.77	autumn	--
14.78	season	--
15.21	smell (vb intrans)	ɗusuŋ
15.212	sniff	jaa kəmshi
15.22	smell (vb trans)	uusughi
15.25	fragrant, good smelling	kəmshi
15.26	stinking, bad smelling	ɗusuŋi
15.31	taste	nyaasəm
15.35	sweet	təm
15.36	salty	kwi
15.37	bitter	ɗaasə
15.38	acid, sour	manzəŋai
15.39	brackish	kəŋwa
15.41	hear	wom
15.42	listen	dler waagii
15.44	sound, noise	amo
15.45	loud	nyap
15.46	quiet, silence	yoghən
15.51	see	yen
15.52	look, look at	yeni
15.55	show	yenti
15.56	shine	tari
15.57	bright	--
15.61	color	[kala]
15.62	light (in color)	pelaŋai
15.63	dark (in color)	dzughən
15.64	white	faali
15.65	black	dzuŋi
15.66	red	lagham, laghəmi
15.67	blue	shuuɗi
15.68	green	[koore]
15.69	yellow	maa mbetlim
15.71	touch	nduk
15.712	pinch	riŋga
15.72	feel	wom
15.74	hard	nyaɓi
15.75	soft	nyapɗaŋ
15.76	rough	woghshəp
15.77	smooth	mul
15.78	sharp	ciighən
15.79	blunt, dull	eeciiraŋ; ndus
15.81	heavy	ŋaɓər
15.82	light (in weight)	həptələm
