entry_id	trans_english	Marquesan_Phonemic
5.53	dough	me he popoi; me he ma
5.54	knead	
5.55	meal, flour	
5.56	crush, grind	tuki; tukituki; e haá éhu; e paópaó; e haá mama ota
5.57	mill	mea kavií
5.58	mortar	paémo
5.59	pestle	momau tuki
5.61	meat	kiko
5.63	sausage	
5.64	soup, broth	
5.65	vegetables	
5.66	bean	
5.7	potato	
5.71	fruit	
5.712	bunch	e aihu óa; e pupa mutie; e pupa teita
5.75	fig	
5.76	grape	
5.77	nut	áma
5.78	olive	
5.79	oil	kao
5.791	grease, fat	kao
5.81	salt	kanatai; puhinaú
5.82	pepper	
5.821	chili pepper	
5.84	honey	manini taí a e te tikaué
5.85	sugar	
5.86	milk (noun)	vai-u
5.87	milk (vb)	
5.88	cheese	
5.89	butter	
5.9	beverage, drink	e fainu (e hainu); mea inu
5.91	mead	
5.92	wine	
5.93	beer	
5.94	fermented drink	pupuhi
5.97	egg	mamai
5.971	egg yolk	éna mamai
6.11	put on (clothes)	kahu
6.12	clothing, clothes	áhu
6.13	tailor	
6.21	cloth	tapa; kahu
6.22	wool	
6.23	linen, flax	
6.24	cotton	
6.25	silk	
6.27	felt	
6.28	fur	kahu ki puaka
6.29	leather	tapií
6.31	spin	fió; hió
6.32	spindle	mea kavií aho
6.33	weave	aáka; e keana (e éana)
6.34	loom	
6.35	sew	tui
6.36	needle	nina, e rira; e nina hunahuna
6.37	awl	e taá
6.38	thread	aho
6.39	dye	tapuí; tapau
6.41	cloak	e tu anaé
6.411	poncho	
6.42	woman's dress	ropa; kahu ropa; kahu tuí
6.43	coat	
6.44	shirt	kahu úna (e kahu úka)
6.45	collar	
6.46	skirt	kahu úna; eéuéu; kaeu
6.461	grass-skirt	
6.48	trousers	
6.49	stocking, sock	
6.51	shoe	aihu; fafi vaevae
6.52	boot	
6.54	shoemaker, cobbler	
6.55	hat, cap	paé keapu; paé hauáni
6.57	belt, girdle	takakoói; e pitií-koói; e kitií-koói
6.58	glove	
6.59	veil	
6.61	pocket	
6.62	button	e hoé; e tupu
6.63	pin	pine; vihuka
