entry_id	trans_english	Russian_Phonemic
4.49	testicle	mudo; jajco
4.492	penis	polovoj; xuj
4.51	breathe, breath	dyšat ́, dyxanie
4.52	yawn, gape	zevat
4.521	hiccough	ikat
4.53	cough	kašljat
4.54	sneeze	čixat
4.55	perspire	potet
4.56	spit	plevat
4.57	vomit	blevat ́; izrygat
4.58	bite	kusat ́ (gryzt ́)
4.59	lick	lizat
4.591	dribble	puskat ́ sljuni
4.61	sleep	spat ́; son
4.612	snore	xrapet
4.62	dream	son (mečta)
4.63	wake up	(raz)budit ́; prosnut ́sja
4.64	break wind	perdet ́; bzdet
4.65	urinate	močit ́sja; moča
4.66	defecate	ispražnjat ́sja
4.67	have sexual intercourse	sovokupit ́sja; ebat ́; eti; et
4.68	shiver	drožat
4.69	bathe	kupat ́sja
4.71	beget (of father)	rodit
4.72	born (to be)	rodit ́sja; roždënnyj (= né)
4.73	pregnant	beremennaja
4.732	conceive	začat
4.74	live, living, life	žit ́; živoj; živuščij; žizn
4.75	die, dead	umirat ́ umeret ́; mërtvyj; smert
4.751	drowned	utonutyj
4.76	kill	ubit
4.77	corpse	trup
4.78	bury (the dead)	(po)xoronit
4.79	grave, tomb	mogila (grob)
4.81	strong, mighty, powerful	sil ́nyj; močnyj
4.82	weak	slabyj
4.83	well, health	zdorovyj, zdorovje
4.84	sick, sickness	bol ́noj; bolezn
4.841	fever	žar; lixoradka
4.842	goiter	zob
4.843	cold (catarrh)	gripp
4.85	wound, sore	rana
4.852	bruise	sinjak
4.853	swelling	opuxol
4.854	itch	zud; česotka
4.855	blister	voldyr
4.856	boil (noun)	furunkul ́; naryv
4.857	pus	gnoj
4.858	scar	šram; rubec (?)
4.86	cure, heal	vylečit ́; iscelit ́; lečit
4.87	physician	vrač; lekar
4.88	medicine, drug	lekarstvo
4.89	poison	jad; otrava
4.91	tired, weary	ustavšij; utomljennyj; ustalyj
4.912	rest	otdyxat
4.92	lazy	lenivyj
4.93	bald	lysyj; plešivyj
4.94	lame	xromoj
4.95	deaf	gluxoj
4.96	mute	nemoj
4.97	blind	slepoj
4.98	intoxicated	p ́janyj
4.99	naked, bare	nagoj; golyj
5.11	eat	jest ́ (kušat ́)
5.12	food	pišča; jeda
5.121	cooked	povarennyj
5.122	raw	syroj
5.123	ripe	spelyj, zrelyj
5.124	green, unripe	nezrelyj; syroj
5.125	rotten	gniloj
5.13	drink	pit
5.14	hunger	golod
5.141	famine	golod, golodanie
5.15	thirst	žažda
5.16	suck	sosat
5.18	chew	ževat
5.181	swallow	glotat
5.19	choke	davit ́sja
5.21	cook	varit
5.22	boil (vb)	kipjatit ́; kipet
5.23	roast, fry	žarit
5.24	bake	peč
5.25	oven	peč
5.26	pot, cooking vessel	goršok
5.27	kettle	kotel
5.28	pan	skovoroda
5.31	dish	tarelka
5.32	plate	tarelka
5.33	bowl	bljudo
5.34	pitcher, jug	kuvšin; kružka
5.35	cup, drinking vessel	čaška
5.36	saucer	bljudce
5.37	spoon	ložka
5.38	knife	nož
5.39	fork	vilka
5.391	tongs	ščipcy
5.41	meal (a)	jeda
5.42	breakfast	zavtrak
5.43	lunch	vtoroj; zavtrak
5.44	dinner	obed
5.45	supper	užin
5.46	peel	lupit
5.47	sieve, strain	proseivat
5.48	scrape	skresti
5.49	stir, mix	mešat
5.51	bread	xleb
5.53	dough	testo
5.54	knead	mesit
5.55	meal, flour	muka
5.56	crush, grind	molot
5.57	mill	mel ́nica
5.58	mortar	stupa
5.59	pestle	pestik
5.61	meat	mjaso
5.63	sausage	kolbasa
5.64	soup, broth	sup; uxa
5.65	vegetables	zelen ́; ovošči
5.66	bean	bob; fasol
5.7	potato	kartofel
5.71	fruit	frukty; plody
5.712	bunch	kist ́; grozd ́; pačka
5.75	fig	figa
5.76	grape	vinograd
5.77	nut	orex
5.78	olive	olivka
5.79	oil	maslo
5.791	grease, fat	žir
5.81	salt	sol
5.82	pepper	perec
5.821	chili pepper	krasnyj stručkovyj perec
5.84	honey	mëd (m ́od)
5.85	sugar	saxar
5.86	milk (noun)	moloko
5.87	milk (vb)	dojit
5.88	cheese	syr (tvorog)
5.89	butter	maslo
5.9	beverage, drink	napitok
5.91	mead	mëd
5.92	wine	vino
5.93	beer	pivo
5.94	fermented drink	kvas
5.97	egg	jajco
5.971	egg yolk	želtok
6.11	put on (clothes)	odet
6.12	clothing, clothes	odežda; plat ́je
6.13	tailor	portnoj
6.21	cloth	tkan ́; sukno; materija
6.22	wool	šerst
6.23	linen, flax	len ́; xolst
6.24	cotton	xlopok
6.25	silk	šëlk
6.27	felt	vojlok
6.28	fur	mex
6.29	leather	koža
6.31	spin	sprjast ́; prjast
6.32	spindle	vereteno
6.33	weave	tkat ́; plesti
6.34	loom	stanok
6.35	sew	šit
6.36	needle	igla; igolka
6.37	awl	šilo
6.38	thread	nit ́, nitka
6.39	dye	krasit
6.41	cloak	plašč
6.411	poncho	[pončo]
6.42	woman's dress	platje
6.43	coat	pal ́to
6.44	shirt	rubaška
6.45	collar	vorotnik, vorotniček
6.46	skirt	jubka
6.461	grass-skirt	--
6.48	trousers	štany (pantalony; brjuki)
6.49	stocking, sock	čulok
6.51	shoe	tuflja
6.52	boot	sapog
6.54	shoemaker, cobbler	sapožnik; bašmačnik
6.55	hat, cap	šljapa; šapka
6.57	belt, girdle	pojas; kušak
6.58	glove	perčatka
6.59	veil	vual
6.61	pocket	karman
6.62	button	pugovica
6.63	pin	bulavka
6.71	ornament, adornment	ukrašenie
6.72	jewel	dragocennost
6.73	ring (for finger)	kol ́co
6.74	bracelet	braslet
6.75	necklace	ožerel ́je
6.76	bead	šarik
6.77	earring	ser ́ga
6.78	headband, headdress	povjazka na golove; golovnój ubor
6.79	tattoo	tatuirovka
6.81	handkerchief, rag	platok
6.82	towel	polotence
6.91	comb	greben ́, grebenka
6.92	brush	ščëtka
6.921	braid	kosa
6.93	razor	britva
6.94	ointment	maz
6.95	soap	mylo
6.96	mirror	zerkalo
7.11	dwell, live	žit ́; obitat
7.12	house	dom
7.13	hut	xižina; lačuga
7.131	garden-house	besedka
7.14	tent	palatka; šatër
7.15	yard, court	dvor
7.16	men's house	osobyj dom dlja muščin
7.17	cookhouse	nadvornaja kuxnja
7.18	meeting house	molitvennyj dom
7.21	room	komnata
7.22	door, gate	dver ́; vorota
7.221	doorpost, jamb	dvernoj kosjak
7.23	lock (noun)	zamok
7.231	latch, door-bolt	zapor
7.24	key	ključ
7.25	window	okno
7.26	floor	pol
7.27	wall	stena
7.31	fireplace	kamin
7.32	stove	peč
7.33	chimney	truba
7.37	ladder	lestnica
7.42	bed	krovat ́; postel ́(lože)
7.421	pillow	poduška
7.422	blanket	odejalo
7.43	chair	stul
7.44	table	stol
7.45	lamp, torch	lampa; fakel
7.46	candle	sveča
7.47	shelf	polka
7.48	trough	vodopoj
7.51	roof	kryša
7.52	thatch	solomennaja kryša
7.53	ridgepole	konëk
7.54	rafter	stropilo; balka
7.55	beam	brus
7.56	post, pole	stojka; stolb
7.57	board	doska
7.58	arch	arka
7.61	mason	kamenščik
7.62	brick	kirpič
7.63	mortar	izvestkovyj rastvor
7.64	adobe	saman
8.11	farmer	zemledelec; krest ́ janin; mužik
8.12	field (for cultivation)	pole
8.13	garden	ogorod; sad
8.15	cultivate, till	paxat
8.16	fence	zabor
8.17	ditch	rov
8.21	plow	paxat ́ (orat ́); plug
8.212	furrow	borozda
8.22	dig	kopat ́; ryt
8.23	spade	zastup; lopata
8.24	shovel	lopata
8.25	hoe	motyga
8.26	fork	vily
8.27	rake	grabli
8.31	sow	sejat
8.311	seed	semja
8.32	mow, reap	kosit ́; žat
8.33	sickle, scythe	serp; kosa
8.34	thresh	molotit
8.35	threshing-floor	gumno; tok
8.41	crop, harvest	žatva; urožaj
8.42	grain (barley, oats etc)	zerno
8.43	wheat	pšenica
8.44	barley	jačmen
8.45	rye	rož
8.46	oats	ovës
8.47	maize, corn	kukuruza
8.48	rice	ris
8.51	grass	trava
8.52	hay	seno
8.53	plant (noun)	rastenie; trava
8.531	plant (vb)	sadit
8.54	root	koren
8.55	branch	suk; vetv
8.56	leaf	list
8.57	flower	cvetok
8.6	tree	derevo
8.61	oak	dub
8.62	beech	buk
8.63	birch	berëza
8.64	pine	sosna
8.65	fir	jel ́; jolka
8.66	acorn	žolud
8.67	vine	vinogradnaja loza
8.68	tobacco	tabak
8.69	smoke (tobacco)	kurit
8.691	pipe	pipka
8.72	tree stump	pen
8.73	tree trunk	stvol
8.74	forked branch	razdvoënnyj suk
8.75	bark	kora
8.76	sap	sok
8.81	palm tree	pal ́ma
8.82	coconut	kokos
8.83	citrus fruit	citrus
8.84	banana tree	banan
8.85	banyan	indijskaja smokovnica
8.91	sweet potato	jams; batat
8.912	yam	jams; batat
8.92	tapioca, manioc, cassava	tapioka
8.93	gourd	tykva
8.931	pumpkin, squash	tykva
8.94	bamboo	bambuk
8.941	sugar cane	saxarnyj trostnik
8.96	fish poison (root)	otrava dlja ryb
8.97	nettle	krapiva
8.98	mushroom	grib
9.11	do, make	delat ́; tvorit
9.12	work	rabotat
9.14	bend	gnut ́; sgibat
9.15	fold	skladyvat
9.16	tie, bind	svjazat
9.161	untie	razvjazat
9.18	chain	cep
9.19	rope, cord	verëvka; kanat; šnur
9.192	knot (noun)	uzel
9.21	strike (hit, beat)	bit ́; udarit ́; kolotit ́; razit ́
9.211	pound with fist	kolotit ́ kulakom
9.22	cut	rezat ́; rubit
9.221	cut down	rubit
9.222	chop, hew	rubit ́; razrubat
9.223	stab	vonzit ́; zakolot
9.23	knife	nož
9.24	scissors, shears	nožnicy
9.25	ax	topor
9.251	adze	teslo; strug
9.26	break	lomat
9.261	broken	razbityj
9.27	split	raskolot
9.28	tear	rvat ́; drat
9.29	flay, skin	sdirat
9.31	rub, wipe	teret
9.32	stretch	rastjanut
9.33	pull	tjanut
9.34	spread out	stlat ́, rasstilat
9.341	hang up	povesit
9.342	press	žat ́ (žmut); davit
9.343	squeeze, wring	sžimat
9.35	pour	lit
9.36	wash	myt ́; stirat
9.37	sweep	mesti
9.38	broom	metla
9.422	tool	orudie
9.43	carpenter	plotnik
9.44	build	stroit ́; sozidat
9.46	bore	buravit ́; sverlit
9.461	hollow out	vydolbit
9.48	saw	pila
9.49	hammer	(molot) molotok
9.5	nail	gvozd
9.56	glue	klej
9.6	smith, blacksmith	kuznec
9.61	forge	kovat
9.62	anvil	nakoval ́nja
9.63	cast (metals)	lit ́; otlivat
9.64	gold	zoloto
9.65	silver	serebro
9.66	copper, bronze	med ́; bronza
9.67	iron	železo
9.68	lead (noun)	svinec
9.69	tin, tinplate	olovo; žest
9.71	potter	goršečnik; gončar
9.72	mold (clay etc)	lepit ́; (delat ́)
9.73	clay	glina
9.74	glass	steklo
9.75	weave, plait	plesti, vpletat ́, zapletat
9.76	basket	korzina; kuzov
9.77	mat	mat; cynovka; kovrik
9.771	rug	kovër
9.78	netbag	avos ́ka
9.79	fan (noun)	veer
9.791	fan (vb)	vejat
9.81	carve	vyrezat ́; gravir ovat
9.82	sculptor	vajatel ́; skul ́ptor
9.83	statue	statuja; izvajanie
9.84	chisel	doloto; rezec
9.88	paint (noun)	kraska
9.89	paint (vb)	krasit
10.11	move	dvinut
10.12	turn over	perevernut ́
10.13	turn around	vertet ́; krutit ́ (sja)
10.14	wind, wrap	vit ́; zavernut
10.15	roll	katit ́, katat
10.16	drop (vb)	ronjat
10.17	twist	krutit ́; sučit
10.21	rise	vstat ́; podnjat ́ sja
10.22	raise, lift	podnjat
10.23	fall	past ́; padat ́; upast
10.24	drip	kapat
10.25	throw	brosit ́; kinut
10.252	catch (ball)	xvatat ́, xvatit ́; nojmat
10.26	shake	trjasti
10.32	flow	teč
10.33	sink	(po)topit ́, (po)tonut
10.34	float	plávat
10.35	swim	plyt ́; plavat
10.351	dive	nyrjat
10.352	splash	pleskat
10.36	sail (vb)	plyt ́; plavat
10.37	fly (vb)	letet ́, letat
10.38	blow	dut ́; vejat
10.41	creep, crawl	polzti, polzat
10.412	kneel	stojat ́ na kolenjax
10.413	crouch	presmykat ́ sja
10.42	slide, slip	skol ́zit
10.43	jump, leap	prygat ́, prygnut
10.431	kick	udarit ́ nogoj
10.44	dance	tancovat ́; pljasat
10.45	walk	idti; xodit
10.451	limp	xpamat
10.46	run	bežat ́, begat
10.47	go	idti; xodit
10.471	go up	idti; xodit ́ na goru; podnjat ́ sja
10.472	climb	lezt ́; lazit
10.473	go down	sojti/sxodit
10.474	go out	vyjti/ vyxodit
10.48	come	pridti, prixodit
10.481	come back	vernut ́sja
10.49	go away, depart	ujti; uxodit
10.491	disappear	isčeznut
10.51	flee	bežat
10.52	follow	sledit ́; (pre)sledovat
10.53	pursue	presledovat ́; gnat
10.55	reach, arrive	pridti; pribyt
10.56	approach	približat ́sja; podojti, podxodit ́
10.57	enter	voit ́i vstupit
10.61	carry (bear)	nesti; nosit
10.612	carry-in-hand	nesti v ruke
10.613	carry-on-shoulder	nesti na pleče
10.614	carry-on-head	nesti na golove
10.615	carry-underarm	nesti pod rukoj
10.62	bring	prinesti
10.63	send	poslat
10.64	lead (vb)	vesti; vodit
10.65	drive	gnat ́; gonit
10.66	ride	jexat ́; jezdit
10.67	push, shove	tolkat ́; pixat
10.71	road	doroga; put
10.72	path	tropinka, tropa; dorožka
10.74	bridge	most
10.75	carriage, wagon, cart	povozka; telega
10.76	wheel	koleso
10.77	axle	os
10.78	yoke	jarmo
10.81	ship	korabl ́; sudno
10.83	boat	lodka
10.831	canoe	čelnok; kanoe
10.832	outrigger	utlegar
10.84	raft	plot; parom
10.85	oar	veslo
10.851	paddle (noun)	grebok
10.852	row (vb)	gresti
10.86	rudder	rul
10.87	mast	mačta
10.88	sail (noun)	parus
10.89	anchor	jakor
10.91	harbor, port	port; gavan
10.92	land (vb)	pričalit
11.11	have	imet
11.12	own, possess	vladet ́; obladat ́; imet
11.13	take	brat ́; vzjat
11.14	seize, grasp	xvatat ́; sxvatit
11.15	hold	deržat
11.16	get, obtain	polučit ́; dostat ́; dobyt
11.17	keep, retain	deržat
11.18	thing	vešč
11.21	give	dat
11.22	give back	otdat ́; vozvraščat
11.24	preserve, look after	xranit
11.25	save, rescue	spasti; izbavit
11.27	destroy	uničtožit ́; razrušit ́; istrebit
11.28	harm, injure, damage	vredit
11.31	seek, look for	iskat
11.32	find	najti; naxodit
11.33	lose	terjat ́; utratit
11.34	release, let go	pustit
11.43	money	den ́gi
11.44	coin	moneta
11.51	rich	bogatyj
11.52	poor	bednyj; ubogij
11.53	beggar	niščij
11.54	avaricious, stingy	skupoj
11.61	lend	ssudit ́; odolžit
11.62	borrow	zanjat ́; zaimstvovat
11.63	owe	byt ́ dolžnym
11.64	debt	dolg
11.65	pay (vb)	(za) platit
11.66	account, reckoning	sčët
11.69	tax, tribute	nalog; podat ́; dan
11.77	hire	nanjat ́
11.78	wages	plata; žalovanj ́e; zarplata
11.79	earn	zarabotat
11.81	buy	kupit
11.82	sell	prodat
11.83	trade, barter	torgovat
11.84	merchant	kupec; torgovec
11.85	market (place)	bazar; rynok (torg)
11.86	store, shop	magazin; lavka
11.87	price	cena
11.88	dear (costly, expensive)	dorogoj
11.89	cheap	dešëvyj
11.91	share (distribute)	razdavat
11.92	weigh	vzvesit
12.1	after	posle
12.11	behind	za
12.2	beside	rjadom
12.3	down, below	vniz, vnizu; pod
12.4	before	do; pered; ran ́še
12.41	front	vperedi
12.5	inside, in	vnutri; v
12.6	outside	vne; na dvore
12.7	under	pod
12.8	up, above	naverx, naverxu; nad; vyše
12.11	place	mesto
12.12	put	klast ́; položit ́; postavit
12.13	sit	sidet ́; sest ́; sadit ́sja
12.14	lie down	leč ́; ložit ́sja
12.15	stand	stojat
12.16	remain, stay	ostat ́sja
12.17	remains, left overs	ostatki
12.21	collect, gather	sobirat
12.212	pick up	podnjat ́; podobrat
12.213	pile up	nakopit ́i
12.22	join, unite	soedinit ́; sovokupit
12.23	separate	otdelit ́; razlučit
12.232	divide	delit ́; razdelit
12.24	open	otkryt ́; otvorit
12.25	shut, close	zakryt ́; zatvorit
12.26	cover	(po)kryt
12.27	hide, conceal	skryt ́; prjatat
12.31	high	vysokij
12.32	low	nizkij
12.33	top	verx; verxuška
12.34	bottom	dno
12.35	end	konec
12.352	pointed	ostrokonečnyj
12.353	edge	ostrië; kraj
12.36	side	storona; bok
12.37	middle, center	seredina
12.41	right (side)	pravyj (desnoj)
12.42	left (side)	levyj
12.43	near (adv)	blizko
12.44	far (adv)	daleko
12.45	east	vostok
12.46	west	zapad
12.47	north	sever
12.48	south	jug
12.53	grow	rasti
12.54	measure	merit
12.541	span, fathom	pjad ́; sažen
12.55	large, big	bol ́šoj
12.56	small, little	malen ́kij
12.57	long	dolgij; dlinnyj
12.58	tall	vysokij
12.59	short	korotkij
12.61	wide, broad	širokij
12.62	narrow	uzkij; tesnyj
12.63	thick (in dimension)	tolstyj
12.65	thin (in dimension)	tonkij
12.67	deep	glubokij
12.68	shallow	melkij
12.71	flat	ploskij
12.73	straight	prjamoj
12.74	crooked	krivoj
12.75	hook	krjuk
12.76	corner	ugol
12.77	cross	krest
12.78	square	kvadrat
12.81	round	kruglyj
12.82	circle	krug
12.83	sphere, ball	šar
12.84	line	linija
12.85	hole	dyra; otverstie
12.92	like, similar	poxožij; podobnyj
12.93	change	menjat
