entry_id	trans_english	Li_of_Baoding_Phonemic
3.811	louse	zɨ:m.1 than.1
3.812	nit (louse egg)	po:t.7
3.813	flea	ri:p.7
3.814	centipede	chi:m.3 cha:i.3
3.815	scorpion	pɨ.1 rom.3
3.816	cockroach	put.7
3.817	ant	chop.7 chei.1
3.818	spider	go:i.3 chop.7 chei.1
3.819	spider web	ko:i.1
3.82	bee	gwou.3 ko:i.1
3.821	beeswax	ru:k.7 ko:i.1
3.822	beehive	plou.1
3.823	wasp	plu:k.7
3.83	fly	pɨ.1 hwe:ŋ.3
3.831	sandfly (midge), gnat	ńu:ŋ.1
3.832	mosquito	hwou.1
3.84	worm	hjan.2 thoŋ.3
3.85	snake	kui.1
3.91	firefly	pɨ.1 go:i.1; nau.2 ni:ŋ.2
3.92	butterfly	pɨ.1 gu:ŋ.3
3.93	grasshopper	ziŋ.1
3.94	snail	the:k.7
3.95	frog	za.2
3.96	lizard	na:ń.3
3.97	crocodile, alligator	lip.9 laŋ.3; kut́.7 kau.3
3.98	turtle	pɨ.1 chom.1
4.11	body	pɨ.1 ket́.7
4.12	skin, hide	chei.1 ta.2
4.13	flesh	ri:t.7
4.14	hair (head)	ʔi:ŋ.2; rɨ:ŋ.1; ru:i.2
4.142	beard	pɨ.1 ri:n.3, pɨ.1 ri:n.3 ra:n.2
4.144	body hair	kai.3
4.145	pubic hair	thau.2
4.146	dandruff	hu:n.1
4.15	blood	no:ŋ.1
4.151	vein, artery	ʔa:k.7
4.16	bone	dan.2 gwou.3
4.162	rib	pɨ:m.3
4.17	horn	łɨ:k.7 hun.1
4.18	tail	mun.2
4.19	back	de:k.7 gwou.3
4.191	spine	nom.3 ʔom.3
4.2	head	ła:t́.7
4.201	side of head, temple	ceɨ.1 khi:u.1
4.202	skull	gi:u.1
4.203	brain	vɨ:k.7
4.204	face	ʔu:k.7 vɨ:k.7
4.205	forehead	ka:m.1
4.207	jaw	hau.1
4.208	cheek	chut́.7
4.209	chin	cɨ.2 kho:n.1
4.21	eye	cɨ.2 chuń.3
4.212	eyebrow	gwou.3
4.213	eyelid	hau.1 fi:ŋ.1
4.214	eyelash	vɨ:k.7 łu:k.7
4.215	blink	łu:k.7
4.22	ear	daŋ.1
4.221	earlobe	pla.3
4.222	earwax	to:k.7
4.23	nose	to:k.7
4.231	nostril	he:ŋ.1
4.232	mucus (nasal)	cha.1
4.24	mouth	hun.1 cha.1
4.241	beak	no:ŋ.1 cha.1
4.25	lip	hun.1 cha.1
4.26	tongue	ńap.9 cha.1; li:p.9 cha.1
4.27	tooth	zai.1
4.271	gums	chut́.7 zai.1
4.272	molartooth	ha:i.3 zai.1
4.28	neck	khat.7
4.281	nape of neck	chu:ŋ.3 khat.7
4.29	throat	nom.3 khat.7
4.3	shoulder	pom.3
4.301	shoulderblade	pom.3 tat́.7
4.302	collarbone	tun.3; cho:i.1
4.31	arm	łi:n.3
4.312	armpit	fan.1
4.32	elbow	fan.1 ke:ŋ.2; chi:u.1 ge.3; me:k.7 teń.1
4.321	wrist	fan.1 loŋ.1
4.33	hand	cɨ.2 zoŋ.3
4.331	palm of hand	kho:k.7
4.34	finger	cɨ.3 va.2
4.342	thumb	vɨ:k.7 the:u.1
4.344	fingernail	kan.1 khe:ŋ.3
4.345	claw	du:n.3 zi:ŋ.2
4.35	leg	kha.1 ŋai.3
4.351	thigh	hju:ŋ.2
4.352	calf of leg	lom.3 kɨk.7
4.36	knee	khi:n.1
4.37	foot	ze:ŋ.1 meɨ.1
4.371	ankle	zi:ŋ.2
4.372	heel	pai.3 zi:ŋ.2
4.374	footprint	li:p.7, cɨ.2 li:p.7
4.38	toe	cɨ.2 li:p.7
4.392	wing	ha.1
4.393	feather	thom.1 ha.1
4.4	chest	pok.7 reń.3
4.41	breast (of woman)	gwou.3 rou.1
4.412	nipple, teat	khok.7
4.42	udder	thun.2 vɨ:k.7 khok.7
4.43	navel	ŋwou.2 khok.7
4.44	heart	tha:n.1 tet́.7
4.441	lung	cɨ.2 tet́.7
4.45	liver	phi:k.7
4.451	kidney	hun.1
4.452	spleen	khe:ŋ.3
4.46	stomach	cei.1
4.461	intestines, guts	plun.3 cei.1
4.462	waist	fo:n.1 cei.1
4.463	hip	cɨ.2 veɨ.1
4.464	buttocks	ła:u.3
4.47	womb	kau.2
4.49	testicle	ŋa:n.1
4.492	penis	no:m.1
4.51	breathe, breath	pam.2
4.52	yawn, gape	dai.1
4.521	hiccough	pok.7
4.53	cough	ra:i.3
4.54	sneeze	hjau.1 hja.2
4.55	perspire	biŋ.2
4.56	spit	biŋ.2
4.57	vomit	chu:ŋ.3 ha:i.3
