entry_id	trans_english	Selkup_Phonemic
3.58	nest	pitɨ; sur̃ɨlʸ pitɨ
3.581	bird	sur̃ɨm
3.582	seagull	ḳalʸlik
3.583	heron	- -
3.584	eagle	lɩmpɨ
3.585	hawk	muntaya
3.586	vulture	- -
3.591	bat	- -
3.592	parrot	- -
3.593	crow	ḳər̃æ
3.594	dove	- -
3.596	owl	piya
3.61	dog	kanak
3.614	rabbit	nʸoma
3.62	cat	koška
3.622	opossum	- -
3.63	mouse, rat	tama; mɛr̃ḳɨ tama
3.65	fish	ḳəlɨ
3.652	fin (dorsal)	
3.653	fishscale	lünʸčʸɨ
3.654	gill	tɔr̃
3.655	shell	kɛna
3.661	shark	- -
3.662	porpoise, dolphin	- -
3.663	whale	- -
3.664	stingray	- -
3.665	freshwater eel	- -
3.71	wolf	ɔtælʸ amɨr̃ɨlʸ sur̃ɨm; čʸumpɨna; talʸčʸɨsɨmɨlʸ
3.72	lion	- -
3.73	bear	ḳor̃ḳɨ
3.74	fox	loḳa
3.75	deer	ɔtæ
3.76	monkey	- -
3.77	elephant	- -
3.78	camel	- -
3.81	insect	tuk
3.811	louse	untɨ
3.812	nit (louse egg)	tur̃æ
3.813	flea	- -
3.814	centipede	- -
3.815	scorpion	- -
3.816	cockroach	- -
3.817	ant	kɨta
3.818	spider	otaya; poḳḳɨlʸ kota
3.819	spider web	otayat poḳḳɨ
3.82	bee	loḳæ
3.821	beeswax	- -
3.822	beehive	- -
3.823	wasp	loḳæ
3.83	fly	tɨpæ
3.831	sandfly (midge), gnat	nɩmɨr̃æ
3.832	mosquito	nɛnɨḳa
3.84	worm	tuk; neni
3.85	snake	šʸü
3.91	firefly	- -
3.92	butterfly	lontɨr̃æ
3.93	grasshopper	- -
3.94	snail	kɛna
3.95	frog	tɔmtæ
3.96	lizard	tüšʸi
3.97	crocodile, alligator	- -
3.98	turtle	- -
4.11	body	kəpɨ
4.12	skin, hide	ḳopɨ
4.13	flesh	məčʸɨ ~ wəčʸɨ
4.14	hair (head)	optɨ
4.142	beard	untɨlʸ ukɨ
4.144	body hair	- -
4.145	pubic hair	- -
4.146	dandruff	- -
4.15	blood	kəm
4.151	vein, artery	- -
4.16	bone	lə
4.162	rib	ḳötɨ
4.17	horn	ɔmtɨ
4.18	tail	talʸčʸɨ
4.19	back	moḳal
4.191	spine	moḳalɨlʸ lə
4.2	head	olɨ
4.201	side of head, temple	- -
4.202	skull	olɨllaka
4.203	brain	ḳümɨ
4.204	face	wəntɨ ~ məntɨ
4.205	forehead	ḳɔt
4.207	jaw	ɔḳɨlə; tɩmɨllaka
4.208	cheek	putɨl
4.209	chin	peptælʸ
4.21	eye	sayɨ
4.212	eyebrow	sayɨn üntɨlʸ tar̃
4.213	eyelid	sayɨn ḳanɨk
4.214	eyelash	sayɨt tar̃
4.215	blink	- -
4.22	ear	üŋkɨma; ḳo
4.221	earlobe	üŋkɨma pɔr̃ɨ
4.222	earwax	- -
4.23	nose	ɨntælʸ
4.231	nostril	ɨntælʸ mü
4.232	mucus (nasal)	ɨntælʸ üt
4.24	mouth	ɔŋ ~ ɔk
4.241	beak	ukɨ
4.25	lip	ɔŋɨttop
4.26	tongue	šʸe
4.27	tooth	tɩmɨ
4.271	gums	tɩmɨn kontɨ
4.272	molartooth	- -
4.28	neck	tɔšʸan
4.281	nape of neck	šʸuk
4.29	throat	soy
4.3	shoulder	ḳəḳpɔr̃ɨ; ḳəḳ
4.301	shoulderblade	šʸütɨkotɨ
4.302	collarbone	- -
4.31	arm	utɨ
4.312	armpit	ḳɔlɨnʸ
4.32	elbow	sɨŋtæt
4.321	wrist	- -
4.33	hand	utɨ
4.331	palm of hand	utɨt šʸe
4.34	finger	munɨ
4.342	thumb	ḳɔḳal
4.344	fingernail	ḳatɨ
4.345	claw	ḳatɨ
4.35	leg	topɨ
4.351	thigh	nælɨ
4.352	calf of leg	- -
4.36	knee	pulɨ
4.37	foot	topɨ; topɨn olɨ
4.371	ankle	kəčʸɨ
4.372	heel	lakčʸɨn
4.374	footprint	topɨn mɛttɨ
4.38	toe	munɨ
4.392	wing	kola
4.393	feather	tu
4.4	chest	kɨlɨ
4.41	breast (of woman)	kɨlɨ
4.412	nipple, teat	- -
4.42	udder	nima
4.43	navel	šʸönʸ
4.44	heart	sɩčʸɨ
4.441	lung	pɨkšʸa
4.45	liver	mɨtɨ
4.451	kidney	kalpanʸ
4.452	spleen	pitɨr̃sa
4.46	stomach	sɨlʸ mɨtɨ
4.461	intestines, guts	putɨ
4.462	waist	ḳəḳ; ḳəḳpɔr̃n
4.463	hip	pælɨ
4.464	buttocks	tas
4.47	womb	pučʸɨ; pučʸɨllaka
4.49	testicle	ɛŋ
4.492	penis	manɨ
4.51	breathe, breath	kɛyɨ
4.52	yawn, gape	ɔŋŋɨmpɨḳo
4.521	hiccough	polɨḳo; niḳtɨḳo
4.53	cough	ḳotar̃ḳo
4.54	sneeze	šʸiḳɨr̃ḳo; ḳɔttɨmpɨḳo
4.55	perspire	nelʸčʸikɨḳo
4.56	spit	sösɨmpɨḳo
4.57	vomit	tötkɨḳo
4.58	bite	satalḳo
4.59	lick	nʸuḳo
4.591	dribble	čʸapɨmpɨḳo
4.61	sleep	ḳontɨḳo
4.612	snore	r̃ɨḳɨmpɨḳo
4.62	dream	kütæptɨḳo
4.63	wake up	šʸitɨḳo
4.64	break wind	- -
4.65	urinate	püsuḳo
4.66	defecate	tüt
4.67	have sexual intercourse	ɛtɨḳo
4.68	shiver	tar̃ɨmpɨḳo
4.69	bathe	musɨltɨḳo
4.71	beget (of father)	ḳoḳo; ḳokkɨḳo
4.72	born (to be)	čʸelɨŋḳo
4.73	pregnant	pær̃ḳɨsɨmɨlʸ
4.732	conceive	iyasæ ɛḳo
4.74	live, living, life	ilɨḳo; ilɨptæ
4.75	die, dead	ḳuḳo; ilɨptækɨtɨlʸ; ḳupɨlʸ
4.751	drowned	ütḳɨn ḳupɨlʸ
4.76	kill	ḳətḳo
4.77	corpse	čʸapsɨt
4.78	bury (the dead)	ɩllæ meḳo
4.79	grave, tomb	lattar̃ čʸɔtp kečʸɨ
4.81	strong, mighty, powerful	or̃sɨmɨlʸ
4.82	weak	or̃kɨtɨlʸ; ɔlɨŋɨlʸ
4.83	well, health	mušʸkɨtɨlʸ; ḳütɨkɨtɨlʸ
4.84	sick, sickness	ḳütɨntɨy; ḳütɨ
4.841	fever	- -
4.842	goiter	- -
4.843	cold (catarrh)	- -
4.85	wound, sore	kɨr̃(ɨ)
4.852	bruise	- -
4.853	swelling	- -
4.854	itch	- -
4.855	blister	- -
4.856	boil (noun)	pən
4.857	pus	tɛ
4.858	scar	- -
4.86	cure, heal	lečʸɨŋḳo
4.87	physician	lekkar̃
4.88	medicine, drug	lekar̃salʸmɨ
4.89	poison	- -
4.91	tired, weary	nunɨčʸɨpɨlʸ
4.912	rest	nišʸḳɨlḳo
4.92	lazy	ɨŋkalta
4.93	bald	optɨkɨtɨlʸ
4.94	lame	ḳur̃alʸ; nʸor̃ḳalʸ
4.95	deaf	ḳokɨta; ḳokɨtɨlʸ
4.96	mute	ətɨkɨta; ətɨkɨtɨlʸ
4.97	blind	sayɨkɨta; sayɨkɨtɨlʸ
4.98	intoxicated	ütɨmpɨlʸ ḳum
4.99	naked, bare	nʸaŋɨčʸalʸ; nʸaŋɨčʸa
5.11	eat	amɨr̃ḳo
5.12	food	apsɨ
5.121	cooked	mušʸɨr̃ɨpɨlʸ
5.122	raw	čʸentalʸ
5.123	ripe	sočʸɨmpɨlʸ
5.124	green, unripe	ašʸšʸa sočʸɨmpɨlʸ
5.125	rotten	tɛpɨlʸ
5.13	drink	ütɨr̃ḳo
5.14	hunger	amna
5.141	famine	amna
5.15	thirst	pakkɨmɔtka
5.16	suck	nimḳo
5.18	chew	tutalḳo
5.181	swallow	polɨḳo
5.19	choke	ɨpḳɨlḳo; ɨpaḳo
5.21	cook	mušʸɨr̃ɨḳo
5.22	boil (vb)	mušʸɨr̃ɨḳo
5.23	roast, fry	pir̃ɨḳo
5.24	bake	pir̃ɨḳo
5.25	oven	šʸoḳɨr̃
5.26	pot, cooking vessel	- -
5.27	kettle	čʸi
5.28	pan	- -
5.31	dish	- -
5.32	plate	amɨr̃sa; tor̃ḳɨ
5.33	bowl	amɨr̃sa; tor̃ḳɨ
5.34	pitcher, jug	pakal
5.35	cup, drinking vessel	amɨr̃sa; tor̃ḳɨ; čʸɔšʸka
5.36	saucer	čʸɔšʸkan ɨlɨ
5.37	spoon	solak
5.38	knife	paŋɨ
5.39	fork	- -
5.391	tongs	tɨšʸšʸan
5.41	meal (a)	apsɨ
5.42	breakfast	čʸɔy
5.43	lunch	ḳar̃ɨlʸ apsɨ
5.44	dinner	čʸelɨlʸ apsɨ
5.45	supper	ütɨn apsɨ
5.46	peel	tɛšʸaŋḳo
5.47	sieve, strain	- -
5.48	scrape	natḳɨlḳo
5.49	stir, mix	kor̃pɨtḳo
5.51	bread	nʸanʸ ~ nʸay
5.53	dough	- -
5.54	knead	kor̃pɨtḳo
5.55	meal, flour	muka; por̃sa
5.56	crush, grind	kɨpɛmtɨḳa
5.57	mill	- -
5.58	mortar	- -
5.59	pestle	- -
5.61	meat	məčʸɨ ~ wəčʸɨ
5.63	sausage	- -
5.64	soup, broth	keni
5.65	vegetables	- -
5.66	bean	- -
5.7	potato	kar̃tofelʸ
5.71	fruit	- -
5.712	bunch	- -
5.75	fig	- -
5.76	grape	- -
5.77	nut	sɛtḳɨ
5.78	olive	- -
5.79	oil	ür̃
5.791	grease, fat	ür̃; čʸošʸ
5.81	salt	šʸæk ~ šʸæŋ
5.82	pepper	- -
5.821	chili pepper	- -
5.84	honey	- -
5.85	sugar	sɔkɨr̃
5.86	milk (noun)	nima
5.87	milk (vb)	par̃kɨlḳo; par̃kɛntɨḳo
5.88	cheese	- -
5.89	butter	ür̃
5.9	beverage, drink	- -
5.91	mead	- -
5.92	wine	nʸar̃ḳɨ üt
5.93	beer	- -
5.94	fermented drink	- -
5.97	egg	ɛŋ
5.971	egg yolk	- -
6.11	put on (clothes)	tokaltɨḳo
6.12	clothing, clothes	por̃ḳɨ
6.13	tailor	šʸütɨr̃ɨpɨlʸ kum; šʸütɨr̃ɨpɨlʸ ima
6.21	cloth	ḳampiy; lɨptɨk; künʸčʸɨ; ḳɔtɨr̃
6.22	wool	tar̃ɨlʸ lɨptɨk
6.23	linen, flax	- -
6.24	cotton	- -
6.25	silk	- -
6.27	felt	- -
6.28	fur	sur̃ɨt ḳopɨ
6.29	leather	ḳopɨ
6.31	spin	- -
6.32	spindle	- -
6.33	weave	- -
6.34	loom	- -
6.35	sew	šʸütɨr̃nḳo; šʸütḳo
6.36	needle	mɨka
6.37	awl	utɨlʸ pur̃
6.38	thread	šʸekɨ
6.39	dye	natḳɨlḳo; kr̃askasæ natḳɨlḳo
6.41	cloak	- -
6.411	poncho	- -
6.42	woman's dress	ḳalʸpor̃ḳɨ
6.43	coat	- -
6.44	shirt	ḳalʸpor̃ḳɨ
6.45	collar	solʸ ker̃ɨ
6.46	skirt	yupka
6.461	grass-skirt	- -
6.48	trousers	pümmɨ
6.49	stocking, sock	toka
6.51	shoe	pemɨ
6.52	boot	pemɨ
6.54	shoemaker, cobbler	pemɨlʸ šʸütɨr̃ɨpɨlʸ ḳum
6.55	hat, cap	ükɨ
6.57	belt, girdle	čʸü
6.58	glove	nopɨ
6.59	veil	- -
6.61	pocket	kar̃mat
6.62	button	muḳḳɨlʸa
6.63	pin	- -
6.71	ornament, adornment	nɛkɨr̃
6.72	jewel	mir̃sɨmɨlʸ
6.73	ring (for finger)	munkəsɨ
6.74	bracelet	- -
6.75	necklace	- -
6.76	bead	püsalʸ ker̃
6.77	earring	ḳolʸ kəsɨ; ḳotɨ
6.78	headband, headdress	lenta
6.79	tattoo	- -
6.81	handkerchief, rag	kar̃matḳɨlʸ ḳampi; ḳampi
6.82	towel	mučʸitɨlʸ ḳampi
6.91	comb	tiwsɨn
6.92	brush	šʸotka
6.921	braid	patḳɨlḳo
6.93	razor	- -
6.94	ointment	mɨtɨ
6.95	soap	mɔytak
6.96	mirror	zer̃kalo
7.11	dwell, live	ilɨḳo
7.12	house	mɔt
7.13	hut	čʸulʸ mɔt; mɔtlaka
7.131	garden-house	- -
7.14	tent	- -
7.15	yard, court	ɛtɨmantɨ
7.16	men's house	- -
7.17	cookhouse	- -
7.18	meeting house	nulʸ mɔt
7.21	room	- -
7.22	door, gate	mɔta
7.221	doorpost, jamb	- -
7.23	lock (noun)	tama
7.231	latch, door-bolt	- -
7.24	key	- -
7.25	window	okošʸka
7.26	floor	mɔtɨn ɨlɨ
7.27	wall	mɔt po
7.31	fireplace	- -
7.32	stove	šʸokɨr̃
7.33	chimney	tur̃pa
7.37	ladder	- -
7.42	bed	tæḳašʸ
7.421	pillow	üŋalʸ kota; üŋalʸ
7.422	blanket	čʸontɨr̃sa
7.43	chair	ɔmtɨtɨlʸpo
7.44	table	tɔntɨpo
7.45	lamp, torch	lampa
7.46	candle	- -
7.47	shelf	polka
7.48	trough	pata
7.51	roof	mɔtɨpɔr̃ɨ
7.52	thatch	- -
7.53	ridgepole	- -
7.54	rafter	- -
7.55	beam	- -
7.56	post, pole	mɔtɨko
7.57	board	tɔntɨpo
7.58	arch	- -
7.61	mason	- -
7.62	brick	- -
7.63	mortar	- -
7.64	adobe	- -
8.11	farmer	- -
8.12	field (for cultivation)	- -
8.13	garden	- -
8.15	cultivate, till	pünkaltɨḳo
8.16	fence	kutalḳo
8.17	ditch	kečʸi
8.21	plow	- -
8.212	furrow	- -
8.22	dig	tilɨḳo
8.23	spade	- -
8.24	shovel	lappo
8.25	hoe	- -
8.26	fork	- -
8.27	rake	- -
8.31	sow	- -
8.311	seed	- -
8.32	mow, reap	pütɨḳo; pačʸɨtɨḳo
8.33	sickle, scythe	nʸutɨm pačʸɨtɨlʸ paŋɨ
8.34	thresh	- -
8.35	threshing-floor	- -
8.41	crop, harvest	- -
8.42	grain (barley, oats etc)	- -
8.43	wheat	- -
8.44	barley	- -
8.45	rye	- -
8.46	oats	- -
8.47	maize, corn	- -
8.48	rice	- -
8.51	grass	nʸutɨ
8.52	hay	tɛkɨr̃ɨpɨlʸ nʸutɨ
8.53	plant (noun)	- -
8.531	plant (vb)	omtɨltɨḳo
8.54	root	kontɨ
8.55	branch	mo
8.56	leaf	čʸɔpɨ
8.57	flower	sɨr̃ḳɨ
8.6	tree	po
8.61	oak	- -
8.62	beech	- -
8.63	birch	ḳæ
8.64	pine	čʸö
8.65	fir	ḳut
8.66	acorn	- -
8.67	vine	- -
8.68	tobacco	čʸɔpɨ
8.69	smoke (tobacco)	nækælḳo
8.691	pipe	kɔnsan
8.72	tree stump	saltɨ
8.73	tree trunk	kɛpɨ; pot kɛpɨ
8.74	forked branch	mo
8.75	bark	ḳɔsɨ
8.76	sap	ül
8.81	palm tree	- -
8.82	coconut	- -
8.83	citrus fruit	- -
8.84	banana tree	- -
8.85	banyan	- -
8.91	sweet potato	- -
8.912	yam	- -
8.92	tapioca, manioc, cassava	- -
8.93	gourd	- -
8.931	pumpkin, squash	- -
8.94	bamboo	- -
8.941	sugar cane	- -
8.96	fish poison (root)	- -
8.97	nettle	sɔttɨ
8.98	mushroom	aḳsɨl
9.11	do, make	meḳo
9.12	work	učʸɨḳo
9.14	bend	mɨnɨḳo
9.15	fold	pinḳɨlḳo
9.16	tie, bind	sɔr̃ɨḳo
9.161	untie	toütɨḳo
9.18	chain	kəsɨlʸ tɛmtɨ
9.19	rope, cord	tɛmtɨ
9.192	knot (noun)	muḳḳɨl
9.21	strike (hit, beat)	kættɨḳo; motḳo
9.211	pound with fist	ḳættɨḳo
9.22	cut	matɨḳo
9.221	cut down	matɨkkɨḳo
9.222	chop, hew	pačʸalḳo
9.223	stab	pær̃ḳɨlḳo
9.23	knife	paŋɨ
9.24	scissors, shears	šʸittɨ ɔŋtɨlʸ paŋɨ
9.25	ax	pičʸi
9.251	adze	kor̃san
9.26	break	panalḳo
9.261	broken	panalpɨlʸ
9.27	split	pačʸɨtḳo
9.28	tear	nɨtaḳo; tonɨtaḳo
9.29	flay, skin	ɩnnælʸmɨm toiḳo
9.31	rub, wipe	musɨḳo; natḳɨlḳo
9.32	stretch	nækæḳo; nækæmpɨḳo
9.33	pull	næḳḳɨlpɨḳo
9.34	spread out	tɔḳɨḳo
9.341	hang up	ɨtɨḳo
9.342	press	ɨpaḳo
9.343	squeeze, wring	ɨpḳɨleḳo
9.35	pour	ḳamtɨḳo
9.36	wash	musɨltɨḳo
9.37	sweep	ḳatalḳo
9.38	broom	mʸayɨllaka
9.422	tool	učʸɨptælʸmɨ
9.43	carpenter	- -
9.44	build	meḳo
9.46	bore	pur̃tɨḳo
9.461	hollow out	čʸoḳḳoḳo
9.48	saw	pila
9.49	hammer	sɔlɨ
9.5	nail	tipɨ
9.56	glue	čʸimɨ
9.6	smith, blacksmith	čʸɔttɨr̃ælʸ ḳum
9.61	forge	čʸɔttɨr̃ḳo
9.62	anvil	kəsɨllaka
9.63	cast (metals)	čʸɔttɨr̃ḳo
9.64	gold	solota
9.65	silver	ser̃epr̃a
9.66	copper, bronze	tulla
9.67	iron	kəsɨ
9.68	lead (noun)	- -
9.69	tin, tinplate	- -
9.71	potter	- -
9.72	mold (clay etc)	meḳo
9.73	clay	šʸyo
9.74	glass	sekɨla
9.75	weave, plait	sər̃ɨḳo
9.76	basket	tuyka
9.77	mat	- -
9.771	rug	- -
9.78	netbag	r̃ušʸɨlʸ mešak
9.79	fan (noun)	- -
9.791	fan (vb)	- -
9.81	carve	meḳo
9.82	sculptor	- -
9.83	statue	- -
9.84	chisel	- -
9.88	paint (noun)	sɨ; kr̃aska
9.89	paint (vb)	sɨtḳo; natḳɨlḳo
10.11	move	čʸaḳḳɨltɨḳo; čʸoḳḳolḳo
10.12	turn over	kolʸalḳo
10.13	turn around	kolimpɨḳo
10.14	wind, wrap	kolʸaltɨḳo
10.15	roll	kolimpɨḳo
10.16	drop (vb)	əstɨḳo
10.17	twist	kolʸlimɔtḳo
10.21	rise	ɩnnæ nɨlaiḳo
10.22	raise, lift	ɩnnæ iḳo
10.23	fall	alʸčʸɨḳo
10.24	drip	čʸapɨḳo
10.25	throw	čʸattɨḳo
10.252	catch (ball)	or̃aḳo
10.26	shake	tupaḳo
10.32	flow	küŋtɨltɨmpɨḳo
10.33	sink	ütḳɨn ḳuḳo
10.34	float	pentaleḳo
10.35	swim	uḳɨlḳo
10.351	dive	patɨḳo; üttɨ patḳo
10.352	splash	ličʸḳɨr̃altɨḳo
10.36	sail (vb)	pentɨḳo
10.37	fly (vb)	tɩmpɨḳo
10.38	blow	mær̃ḳɨḳo; puḳo
10.41	creep, crawl	soḳḳɨr̃ḳo
10.412	kneel	pultɨtalelʸčʸɨḳo
10.413	crouch	kɛtɨŋḳo
10.42	slide, slip	nešʸɨr̃ḳo
10.43	jump, leap	paktɨr̃ɨḳo
10.431	kick	tappɔlḳo; tapɨr̃ḳo
10.44	dance	laksɨr̃ɨḳo
10.45	walk	ḳənḳo
10.451	limp	nʸor̃ḳaḳo; ḳur̃aḳo
10.46	run	kur̃alḳo; tɨŋaltɨḳo
10.47	go	kənḳo; antar̃ḳo; ḳonɩšʸḳo; ḳöšʸḳo; ḳoɩšʸḳo
10.471	go up	sɨḳɨlḳo; wəšʸɨḳo
10.472	climb	sɨḳɨlḳo
10.473	go down	panɩšʸḳo; paɩšʸḳo
10.474	go out	tar̃ɨḳo; tantɨḳo
10.48	come	tüḳo; ičʸčʸɨḳo; ičʸčʸɨr̃ḳo
10.481	come back	pɔr̃aliḳo
10.49	go away, depart	tantɨḳo; tar̃ɨḳo; ḳənḳo; kur̃alḳo; wašʸɨḳo
10.491	disappear	ür̃r̃aiḳo
10.51	flee	kur̃alḳo; ḳælḳo; ḳoptɨr̃ḳo; paktɨḳo
10.52	follow	nʸotɨḳo
10.53	pursue	nʸor̃ḳo; nʸotɨḳo
10.55	reach, arrive	tüḳo; tulɨšʸḳo
10.56	approach	tɛtɨčʸak tüḳo
10.57	enter	šʸer̃ḳo
10.61	carry (bear)	tuḳɨlḳo
10.612	carry-in-hand	utɨsæ tuḳɨlḳo
10.613	carry-on-shoulder	ḳəḳsæ tuḳɨlḳo
10.614	carry-on-head	olɨsæ tuḳɨlḳo
10.615	carry-underarm	ḳolɨnʸ šʸünʸčʸoḳɨt tuḳɨlḳo
10.62	bring	totɨḳo
10.63	send	ütɨḳo
10.64	lead (vb)	tɔtɨr̃ɨḳo
10.65	drive	nʸotɨḳo; nʸoḳo
10.66	ride	ḳənḳo; kor̃aḳo
10.67	push, shove	noḳḳoḳo; noḳḳolḳo
10.71	road	wəttɨ ~ məttɨ
10.72	path	wəttɨ
10.74	bridge	pɨlɨ
10.75	carriage, wagon, cart	kolʸalʸ ḳaḳlɨ
10.76	wheel	kolʸa
10.77	axle	- -
10.78	yoke	- -
10.81	ship	- -
10.83	boat	alako
10.831	canoe	antɨ
10.832	outrigger	- -
