entry_id	trans_english	Waorani_Phonemic
2.39	married woman	õkiyæ̃-gã do bõ-ĩ-gã
2.41	son	wẽ-gã õgĩyæ̃-gã
2.42	daughter	wẽ-gã õkiyæ̃-gã
2.43	offspring (son or daughter)	wẽyæ̃-gã
2.44	brother	tõdĩya-kã
2.444	older brother	bẽbõ
2.445	younger brother	biwĩ
2.45	sister	
2.454	older sister	bæ̃gã
2.455	younger sister	biwĩ-ke
2.456	sibling	tõdĩya-kã
2.458	twins	ãã-kadẽ-da-ke
2.46	grandfather	bæ̃bæ̃
2.461	old man	õgĩyæ̃-gã pikæ̃-gã
2.47	grandmother	yæ̃yæ̃
2.471	old woman	õkiyæ̃-gã pikæ̃-gã
2.48	grandson	
2.49	granddaughter	dã-dõ-bo-kã õkiyæ̃-gã
2.51	uncle	--
2.511	mother's brother	bæ
2.512	father's brother	bãapo
2.52	aunt	--
2.521	mother's sister	ba-dã
2.522	father's sister	bæ̃te
2.53	nephew	biyõdæ
2.54	niece	biyõgã
2.55	cousin	bæ̃ke; bæ̃gĩ
2.56	ancestors	bæ̃bæ̃-idi
2.57	descendants	dã-dõ pæ̃ĩ-dã-di
2.61	father-in-law (of a man)	bæ
2.611	father-in-law (of a woman)	bæ
2.62	mother-in-law (of a man)	bæ̃te
2.621	mother-in-law (of a woman)	bæ̃te
2.63	son-in-law (of a man)	biyõdæ
2.631	son-in-law (of a woman)	biyõdæ
2.64	daughter-in-law (of a man)	biyõgã
2.641	daughter-in-law (of a woman)	biyõgã
2.71	stepfather	(bæ̃po) dẽ pæpoga-kã
2.72	stepmother	(ba-dã) dẽ pæpoga-dã
2.73	stepson	wẽ-gã; wẽ-yæ̃-gã
2.74	stepdaughter	
2.75	orphan	dõwa-kã
2.76	widow	owæ̃po-ĩ-gã
2.77	widower	owæ̃po-ĩ-gã
2.81	relatives, kinsmen	giidĩ-dã-di
2.82	family	dã-di wẽ-kabo
2.91	I	bo-tõ
2.92	you (singular)	bi-tõ
2.93	he/she/it	tõbẽ-gã
2.94	we	--
2.941	we (inclusive)	bõ-dõ
2.942	we (exclusive)	bõ-di-tõ
2.95	you (plural)	bĩ-di-tõ
2.96	they	tõbẽ-dã-di
3.11	animal	kæ̃-dĩ-gã; babæ-kã
3.12	male (adj)	õgĩyæ̃
3.13	female (adj)	õkiyæ̃
3.15	livestock	kæ̃-dĩ-dã-di
3.16	pasture	bãkadẽ
3.18	herdsman	dẽ aa-kã
3.19	stable, stall	
3.2	cattle (bovine)	[wagada]-idi
3.21	bull	[wagada] õgĩyæ̃
3.22	ox	[wagada] õgĩyæ̃
3.23	cow	[wagada]
3.24	calf	[wagada] wẽ
3.25	sheep	kipi
3.26	ram	kipi õgĩyæ̃
3.28	ewe	kipi õkiyæ̃
3.29	lamb	kipi wẽ
3.32	boar	odæ̃ wæ̃gãdã õgĩyæ̃
3.34	sow	odæ̃ wæ̃gãdã õkiyæ̃
3.35	pig	odæ̃ wæ̃gãdã wẽ
3.36	goat	bedego (õkiyæ̃)
3.37	he-goat	bedego õgĩyæ̃
3.38	kid	bedego wẽ
3.41	horse (equine)	[kabayo]
3.42	stallion	[kabayo] wæ̃po-gade
3.44	mare	[kabayo] õkiyæ̃
3.45	foal, colt	[kabayo] wẽ; [bodo] wẽ
3.46	ass, donkey	[bodo]
3.47	mule	[bõoda]
3.5	fowl	õõbã ẽa-dã-di
3.52	cock, rooster	[tawadiya] wæ̃po-gade
3.54	hen	[tawadiya] wæ̃bõ-(dã)
3.55	chicken	[tawadiya]
3.56	goose	[ganto]
3.57	duck	abadæka
3.58	nest	õoyæ̃
3.581	bird	ayabõ
3.582	seagull	--
3.583	heron	dãwæ̃ĩya
3.584	eagle	--
3.585	hawk	kæ̃-gĩ-wæ̃
3.586	vulture	gapatai
3.591	bat	toõdæ
3.592	parrot	kawĩya
3.593	crow	--
3.594	dove	ekebõ
3.596	owl	pawæ̃ka
3.61	dog	gĩta
3.614	rabbit	toke
3.62	cat	kede
3.622	opossum	kõgãye
3.63	mouse, rat	wegowæ̃
3.65	fish	gæyæ
3.652	fin (dorsal)	õdõ-dĩbõ
3.653	fishscale	tõbẽ-tagæ̃
3.654	gill	
3.655	shell	tiwæ̃-kade
3.661	shark	--
3.662	porpoise, dolphin	gæyæ-keo
3.663	whale	--
3.664	stingray	boyotai
3.665	freshwater eel	pogõ
3.71	wolf	babæ gĩta
3.72	lion	[deõdõ]
3.73	bear	[oto]
3.74	fox	--
3.75	deer	kowãye
3.76	monkey	gatã
3.77	elephant	[edepãte]
3.78	camel	[cãbeyo]
3.81	insect	
3.811	louse	kæ̃pæ
3.812	nit (louse egg)	kæ̃pæ ĩkĩbo
3.813	flea	gĩta kæ̃pæ
3.814	centipede	kebata
3.815	scorpion	ebẽye
3.816	cockroach	yæ̃kata
3.817	ant	bodæ
3.818	spider	bokaya
3.819	spider web	bokaya-bẽ
3.82	bee	gẽyĩ dẽ bã-dã-di
3.821	beeswax	gẽyĩ-ka
3.822	beehive	gẽyĩ dã-di bã-ĩ-kõ
3.823	wasp	bĩkaye
3.83	fly	gobõbõ
3.831	sandfly (midge), gnat	awæ̃kagõ
3.832	mosquito	giye
3.84	worm	ayagõ
3.85	snake	tæ̃tæ
3.91	firefly	dãwãdæ̃
3.92	butterfly	tegãtai
3.93	grasshopper	gotoke
3.94	snail	tiwæ̃-kade
3.95	frog	tagada
3.96	lizard	ibake
3.97	crocodile, alligator	dõba
3.98	turtle	pakæ
4.11	body	baõ
4.12	skin, hide	æ̃bõ-tai
4.13	flesh	baõ
4.14	hair (head)	o-ka-gĩ
4.142	beard	
4.144	body hair	o-ka-gĩ
4.145	pubic hair	o-ka-gĩ
4.146	dandruff	bĩgĩ
4.15	blood	we-pæ̃
4.151	vein, artery	we-pæ̃-bẽ
4.16	bone	babẽ
4.162	rib	iya-pa
4.17	horn	õdõ-bõka-wæ̃
4.18	tail	õdõ-kai-bĩyæ̃
4.19	back	tækæ-yabæ
4.191	spine	bayetoka
4.2	head	o-ka-bo
4.201	side of head, temple	biya-bõka
4.202	skull	o-ka-ta
4.203	brain	o-ka-i
4.204	face	awĩka
4.205	forehead	õdõ-ta-ka-debõ
4.207	jaw	õdõ-gadæ̃-pa (?)
4.208	cheek	õdõ-paka
4.209	chin	õdõ-gade (?)
4.21	eye	awĩka
4.212	eyebrow	õdõ-ta-ka-debõ-gĩ
4.213	eyelid	õdõ-ta-debõ
4.214	eyelash	awĩka-gĩ
4.215	blink	bobõ kæ
4.22	ear	õdõ-bõka
4.221	earlobe	õdõ-bõka-tai
4.222	earwax	õdõ-bõka-i
4.23	nose	õdõ-kado
4.231	nostril	gẽbã-yõbõ
4.232	mucus (nasal)	koyo
4.24	mouth	õdõ-de
4.241	beak	ba-ga
4.25	lip	õdõ-de-tai
4.26	tongue	õdõ-gẽdẽwa
4.27	tooth	ba-ga
4.271	gums	ba-ga toka-ya
4.272	molartooth	ẽkĩ-bo-ga (?)
4.28	neck	õdõ-bẽka
4.281	nape of neck	õdõ-bẽka
4.29	throat	õdõ-gadæ̃
4.3	shoulder	õdõ-dãkapæ̃
4.301	shoulderblade	æ̃we-pa
4.302	collarbone	õdõ-tika-pa
4.31	arm	õdõ-bæ̃
4.312	armpit	õdõ-ĩdẽ-bæ̃
4.32	elbow	õdõ-kayæ̃-bæ̃
4.321	wrist	õdõ-kai-po
4.33	hand	õdõ-po
4.331	palm of hand	õdõ-dẽ-po
4.34	finger	õdõ-gõ-po
4.342	thumb	awæ̃payebo
4.344	fingernail	õta
4.345	claw	õta
4.35	leg	õdõ-ti
4.351	thigh	õdõ-ti
4.352	calf of leg	õdõ-bẽde
4.36	knee	õdõ-kapo
4.37	foot	õdõ-wa
4.371	ankle	õdõ-ka-wa
4.372	heel	õdõ-ka-yæ̃-wa
4.374	footprint	õdõ-wa
4.38	toe	õdõ-gõ-wa
4.392	wing	õdõ-bæ̃
4.393	feather	õõ-bã
4.4	chest	õdõ-tawẽ
4.41	breast (of woman)	goõ-bæ̃
4.412	nipple, teat	goõ-bæ̃
4.42	udder	goõ-bæ̃
4.43	navel	
4.44	heart	bĩbõ
4.441	lung	wĩdõta
4.45	liver	batæ̃
4.451	kidney	wĩdõ-kabõ
4.452	spleen	gĩdæ̃-bæ̃
4.46	stomach	yãdeka
4.461	intestines, guts	tækæ-bẽ-gõ
4.462	waist	õdõ-kade-yæ̃
4.463	hip	õdõ-kabõ
4.464	buttocks	õdõ-bodẽ
4.47	womb	wẽ-yæ̃-gã-koo
4.49	testicle	õ-gæ̃-ka
4.492	penis	õ-gæ̃
4.51	breathe, breath	gẽbã
4.52	yawn, gape	æ̃ æ̃-de
4.521	hiccough	ogæ̃ka
4.53	cough	tõ tõ ã
4.54	sneeze	gĩ
4.55	perspire	owæ̃
4.56	spit	towæ tãdõ
4.57	vomit	awæ̃ wẽ
4.58	bite	pokæ̃
4.59	lick	gædæ be
4.591	dribble	pe tæ̃ pe tæ̃ wææ̃
4.61	sleep	bõ
4.612	snore	ãkado
4.62	dream	wĩĩ-bõ
4.63	wake up	yãdi õbæ̃-bõ
4.64	break wind	
4.65	urinate	æ-pæ̃ õ
4.66	defecate	goĩ bẽ
4.67	have sexual intercourse	ado-dẽ bõ
4.68	shiver	do do wãa
4.69	bathe	æ-pæ̃ ãa
4.71	beget (of father)	tapæ̃i
4.72	born (to be)	ẽ-ya
4.73	pregnant	gædẽ-ba-dã
4.732	conceive	ẽ-dẽ-te ba
4.74	live, living, life	kẽwẽ
4.75	die, dead	æ̃bæ̃-wo wæ̃
4.751	drowned	be-kado-te wæ̃
4.76	kill	wæ̃-dõ
4.77	corpse	baõ ĩ-dĩ wĩtæ yõbæ̃
4.78	bury (the dead)	da-ga wẽ
4.79	grave, tomb	wodi-do
4.81	strong, mighty, powerful	tæ̃ĩ pĩgæ̃-te
4.82	weak	akĩ-ĩ
4.83	well, health	wa ĩ
4.84	sick, sickness	wẽdæ wẽdæ ĩ
4.841	fever	daeka-wo
4.842	goiter	wæ̃kã-bõ yæ̃dæ̃-gade yadĩ-bõ
4.843	cold (catarrh)	koyo
4.85	wound, sore	ẽõ kæ̃-ĩ-yõbõ
4.852	bruise	wẽkata baĩ
4.853	swelling	pæ̃kæ bẽ
4.854	itch	õõ-ga-te
4.855	blister	gidæ̃ æ̃-yõbõ
4.856	boil (noun)	dã-tai
4.857	pus	ãĩ
4.858	scar	wẽ-yæ̃-tai
4.86	cure, heal	
4.87	physician	[dotodo]
4.88	medicine, drug	be-ĩ-bõ
4.89	poison	õõ-bæ̃
4.91	tired, weary	
4.912	rest	gẽbã
4.92	lazy	wæ̃tæ-ye
4.93	bald	oka-gĩ õbæ-ka-kã
4.94	lame	tĩgõdõ tĩgõdõ go-kã
4.95	deaf	babeta-bõka
4.96	mute	babeta-de
4.97	blind	babeta-bõ
4.98	intoxicated	
4.99	naked, bare	õba-a
5.11	eat	kæ̃
5.12	food	kæ̃-gĩ
5.121	cooked	æ̃dõ-ĩ
5.122	raw	bĩ
5.123	ripe	i-te
5.124	green, unripe	wẽ-yæ̃
5.125	rotten	yõbæ̃-ĩ
5.13	drink	be
5.14	hunger	dã-di ge æ̃-dẽ-dõ
5.141	famine	dã-di ge æ̃-dẽ-bãbo
5.15	thirst	dã-di gæ̃wæ̃-dõ
5.16	suck	wi õ
5.18	chew	kapo kapo kæ̃
5.181	swallow	yoo bõgæ̃
5.19	choke	goto gõgæ̃-bẽka
5.21	cook	æ̃dõ
5.22	boil (vb)	(bãdã bãdã) ka
5.23	roast, fry	awẽdẽ
5.24	bake	awẽdẽ-te
5.25	oven	awẽdẽ-ka
5.26	pot, cooking vessel	kæ̃-gæ̃
5.27	kettle	kæ̃-gæ̃
5.28	pan	kæ̃-gæ̃
5.31	dish	[podato]
5.32	plate	kæ̃-gĩ-ta
5.33	bowl	owæ-ta
5.34	pitcher, jug	kada-bo
5.35	cup, drinking vessel	owæ-ta
5.36	saucer	giyã-ta
5.37	spoon	wiga-ta
5.38	knife	bæ̃yetæ̃
5.39	fork	tĩ-po-dæ̃
5.391	tongs	tæ̃ĩ õgõ-te æ̃æ̃-gĩ-gõ
5.41	meal (a)	kæ̃-gĩ
5.42	breakfast	tãdo dã-di ba-õdæ be-kĩ
5.43	lunch	tækæ-bækã kæ̃-gĩ
5.44	dinner	kæ̃-gĩ
5.45	supper	gãwadekæ̃ kæ̃-gĩ
5.46	peel	æ̃æ̃ yaa
5.47	sieve, strain	ipagæ kæ
5.48	scrape	wĩya
5.49	stir, mix	wiya kæ, wẽpo kæ
5.51	bread	[pãõ]
5.53	dough	dogo-bæ̃
5.54	knead	da-po da-po kæ
5.55	meal, flour	[adĩda]
5.56	crush, grind	ao bæ̃
5.57	mill	ao bæ̃-ĩ-ka
5.58	mortar	ẽbõ-ka
5.59	pestle	ao bæ̃-ĩ-ka
5.61	meat	baõ
5.63	sausage	--
5.64	soup, broth	tõbẽ-bæ̃
5.65	vegetables	--
5.66	bean	[podoto]
5.7	potato	[papa]
5.71	fruit	tõbẽ-ka
5.712	bunch	ado-gõ-ka-ke
5.75	fig	[iigo]
5.76	grape	--
5.77	nut	tõbẽ-ka
5.78	olive	[odibo]
5.79	oil	ogĩ-ye-pæ̃
5.791	grease, fat	ogĩ-ye
5.81	salt	[kati]
5.82	pepper	
5.821	chili pepper	gĩbõ
5.84	honey	gẽyĩ
5.85	sugar	owãdoka
5.86	milk (noun)	goõ-bæ̃
5.87	milk (vb)	goõ-bæ̃ ã-te wæ̃æ̃ yo-pæ̃
5.88	cheese	[keto]
5.89	butter	ogĩye
5.9	beverage, drink	be-kĩ
5.91	mead	--
5.92	wine	yowe-pæ̃
5.93	beer	tĩ dã-bæ̃
5.94	fermented drink	tĩ dã-bæ̃
5.97	egg	ĩkĩ-bo
5.971	egg yolk	ãgaka
6.11	put on (clothes)	wẽ-ya
6.12	clothing, clothes	ba-dõ-ĩ-koo
6.13	tailor	weo-koo dẽ ba-dõ-gã
6.21	cloth	weo-koo
6.22	wool	kipi oka-gĩ
6.23	linen, flax	--
6.24	cotton	dayõ
6.25	silk	--
6.27	felt	--
6.28	fur	æ̃bõ-tai
6.29	leather	æ̃bõ-tai
6.31	spin	da
6.32	spindle	da-kĩ-ka
6.33	weave	tĩ
6.34	loom	tĩ-gĩ-wæ̃
6.35	sew	bẽ tadõbõ
6.36	needle	daa-gõ
6.37	awl	tika bãdõ-ĩ-ka
6.38	thread	kõ-bẽ-ka-gĩ
6.39	dye	gi-pæ̃-dẽ
6.41	cloak	ya-a-koo
6.411	poncho	ya-a-koo
6.42	woman's dress	doyæ̃-koo
6.43	coat	ya-a-koo
6.44	shirt	õdõ-dãkapæ̃-koo
6.45	collar	--
6.46	skirt	õdõ-kadiyæ̃-koo
6.461	grass-skirt	--
6.48	trousers	õdõ-ti-koo
6.49	stocking, sock	awæ̃ka-ta
6.51	shoe	awæ̃ka-ta
6.52	boot	awæ̃ka-ta
6.54	shoemaker, cobbler	awæ̃ka-ta ã-te dẽ ba-dõ-gã
6.55	hat, cap	o-ka-bo-ga-ta
6.57	belt, girdle	pa-kadeyæ̃-ta
6.58	glove	--
6.59	veil	--
6.61	pocket	wẽtæ æ̃æ̃-ĩ-kade
6.62	button	tape-bõ
6.63	pin	da ta-dõ-wa-ĩ
6.71	ornament, adornment	wa-bõ
6.72	jewel	--
6.73	ring (for finger)	õdõ-po tĩ-po-ĩ
6.74	bracelet	õdõ-kapo-bẽ
6.75	necklace	wa-bõ
6.76	bead	wa-bõ
6.77	earring	dika-gõ
6.78	headband, headdress	pogã-ta
6.79	tattoo	--
6.81	handkerchief, rag	--
6.82	towel	dæ dæ ka-a-kĩ
6.91	comb	kæ̃wi-gade
6.92	brush	--
6.921	braid	ke ke kæ
6.93	razor	oka-gĩ to-de-kĩ
6.94	ointment	õdi-pæ-kĩ-bæ̃
6.95	soap	[aabõõ] weo-koo yabõ-gĩ
6.96	mirror	kowæ-ka
7.11	dwell, live	kẽwẽ
7.12	house	õ-kõ
7.13	hut	õ-kõ-tai
7.131	garden-house	õ-kõ-tai
7.14	tent	[kadopa]
7.15	yard, court	õ-kõ boyæ̃
7.16	men's house	--
7.17	cookhouse	kæ̃-gĩ õ-kõ
7.18	meeting house	apæ̃-de-ĩ-kõ
7.21	room	gii-kõ
7.22	door, gate	o-debõ
7.221	doorpost, jamb	o-debõ wo kæ-de-kĩ
7.23	lock (noun)	[yabe]; [kãtado]
7.231	latch, door-bolt	o-debõ wo-dõ-gĩ
7.24	key	[yabe]
7.25	window	a-kĩ-piti
7.26	floor	tepa-ta
7.27	wall	wææ kæ-ĩ
7.31	fireplace	gõ-ga-pãbo
7.32	stove	gõ-ga
7.33	chimney	tẽbã go-kĩ-piti
7.37	ladder	kõ kæ-wa-kĩ
7.42	bed	bõ-ĩ-bo
7.421	pillow	o-ka-bo be podõ-ĩ
7.422	blanket	bõ-ĩ-koo
7.43	chair	tæ̃æ̃ kõta-ĩ
7.44	table	kæ̃-ĩ-pa
7.45	lamp, torch	tĩ wo-dõ-do-ĩ-kade
7.46	candle	[etopedẽbã]
7.47	shelf	a-wæ̃-pa wæ̃æ̃-dõ-bẽ-dæka-pa
7.48	trough	æ-pæ̃ go-kĩ-pa
7.51	roof	õ-kõ
7.52	thatch	õõ-ba-kõ
7.53	ridgepole	õ-kõ-bãka
7.54	rafter	õ-to-wæ̃
7.55	beam	õ-gõ-wæ̃
7.56	post, pole	a-wæ̃
7.57	board	a-wæ̃-pa
7.58	arch	--
7.61	mason	dika-ka dẽ bæ̃-dõ-gã
7.62	brick	dika-bõta
7.63	mortar	[tẽbẽto]
7.64	adobe	dai-ke dã-di bæ̃-dõ-dĩ
8.11	farmer	gõdẽa dẽ kæ-kã
8.12	field (for cultivation)	gõdẽa
8.13	garden	kẽwẽ-koo-dẽ
8.15	cultivate, till	bãgæ̃-kæ bãgæ̃-kæ go
8.16	fence	wææ kæ-ĩ
8.17	ditch	æ-pæ̃ go-kĩ
8.21	plow	bãgæ̃-kæ bãgæ̃-kæ go
8.212	furrow	bãgæ̃-kæ dã-di go-dõ
8.22	dig	æ̃æ̃ wo
8.23	spade	õ-gipo-i wo-kĩ
8.24	shovel	õ-gipo-i wo-kĩ
8.25	hoe	--
8.26	fork	tĩpodæ̃
8.27	rake	epæ̃-gĩ
8.31	sow	kiya
8.311	seed	tõbẽ-bõ
8.32	mow, reap	gæ
8.33	sickle, scythe	--
8.34	thresh	ye-ya
8.35	threshing-floor	ye-ya kæ-yõbõ
8.41	crop, harvest	dã-di tĩ gæ-dĩ-koo
8.42	grain (barley, oats etc)	tõbẽ-bõ
8.43	wheat	todigo
8.44	barley	--
8.45	rye	--
8.46	oats	[abẽdã]
8.47	maize, corn	kagĩ-gõ
8.48	rice	[adoto]
8.51	grass	gagĩbæ̃
8.52	hay	gagĩbæ̃ abĩbõ ĩ
8.53	plant (noun)	awæ̃
8.531	plant (vb)	bẽ
8.54	root	gæyæ̃-bẽ
8.55	branch	a-wæ̃-dẽbæ̃
8.56	leaf	õyabo
8.57	flower	õgaĩ
8.6	tree	a-wæ̃
8.61	oak	--
8.62	beech	--
8.63	birch	--
8.64	pine	--
8.65	fir	--
8.66	acorn	--
8.67	vine	õ-bẽ
8.68	tobacco	okæ̃-ĩ
8.69	smoke (tobacco)	okæ̃-ĩ okæ̃
8.691	pipe	
8.72	tree stump	õdãka-do
8.73	tree trunk	tõbẽ-wæ̃
8.74	forked branch	yæ̃ke
8.75	bark	õtapo
8.76	sap	a-wæ̃ tõbẽ-bæ̃
8.81	palm tree	õõbã
8.82	coconut	[koko]
8.83	citrus fruit	[dibõõ]
8.84	banana tree	pæ̃æ̃dæ̃
8.85	banyan	--
8.91	sweet potato	akagæ̃
8.912	yam	kawãgõ
8.92	tapioca, manioc, cassava	kæ̃-dæ̃
8.93	gourd	owæ-ta
8.931	pumpkin, squash	[tapayo]
8.94	bamboo	yõdæ̃
8.941	sugar cane	owãdoka
8.96	fish poison (root)	kõpagõ
8.97	nettle	wæ̃to
8.98	mushroom	dæ̃dæ̃tapæ̃
9.11	do, make	kæ
9.12	work	[tadabako] kæ
9.14	bend	idæ̃bæ̃ kæ
9.15	fold	dĩ kapo
9.16	tie, bind	yã kæ
9.161	untie	yẽ kæ
9.18	chain	yaẽbẽ-gõ
9.19	rope, cord	gægĩka-bẽ
9.192	knot (noun)	õkabæ
9.21	strike (hit, beat)	tei tei pã
9.211	pound with fist	te te ã-po
9.22	cut	ẽõ to
9.221	cut down	bæ̃ yi
9.222	chop, hew	yi
9.223	stab	yaẽbẽ ko
9.23	knife	bæ̃yetæ̃
9.24	scissors, shears	wiga
9.25	ax	a-wæ̃-ka
9.251	adze	toka yika
9.26	break	to-bæ̃
9.261	broken	to-bæ̃-ĩ
9.27	split	ti-yæ̃-gõ
9.28	tear	wãdã yæ̃
9.29	flay, skin	æ̃æ̃ ya
9.31	rub, wipe	wẽã go-dõ wẽã go-dõ kæ
9.32	stretch	wẽã go-dõ
9.33	pull	wẽã põ-dõ
9.34	spread out	gedæ̃ kæ
9.341	hang up	wo-kæ̃
9.342	press	goto õgõ-te bõõ kæ
9.343	squeeze, wring	bã-po-ga; wæ yo-pæ̃
9.35	pour	pe yĩyæ̃
9.36	wash	yabõ
9.37	sweep	wadæ yẽbæ̃
9.38	broom	õbæpo yẽbæ̃-ĩ
9.422	tool	ba-dõ-gĩ
9.43	carpenter	dẽ a-wæ̃ gĩ-yæ̃-gã
9.44	build	bæ̃-dõ
9.46	bore	tika bãdõ
9.461	hollow out	to-dẽ
9.48	saw	ẽõ pæ̃-ĩ
9.49	hammer	tĩ-ka-ĩ
9.5	nail	daa-gõ
9.56	glue	tee bæ-kĩ-bæ̃
9.6	smith, blacksmith	--
9.61	forge	--
9.62	anvil	--
9.63	cast (metals)	--
9.64	gold	[oodo]
9.65	silver	[podata]
9.66	copper, bronze	--
9.67	iron	yæẽbẽ-wæ̃
9.68	lead (noun)	--
9.69	tin, tinplate	--
9.71	potter	dai dẽ bæ-kã
9.72	mold (clay etc)	bæ
9.73	clay	dai
9.74	glass	a-woka-wæ̃-ta
9.75	weave, plait	ke o
9.76	basket	oto
9.77	mat	
9.771	rug	--
9.78	netbag	digĩ-tai
9.79	fan (noun)	õõ-bã
9.791	fan (vb)	bæ bæ õbõ
9.81	carve	yewæ̃bõ
9.82	sculptor	dẽ dai bæ-kã
9.83	statue	--
9.84	chisel	tæ̃ wĩ kæ-ĩ-ka
9.88	paint (noun)	õdi pa-a-kĩ-bæ̃
9.89	paint (vb)	õdi pa-a
10.11	move	go
10.12	turn over	dadi wẽdẽ
10.13	turn around	dadi ẽbæ̃
10.14	wind, wrap	bõ pa
10.15	roll	pæ̃tæ pæ̃tæ go
10.16	drop (vb)	wæ̃æ̃-to-dõ
10.17	twist	daki daki õ
10.21	rise	æ̃; æ̃-i
10.22	raise, lift	æ̃-gõ kæ
10.23	fall	tæ̃ wæ̃æ̃
10.24	drip	dadi õpoi dadi õpoi wæ̃æ̃
10.25	throw	wo æ̃-to-dõ
10.252	catch (ball)	bæi õkõ
10.26	shake	wã-kæ wã-kæ kæ
10.32	flow	go-pæ̃
10.33	sink	goyæ gii
10.34	float	wo-ga-a go
10.35	swim	pãta
10.351	dive	ẽbã gii
10.352	splash	æ̃i-dãbæ̃ wæ̃æ̃
10.36	sail (vb)	wo-ga-a go
10.37	fly (vb)	kæ-wo
10.38	blow	wo õõ
10.41	creep, crawl	ta-po ta-po go
10.412	kneel	daa gi-kapo
10.413	crouch	bokæ wæ̃æ̃
10.42	slide, slip	wẽã go wæ̃æ̃
10.43	jump, leap	too go
10.431	kick	te tõ-wa
10.44	dance	ã-wa
10.45	walk	dao dao go
10.451	limp	tĩgõdõ go
10.46	run	pogodo go
10.47	go	go
10.471	go up	æ̃-i
10.472	climb	æ̃; æ̃-i
10.473	go down	wæ̃æ̃-i
10.474	go out	ta-o go
10.48	come	põ
10.481	come back	okæ ẽbæ̃-te põ
10.49	go away, depart	wadæ go
10.491	disappear	dææ go
10.51	flee	wodii wĩdõ
10.52	follow	te ẽpo go
10.53	pursue	togæ̃
