entry_id	trans_english	Qau_Kelao_Phonemic
2.631	son-in-law (of a woman)	tau.35
2.64	daughter-in-law (of a man)	tau.35
2.641	daughter-in-law (of a woman)	tau.35
2.71	stepfather	sa.42 ŋ.35 tau.35; sa.42 ŋ.35 ce.42
2.72	stepmother	cau.35
2.73	stepson	sa.42 ŋ.35 cau.35
2.74	stepdaughter	ce.35
2.75	orphan	məi.31 zo.13
2.76	widow	pu.42
2.77	widower	mo.42
2.81	relatives, kinsmen	phiŋ.35 cI.42 kja.35
2.82	family	so.42 pja.42 ńe.31
2.91	I	fu.13 ńo.35
2.92	you (singular)	pu.42 ńe.42
2.93	he/she/it	ńe.42 ho.35
2.94	we	mo.42 ńe.42
2.941	we (inclusive)	ńe.31 tjaŋ.35 tjaŋ.35
2.942	we (exclusive)	ńe.31 ŋ.42
2.95	you (plural)	caŋ.31
2.96	they	pu.31 caŋ.13
3.11	animal	mo.42 caŋ.13
3.12	male (adj)	caŋ.31 laŋ.35 li.35
3.13	female (adj)	pu.42 mau.42
3.15	livestock	mo.42 mau.42
3.16	pasture	mau.35
3.18	herdsman	caŋ.31
3.19	stable, stall	pu.31 caŋ.13
3.2	cattle (bovine)	caŋ.31 tjaŋ.35 tjaŋ.35
3.21	bull	ńo.35
3.22	ox	pu.42 ńo.35
3.23	cow	mo.42 ńo.35
3.24	calf	ńo.35 tjaŋ.35 tjaŋ.35; li.42 ljuŋ.42 ńo.35
3.25	sheep	pu.42 kai.42
3.26	ram	mo.42 kai.42
3.28	ewe	kai.35
3.29	lamb	mo.42 ŋa.42
3.32	boar	mo.42 ŋa.42
3.34	sow	ca.35
3.35	pig	mo.42 naŋ.42
3.36	goat	mo.42 li.13
3.37	he-goat	mu.31 li.42 kai.35
3.38	kid	sI.42 to.35 ve.31
3.41	horse (equine)	blak.
3.42	stallion	le.
3.44	mare	mo.42 ca.42
3.45	foal, colt	mo.42 cI.42 kau.35
3.46	ass, donkey	mo.42 cI.31 kau.35
3.47	mule	jan.13 cI.42
3.5	fowl	kai.35 zo.13
3.52	cock, rooster	hən.35 (həŋ.35)
3.54	hen	mo.42 co.35 zai.13
3.55	chicken	cuan.33 san.33 ća.31
3.56	goose	pau.42 cI.35
3.57	duck	chai.35 kəu.42
3.58	nest	pi.35 miu.42
3.581	bird	ŋo.31 to.35 kai.35
3.582	seagull	mo.42 lo.42
3.583	heron	mo.42 pjo.42
3.584	eagle	vei.42 mo.42 pjo.42
3.585	hawk	mo.42 pjo.42 pu.42 ka.42
3.586	vulture	ka.42 lai.35
3.591	bat	ća.35 ji.35
3.592	parrot	śa.35 ə̂.35
3.593	crow	huaŋ.31 saŋ.13
3.594	dove	pau.42 cI.35
3.596	owl	sI.33 cI.42
3.61	dog	śuŋ.31
3.614	rabbit	chai.35 kəu.42
3.62	cat	mau.42 lau.42 hau.13
3.622	opossum	mau.35 sai.35
3.63	mouse, rat	ńe.31 zo.13
3.65	fish	mo.42 to.42
3.652	fin (dorsal)	ta.13 śaŋ.1
3.653	fishscale	lo.31 tho.31
3.654	gill	cI.31 khi.35
3.655	shell	mo.42 ce.31; mo.42 ce.31 pəi.42 kəi.42
3.661	shark	ke.35 ce.31
3.662	porpoise, dolphin	cI.42 me.42
3.663	whale	cI.31 luŋ.35
3.664	stingray	mu.42 cI.31 tha.35
3.665	freshwater eel	cau.42 ma.42
3.71	wolf	cI.31 təŋ.35
3.72	lion	ke.35 ći.31 ći.13
3.73	bear	ca.42 ke.35 ći.31 ći.13
3.74	fox	mo.42 ji.31
3.75	deer	ma.42 thaŋ.42 ji.31
3.76	monkey	ca.35 mo.42 ji.31
3.77	elephant	mo.42 huŋ.35 lau.31; ma.42 jia.35 śi.35
3.78	camel	cI.42 təŋ.35 ʔu.42
3.81	insect	cI.31 ve.13
3.811	louse	cI.31 ve.13
3.812	nit (louse egg)	cI.31 khe.35 ka.42 mo.42 tai.42
3.813	flea	cI.31 khe.35 mi.13
3.814	centipede	cI.31 khe.35
3.815	scorpion	ćau.13 ći.35
3.816	cockroach	mu.42 cI.42 ti.35
3.817	ant	mu.42 cI.42 ti.35 tau.35 so.42
3.818	spider	mo.42 ŋo.42
3.819	spider web	mo.42 ŋo.42 li.31
3.82	bee	njaŋ.13 ho.42 chuŋ.31
3.821	beeswax	cI.31 ve.13 ka.42 to.35
3.822	beehive	lo.31 sI.35
3.823	wasp	ći.35 ći.42 (li.31 paŋ.13, tjaŋ.35 tjaŋ.35)
3.83	fly	pu.35
3.831	sandfly (midge), gnat	pu.35 ka.42
3.832	mosquito	niau.35
3.84	worm	mai.42 kəi.42
3.85	snake	mi.13 ći.42
3.91	firefly	mi.13 fəŋ.42
3.92	butterfly	mi.13 ka.42 cau.35
3.93	grasshopper	fəŋ.42
3.94	snail	pja.42
3.95	frog	pja.42 cI.31 ve.31
3.96	lizard	cI.31 ve.31
3.97	crocodile, alligator	ta.31 taŋ.13
3.98	turtle	ŋ.42 ta.31 taŋ.13
4.11	body	ka.42 ki.35
4.12	skin, hide	kau.35 (ńe.31)
4.13	flesh	ko.35 səi.42
4.14	hair (head)	ka.42 lai.35
4.142	beard	ka.42 lai.35
4.144	body hair	pəi.42 kəi.35
4.145	pubic hair	kau.42 taŋ.35
4.146	dandruff	pəi.42 kəi.35
4.15	blood	kəi.35
4.151	vein, artery	pe.13
4.16	bone	pu.42 taŋ.35
4.162	rib	pe.13
4.17	horn	pu.13 ta.13
4.18	tail	mi.42 ći.42
4.19	back	ta.13 to.35
4.191	spine	mi.31 ta.31 to.35
4.2	head	mi.31 ta.31 to.35
4.201	side of head, temple	mi.13 ta.31 to.35
4.202	skull	ca.42 ta.31 to.35; ta.31 to.35 ca.42
4.203	brain	co.35
4.204	face	co.35
4.205	forehead	ko.42 co.35
4.207	jaw	ljuŋ.31 ńe.13
4.208	cheek	za.31 ljuŋ.31 ńe.13
4.209	chin	ko.42 ńe.42
4.21	eye	pu.13
4.212	eyebrow	pu.13 mo.42 naŋ.42
4.213	eyelid	pu.13 ta.13
4.214	eyelash	pi.13 mo.42
4.215	blink	mo.42 pe.42
4.22	ear	mo.42 pe.42 ləi.42 ćiŋ.35
4.221	earlobe	mo.42 pe.42 ńi.35
4.222	earwax	ta.13 ćəu.31
4.23	nose	ta.13 ćəu.31 piŋ.35
4.231	nostril	co.31 sI.31 kəi.35
4.232	mucus (nasal)	ki.42 pu.35
4.24	mouth	ta.31 taŋ.13 ki.42 pu.35
4.241	beak	pu.31 ńi.35
4.25	lip	ćin.33 co.35
4.26	tongue	pei.42 məi.42 le.35
4.27	tooth	pei.42 məi.42
4.271	gums	pu.42 məi.35
4.272	molartooth	mo.42 məi.42
4.28	neck	mo.42 mei.42 li.31
4.281	nape of neck	mo.42 ke.42
4.29	throat	mo.42 kjau.35
4.3	shoulder	pu.31 ko.35
4.301	shoulderblade	pu.31 ko.35 li.31
4.302	collarbone	pu.31 ko.35 tjaŋ.35 tjaŋ.35
4.31	arm	tuŋ.31 kuŋ.35
4.312	armpit	pu.31 ko.35
4.32	elbow	mo.42 kjau.42
4.321	wrist	la.42 suŋ.35 kjau.42
4.33	hand	ki.35 kjau.42
4.331	palm of hand	kəi.42 mu.42 kjau.42
4.34	finger	vei.31
4.342	thumb	mi.13
4.344	fingernail	ŋau.31 lu.42
4.345	claw	ćiu.35
4.35	leg	pu.13 ćəu.35
4.351	thigh	ćiu.35
4.352	calf of leg	ka.42 luŋ.35
4.36	knee	pa.42 pu.35
4.37	foot	phəu.42
4.371	ankle	pa.42 pu.35
4.372	heel	phi.31
4.374	footprint	pa.13 pai.13
4.38	toe	ka.42 luŋ.35
4.392	wing	phəu.42
4.393	feather	sai.35
4.4	chest	kjau.42
4.41	breast (of woman)	ko.35 ko.42
4.412	nipple, teat	ko.35 ko.42
4.42	udder	zau.31 ko.42
4.43	navel	tha.42 cau.35
4.44	heart	tha.42 cau.35
4.441	lung	tha.42 ni.42 cau.42
4.45	liver	mau.42 kiu.35
4.451	kidney	zo.31 həi.35
4.452	spleen	həi.35 tən.13
4.46	stomach	zu.13
4.461	intestines, guts	zu.13
4.462	waist	chu.42 fən.42
4.463	hip	ŋ.42 cau.42
4.464	buttocks	thu.42 ŋ.42 cau.42
4.47	womb	ki.42
4.49	testicle	to.42
4.492	penis	ca.31 pi.42 mo.42
4.51	breathe, breath	la.13
4.52	yawn, gape	ćiu.13 ŋ.42 cau.42
4.521	hiccough	ŋau.42 ku.42
4.53	cough	zəu.13 taŋ.31 ka.35
4.54	sneeze	ŋau.42 pe.35
4.55	perspire	pja.35 ŋ.35
4.56	spit	pja.35 ŋ.35
4.57	vomit	ni.13 ta.31 cəi.42
4.58	bite	cau.31
4.59	lick	ńi.42 ko.42
4.591	dribble	ka.42 ćiu.35
4.61	sleep	ńau.13 ćiŋ.35
4.612	snore	vu.42 pu.31 ce.35
4.62	dream	so.42 co.35 pəŋ.42 so.42 tjaŋ.35 tjaŋ.35
4.63	wake up	pəŋ.13
4.64	break wind	pəŋ.13 so.42 tjaŋ.35 tjaŋ.35
4.65	urinate	tai.42 li.42
4.66	defecate	pei.42 li.42
4.67	have sexual intercourse	pu.35
4.68	shiver	pəŋ.35
4.69	bathe	ŋan.33 pəŋ.35
4.71	beget (of father)	zən.31
4.72	born (to be)	so.42 pəŋ.35
4.73	pregnant	ŋe.31
4.732	conceive	ta.31 ljuŋ.31
4.74	live, living, life	pei.13 ce.31
4.75	die, dead	ʔa.42 pei.35 ce.31 ʔɛ.42
4.751	drowned	to.35 tən.13
4.76	kill	zai.13
4.77	corpse	li.35 cau.35 ku.42
4.78	bury (the dead)	ta.31 ńiu.31 li.35 paŋ.31
4.79	grave, tomb	tau.31 mo.42 ćiŋ.35
4.81	strong, mighty, powerful	ńi.42 ko.35 ŋ.42
4.82	weak	he.13 zai.13
4.83	well, health	phe.42
4.84	sick, sickness	phe.42 li.35 paŋ.31
4.841	fever	phe.42 li.35 paŋ.31; thaŋ.13
4.842	goiter	ŋ.42 ʔjaŋ.35
4.843	cold (catarrh)	kəu.42
4.85	wound, sore	kuan.42
4.852	bruise	ma.31 li.13
4.853	swelling	ʔo.35
4.854	itch	kja.35
4.855	blister	kja.35 tu.13 həŋ.35
4.856	boil (noun)	zo.31 kja.35
4.857	pus	phau.35
4.858	scar	ca.31 həi.35
4.86	cure, heal	ke.42
4.87	physician	ʔ.42 pei.42 mei.42 ke.42 ʔɛ.42
4.88	medicine, drug	to.31 ko35 pi.42
4.89	poison	cuŋ.35 ŋe.35
4.91	tired, weary	ha.35 ta.42
4.912	rest	to.35 tuŋ.42
4.92	lazy	kjaŋ.35
4.93	bald	məi.42 pəi.35 zəi.42 ʔɛ.42
4.94	lame	ha.35
4.95	deaf	śi.35 mu.42 chai.42
4.96	mute	hau.42
4.97	blind	tai.42 ti.13
4.98	intoxicated	hai.42 ɣəu.42
4.99	naked, bare	kjaŋ.42 ki.42
5.11	eat	zuŋ.13 za.13
5.12	food	haŋ.42
5.121	cooked	no.42
5.122	raw	faŋ.42
5.123	ripe	ŋi.35 co.42
5.124	green, unripe	ńi.35
5.125	rotten	la.13
5.13	drink	śau.35
5.14	hunger	ŋ.42 taŋ.42
5.141	famine	ki.35
5.15	thirst	khau.35
5.16	suck	cu.31 pai.35
5.18	chew	ka.33
5.181	swallow	pjuŋ.31 cau.35 ŋ.42
5.19	choke	ka.13 ki.35 mo.31
5.21	cook	phan.35 cI.42
5.22	boil (vb)	ti.13
5.23	roast, fry	pjuŋ.42
5.24	bake	thjau.31 kən.33
5.25	oven	tho.35
5.26	pot, cooking vessel	li.42 tho.35
5.27	kettle	ho.42 ćian.35
5.28	pan	sI.42 se.42 məŋ.42
5.31	dish	mo.42 śuŋ.42
5.32	plate	ki.42
5.33	bowl	mo.42 kjaŋ.42
5.34	pitcher, jug	mo.42 kjaŋ.42
5.35	cup, drinking vessel	śy.42
5.36	saucer	kei.42
5.37	spoon	śy.42
5.38	knife	le.33
5.39	fork	ćo.31 lan.13
5.391	tongs	ho.42 pai.35 məŋ.42
5.41	meal (a)	pai.35 məŋ.42 mo.42 ći.13
5.42	breakfast	təŋ.42
5.43	lunch	ʔu.42
5.44	dinner	khjau.35 mi.35
5.45	supper	khjau.35
5.46	peel	ńau.35
5.47	sieve, strain	sai.35
5.48	scrape	ŋ.42
5.49	stir, mix	luŋ.31
5.51	bread	təi.33
5.53	dough	sI.31 ku.35
5.54	knead	ce.35 həu.35
5.55	meal, flour	ʔa.42 śəu.42
5.56	crush, grind	sI.42 kəi.35
5.57	mill	mu.42 ti.35
5.58	mortar	ta.13 lo.13
5.59	pestle	taŋ.31 tai.35 mi.42
5.61	meat	ne.31
5.63	sausage	ne.31
5.64	soup, broth	ke.13 təŋ.31
5.65	vegetables	zəu.31 pi.13
5.66	bean	ńəu.31
5.7	potato	ći.13
5.71	fruit	mo.42 ji.31
5.712	bunch	ma.31 thaŋ.42
5.75	fig	ćəu.35
5.76	grape	kai.42
5.77	nut	kai.35 phəi.42
5.78	olive	ləi.31 (zəi.13)
5.79	oil	zəi.13
5.791	grease, fat	ka.42 zəi.13
5.81	salt	həu.35
5.82	pepper	mi.13
5.821	chili pepper	ko.42 li.42
5.84	honey	həŋ.42
5.85	sugar	mi.13 pu.31 ka.42
5.86	milk (noun)	(thi.42) pu.31 ka.42
5.87	milk (vb)	te.31 vu.13 ći.13
5.88	cheese	ći.13 zəu.13; ći.13 zəu.13 həŋ.42
5.89	butter	zəu.31 ći.13
5.9	beverage, drink	mo.42 pjo.42
5.91	mead	pje.42
5.92	wine	ńi.13
5.93	beer	məi.42 cI.42 juŋ.42
5.94	fermented drink	zəi.13 tau.13
5.97	egg	zəi.13 ʔu.42 chəi.35
5.971	egg yolk	ta.31 ćəu.31 zəi.13
6.11	put on (clothes)	məi.42 cI.42 jəŋ.35
6.12	clothing, clothes	cI.31 khəu.35
6.13	tailor	wa.42 cI.35
6.21	cloth	thi.42
6.22	wool	mau.13
6.23	linen, flax	ći.35 li.31 ca.31 cəi.31 khəu.35
6.24	cotton	ləi.42 pəŋ.31
6.25	silk	ći.31 ke.35 ta.31 ćəu.31
6.27	felt	ho.31 pau.33
6.28	fur	ləu.35
6.29	leather	pje.42
6.31	spin	ńe.35 kau.35 to.31 məi.31
6.32	spindle	məi.42 fu.35
6.33	weave	ńe.35 kau.35 ta.31 ńəu.31
6.34	loom	ce.31 na.42 məi.31 cəi.42
6.35	sew	pi.31 kaŋ.42 to.35
6.36	needle	pi.31 kaŋ.42 to.35
6.37	awl	khjau.35 pəi.31 kəi.42
6.38	thread	khjau.35 pəu.31 kəi.42
6.39	dye	ca.31 cI.31
6.41	cloak	te.35; te.35 məi.31 kəi.42
6.411	poncho	li.42 tho.35 ku.42 kəi.42
6.42	woman's dress	mo.31 ki.13 məi.35 ʔɛ.42
6.43	coat	so.42 sai.42 zəi.13
6.44	shirt	pi.31 ćiŋ.35
6.45	collar	ca.31 tha.31 nai.13
6.46	skirt	ki.35
6.461	grass-skirt	ki.35 tjaŋ.35 tjaŋ.35
6.48	trousers	mo.42 ti.35
6.49	stocking, sock	tha.42 tau.31 məŋ.42
6.51	shoe	ki.35 tuŋ.13
6.52	boot	piŋ.13 li.31; piŋ.13
6.54	shoemaker, cobbler	paŋ.
6.55	hat, cap	chəi.35; pəi.42 tu.13
6.57	belt, girdle	ʒ́hoŋ.
6.58	glove	jo.42 sI.35
6.59	veil	tu.42 lu.42
6.61	pocket	pi.42 to.42
6.62	button	cu.42 pai.35
6.63	pin	pai.35 məŋ.13
6.71	ornament, adornment	thi.33 ci.42
6.72	jewel	tha.42 ŋau.42
6.73	ring (for finger)	ŋa.31 kəi.42
6.74	bracelet	śo.33 luŋ.35
6.75	necklace	ta.13 co.13 tu.42
6.76	bead	ta.31 co.13 ha 35 məŋ.42
6.77	earring	təŋ.42 ce.35
6.78	headband, headdress	thuŋ.33 mau.35
6.79	tattoo	tau.31 taŋ.31 ki.35
6.81	handkerchief, rag	tau.31 taŋ.31 ki.35 to.13
6.82	towel	cI.42 pəi.35
6.91	comb	mo.42 ljaŋ.31
6.92	brush	mo.42 ljaŋ.31
6.921	braid	mo.42 tai.42
6.93	razor	pi.42 tai.35
6.94	ointment	pu.42 fe.42 ka.42 paŋ.35 ŋ.35
6.95	soap	cuan.33
6.96	mirror	sa.35 paŋ.35 ŋ.35
7.11	dwell, live	so.42 tau.31 ta.31 kuŋ.35
7.12	house	zuŋ.13
7.13	hut	lau.13
7.131	garden-house	lau.13 luŋ.31
7.14	tent	tau.31 ta.31 kuŋ.35
7.15	yard, court	ka.13 ta.13 ji.1
7.16	men's house	ko.35 śi.42
7.17	cookhouse	ləi.42
7.18	meeting house	fu.35 li.42
7.21	room	hai.42
7.22	door, gate	chuan.35
7.221	doorpost, jamb	chuan.35
7.23	lock (noun)	pu.42 te.31
7.231	latch, door-bolt	ta.31 co.42
7.24	key	thaŋ.35
7.25	window	chuŋ.42
7.26	floor	he.42
7.27	wall	phu.42 lin.31
7.31	fireplace	ka.42 məŋ.42
7.32	stove	tha.42 ka.42 məŋ.42
7.33	chimney	ʔjau.33
7.37	ladder	tha.42 laŋ.42 məŋ.42
7.42	bed	so.35
7.421	pillow	so.35 kjo.42
7.422	blanket	so.42 laŋ.42 li.35
7.43	chair	ho.35
7.44	table	ćhi.35
7.45	lamp, torch	mu.42 sa.42
7.46	candle	su.42 məŋ.42
7.47	shelf	mu.42 sa.42; ʔi.35
7.48	trough	su.35 məŋ.42
7.51	roof	cI.31 təŋ.35 məŋ.42
7.52	thatch	mən.42 ćhi.35
7.53	ridgepole	ća.35
7.54	rafter	cI.42 təŋ.35 mo.42 so.42 ca.35
7.55	beam	śi.33 ji.35
7.56	post, pole	ta.31 kuŋ.35
7.57	board	thui.42 thui.42
7.58	arch	mo.42  ńa.42
7.61	mason	kəu.35 həŋ.42
7.62	brick	mu.42 tai.42
7.63	mortar	khauʔ.
7.64	adobe	su.35 pu.31 tjaŋ.35 tjaŋ.35
8.11	farmer	ce.31
8.12	field (for cultivation)	ti.31 ke.35
8.13	garden	haŋ.35 ke.35; ke.35
8.15	cultivate, till	təi.31 ke.35
8.16	fence	ta.31 ko.35 mu.42 tai.42
8.17	ditch	mu.42 tai.42 fa.42 thui.42
8.21	plow	ka.31 co.35 mu.42 tai.42
8.212	furrow	ćaŋ.35 ćaŋ.35 mu.42 tai.42
8.22	dig	pi.31 śi.35
8.23	spade	pa.3 ćau.33
8.24	shovel	mu.42 sau.31
8.25	hoe	taŋ.31 sa.35
8.26	fork	lau.13
8.27	rake	fəi.42 ko.42
8.31	sow	po.42 ljuŋ.35
8.311	seed	mo.35 jau.42
8.32	mow, reap	pa.42 ćhi.35
8.33	sickle, scythe	ća.35
8.34	thresh	ho.33 ma.33
8.35	threshing-floor	ki.35 cai.31
8.41	crop, harvest	tau.31
8.42	grain (barley, oats etc)	tau.31 ta.31 kuŋ.35
8.43	wheat	le.33
8.44	barley	tiŋ.42
8.45	rye	tu.13
8.46	oats	kəi.42
8.47	maize, corn	śi.42
8.48	rice	ka.42
8.51	grass	ka.42
8.52	hay	tuŋ.35; he.42
8.53	plant (noun)	tśi.42
8.531	plant (vb)	tśi.42
8.54	root	tha.35
8.55	branch	tho.35
8.56	leaf	pu.42 sʔ.31 to.42
8.57	flower	ka.35
8.6	tree	me.31
8.61	oak	pjo.42
8.62	beech	pjo.42
8.63	birch	ćhi.42
8.64	pine	ti.42
8.65	fir	zu.13
8.66	acorn	cha.42
8.67	vine	cəu.13 zo.13 ca.35
8.68	tobacco	cəu.13
8.69	smoke (tobacco)	zau.31 mu.42 ti.13
8.691	pipe	zau.31 mu.42 ti.13
8.72	tree stump	wa.13
8.73	tree trunk	nəŋ.42
8.74	forked branch	təi.31
8.75	bark	kai.42
8.76	sap	sai.42
8.81	palm tree	səi.42
8.82	coconut	mo.42 səi.42
8.83	citrus fruit	tau.31 ki.35
8.84	banana tree	mu.31 ńa.31 tha.35
8.85	banyan	hai.42
8.91	sweet potato	śye.42
8.912	yam	ka.42
8.92	tapioca, manioc, cassava	ca.35 ŋ.42
8.93	gourd	ka.42 ce.42
8.931	pumpkin, squash	kau.31 khuŋ.35
8.94	bamboo	ńe.35
8.941	sugar cane	haŋ.35
8.96	fish poison (root)	thuŋ.31
8.97	nettle	ce.42
8.98	mushroom	paŋ.35 ʔji.42
9.11	do, make	pi.31 ćiŋ.35
9.12	work	ke.35
9.14	bend	təi.31 tjəu.13
9.15	fold	pu.31 ji.42 ʔəu.42
9.16	tie, bind	vən.35 tha.31 nau.31
9.161	untie	ka.42 mu.31 pjo.42
9.18	chain	po.13 lo.31
9.19	rope, cord	ha.42 ve.31
9.192	knot (noun)	thəu.42
9.21	strike (hit, beat)	khui.13 ʔji.42
9.211	pound with fist	ći.31 ka.42 mu.42 tai.42
9.22	cut	sa.42 sa.35
9.221	cut down	sa.35; sa.35 sI.31 caŋ.42
9.222	chop, hew	jau.13
9.223	stab	jo.33
9.23	knife	vəi.13 cuan.31 piŋ.13
9.24	scissors, shears	pəi.31
9.25	ax	məi.35 ko.35
9.251	adze	ćot.
9.26	break	cuan.13; cuan.13 le.35; we.35
9.261	broken	ći.35 mu.31
9.27	split	caŋ.13 vəi.31 tha.35
9.28	tear	taŋ.42 vu.35 ćiŋ.13
9.29	flay, skin	tjuŋ.13
9.31	rub, wipe	me.35
9.32	stretch	sa.35 ʔai.42 me.35
9.33	pull	te.31 me.13; həŋ.42 kuŋ.35
9.34	spread out	ńau.13
9.341	hang up	kje.35
9.342	press	taŋ.42 vu.35 ćiŋ.35
9.343	squeeze, wring	ŋ.42 fa.42 li.31
9.35	pour	taŋ.13 thi.35
9.36	wash	pjəu.35 ŋ.42
9.37	sweep	pjiŋ.13
9.38	broom	ha.42
9.422	tool	məi.31
9.43	carpenter	tau.31 ni.13
9.44	build	tau.31 kuŋ.35 cau.13
9.46	bore	so.33
9.461	hollow out	təu.35
9.48	saw	tjuŋ.13
9.49	hammer	təu.35 tjuŋ.31
9.5	nail	pai.35 vu.42 kuŋ.35
9.56	glue	zau.13
9.6	smith, blacksmith	vu.13
9.61	forge	ʔuaŋ.42 pha.35 pai.35
9.62	anvil	ʔuaŋ.42 to.31 məi.31
9.63	cast (metals)	ʔuaŋ.42 to.31 pai.35
9.64	gold	vu.13 ti.13
9.65	silver	pi.42
9.66	copper, bronze	mu.13
9.67	iron	cuan.42 mu.31 piŋ.13; ləu.42 cuan.42 mu.31 piŋ.13
9.68	lead (noun)	vu.35 məi.35
9.69	tin, tinplate	ʔa.42 pəi.13 ʔɛ.42
