entry_id	trans_english	Maonan_Phonemic
2.75	orphan	ni.4; ja:ŋ.5; luŋ.3
2.76	widow	tɔ.2 sɛŋ.1
2.77	widower	ai.1 śɔŋ.5 kwi.2
2.81	relatives, kinsmen	khuŋ.6 mja.4
2.82	family	tɔ.2 sɛŋ.1
2.91	I	kwi.2 taʔ.8
2.92	you (singular)	pɔ.4
2.93	he/she/it	pɔ.4 ni.4
2.94	we	la:ʔ.8 kwi.2
2.941	we (inclusive)	kwi.2
2.942	we (exclusive)	zo.2
2.95	you (plural)	zo.2 taʔ.8
2.96	they	zo.2 ni.4
3.11	animal	zo.2
3.12	male (adj)	mu.5 taʔ.8
3.13	female (adj)	mu.5 luŋ.3
3.15	livestock	mu.5
3.16	pasture	zo.2
3.18	herdsman	zo.2 taʔ.8
3.19	stable, stall	la:ʔ.8 zo.2
3.2	cattle (bovine)	mja.4
3.21	bull	mja.4 taʔ.8
3.22	ox	mja.4 ni.4
3.23	cow	la:ʔ.8 mja.4 taʔ.8; la:ʔ.8 mja.4 ni.4
3.24	calf	lj.2
3.25	sheep	lɔ.2
3.26	ram	tɔ.2 sɛŋ.1
3.28	ewe	ka:i.5 sai.3
3.29	lamb	ka:i.5 ja:ŋ.5; ka:i.5 ni.4
3.32	boar	ka:i.5
3.34	sow	ŋa:n.6
3.35	pig	ɛp.7
3.36	goat	kuŋ.1
3.37	he-goat	nɔʔ.8
3.38	kid	ńa:u.2
3.41	horse (equine)	fuŋ.5 cən.5
3.42	stallion	kwo.2
3.44	mare	jin.5 u.3
3.45	foal, colt	ka.1
3.46	ass, donkey	nɔʔ.8 pjau.2
3.47	mule	nɔʔ.8 hɔ:p.8
3.5	fowl	ma:u.5 thau.2 jin.5
3.52	cock, rooster	nɔʔ.8 i:n.5
3.54	hen	khuŋ.3 chɔ.2
3.55	chicken	nɔʔ.8 kuk.7
3.56	goose	ma.1
3.57	duck	tu.5
3.58	nest	ćip.7 lim.6
3.581	bird	məm.4 pi:u.5
3.582	seagull	məm.4
3.583	heron	mɛu.4
3.584	eagle	jɛ.3 ma:u.5
3.585	hawk	nɔ.3
3.586	vulture	mjai.3
3.591	bat	va.5 mjai.3
3.592	parrot	ćin.5
3.593	crow	həʔ.7; hək.7
3.594	dove	khap.7
3.596	owl	ćai.6
3.61	dog	la:ʔ.8 ŋi:u.1
3.614	rabbit	cin.5 jü.2
3.62	cat	hua:ŋ.2 śi:n.4
3.622	opossum	ma.1 ŋa:ŋ.2
3.63	mouse, rat	ma.1 ńɔ:ŋ.2
3.65	fish	moi.1
3.652	fin (dorsal)	hu.2 li.2
3.653	fishscale	suŋ.5 śü.3
3.654	gill	mi:n.3
3.655	shell	ʔbjen.4
3.661	shark	mɔn.6
3.662	porpoise, dolphin	cha:ŋ.4
3.663	whale	hi:u.3 cha:ŋ.4
3.664	stingray	lɔ.2 thɔ.2
3.665	freshwater eel	ta.1
3.71	wolf	nan.2; tu.1
3.72	lion	kai.5 tu.1
3.73	bear	mat.7; ni.4 mat.7
3.74	fox	ta.1 ćhap.7
3.75	deer	ʔda:p.8
3.76	monkey	mɨt.8
3.77	elephant	kuŋ.6 ka:ŋ.1
3.78	camel	kuŋ.1 kuŋ.6 ka:ŋ.1
3.81	insect	luʔ.8
3.811	louse	kuŋ.1 luʔ.8
3.812	nit (louse egg)	ʔdu.1
3.813	flea	pə.2 ńi.3
3.814	centipede	ńuŋ.4 vin.3
3.815	scorpion	ńuŋ.4
3.816	cockroach	ta.1
3.817	ant	ta.1 nu:n.1
3.818	spider	ta.1
3.819	spider web	ta.1 nu:n.1
3.82	bee	vi:t.8
3.821	beeswax	ɔŋ.5 i:t.7
3.822	beehive	miŋ.1
3.823	wasp	zu:i.2
3.83	fly	ma:ŋ.2 śɛ.3
3.831	sandfly (midge), gnat	ni.4 niŋ.3
3.832	mosquito	phuŋ.6 pa.4
3.84	worm	ʔdjaʔ.7
3.85	snake	khu:i.1
3.91	firefly	kəp.7 (big); kwai.3 (small)
3.92	butterfly	ćip.7 kwi.1
3.93	grasshopper	ʔdən.2
3.94	snail	pi.2
3.95	frog	na:n.4
3.96	lizard	pjam.1
3.97	crocodile, alligator	ńu:t.8
3.98	turtle	sən.1
4.11	body	ńuŋ.1
4.12	skin, hide	pi.2 ko.3
4.13	flesh	vən.5
4.14	hair (head)	phja:t.7
4.142	beard	mə.2
4.144	body hair	ʔjin.1
4.145	pubic hair	ʔda:ʔ.8
4.146	dandruff	ʔda:ʔ.8 vjan.1
4.15	blood	ʔda:ʔ.8 ʔdan.1
4.151	vein, artery	ŋa:u.1
4.16	bone	sət.7
4.162	rib	lən.2
4.17	horn	ʔdaʔ.8 lən.2 la:i.1
4.18	tail	ko.3
4.19	back	ko.3
4.191	spine	ńu:i.1
4.2	head	na.3
4.201	side of head, temple	na.3 pja:k.7
4.202	skull	ńai.6
4.203	brain	kha.5 ŋa:ŋ.1
4.204	face	na.1
4.205	forehead	moi.2 na.1
4.207	jaw	pi.2 na.1
4.208	cheek	sən.1 na.1
4.209	chin	ʔdjap.7 na.1
4.21	eye	kha.1
4.212	eyebrow	ćhɛ.4 kha.1
4.213	eyelid	ʔnaŋ.1
4.214	eyelash	cəm.5 ʔnaŋ.1
4.215	blink	muʔ.8
4.22	ear	pa:k.7
4.221	earlobe	pa:k.7 nɔ:ʔ.8
4.222	earwax	pi.2 pa:k.7
4.23	nose	ma.2
4.231	nostril	hi:u.3
4.232	mucus (nasal)	həʔ.7
4.24	mouth	ʔdən.4
4.241	beak	lən.2 ʔdən.4
4.25	lip	khɔ:ŋ.4
4.26	tongue	ha.1
4.27	tooth	ʔdaʔ.8 kɔ:m.1
4.271	gums	ćhi:n.1
4.272	molartooth	kha.3 sa:k.7; kha.3 za:ʔ.7
4.28	neck	ćhi:n.1 ŋɔʔ.7
4.281	nape of neck	si:m.3
4.29	throat	fa.1
4.3	shoulder	la:k.8 tjɔŋ.1; la:k.8 si:m.3
4.301	shoulderblade	ni.4 si:m.3
4.302	collarbone	ʔdip.7
4.31	arm	ʔdip.7
4.312	armpit	pja.1
4.32	elbow	tən.3 pja.1 la:u.4
4.321	wrist	pja.1 ni.4
4.33	hand	kap.7 ko.6; cəp.5 ko.6
4.331	palm of hand	ti:n.1
4.34	finger	na.1 ti:n.1
4.342	thumb	lən.2 ti:n.1
4.344	fingernail	in.5 ti:n.1
4.345	claw	la:ʔ.8 ti:n.1
4.35	leg	va.5
4.351	thigh	sən.1
4.352	calf of leg	na.3 taʔ.7
4.36	knee	sɛ.1; cɛ.5
4.37	foot	ʔdo.2
4.371	ankle	sam.1
4.372	heel	pu:t.7
4.374	footprint	tap.7
4.38	toe	ʔdan.2
4.392	wing	ʔdɔ.6
4.393	feather	koʔ.7 lɔŋ.2
4.4	chest	sa:i.3
4.41	breast (of woman)	nu:i.3
4.412	nipple, teat	khi.6 khɛ.4
4.42	udder	cəm.6 khɛ.4
4.43	navel	lai.3; mam.6
4.44	heart	lai.3; mam.6
4.441	lung	khən.3
4.45	liver	sɔŋ.5 khi.5
4.451	kidney	sa.5 jɔ.5
4.452	spleen	fin.1 ńiʔ.7
4.46	stomach	uʔ.7 vən.5
4.461	intestines, guts	ŋi.1; ŋi.1 ćan.1
4.462	waist	ćheu.5
4.463	hip	nɔʔ.7 ńɔʔ.7
4.464	buttocks	ćit.8
4.47	womb	zun.4 ma.2
4.49	testicle	mət.7; pe.6
4.492	penis	ŋi.1 lui.1
4.51	breathe, breath	nu:n.2
4.52	yawn, gape	nu:n.2 chu:n.1
4.521	hiccough	c(ts)i.6 vjen.1; ci.6 vjen.1
4.53	cough	ʔdju.2
4.54	sneeze	uʔ.7 tət.7
4.55	perspire	ʔnɛu.5
4.56	spit	uʔ.7 khɛ.4
4.57	vomit	tu.5 pi:t.8
4.58	bite	zan.2
4.59	lick	za:p.8
4.591	dribble	za:ŋ.4
4.61	sleep	za:ŋ.4
4.612	snore	za:ŋ.4
4.62	dream	ʔnja.1 la:ʔ.8
4.63	wake up	ńaʔ.7 la:ʔ.8
4.64	break wind	naŋ.1 naŋ.1
4.65	urinate	tai.1
4.66	defecate	pət.7 tai.1
4.67	have sexual intercourse	ha.3
4.68	shiver	mɔk.7
4.69	bathe	ti.6
4.71	beget (of father)	ʔjɔŋ.1; mɛ.2 lɨk.7; lɨʔ.7
4.72	born (to be)	ʔma.3
4.73	pregnant	peŋ.6; fin.1 peŋ.6
4.732	conceive	ʔdən.2
4.74	live, living, life	ʔdən.4 tə.2
4.75	die, dead	nən.2 ja:m.5
4.751	drowned	fin.1 peŋ.5 lɔŋ.2
4.76	kill	ta:u.1 ćit.8
4.77	corpse	vɔk.7; ʔwok.7
4.78	bury (the dead)	ćit.8; meʔ.7
4.79	grave, tomb	ǖʔ.7 ʔdat.8
4.81	strong, mighty, powerful	siŋ.1
4.82	weak	zɔk.8
4.83	well, health	ta:u.1 pjeu.3
4.84	sick, sickness	ʔda:i.3
4.841	fever	ai.1 za:ŋ.6 za.2; i.5 sən.5
4.842	goiter	za.2
4.843	cold (catarrh)	za.2 tu.4
4.85	wound, sore	zɔ.4 tu.4
4.852	bruise	lja.2
4.853	swelling	za.3; za.5 nɛ.5
4.854	itch	khət.7
4.855	blister	ko.3 mjan.3
4.856	boil (noun)	pja.1 kwa.2; pja.1 ʔdɛŋ.3; pja.1 kwɛ.2
4.857	pus	ʔdaʔ.7
4.858	scar	ŋa.3
4.86	cure, heal	na.1 ʔbu:t.8
4.87	physician	mɛ.1
4.88	medicine, drug	kam.3 tan.3 kuʔ.7
4.89	poison	na.4
4.91	tired, weary	ni.4 na.4
4.912	rest	zɔʔ.8
4.92	lazy	ʔdip.8
4.93	bald	zɔʔ.8
4.94	lame	li.1
4.95	deaf	na.4; śut.7
4.96	mute	ʔbi:k.8 lɔŋ.2
4.97	blind	kha:t.7
4.98	intoxicated	śut.7
4.99	naked, bare	ma:ʔ.7
5.11	eat	ʔdan.2
5.12	food	ŋa.1
5.121	cooked	tuŋ.1
5.122	raw	cha:u.3
5.123	ripe	ha:ŋ.1
5.124	green, unripe	lu.3
5.125	rotten	khiʔ.7 u.5
5.13	drink	hu.2 cha.2
5.14	hunger	khiʔ.7 ma.1
5.141	famine	u:n.3
5.15	thirst	pu:n.3
5.16	suck	u:n.3
5.18	chew	ca:n.3
5.181	swallow	tɛp.8
5.19	choke	phja:u.6 zo.5
5.21	cook	mit.8
5.22	boil (vb)	kjem.2
5.23	roast, fry	tɨn.5
5.24	bake	na.4(1) u.5 jit.7
5.25	oven	na.4(1) ŋe.1
5.26	pot, cooking vessel	mja:u.1
5.27	kettle	phit.7
5.28	pan	ʔjaŋ.1
5.31	dish	kwa.1
5.32	plate	ŋja:u.1
5.33	bowl	mjan.4 fən.3
5.34	pitcher, jug	sɔ:ʔ.7
5.35	cup, drinking vessel	nian.3
5.36	saucer	fan.5
5.37	spoon	tui.5(2) sɔ:ʔ.7
5.38	knife	tui.5
5.39	fork	na:n.4
5.391	tongs	zo.5
5.41	meal (a)	ʔma.1 ju.1
5.42	breakfast	tau.6
5.43	lunch	ʔdɔ.2
5.44	dinner	sɔŋ.1
5.45	supper	la:ʔ.8 ma:n.5
5.46	peel	ŋja.1
5.47	sieve, strain	siŋ.1
5.48	scrape	la:ʔ.8 kwa.1 nam.3
5.49	stir, mix	la:ʔ.8 kɨ.2
5.51	bread	la:ʔ.8 man.3
5.53	dough	la:ʔ.8 mai.4
5.54	knead	tiu.5
5.55	meal, flour	la:ʔ.8 it.7
5.56	crush, grind	la:ʔ.8 lip.7
5.57	mill	ju.2
5.58	mortar	man.2
5.59	pestle	pi.2
5.61	meat	zat.7
5.63	sausage	ko.1
5.64	soup, broth	la:ʔ.8 śiu.3
5.65	vegetables	ta:ŋ.2
5.66	bean	cɛ.5
5.7	potato	pan.3
5.71	fruit	kai.5
5.712	bunch	kai.5 ma:n.3
5.75	fig	tan.3
5.76	grape	kuʔ.7
5.77	nut	ai.1 fa:ŋ.1 kuʔ.7; ai.1 vɛ.4 fa:ŋ.1
5.78	olive	i.3
5.79	oil	mian.3; wa:i.5
5.791	grease, fat	ćɔn.5
5.81	salt	tam.1 i.1
5.82	pepper	ćet.7
5.821	chili pepper	che.3
5.84	honey	śɨm.1
5.85	sugar	śɨm.1 ŋui.4
5.86	milk (noun)	śu:n.5
5.87	milk (vb)	jam.3
5.88	cheese	tim.1
5.89	butter	ćun.2
5.9	beverage, drink	kuʔ.7 nuk.7
5.91	mead	ʔdən.4 kuʔ.7
5.92	wine	wa.5
5.93	beer	ma:t.8
5.94	fermented drink	ha:i.1
5.97	egg	ai.1 wɛ.4 ha:i.1
5.971	egg yolk	mɔ.6
6.11	put on (clothes)	sɛ.1
6.12	clothing, clothes	ʔdat.8 tuk.7 ko.3
6.13	tailor	tai.2
6.21	cloth	laʔ.8 khau.5
6.22	wool	wun.5 ćhi:n.1
6.23	linen, flax	wun.5 ʔdən.4
6.24	cotton	ʔnɛŋ.5 kha.1
6.25	silk	ci.6 ćan.1
6.27	felt	ćhi.1
6.28	fur	ćhi.1
6.29	leather	ćet.7; ci.6 pjen.4
6.31	spin	ja:ŋ.6 ćen.3
6.32	spindle	ćiŋ.5
6.33	weave	ńa:u.6
6.34	loom	ja:n.1
6.35	sew	thiŋ.3
6.36	needle	ja:n.1 tuŋ.1 u.5
6.37	awl	tɔ.1
6.38	thread	za:u.1
6.39	dye	ni.4 zi.2
6.41	cloak	sai.3 zi.2
6.411	poncho	tɔ.1 coŋ.1
6.42	woman's dress	tɔŋ.6 zi:ŋ.2
6.43	coat	jian.5 chuŋ.5
6.44	shirt	ki.3 fa.1; će.3; ći:ŋ.6 fa.1
6.45	collar	pɔŋ.3; zi:ŋ.2
6.46	skirt	ŋu:n.1
6.461	grass-skirt	ciɛn.1
6.48	trousers	tɔʔ.8
6.49	stocking, sock	ćeŋ.6
6.51	shoe	vɨ̄.1
6.52	boot	la:p.8
6.54	shoemaker, cobbler	kja.5
6.55	hat, cap	ća:i.1
6.57	belt, girdle	ʔju.1 ja:n.1
6.58	glove	ʔju.1 ja:n.1 hi.1
6.59	veil	hi.1
6.61	pocket	zai.1
6.62	button	za:u.1
6.63	pin	mai.4 pa:n.6
6.71	ornament, adornment	ai.1 siu.6 tu:i.2
6.72	jewel	chon.1
6.73	ring (for finger)	ai.1 vɛ.4 kɔŋ.1
6.74	bracelet	ʔja.5
6.75	necklace	na:i.5
6.76	bead	na:i.5 ʔma.1
6.77	earring	cɔŋ.5
6.78	headband, headdress	ćham.3 nun.3
6.79	tattoo	ća:i.1 nam.3
6.81	handkerchief, rag	kwai.1 (noun) kha:i.5 (vb)
6.82	towel	ća:i.1 kwai.1
6.91	comb	ʔwa:i.1
6.92	brush	thie.3 cha:n.5
6.921	braid	cha:n.5
6.93	razor	laʔ.7 kau.1 (noun) kuəʔ.7 (vb)
6.94	ointment	kwa.4
6.95	soap	tɔʔ.7
6.96	mirror	pu.4 van.1
7.11	dwell, live	ka:t.7
7.12	house	ljem.4
7.13	hut	śu.6
7.131	garden-house	ta:u.5 śu.6
7.14	tent	śu.1
7.15	yard, court	hu.4
7.16	men's house	hu.4 mian.4
7.17	cookhouse	hu.4 wa:ŋ.2
7.18	meeting house	u.5
7.21	room	hu.4 kɔʔ.7
7.22	door, gate	hu.4 ʔja.5; ća.3
7.221	doorpost, jamb	pa.6
7.23	lock (noun)	ʔwɔʔ.7
7.231	latch, door-bolt	hu.4 f:ŋ.3
7.24	key	ćaŋ.1
7.25	window	ʔwɔʔ.7 ćhi:u.5
7.26	floor	sa:ŋ.1
7.27	wall	mai.4 tən.2
7.31	fireplace	la:ʔ.8 mai.4
7.32	stove	va.5
7.33	chimney	nun.1
7.37	ladder	wa.1
7.42	bed	mai.4
7.421	pillow	mai.4 ćai.5
7.422	blanket	thoŋ.3 mai.4
7.43	chair	za.5 mai.4
7.44	table	ʔjen.1
7.45	lamp, torch	śut.7; ʔjen.1
7.46	candle	jian.5 tau.3
7.47	shelf	pin.5 la:ŋ.6
7.48	trough	mai.4 tən.2
7.51	roof	pi.2 mai.4
7.52	thatch	la:ʔ.8 ka:m.1
7.53	ridgepole	ma:ŋ.5 kuɔ.3
7.54	rafter	mai.4 la:ʔ.8 ćoi.3
7.55	beam	la:ʔ.8 ćoi.3
7.56	post, pole	mai.4 jɔŋ.2
7.57	board	mu.2 kwa.5
7.58	arch	sI.2 liu.2
7.61	mason	mai.4 wa:i.5
7.62	brick	la:ʔ.8 man.2
7.63	mortar	la:ʔ.8 i:ʔ.7
7.64	adobe	la:ʔ.8 man.2 mai.4
8.11	farmer	hu.2 lu.5
8.12	field (for cultivation)	la:ʔ.8 kwa.3
8.13	garden	na:ŋ.1
8.15	cultivate, till	mai.4 ʔdɔʔ.7
8.16	fence	u:i.3
8.17	ditch	tiŋ.2 ju.2
8.21	plow	ŋa.1
8.212	furrow	vɛ.4
8.22	dig	vɛ.4 kɔŋ.1
8.23	spade	koŋ.5
8.24	shovel	tap.8
8.25	hoe	zuʔ.8
8.26	fork	sɔŋ.5
8.27	rake	ljen.4
8.31	sow	zaʔ.7
8.311	seed	ta:u.2 zuʔ.8
8.32	mow, reap	zɔ.4; map.8
8.33	sickle, scythe	tɔʔ.7
8.34	thresh	ca:p.8; ka:t.7
8.35	threshing-floor	tɛ.5
8.41	crop, harvest	tɛ.5
8.42	grain (barley, oats etc)	fi:t.7
8.43	wheat	mit.8
8.44	barley	mjiu.1
8.45	rye	fo.3
8.46	oats	ʔja:u.3; ʔja:p.7
8.47	maize, corn	pha.5
8.48	rice	pha.5
8.51	grass	si.1
8.52	hay	phik.7
8.53	plant (noun)	ńak.7
8.531	plant (vb)	ma:t.8
8.54	root	zu:n.4
8.55	branch	la.1
8.56	leaf	zu:n.4
8.57	flower	lɔi.3
8.6	tree	ćam.6
8.61	oak	it.8
8.62	beech	həp.7
8.63	birch	zaʔ.7
8.64	pine	kwa:t.7
8.65	fir	ńu:i.6 kwa:t.7
8.66	acorn	ji:ŋ.6 vɛ.4 kɔŋ.1
8.67	vine	ai.1 za:ŋ.6 mai.4
8.68	tobacco	vɛ.4
8.69	smoke (tobacco)	fi:t.7
8.691	pipe	ʔwa:i.1
8.72	tree stump	ćo.5
8.73	tree trunk	cü.2
8.74	forked branch	teŋ.1
8.75	bark	cia:u.5 sui.3
8.76	sap	ai.1 za:ŋ.6 ćhit.7
8.81	palm tree	ljan.5 ćhit.7
8.82	coconut	ćeŋ.2 ćhit.7
8.83	citrus fruit	ćum.1
8.84	banana tree	ńan.2
8.85	banyan	tɔŋ.2
8.91	sweet potato	ćhit.7
8.912	yam	sek.7
8.92	tapioca, manioc, cassava	khəm.5 ʔma.3
8.93	gourd	ćiŋ.5
8.931	pumpkin, squash	ćet.7
8.94	bamboo	tjeŋ.6
8.941	sugar cane	ʔdɔŋ.4
8.96	fish poison (root)	mja:ŋ.1
8.97	nettle	tai.6 wa:ŋ.3
8.98	mushroom	pa:k.7 śien.5
9.11	do, make	śien.5
9.12	work	khaʔ.7
9.14	bend	pa:k.7 si:u.5
9.15	fold	njak.7
9.16	tie, bind	njak.7
9.161	untie	nai.1
9.18	chain	fja:n.5
9.19	rope, cord	con.5 poŋ.5 lən.2
9.192	knot (noun)	tuk.7; pa:u.1
9.21	strike (hit, beat)	ćon.4
9.211	pound with fist	tɔk.7
9.22	cut	con.5; ta:u.3 con.5
9.221	cut down	uk.7
9.222	chop, hew	ćü.3
9.223	stab	tɔk.7
9.23	knife	thjaʔ.7
9.24	scissors, shears	vət.7
9.25	ax	vət.7
9.251	adze	śep.7; cwa.1
9.26	break	ŋa:u.2
9.261	broken	loi.1
9.27	split	cəm.5
9.28	tear	nam.3 pjiŋ.5
9.29	flay, skin	phiu.1
9.31	rub, wipe	wai.1
9.32	stretch	mut.7 nam.3
9.33	pull	phot.7
9.34	spread out	vin.3
9.341	hang up	zəp.8
9.342	press	la:i.5; ŋon.2
9.343	squeeze, wring	kwi.6
9.35	pour	jun.1
9.36	wash	ljɔt.7
9.37	sweep	thja:u.5
9.38	broom	thek.7
9.422	tool	thja:u.2 u.3
9.43	carpenter	sa:m.3
9.44	build	ʔdɛŋ.3
9.46	bore	pjeu.5
9.461	hollow out	pa:i.1; laŋ.6
9.48	saw	sa:m.3 ʔju.1 pa:i.1
9.49	hammer	tjeu.5 ʔju.1 pa:i.1
9.5	nail	sa:m.3 kha.3 pa:i.1
9.56	glue	uk.7 pa:i.1
9.6	smith, blacksmith	sam.5
9.61	forge	taŋ.1
9.62	anvil	ma.1; pa:i.1 ma.1
9.63	cast (metals)	laŋ.6
9.64	gold	śi:u.1
9.65	silver	ljaʔ.7 laŋ.6
9.66	copper, bronze	ńi:m.2
9.67	iron	ńɛu.6
9.68	lead (noun)	lɔ:n.1
9.69	tin, tinplate	tjaŋ.3 phjai.5; tjaŋ.3 jɛn.3
9.71	potter	ʔda:u.4 ja:u.3
9.72	mold (clay etc)	cau.4; tai.2
9.73	clay	sən.3
9.74	glass	u:n.1
9.75	weave, plait	tiŋ.3
9.76	basket	ća:p.7
9.77	mat	ʔma.5
9.771	rug	ta:p.7
9.78	netbag	tai.2
9.79	fan (noun)	ki.5
9.791	fan (vb)	tai.5
9.81	carve	khai.1
9.82	sculptor	će.6
9.83	statue	kai.4
9.84	chisel	khun.1 la:u.4
9.88	paint (noun)	khun.1 se.5
9.89	paint (vb)	ćiu.2
10.11	move	cha.1
10.12	turn over	lun.6 cha.1
10.13	turn around	i:t.7
10.14	wind, wrap	zon.2
10.15	roll	zon.2
10.16	drop (vb)	ʔba:ŋ.2; pha:i.2
10.17	twist	ʔba:ŋ.2; pha:i.2
10.21	rise	mai.4 wa:t.7 zon.2
10.22	raise, lift	wa:t.7
10.23	fall	sa.5 faŋ.5
10.24	drip	mɛ.2
10.25	throw	a:u.1; cau.4
10.252	catch (ball)	sap.7; cwa.1
10.26	shake	u:m.3
10.32	flow	ŋam.1
10.33	sink	ʔdai.4
10.34	float	tɔŋ.5 sai.1
10.35	swim	ʔnaʔ.7
10.351	dive	poi.2
10.352	splash	lia:u.4 li.3
10.36	sail (vb)	ću.5
10.37	fly (vb)	ka:u.5 wa:i.5
10.38	blow	ʔńim.1
10.41	creep, crawl	ʔńim.1 ʔdai.4
