entry_id	trans_english	Serbo-Croatian_Phonemic
6.41	cloak	plašt; kabanica; ogrtač
6.411	poncho	[pančo, pončo]
6.42	woman's dress	haljina
6.43	coat	kaput; mantil
6.44	shirt	košulja
6.45	collar	kragna, okovratnik
6.46	skirt	suknja
6.461	grass-skirt	--
6.48	trousers	pantalone/ hlače
6.49	stocking, sock	čarapa
6.51	shoe	cipela; obuća
6.52	boot	čizma
6.54	shoemaker, cobbler	obućar/ postolar
6.55	hat, cap	šešir; kapa
6.57	belt, girdle	kaiš/ pojas
6.58	glove	rukavica
6.59	veil	veo; koprena
6.61	pocket	džep
6.62	button	dugme/ puce
6.63	pin	čioda
6.71	ornament, adornment	ukras/ ures; nakit
6.72	jewel	dragulj, dragi kamen
6.73	ring (for finger)	prsten
6.74	bracelet	narukvica; grivna
6.75	necklace	ogrlica
6.76	bead	perla, zrnce
6.77	earring	mindjuša/ naušnica
6.78	headband, headdress	rajf, povez za glavu
6.79	tattoo	tetoviranje
6.81	handkerchief, rag	maramica/ rubac
6.82	towel	peškir/ ručnik
6.91	comb	češalj
6.92	brush	četka; kefa
6.921	braid	pletenica, kika
6.93	razor	britva; žilet
6.94	ointment	mast, krema, pomast
6.95	soap	sapun
6.96	mirror	ogledalo
7.11	dwell, live	živ(j)eti; stanovati
7.12	house	kuća; dom
7.13	hut	koliba
7.131	garden-house	--
7.14	tent	šator
7.15	yard, court	dvorište, dvor, avlija
7.16	men's house	--
7.17	cookhouse	kuhinja
7.18	meeting house	
7.21	room	soba; prostorija
7.22	door, gate	vrata; kapija
7.221	doorpost, jamb	dovratak/ dovratnik
7.23	lock (noun)	brava
7.231	latch, door-bolt	reza
7.24	key	ključ
7.25	window	prozor
7.26	floor	pod; patos
7.27	wall	zid; stijena
7.31	fireplace	kamin; ognjište
7.32	stove	peć; šporet, štednjak
7.33	chimney	dimnjak, odžak
7.37	ladder	lestve, merdevine
7.42	bed	krevet, postelja
7.421	pillow	jastuk
7.422	blanket	ćebe/ deka
7.43	chair	stolica
7.44	table	sto/ stol
7.45	lamp, torch	lampa; sv(j)etiljka
7.46	candle	sv(ij)eća
7.47	shelf	polica
7.48	trough	korito, oluk
7.51	roof	krov
7.52	thatch	krovina, slama
7.53	ridgepole	slemenjača/ sljemenjača
7.54	rafter	krovna greda
7.55	beam	greda
7.56	post, pole	stub, direk; motka
